"State","Year","Propulsion","Fraction"
"New Brunswick",2039,"PHEV",0.0854061586110192
"New Brunswick",2040,"BEV",0.571932595972004
"New Brunswick",2040,"PHEV",0.0837355266469162
"New Brunswick",2041,"BEV",0.58343490185924
"New Brunswick",2041,"PHEV",0.0821257811430541
"New Brunswick",2042,"BEV",0.593731773950947
"New Brunswick",2042,"PHEV",0.0805991957516039
"New Brunswick",2043,"BEV",0.602848825939263
"New Brunswick",2043,"PHEV",0.0791837228988273
"New Brunswick",2044,"BEV",0.610669839145174
"New Brunswick",2044,"PHEV",0.0777963215547404
"New Brunswick",2045,"BEV",0.618004515540184
"New Brunswick",2045,"PHEV",0.0765011769227074
"New Brunswick",2046,"BEV",0.630496195018212
"New Brunswick",2046,"PHEV",0.0752291321149985
"New Brunswick",2047,"BEV",0.637325762095548
"New Brunswick",2047,"PHEV",0.0740671742980373
"New Brunswick",2048,"BEV",0.643879179479195
"New Brunswick",2048,"PHEV",0.0729594021252579
"New Brunswick",2049,"BEV",0.650136575053832
"New Brunswick",2049,"PHEV",0.0719476458438858
"New Brunswick",2050,"BEV",0.655642591077365
"New Brunswick",2050,"PHEV",0.0708615372291425
"Newfoundland and Labrador",2021,"BEV",0.0890310370579968
"Newfoundland and Labrador",2021,"PHEV",0.0309544904235531
"Newfoundland and Labrador",2022,"BEV",0.116307993075832
"Newfoundland and Labrador",2022,"PHEV",0.028682619296118
"Newfoundland and Labrador",2023,"BEV",0.134473805653468
"Newfoundland and Labrador",2023,"PHEV",0.0355167208284428
"Newfoundland and Labrador",2024,"BEV",0.165982876468299
"Newfoundland and Labrador",2024,"PHEV",0.0290096963916706
"Newfoundland and Labrador",2025,"BEV",0.0917027586781245
"Newfoundland and Labrador",2025,"PHEV",0.0182534485183124
"Newfoundland and Labrador",2026,"BEV",0.120280067870594
"Newfoundland and Labrador",2026,"PHEV",0.0241582261464459
"Newfoundland and Labrador",2027,"BEV",0.158748044238814
"Newfoundland and Labrador",2027,"PHEV",0.0352151169427675
"Newfoundland and Labrador",2028,"BEV",0.197954977003811
"Newfoundland and Labrador",2028,"PHEV",0.0369363803172861
"Newfoundland and Labrador",2029,"BEV",0.236018162433674
"Newfoundland and Labrador",2029,"PHEV",0.0477478176596069
"Newfoundland and Labrador",2030,"BEV",0.274984195478569
"Newfoundland and Labrador",2030,"PHEV",0.0535875276551706
"Newfoundland and Labrador",2031,"BEV",0.317077688445899
"Newfoundland and Labrador",2031,"PHEV",0.0662974664189993
"Newfoundland and Labrador",2032,"BEV",0.355770402744163
"Newfoundland and Labrador",2032,"PHEV",0.0782047152234856
"Newfoundland and Labrador",2033,"BEV",0.416707160211519
"Newfoundland and Labrador",2033,"PHEV",0.0861239232398301
"Newfoundland and Labrador",2034,"BEV",0.449648413666214
"Newfoundland and Labrador",2034,"PHEV",0.0887309071538417
"Newfoundland and Labrador",2035,"BEV",0.477789683736389
"Newfoundland and Labrador",2035,"PHEV",0.0893289103053558
"Newfoundland and Labrador",2036,"BEV",0.502299998084222
"Newfoundland and Labrador",2036,"PHEV",0.0891909668932252
"Newfoundland and Labrador",2037,"BEV",0.523929183082014
"Newfoundland and Labrador",2037,"PHEV",0.088319611832175
"Newfoundland and Labrador",2038,"BEV",0.54264345490167
"Newfoundland and Labrador",2038,"PHEV",0.0869730056351873
