"State","Year","Propulsion","Fraction"
"Manitoba",2021,"BEV",0.0890310370579968
"Manitoba",2021,"PHEV",0.0309544904235531
"Manitoba",2022,"BEV",0.116307993075832
"Manitoba",2022,"PHEV",0.028682619296118
"Manitoba",2023,"BEV",0.134473805653468
"Manitoba",2023,"PHEV",0.0355167208284428
"Manitoba",2024,"BEV",0.165982876468299
"Manitoba",2024,"PHEV",0.0290096963916706
"Manitoba",2025,"BEV",0.18744120874145
"Manitoba",2025,"PHEV",0.0325517556486254
"Manitoba",2026,"BEV",0.297563569996471
"Manitoba",2026,"PHEV",0.0524266922364013
"Manitoba",2027,"BEV",0.357239298408975
"Manitoba",2027,"PHEV",0.0727497784025284
"Manitoba",2028,"BEV",0.435924556708746
"Manitoba",2028,"PHEV",0.0740633393061713
"Manitoba",2029,"BEV",0.498864183508438
"Manitoba",2029,"PHEV",0.091122818094756
"Manitoba",2030,"BEV",0.57750419845118
"Manitoba",2030,"PHEV",0.102480376518155
"Manitoba",2031,"BEV",0.637320065824968
"Manitoba",2031,"PHEV",0.122661691205412
"Manitoba",2032,"BEV",0.680976264622944
"Manitoba",2032,"PHEV",0.139005139197108
"Manitoba",2033,"BEV",0.729988176751075
"Manitoba",2033,"PHEV",0.149990255564073
"Manitoba",2034,"BEV",0.785960286329472
"Manitoba",2034,"PHEV",0.154013535074328
"Manitoba",2035,"BEV",0.843431627819833
"Manitoba",2035,"PHEV",0.156536290338104
"Manitoba",2036,"BEV",0.850152048536328
"Manitoba",2036,"PHEV",0.14981219036315
"Manitoba",2037,"BEV",0.856651965107472
"Manitoba",2037,"PHEV",0.143309929670462
"Manitoba",2038,"BEV",0.862703992816305
"Manitoba",2038,"PHEV",0.137254349160717
"Manitoba",2039,"BEV",0.868126808431982
"Manitoba",2039,"PHEV",0.13182928109353
"Manitoba",2040,"BEV",0.872944090217096
"Manitoba",2040,"PHEV",0.127008568730487
"Manitoba",2041,"BEV",0.877175766246993
"Manitoba",2041,"PHEV",0.122774755235961
"Manitoba",2042,"BEV",0.880966666966809
"Manitoba",2042,"PHEV",0.118981763054776
"Manitoba",2043,"BEV",0.884343374617646
"Manitoba",2043,"PHEV",0.1156029830039
"Manitoba",2044,"BEV",0.887445826322306
"Manitoba",2044,"PHEV",0.112498502319438
"Manitoba",2045,"BEV",0.89028971374495
"Manitoba",2045,"PHEV",0.109652641338131
"Manitoba",2046,"BEV",0.893786633729952
"Manitoba",2046,"PHEV",0.106155041939955
"Manitoba",2047,"BEV",0.896207598166467
"Manitoba",2047,"PHEV",0.103732269235259
