"State","Sale Year","Vehicle","Propulsion","Sales"
"Newfoundland and Labrador",2019,"SUV","BEV",3.41366283882426
"Newfoundland and Labrador",2019,"SUV","PHEV",4.6664599500528
"Newfoundland and Labrador",2020,"Car","BEV",23.961777139976
"Newfoundland and Labrador",2020,"Car","PHEV",14.2614496139121
"Newfoundland and Labrador",2020,"SUV","BEV",4.72485746422061
"Newfoundland and Labrador",2020,"SUV","PHEV",4.23141911621569
"Newfoundland and Labrador",2021,"Car","BEV",41.9051278861954
"Newfoundland and Labrador",2021,"Car","PHEV",31.3207507820647
"Newfoundland and Labrador",2021,"SUV","BEV",17.3002821548513
"Newfoundland and Labrador",2021,"SUV","PHEV",19.6466527632951
"Newfoundland and Labrador",2022,"Car","BEV",86.7924775364609
"Newfoundland and Labrador",2022,"Car","PHEV",30.4869183010086
"Newfoundland and Labrador",2022,"SUV","BEV",76.5554160834425
"Newfoundland and Labrador",2022,"SUV","PHEV",38.1086478762607
"Newfoundland and Labrador",2023,"Car","BEV",133.711013737421
"Newfoundland and Labrador",2023,"Car","PHEV",45.9469477546066
"Newfoundland and Labrador",2023,"SUV","BEV",207.99491025821
"Newfoundland and Labrador",2023,"SUV","PHEV",109.086946927066
"Newfoundland and Labrador",2024,"Car","BEV",139.142689564372
"Newfoundland and Labrador",2024,"Car","PHEV",52.0292690086597
"Newfoundland and Labrador",2024,"SUV","BEV",335.874992309554
"Newfoundland and Labrador",2024,"SUV","PHEV",225.775494607275
"Northwest Territories",2014,"Car","BEV",0.604814494376304
"Northwest Territories",2014,"Car","PHEV",0.285054769798968
"Northwest Territories",2014,"SUV","BEV",0.151203623594076
"Northwest Territories",2014,"SUV","PHEV",0
"Northwest Territories",2015,"Car","BEV",0.926866507201384
"Northwest Territories",2015,"Car","PHEV",0.303689092206321
"Northwest Territories",2015,"SUV","BEV",0.231716626800346
"Northwest Territories",2015,"SUV","PHEV",0
"Northwest Territories",2016,"Car","BEV",1.05491373606799
"Northwest Territories",2016,"Car","PHEV",0.712636924497419
"Northwest Territories",2016,"SUV","BEV",0.263728434016998
"Northwest Territories",2016,"SUV","PHEV",0
"Northwest Territories",2017,"Car","BEV",1.96773372690722
"Northwest Territories",2017,"Car","PHEV",1.18604943971125
"Northwest Territories",2017,"SUV","BEV",0.491933431726805
"Northwest Territories",2017,"SUV","PHEV",0
"Northwest Territories",2018,"Car","BEV",0.594719066625729
"Northwest Territories",2018,"Car","PHEV",2.13580830575531
"Northwest Territories",2018,"SUV","BEV",0
"Northwest Territories",2018,"SUV","PHEV",0
