"Province","Segment","ageID","ageFraction"
"Manitoba","SUV",19,0.0237415640465509
"Manitoba","SUV",20,0.0210574359189778
"Manitoba","SUV",21,0.0177214883725271
"Manitoba","SUV",22,0.0133063662833976
"Manitoba","SUV",23,0.0125792961548219
"Manitoba","SUV",24,0.00871184593708024
"Manitoba","SUV",25,0.0084563006143226
"Manitoba","SUV",26,0.00701374464174648
"Manitoba","SUV",27,0.00488130847203016
"Manitoba","SUV",28,0.00370685099246828
"Manitoba","SUV",29,0.00314800574244997
"Manitoba","SUV",30,0.023347162196505
"New Brunswick","Car",0,0.0242388433769591
"New Brunswick","Car",1,0.0470772953192002
"New Brunswick","Car",2,0.0526232556777999
"New Brunswick","Car",3,0.0600288582081655
"New Brunswick","Car",4,0.0620108340977333
"New Brunswick","Car",5,0.0669906035521271
"New Brunswick","Car",6,0.0633281456896829
"New Brunswick","Car",7,0.0652395562849377
"New Brunswick","Car",8,0.0574536693866818
"New Brunswick","Car",9,0.044971755547827
"New Brunswick","Car",10,0.0423200306230946
"New Brunswick","Car",11,0.0371514148699414
"New Brunswick","Car",12,0.0459506602048986
"New Brunswick","Car",13,0.0471076164746703
"New Brunswick","Car",14,0.0414955072940522
"New Brunswick","Car",15,0.0373843443342616
"New Brunswick","Car",16,0.0315622002811396
"New Brunswick","Car",17,0.0287399493634131
"New Brunswick","Car",18,0.0240679550432331
"New Brunswick","Car",19,0.0200172167647296
"New Brunswick","Car",20,0.0180308587880783
"New Brunswick","Car",21,0.0136188583164787
"New Brunswick","Car",22,0.010630679309029
"New Brunswick","Car",23,0.00864006131192991
"New Brunswick","Car",24,0.00622644693765033
"New Brunswick","Car",25,0.00568078972632631
"New Brunswick","Car",26,0.00419759471623464
"New Brunswick","Car",27,0.00335148703576888
"New Brunswick","Car",28,0.00281172971101737
"New Brunswick","Car",29,0.00260423469509167
"New Brunswick","Car",30,0.0244475470578464
"New Brunswick","SUV",0,0.0353883393121763
"New Brunswick","SUV",1,0.0732878022875403
"New Brunswick","SUV",2,0.0709852649399985
"New Brunswick","SUV",3,0.0688271743840638
"New Brunswick","SUV",4,0.0629267327103806
"New Brunswick","SUV",5,0.0604951604852795
"New Brunswick","SUV",6,0.051685687897779
"New Brunswick","SUV",7,0.0455612660402467
"New Brunswick","SUV",8,0.040373485550071
"New Brunswick","SUV",9,0.040179157253915
"New Brunswick","SUV",10,0.0303032573056669
"New Brunswick","SUV",11,0.0232881484989922
"New Brunswick","SUV",12,0.0383570579423809
"New Brunswick","SUV",13,0.0392541171464062
"New Brunswick","SUV",14,0.0381101545836058
"New Brunswick","SUV",15,0.0373585926608049
"New Brunswick","SUV",16,0.0367165170272045
"New Brunswick","SUV",17,0.0315064648108437
"New Brunswick","SUV",18,0.0277242497897665
"New Brunswick","SUV",19,0.0237415640465509
"New Brunswick","SUV",20,0.0210574359189778
"New Brunswick","SUV",21,0.0177214883725271
"New Brunswick","SUV",22,0.0133063662833976
"New Brunswick","SUV",23,0.0125792961548219
"New Brunswick","SUV",24,0.00871184593708024
"New Brunswick","SUV",25,0.0084563006143226
"New Brunswick","SUV",26,0.00701374464174648
"New Brunswick","SUV",27,0.00488130847203016
"New Brunswick","SUV",28,0.00370685099246828
"New Brunswick","SUV",29,0.00314800574244997
"New Brunswick","SUV",30,0.023347162196505
"Newfoundland and Labrador","Car",0,0.0242388433769591
"Newfoundland and Labrador","Car",1,0.0470772953192002
"Newfoundland and Labrador","Car",2,0.0526232556777999
"Newfoundland and Labrador","Car",3,0.0600288582081655
"Newfoundland and Labrador","Car",4,0.0620108340977333
"Newfoundland and Labrador","Car",5,0.0669906035521271
"Newfoundland and Labrador","Car",6,0.0633281456896829
"Newfoundland and Labrador","Car",7,0.0652395562849377
"Newfoundland and Labrador","Car",8,0.0574536693866818
"Newfoundland and Labrador","Car",9,0.044971755547827
"Newfoundland and Labrador","Car",10,0.0423200306230946
"Newfoundland and Labrador","Car",11,0.0371514148699414
"Newfoundland and Labrador","Car",12,0.0459506602048986
"Newfoundland and Labrador","Car",13,0.0471076164746703
"Newfoundland and Labrador","Car",14,0.0414955072940522
"Newfoundland and Labrador","Car",15,0.0373843443342616
"Newfoundland and Labrador","Car",16,0.0315622002811396
"Newfoundland and Labrador","Car",17,0.0287399493634131
"Newfoundland and Labrador","Car",18,0.0240679550432331
"Newfoundland and Labrador","Car",19,0.0200172167647296
"Newfoundland and Labrador","Car",20,0.0180308587880783
"Newfoundland and Labrador","Car",21,0.0136188583164787
"Newfoundland and Labrador","Car",22,0.010630679309029
"Newfoundland and Labrador","Car",23,0.00864006131192991
"Newfoundland and Labrador","Car",24,0.00622644693765033
