Year,Scenario,Mineral,Recycling Scenario,Recycle_v_Demand
2034,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,0.06285459607483862
2035,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.08050192073660867
2035,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,0.08050192073660867
2036,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.10465364776723923
2036,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,0.10465364776723923
2037,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.1365477073986755
2037,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,0.1365477073986755
2038,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.15759312257506047
2038,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,0.1741685712057426
2039,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.15795835579297587
2039,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,0.2340355152377628
2040,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.14941624230365447
2040,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,0.2688802088171896
2041,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.14244097762644106
2041,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,0.3027157971021305
2042,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.13459024462271085
2042,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,0.33059370909142194
2043,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.1268210112576414
2043,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,0.3574058602266019
2044,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.11993225934663901
2044,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,0.3857472525746721
2045,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.11396084620299876
2045,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,0.4174368905509428
2046,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.1085629295192884
2046,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,0.4512957863121383
2047,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.10400079387299706
2047,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,0.4895483681834711
2048,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.10001917772409795
2048,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,0.5273469862331195
2049,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.0964682423547749
2049,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,0.5631995672140632
2050,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.0933493505856199
2050,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,0.5962527202075331
2026,Decreasing Batt Cap - High LFP Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.007898008962378448
2026,Decreasing Batt Cap - High LFP Chemistry,Cobalt,All Material is Recycled in NA,0.007898008962378448
2027,Decreasing Batt Cap - High LFP Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.010364070233506863
2027,Decreasing Batt Cap - High LFP Chemistry,Cobalt,All Material is Recycled in NA,0.010364070233506863
2028,Decreasing Batt Cap - High LFP Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.015241249568754006
2028,Decreasing Batt Cap - High LFP Chemistry,Cobalt,All Material is Recycled in NA,0.015241249568754006
2029,Decreasing Batt Cap - High LFP Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.021351459951197138
2029,Decreasing Batt Cap - High LFP Chemistry,Cobalt,All Material is Recycled in NA,0.021351459951197138
2030,Decreasing Batt Cap - High LFP Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.029042283824209203
2030,Decreasing Batt Cap - High LFP Chemistry,Cobalt,All Material is Recycled in NA,0.029042283824209203
2031,Decreasing Batt Cap - High LFP Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.03876570556041197
2031,Decreasing Batt Cap - High LFP Chemistry,Cobalt,All Material is Recycled in NA,0.03876570556041197
2032,Decreasing Batt Cap - High LFP Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.051909979290426574
2032,Decreasing Batt Cap - High LFP Chemistry,Cobalt,All Material is Recycled in NA,0.051909979290426574
2033,Decreasing Batt Cap - High LFP Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.06397195897754669
2033,Decreasing Batt Cap - High LFP Chemistry,Cobalt,All Material is Recycled in NA,0.06397195897754669
2034,Decreasing Batt Cap - High LFP Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.08226259987547715
2034,Decreasing Batt Cap - High LFP Chemistry,Cobalt,All Material is Recycled in NA,0.08226259987547715
2035,Decreasing Batt Cap - High LFP Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.10780679172921123
2035,Decreasing Batt Cap - High LFP Chemistry,Cobalt,All Material is Recycled in NA,0.10780679172921123
2036,Decreasing Batt Cap - High LFP Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.1427251963122736
2036,Decreasing Batt Cap - High LFP Chemistry,Cobalt,All Material is Recycled in NA,0.1427251963122736
2037,Decreasing Batt Cap - High LFP Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.18898192362695018
2037,Decreasing Batt Cap - High LFP Chemistry,Cobalt,All Material is Recycled in NA,0.18898192362695018
2038,Decreasing Batt Cap - High LFP Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.2199655766749998
2038,Decreasing Batt Cap - High LFP Chemistry,Cobalt,All Material is Recycled in NA,0.24428954562874322
2039,Decreasing Batt Cap - High LFP Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.2228614291309746
2039,Decreasing Batt Cap - High LFP Chemistry,Cobalt,All Material is Recycled in NA,0.33205146414441805
2040,Decreasing Batt Cap - High LFP Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.21399059208848117
2040,Decreasing Batt Cap - High LFP Chemistry,Cobalt,All Material is Recycled in NA,0.38791262631826406
2041,Decreasing Batt Cap - High LFP Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.20020059897607692
2041,Decreasing Batt Cap - High LFP Chemistry,Cobalt,All Material is Recycled in NA,0.4296792755174048
2042,Decreasing Batt Cap - High LFP Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.1845660385875385
2042,Decreasing Batt Cap - High LFP Chemistry,Cobalt,All Material is Recycled in NA,0.45933994362151964
2043,Decreasing Batt Cap - High LFP Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.16890183997239303
2043,Decreasing Batt Cap - High LFP Chemistry,Cobalt,All Material is Recycled in NA,0.4841446757035663
