Year,State_Province,Add_LIB_proj_tonnes,Add_LIB_15_tonnes,Add_LIB_proj_LFP_tonnes,Add_LIB_15_LFP_tonnes,Tonnes_Scrap_proj_down,Tonnes_Scrap_15_down,Tonnes_Prod_proj_down,Tonnes_Prod_15_down,Tonnes_Scrap_proj_mid,Tonnes_Scrap_15_mid,Tonnes_Prod_proj_mid,Tonnes_Prod_15_mid,Cumulative_black_mass_cap,Cumulative_refining_cap,Recycle_Batt_15,Recycle_Batt_15_LFP,Recycle_Batt_Proj,Recycle_Batt_Proj_LFP,Country
2050,IL,278061.8252389031,153243.60349998722,294589.71737711906,162196.5769622698,3142.0713126364826,2223.6176843477556,77276.12333705976,42335.24774175309,29858.10069728517,23694.347792360524,557501.0548761776,305423.5157672919,24000,0,96393.38844056071,100612.46919026965,160318.68251739992,167576.2478811491,US
2050,IN,175011.32439040125,95964.31762327634,185496.6760330858,101614.82925248801,11770.199137136267,8329.671845566694,289476.3580206259,158587.83804060708,34522.59953954994,27395.93145858929,644595.1085601669,353137.4561193821,5,5,55180.6380096105,57600.76653079245,92218.52524434667,96404.08680151653,US
2050,KS,70911.30252282543,38810.40954699841,75143.24257782749,41084.83147390504,0,0,0,0,9952.70023242839,7898.115930786841,185833.68495872585,101807.8385890973,0,0,22959.72334357776,23959.49389656863,38384.46686034581,40116.24915653256,US
2050,KY,110264.47789282376,60537.062981144736,116834.07511625638,64080.39597874001,17909.806482027954,12674.620800782208,440473.9030212406,241310.9121279926,8625.673534771271,6845.0338066819295,161055.86029756238,88233.46011055098,270,270,34943.02140534287,36460.03052175684,58280.29920578613,60900.14449865132,US
2050,LA,104242.15786422961,57116.90471876845,110382.60087152854,60416.34410044749,0,0,0,0,0,0,0,0,0,0,33871.12205607023,35325.432896674,56645.566169709426,59167.27839702388,US
2050,MA,201917.31816261858,110869.31817636748,214093.207970112,117446.49226419229,3457.2210652939225,2446.6465380878362,85026.91850776685,46581.47309025092,0,0,0,0,30000,0,64569.45895801796,67472.44012373326,108166.13851380975,113189.29694088403,US
2050,MB,35657.51664768241,18985.039205331086,38084.77812498953,20271.52270807901,0,0,0,0,0,0,0,0,0,0,10070.813075542233,10611.506665071342,17397.496148744616,18349.758406607365,CA
2050,MD,171618.69280017482,94805.66237681304,181925.7652576722,100411.09443702942,0,0,0,0,66.35133488285594,52.65410620524562,1238.8912330581722,678.7189239273154,0,0,55559.72673500652,58037.73384309717,92365.00968281367,96617.34313536003,US
2050,ME,36236.71562755065,19698.424285021487,38439.21037690084,20875.261179953173,0,0,0,0,0,0,0,0,0,0,11811.72809264313,12342.502869395223,19916.831605855008,20842.936839696642,US
2050,MI,234706.73750554046,127897.09087123506,248692.01869094186,135372.50821875202,63847.517487035846,45184.35606948326,1570266.2814337218,860260.7011619711,53588.65561813859,42526.08887666661,1000590.5043794326,548167.3389098961,22680,0,76501.99783445788,79842.61745943764,128741.72926375095,134573.76660912647,US
