State_Province,Year,Cumulative_black_mass_cap,Delay_Cumulative_black_mass_cap,Cumulative_refining_cap,Delay_Cumulative_refining_cap
OK,2033,45359,45359,0,0
OK,2034,45359,45359,0,0
OK,2035,45359,45359,0,0
OK,2036,45359,45359,0,0
OK,2037,45359,45359,0,0
OK,2038,45359,45359,0,0
OK,2039,45359,45359,0,0
OK,2040,45359,45359,0,0
OK,2041,45359,45359,0,0
OK,2042,45359,45359,0,0
OK,2043,45359,45359,0,0
OK,2044,45359,45359,0,0
OK,2045,45359,45359,0,0
OK,2046,45359,45359,0,0
OK,2047,45359,45359,0,0
OK,2048,45359,45359,0,0
OK,2049,45359,45359,0,0
OK,2050,45359,45359,0,0
ON,2025,20000,20000,2500,2500
ON,2026,20000,20000,2500,2500
ON,2027,20000,20000,2500,2500
ON,2028,20000,20000,2500,2500
ON,2029,38000,38000,2500,2500
ON,2030,68000,38000,32500,2500
ON,2031,68000,38000,32500,2500
ON,2032,68000,38000,32500,2500
ON,2033,68000,38000,32500,2500
ON,2034,68000,38000,32500,2500
ON,2035,68000,68000,32500,32500
ON,2036,68000,68000,32500,32500
ON,2037,68000,68000,32500,32500
ON,2038,68000,68000,32500,32500
ON,2039,68000,68000,32500,32500
ON,2040,68000,68000,32500,32500
ON,2041,68000,68000,32500,32500
ON,2042,68000,68000,32500,32500
ON,2043,68000,68000,32500,32500
ON,2044,68000,68000,32500,32500
ON,2045,68000,68000,32500,32500
ON,2046,68000,68000,32500,32500
ON,2047,68000,68000,32500,32500
ON,2048,68000,68000,32500,32500
ON,2049,68000,68000,32500,32500
ON,2050,68000,68000,32500,32500
PA,2025,15000,15000,0,0
PA,2026,15000,15000,20000,20000
PA,2027,15000,15000,20000,20000
PA,2028,15000,15000,20000,20000
PA,2029,15000,15000,20000,20000
PA,2030,15000,15000,20000,20000
PA,2031,15000,15000,20000,20000
PA,2032,15000,15000,20000,20000
PA,2033,15000,15000,20000,20000
PA,2034,15000,15000,20000,20000
PA,2035,15000,15000,20000,20000
PA,2036,15000,15000,20000,20000
PA,2037,15000,15000,20000,20000
PA,2038,15000,15000,20000,20000
PA,2039,15000,15000,20000,20000
PA,2040,15000,15000,20000,20000
PA,2041,15000,15000,20000,20000
PA,2042,15000,15000,20000,20000
PA,2043,15000,15000,20000,20000
PA,2044,15000,15000,20000,20000
PA,2045,15000,15000,20000,20000
PA,2046,15000,15000,20000,20000
PA,2047,15000,15000,20000,20000
PA,2048,15000,15000,20000,20000
PA,2049,15000,15000,20000,20000
PA,2050,15000,15000,20000,20000
SC,2025,21840,21840,20040,20040
SC,2026,21840,21840,20040,20040
SC,2027,21840,21840,20040,20040
SC,2028,21840,21840,20040,20040
SC,2029,21840,21840,20040,20040
SC,2030,21840,21840,56445.69026,56445.69026
SC,2031,21840,21840,56445.69026,56445.69026
SC,2032,21840,21840,56445.69026,56445.69026
SC,2033,21840,21840,56445.69026,56445.69026
SC,2034,21840,21840,56445.69026,56445.69026
SC,2035,21840,21840,56445.69026,56445.69026
SC,2036,21840,21840,56445.69026,56445.69026
SC,2037,21840,21840,56445.69026,56445.69026
SC,2038,21840,21840,56445.69026,56445.69026
SC,2039,21840,21840,56445.69026,56445.69026
SC,2040,21840,21840,56445.69026,56445.69026
SC,2041,21840,21840,56445.69026,56445.69026
SC,2042,21840,21840,56445.69026,56445.69026
SC,2043,21840,21840,56445.69026,56445.69026
SC,2044,21840,21840,56445.69026,56445.69026
SC,2045,21840,21840,56445.69026,56445.69026
SC,2046,21840,21840,56445.69026,56445.69026
SC,2047,21840,21840,56445.69026,56445.69026
SC,2048,21840,21840,56445.69026,56445.69026
SC,2049,21840,21840,56445.69026,56445.69026
SC,2050,21840,21840,56445.69026,56445.69026
TX,2025,10000,10000,10000,10000
TX,2026,30000,10000,30000,10000
TX,2027,49000,10000,90360.504704,51360.504704000006
TX,2028,49000,10000,90360.504704,51360.504704000006
TX,2029,49000,10000,90360.504704,51360.504704000006
TX,2030,49000,10000,363403.18170400005,324403.18170400005
TX,2031,49000,30000,363403.18170400005,344403.18170400005
TX,2032,49000,49000,363403.18170400005,363403.18170400005
TX,2033,49000,49000,363403.18170400005,363403.18170400005
TX,2034,49000,49000,363403.18170400005,363403.18170400005
TX,2035,49000,49000,363403.18170400005,363403.18170400005
TX,2036,49000,49000,363403.18170400005,363403.18170400005
TX,2037,49000,49000,363403.18170400005,363403.18170400005
TX,2038,49000,49000,363403.18170400005,363403.18170400005
TX,2039,49000,49000,363403.18170400005,363403.18170400005
TX,2040,49000,49000,363403.18170400005,363403.18170400005
TX,2041,49000,49000,363403.18170400005,363403.18170400005
TX,2042,49000,49000,363403.18170400005,363403.18170400005
TX,2043,49000,49000,363403.18170400005,363403.18170400005
TX,2044,49000,49000,363403.18170400005,363403.18170400005
TX,2045,49000,49000,363403.18170400005,363403.18170400005
TX,2046,49000,49000,363403.18170400005,363403.18170400005
TX,2047,49000,49000,363403.18170400005,363403.18170400005
TX,2048,49000,49000,363403.18170400005,363403.18170400005
TX,2049,49000,49000,363403.18170400005,363403.18170400005
TX,2050,49000,49000,363403.18170400005,363403.18170400005
