Year,State_Province,Origin,Metric Tonnes (millions)
2050,NV,Cell Manufacturing,0.06411262131076041
2050,NV,End of Life Batteries,0.05157787234168509
2050,NV,Black Mass,0.216075
2050,NV,Refining,0.216075
2050,NY,LIB Demand,0.3979263545752604
2050,NY,Pack Manufacturing,0.2511474008454442
2050,NY,Cell Manufacturing,0.0034069508909099744
2050,NY,End of Life Batteries,0.2217315380712517
2050,NY,Black Mass,0.01012
2050,NY,Refining,1.2e-4
2050,OH,LIB Demand,0.28529756931290595
2050,OH,Pack Manufacturing,0.7127176855377023
2050,OH,Cell Manufacturing,0.5079454055538506
2050,OH,End of Life Batteries,0.1565059820437791
2050,OH,Black Mass,0.0176
2050,OH,Refining,0.05400569026
2050,OK,LIB Demand,0.12263818754320789
2050,OK,Pack Manufacturing,0
2050,OK,Cell Manufacturing,0
2050,OK,End of Life Batteries,0.0643657162372711
2050,OK,Black Mass,0.045359
2050,OK,Refining,0
2050,ON,LIB Demand,0.3901174299158621
2050,ON,Pack Manufacturing,0.5458864610092298
2050,ON,Cell Manufacturing,1.093321513173837
2050,ON,End of Life Batteries,0.19236205407131965
2050,ON,Black Mass,0.068
2050,ON,Refining,0.0325
2050,OR,LIB Demand,0.12941294146873908
2050,OR,Pack Manufacturing,0
2050,OR,Cell Manufacturing,0
2050,OR,End of Life Batteries,0.06456116099212814
2050,OR,Black Mass,0
2050,OR,Refining,0
2050,PA,LIB Demand,0.2880872002242131
2050,PA,Pack Manufacturing,0
2050,PA,Cell Manufacturing,4.336119315703603e-4
2050,PA,End of Life Batteries,0.15837374372203225
2050,PA,Black Mass,0.015
2050,PA,Refining,0.02
2050,PE,LIB Demand,0.004498500068161574
2050,PE,Pack Manufacturing,0
2050,PE,Cell Manufacturing,0
2050,PE,End of Life Batteries,0.0021830166313308143
2050,PE,Black Mass,0
2050,PE,Refining,0
2050,QC,LIB Demand,0.20660681797106192
2050,QC,Pack Manufacturing,0.03863806166852988
2050,QC,Cell Manufacturing,0.0012388912330581721
2050,QC,End of Life Batteries,0.10984139015620555
2050,QC,Black Mass,0
2050,QC,Refining,0
2050,RI,LIB Demand,0.027309436712496072
2050,RI,Pack Manufacturing,0
2050,RI,Cell Manufacturing,0
2050,RI,End of Life Batteries,0.014790372430455213
2050,RI,Black Mass,0
2050,RI,Refining,0
2050,SC,LIB Demand,0.16880341774751706
2050,SC,Pack Manufacturing,0.04605656950888762
2050,SC,Cell Manufacturing,0.04336119315703602
2050,SC,End of Life Batteries,0.0829546057573358
2050,SC,Black Mass,0.02184
2050,SC,Refining,0.05644569026
2050,SD,LIB Demand,0.028066589764759658
2050,SD,Pack Manufacturing,0
2050,SD,Cell Manufacturing,0
2050,SD,End of Life Batteries,0.013866536630996771
2050,SD,Black Mass,0
2050,SD,Refining,0
2050,SK,LIB Demand,0.0372083466149866
2050,SK,Pack Manufacturing,0
2050,SK,Cell Manufacturing,0
2050,SK,End of Life Batteries,0.017947383874163027
2050,SK,Black Mass,0
2050,SK,Refining,0
2050,TN,LIB Demand,0.21137334250801063
2050,TN,Pack Manufacturing,1.4079709672012288
2050,TN,Cell Manufacturing,0.5946677918679226
2050,TN,End of Life Batteries,0.10590880720117204
2050,TN,Black Mass,0
2050,TN,Refining,0
2050,TX,LIB Demand,1.0679785298541444
2050,TX,Pack Manufacturing,0.8113992950391276
2050,TX,Cell Manufacturing,0.06194456165290861
2050,TX,End of Life Batteries,0.5137886031887479
2050,TX,Black Mass,0.049
2050,TX,Refining,0.36340318170400004
2050,UT,LIB Demand,0.12963290438589395
2050,UT,Pack Manufacturing,0
2050,UT,Cell Manufacturing,0
2050,UT,End of Life Batteries,0.0601809198239721
2050,UT,Black Mass,0
2050,UT,Refining,0
2050,VA,LIB Demand,0.2863943510012814
2050,VA,Pack Manufacturing,0.015455224667411952
2050,VA,Cell Manufacturing,0
2050,VA,End of Life Batteries,0.14579138775852388
2050,VA,Black Mass,0
2050,VA,Refining,0
2050,VT,LIB Demand,0.018432401626358202
2050,VT,Pack Manufacturing,0
2050,VT,Cell Manufacturing,0
2050,VT,End of Life Batteries,0.01025914298678597
2050,VT,Black Mass,0
2050,VT,Refining,0
2050,WA,LIB Demand,0.28657868263656633
2050,WA,Pack Manufacturing,0
2050,WA,Cell Manufacturing,0
2050,WA,End of Life Batteries,0.13865963075788926
2050,WA,Black Mass,0
2050,WA,Refining,0
2050,WI,LIB Demand,0.15405471575649438
2050,WI,Pack Manufacturing,0
2050,WI,Cell Manufacturing,0
2050,WI,End of Life Batteries,0.08192997451182778
2050,WI,Black Mass,0
2050,WI,Refining,0
2050,WV,LIB Demand,0.03501580738216578
2050,WV,Pack Manufacturing,0
2050,WV,Cell Manufacturing,0.09291684247936292
2050,WV,End of Life Batteries,0.020405805317071157
2050,WV,Black Mass,0
2050,WV,Refining,0
2050,WY,LIB Demand,0.015238509538963416
2050,WY,Pack Manufacturing,0
2050,WY,Cell Manufacturing,0
2050,WY,End of Life Batteries,0.008149654624901373
2050,WY,Black Mass,0
2050,WY,Refining,0
2050,YT,LIB Demand,0.0015368935209199627
2050,YT,Pack Manufacturing,0
2050,YT,Cell Manufacturing,0
2050,YT,End of Life Batteries,7.4290115838001e-4
2050,YT,Black Mass,0
2050,YT,Refining,0
