Year,Scenario,Recycling Step,Tonne,Scenario_Recycling
2028,Decreasing Batt Cap - High LFP Chemistry,Refining,0,Decreasing Batt Cap - High LFP Chemistry - Refining
2029,Decreasing Batt Cap - High LFP Chemistry,Black Mass,0,Decreasing Batt Cap - High LFP Chemistry - Black Mass
2029,Decreasing Batt Cap - High LFP Chemistry,Refining,0,Decreasing Batt Cap - High LFP Chemistry - Refining
2030,Decreasing Batt Cap - High LFP Chemistry,Black Mass,0,Decreasing Batt Cap - High LFP Chemistry - Black Mass
2030,Decreasing Batt Cap - High LFP Chemistry,Refining,0,Decreasing Batt Cap - High LFP Chemistry - Refining
2031,Decreasing Batt Cap - High LFP Chemistry,Black Mass,0,Decreasing Batt Cap - High LFP Chemistry - Black Mass
2031,Decreasing Batt Cap - High LFP Chemistry,Refining,0,Decreasing Batt Cap - High LFP Chemistry - Refining
2032,Decreasing Batt Cap - High LFP Chemistry,Black Mass,0,Decreasing Batt Cap - High LFP Chemistry - Black Mass
2032,Decreasing Batt Cap - High LFP Chemistry,Refining,0,Decreasing Batt Cap - High LFP Chemistry - Refining
2033,Decreasing Batt Cap - High LFP Chemistry,Black Mass,0,Decreasing Batt Cap - High LFP Chemistry - Black Mass
2033,Decreasing Batt Cap - High LFP Chemistry,Refining,0,Decreasing Batt Cap - High LFP Chemistry - Refining
2034,Decreasing Batt Cap - High LFP Chemistry,Black Mass,0,Decreasing Batt Cap - High LFP Chemistry - Black Mass
2034,Decreasing Batt Cap - High LFP Chemistry,Refining,0,Decreasing Batt Cap - High LFP Chemistry - Refining
2035,Decreasing Batt Cap - High LFP Chemistry,Black Mass,0,Decreasing Batt Cap - High LFP Chemistry - Black Mass
2035,Decreasing Batt Cap - High LFP Chemistry,Refining,0,Decreasing Batt Cap - High LFP Chemistry - Refining
2036,Decreasing Batt Cap - High LFP Chemistry,Black Mass,0,Decreasing Batt Cap - High LFP Chemistry - Black Mass
2036,Decreasing Batt Cap - High LFP Chemistry,Refining,0,Decreasing Batt Cap - High LFP Chemistry - Refining
2037,Decreasing Batt Cap - High LFP Chemistry,Black Mass,0.06714721845479717,Decreasing Batt Cap - High LFP Chemistry - Black Mass
2037,Decreasing Batt Cap - High LFP Chemistry,Refining,0,Decreasing Batt Cap - High LFP Chemistry - Refining
2038,Decreasing Batt Cap - High LFP Chemistry,Black Mass,0.36214691188822196,Decreasing Batt Cap - High LFP Chemistry - Black Mass
2038,Decreasing Batt Cap - High LFP Chemistry,Refining,0,Decreasing Batt Cap - High LFP Chemistry - Refining
2039,Decreasing Batt Cap - High LFP Chemistry,Black Mass,0.8450231877141716,Decreasing Batt Cap - High LFP Chemistry - Black Mass
