Year,Scenario,Mineral,Recycling Scenario,Tonne
2026,Increasing Batt Cap - High LFP Chemistry,Lithium,Recycling Limited to NA 2025 Online or Planned,0
2026,Increasing Batt Cap - High LFP Chemistry,Lithium,All Material is Recycled in NA,135.63001810380058
2026,Increasing Batt Cap - High LFP Chemistry,Manganese,Recycling Limited to NA 2025 Online or Planned,0
2026,Increasing Batt Cap - High LFP Chemistry,Manganese,All Material is Recycled in NA,84.62099972477749
2026,Increasing Batt Cap - High LFP Chemistry,Nickel,Recycling Limited to NA 2025 Online or Planned,805.3086578089486
2026,Increasing Batt Cap - High LFP Chemistry,Nickel,All Material is Recycled in NA,805.3086578089486
2027,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,335.6949851491513
2027,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,335.6949851491513
2027,Decreasing Batt Cap - Benchmark Chemistry,Copper,Recycling Limited to NA 2025 Online or Planned,1186.6302602356477
2027,Decreasing Batt Cap - Benchmark Chemistry,Copper,All Material is Recycled in NA,1252.554163582072
2027,Decreasing Batt Cap - Benchmark Chemistry,Graphite,Recycling Limited to NA 2025 Online or Planned,0
2027,Decreasing Batt Cap - Benchmark Chemistry,Graphite,All Material is Recycled in NA,2608.4366776360234
2027,Decreasing Batt Cap - Benchmark Chemistry,Lithium,Recycling Limited to NA 2025 Online or Planned,0
2027,Decreasing Batt Cap - Benchmark Chemistry,Lithium,All Material is Recycled in NA,257.8344745652694
2027,Decreasing Batt Cap - Benchmark Chemistry,Manganese,Recycling Limited to NA 2025 Online or Planned,0
2027,Decreasing Batt Cap - Benchmark Chemistry,Manganese,All Material is Recycled in NA,158.98394204706693
2027,Decreasing Batt Cap - Benchmark Chemistry,Nickel,Recycling Limited to NA 2025 Online or Planned,1387.71970393902
2027,Decreasing Batt Cap - Benchmark Chemistry,Nickel,All Material is Recycled in NA,1387.71970393902
2027,Decreasing Batt Cap - High LFP Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,335.2719524521841
2027,Decreasing Batt Cap - High LFP Chemistry,Cobalt,All Material is Recycled in NA,335.2719524521841
2027,Decreasing Batt Cap - High LFP Chemistry,Copper,Recycling Limited to NA 2025 Online or Planned,1187.1421473329083
2027,Decreasing Batt Cap - High LFP Chemistry,Copper,All Material is Recycled in NA,1253.0944888514027
2027,Decreasing Batt Cap - High LFP Chemistry,Graphite,Recycling Limited to NA 2025 Online or Planned,0
2027,Decreasing Batt Cap - High LFP Chemistry,Graphite,All Material is Recycled in NA,2608.620209337869
2027,Decreasing Batt Cap - High LFP Chemistry,Lithium,Recycling Limited to NA 2025 Online or Planned,0
2027,Decreasing Batt Cap - High LFP Chemistry,Lithium,All Material is Recycled in NA,257.79528159913934
2027,Decreasing Batt Cap - High LFP Chemistry,Manganese,Recycling Limited to NA 2025 Online or Planned,0
2027,Decreasing Batt Cap - High LFP Chemistry,Manganese,All Material is Recycled in NA,158.76758787973623
2027,Decreasing Batt Cap - High LFP Chemistry,Nickel,Recycling Limited to NA 2025 Online or Planned,1385.684658823868
2027,Decreasing Batt Cap - High LFP Chemistry,Nickel,All Material is Recycled in NA,1385.684658823868
2027,Increasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,338.3331045169031
2027,Increasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,338.3331045169031
2027,Increasing Batt Cap - Benchmark Chemistry,Copper,Recycling Limited to NA 2025 Online or Planned,1221.7826756808493
2027,Increasing Batt Cap - Benchmark Chemistry,Copper,All Material is Recycled in NA,1289.6594909964524
2027,Increasing Batt Cap - Benchmark Chemistry,Graphite,Recycling Limited to NA 2025 Online or Planned,0
2027,Increasing Batt Cap - Benchmark Chemistry,Graphite,All Material is Recycled in NA,2676.671708155098
2027,Increasing Batt Cap - Benchmark Chemistry,Lithium,Recycling Limited to NA 2025 Online or Planned,0
2027,Increasing Batt Cap - Benchmark Chemistry,Lithium,All Material is Recycled in NA,263.81809418142643
2027,Increasing Batt Cap - Benchmark Chemistry,Manganese,Recycling Limited to NA 2025 Online or Planned,0
2027,Increasing Batt Cap - Benchmark Chemistry,Manganese,All Material is Recycled in NA,160.60398413574313
2027,Increasing Batt Cap - Benchmark Chemistry,Nickel,Recycling Limited to NA 2025 Online or Planned,1402.5259562861095
2027,Increasing Batt Cap - Benchmark Chemistry,Nickel,All Material is Recycled in NA,1402.5259562861095
2027,Increasing Batt Cap - High LFP Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,337.8575051994373
2027,Increasing Batt Cap - High LFP Chemistry,Cobalt,All Material is Recycled in NA,337.8575051994373
2027,Increasing Batt Cap - High LFP Chemistry,Copper,Recycling Limited to NA 2025 Online or Planned,1222.3581595182839
2027,Increasing Batt Cap - High LFP Chemistry,Copper,All Material is Recycled in NA,1290.2669461581886
2027,Increasing Batt Cap - High LFP Chemistry,Graphite,Recycling Limited to NA 2025 Online or Planned,0
2027,Increasing Batt Cap - High LFP Chemistry,Graphite,All Material is Recycled in NA,2676.878040966625
2027,Increasing Batt Cap - High LFP Chemistry,Lithium,Recycling Limited to NA 2025 Online or Planned,0
2027,Increasing Batt Cap - High LFP Chemistry,Lithium,All Material is Recycled in NA,263.77403073173735
2027,Increasing Batt Cap - High LFP Chemistry,Manganese,Recycling Limited to NA 2025 Online or Planned,0
2027,Increasing Batt Cap - High LFP Chemistry,Manganese,All Material is Recycled in NA,160.36076441155845
2027,Increasing Batt Cap - High LFP Chemistry,Nickel,Recycling Limited to NA 2025 Online or Planned,1400.2380625784085
2027,Increasing Batt Cap - High LFP Chemistry,Nickel,All Material is Recycled in NA,1400.2380625784085
2028,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,528.1370315264159
2028,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,528.1370315264159
2028,Decreasing Batt Cap - Benchmark Chemistry,Copper,Recycling Limited to NA 2025 Online or Planned,2050.549922153483
2028,Decreasing Batt Cap - Benchmark Chemistry,Copper,All Material is Recycled in NA,2164.4693622731197
2028,Decreasing Batt Cap - Benchmark Chemistry,Graphite,Recycling Limited to NA 2025 Online or Planned,0
2028,Decreasing Batt Cap - Benchmark Chemistry,Graphite,All Material is Recycled in NA,4456.107294050222
2028,Decreasing Batt Cap - Benchmark Chemistry,Lithium,Recycling Limited to NA 2025 Online or Planned,0
2028,Decreasing Batt Cap - Benchmark Chemistry,Lithium,All Material is Recycled in NA,434.45842017856427
2028,Decreasing Batt Cap - Benchmark Chemistry,Manganese,Recycling Limited to NA 2025 Online or Planned,0
2028,Decreasing Batt Cap - Benchmark Chemistry,Manganese,All Material is Recycled in NA,248.0385840199611
2028,Decreasing Batt Cap - Benchmark Chemistry,Nickel,Recycling Limited to NA 2025 Online or Planned,2231.5192401603867
2028,Decreasing Batt Cap - Benchmark Chemistry,Nickel,All Material is Recycled in NA,2231.5192401603867
2028,Decreasing Batt Cap - High LFP Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,526.7874405711271
2028,Decreasing Batt Cap - High LFP Chemistry,Cobalt,All Material is Recycled in NA,526.7874405711271
2028,Decreasing Batt Cap - High LFP Chemistry,Copper,Recycling Limited to NA 2025 Online or Planned,2052.1961075524564
2028,Decreasing Batt Cap - High LFP Chemistry,Copper,All Material is Recycled in NA,2166.207002416481
2028,Decreasing Batt Cap - High LFP Chemistry,Graphite,Recycling Limited to NA 2025 Online or Planned,0
2028,Decreasing Batt Cap - High LFP Chemistry,Graphite,All Material is Recycled in NA,4456.697124657133
2028,Decreasing Batt Cap - High LFP Chemistry,Lithium,Recycling Limited to NA 2025 Online or Planned,0
2028,Decreasing Batt Cap - High LFP Chemistry,Lithium,All Material is Recycled in NA,434.33355408218534
2028,Decreasing Batt Cap - High LFP Chemistry,Manganese,Recycling Limited to NA 2025 Online or Planned,0
2028,Decreasing Batt Cap - High LFP Chemistry,Manganese,All Material is Recycled in NA,247.33856528734688
2028,Decreasing Batt Cap - High LFP Chemistry,Nickel,Recycling Limited to NA 2025 Online or Planned,2224.9821377745716
2028,Decreasing Batt Cap - High LFP Chemistry,Nickel,All Material is Recycled in NA,2224.9821377745716
2028,Increasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,534.4722445268952
2028,Increasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,534.4722445268952
2028,Increasing Batt Cap - Benchmark Chemistry,Copper,Recycling Limited to NA 2025 Online or Planned,2139.6540392782886
2028,Increasing Batt Cap - Benchmark Chemistry,Copper,All Material is Recycled in NA,2258.523708127083
2028,Increasing Batt Cap - Benchmark Chemistry,Graphite,Recycling Limited to NA 2025 Online or Planned,0
2028,Increasing Batt Cap - Benchmark Chemistry,Graphite,All Material is Recycled in NA,4628.572292027988
2028,Increasing Batt Cap - Benchmark Chemistry,Lithium,Recycling Limited to NA 2025 Online or Planned,0
2028,Increasing Batt Cap - Benchmark Chemistry,Lithium,All Material is Recycled in NA,449.54051233750283
