"State","Segment","Year","LIB_recycling","LIB_available","LIB_reuse_EV","LIB_new_add","EV_stock","LIB_recycling_vector","LIB_available_vector","LIB_reuse_vector","LIB_newadd_vector","EV_stock_vector"
"Alabama","Car",2030,368,129,58,303,121115,"16|21|27|33|40|7|12|16|17|15|29|45|25|25|19|21|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|6|8|8|8|9|2|4|4|4|4|7|21|12|12|9|11|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|7|6|7|8|9|2|2|7|3|7|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|16|21|27|33|40|7|12|16|10|9|21|35|15|21|11|9|0|0|0|0|0|0|0|0|0|0|0|0|0|0","27850|24581|20755|17559|13374|10332|1049|1250|1115|773|451|594|644|266|225|145|152|0|0|0|0|0|0|0|0|0|0|0|0|0|0"
"Alabama","Car",2031,517,175,92,412,151055,"18|25|33|44|51|62|10|18|25|25|21|39|57|30|26|17|16|0|0|0|0|0|0|0|0|0|0|0|0|0","0|9|8|10|11|12|14|4|4|6|6|5|19|26|13|12|8|8|0|0|0|0|0|0|0|0|0|0|0|0|0","2|6|10|10|12|15|12|3|4|10|6|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2","0|18|24|33|43|51|62|10|18|18|15|11|26|40|15|16|8|4|0|0|0|0|0|0|0|0|0|0|0|0|0","30297|27843|24571|20742|17542|13351|10307|1045|1242|1098|752|431|562|598|234|198|120|120|0|0|0|0|0|0|0|0|0|0|0|0|0"
"Alabama","Car",2032,719,246,134,565,184006,"20|28|39|52|67|81|95|16|27|36|36|29|51|65|30|23|13|11|0|0|0|0|0|0|0|0|0|0|0|0","0|10|12|13|15|17|20|22|4|6|8|9|15|24|31|15|12|7|6|0|0|0|0|0|0|0|0|0|0|0|0","2|9|11|12|14|16|26|13|5|10|14|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2","0|20|28|39|51|67|81|95|14|19|25|23|14|31|26|14|12|5|1|0|0|0|0|0|0|0|0|0|0|0|0","33456|30290|27832|24555|20722|17514|13320|10266|1038|1224|1072|724|402|516|535|196|165|91|88|0|0|0|0|0|0|0|0|0|0|0|0"
"Alabama","Car",2033,1000,320,195,779,221178,"21|31|44|61|80|106|124|148|22|40|51|49|38|58|66|27|18|9|7|0|0|0|0|0|0|0|0|0|0|0","0|11|14|17|17|20|25|27|33|6|9|11|24|18|27|31|13|9|5|3|0|0|0|0|0|0|0|0|0|0|0","4|11|12|15|18|21|24|46|14|9|12|5|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|4","0|21|31|44|60|80|105|123|147|14|28|35|29|14|13|19|9|7|0|0|0|0|0|0|0|0|0|0|0|0|0","37870|33447|30278|27815|24530|20689|17471|13267|10205|1020|1195|1034|681|361|454|452|154|130|66|60|0|0|0|0|0|0|0|0|0|0|0"
"Alabama","Car",2034,1392,433,274,1076,259660,"25|34|48|69|95|124|163|189|222|33|57|69|62|42|58|59|21|12|6|4|0|0|0|0|0|0|0|0|0|0","0|12|16|19|22|26|30|37|42|49|8|12|30|30|20|28|30|11|6|3|2|0|0|0|0|0|0|0|0|0|0","0|17|15|17|22|25|30|39|72|18|15|4|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|24|33|48|68|94|124|162|189|207|21|39|38|6|3|7|13|0|0|0|0|0|0|0|0|0|0|0|0|0|0","39452|37860|33433|30260|27786|24491|20638|17403|13187|10096|994|1151|976|622|304|370|349|112|95|44|38|0|0|0|0|0|0|0|0|0|0"
"Alabama","Car",2035,1955,579,389,1509,298917,"26|39|53|75|108|148|193|249|287|327|48|77|86|71|44|52|47|14|8|2|1|0|0|0|0|0|0|0|0|0","0|12|16|21|26|31|36|44|55|61|72|10|35|39|34|21|27|24|8|4|2|1|0|0|0|0|0|0|0|0|0","0|13|21|21|22|30|42|48|72|96|20|4|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|25|38|52|75|107|147|192|248|270|304|28|22|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","40553|39442|37845|33411|30230|27743|24431|20559|17298|13049|9931|953|1090|896|539|233|272|250|76|66|29|23|0|0|0|0|0|0|0|0|0"
"Alabama","Car",2036,2736,777,552,2113,338589,"26|40|60|83|118|167|228|295|376|421|467|64|97|100|73|38|40|31|8|4|0|0|0|0|0|0|0|0|0|0","0|14|18|24|29|35|44|52|66|81|90|104|30|44|46|35|20|21|17|5|2|0|0|0|0|0|0|0|0|0|0","0|14|18|26|30|32|41|84|78|100|123|6|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|25|40|60|82|117|166|227|293|358|397|348|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","41387|40542|39426|37822|33378|30183|27673|24337|20435|17121|12839|9685|894|1003|787|429|167|187|169|50|44|18|14|0|0|0|0|0|0|0|0"
"Alabama","Car",2037,3830,1168,679,3041,378343,"27|42|63|94|130|183|259|349|445|555|603|639|82|112|102|65|29|27|19|4|1|0|0|0|0|0|0|0|0|0","0|20|21|25|33|40|48|62|76|96|119|130|283|37|52|49|32|16|15|10|3|1|0|0|0|0|0|0|0|0|0","0|22|22|26|36|41|48|77|131|122|139|15|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|26|41|62|93|129|181|257|347|418|523|560|404|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","42075|41376|40525|39402|37784|33326|30108|27567|24190|20221|16848|12525|9321|812|885|648|310|112|123|109|31|28|11|9|0|0|0|0|0|0|0"
"Alabama","Car",2038,5265,1745,832,4258,417938,"28|43|66|99|148|203|282|397|527|656|793|822|804|93|114|91|50|20|17|10|2|0|0|0|0|0|0|0|0|0","0|37|32|32|37|45|56|69|89|114|145|172|361|360|43|54|46|26|11|10|5|1|0|0|0|0|0|0|0|0|0","0|38|31|32|38|51|58|71|150|174|175|14|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|27|42|64|97|146|200|280|392|482|612|737|745|434|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","42800|42064|41360|40500|39362|37724|33243|29993|27399|23923|19893|16437|12058|8799|701|731|476|209|70|77|69|19|18|7|5|0|0|0|0|0|0"
"Alabama","Car",2039,7050,2553,1024,5752,457162,"29|45|68|103|155|230|312|433|597|777|939|1081|1034|919|95|102|71|34|12|9|5|0|0|0|0|0|0|0|0|0","0|68|55|46|47|54|66|79|99|131|170|208|479|461|422|46|51|37|18|7|6|3|0|0|0|0|0|0|0|0|0","0|67|54|47|48|54|73|84|150|208|230|9|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|27|42|65|100|152|226|309|427|522|708|861|979|916|418|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","43673|42788|42047|41333|40460|39300|37631|33115|29811|27074|23520|19397|15826|11388|8080|557|541|323|133|42|47|43|12|10|4|2|0|0|0|0|0"
"Alabama","Car",2040,9142,3607,1300,7418,495576,"32|47|70|106|161|241|355|480|650|881|1111|1282|1359|1186|940|85|78|48|19|5|4|2|0|0|0|0|0|0|0|0","0|117|94|77|67|68|76|94|114|146|193|248|583|611|542|447|42|41|26|12|4|3|2|0|0|0|0|0|0|0|0","0|117|96|78|66|69|78|127|152|225|274|18|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|28|43|66|101|156|235|349|471|524|767|997|1147|1203|1010|321|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","44564|43662|42772|42021|41291|40397|39203|37485|32914|29413|26582|22912|18667|14948|10462|7139|396|366|207|80|25|28|26|8|6|3|1|0|0|0|0"
"Alabama","Car",2041,11433,4914,1679,9130,531870,"33|49|73|110|167|250|372|544|722|959|1258|1515|1610|1556|1210|840|66|54|29|11|4|1|0|0|0|0|0|0|0|0","0|190|158|128|106|93|96|110|136|168|216|282|696|736|718|575|418|34|29|17|6|1|1|0|0|0|0|0|0|0|0","0|188|159|129|106|93|96|109|239|224|308|28|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|29|44|67|104|158|243|364|534|520|780|1089|1330|1410|1332|971|155|0|0|0|0|0|0|0|0|0|0|0|0|0|0","44671|44554|43645|42744|41979|41225|40298|39051|37259|32416|28823|25854|22021|17621|13740|9256|5994|261|232|125|47|14|17|15|4|4|1|1|0|0|0"
"Alabama","Car",2042,13791,6433,2208,10715,566742,"34|51|77|115|171|257|385|569|817|1065|1371|1715|1902|1842|1588|1083|651|44|33|15|5|1|0|0|0|0|0|0|0|0","0|281|246|205|166|140|126|133|154|193|249|314|801|876|858|758|538|340|24|18|9|3|1|0|0|0|0|0|0|0|0","0|280|247|206|167|138|125|132|155|400|324|34|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|29|45|69|105|162|248|374|556|522|790|1119|1459|1642|1562|1285|748|0|0|0|0|0|0|0|0|0|0|0|0|0|0","46102|44660|44535|43617|42701|41914|41124|40142|38815|36628|31695|27969|24801|20759|16185|12167|7789|4708|160|138|72|27|8|9|8|2|2|1|0|0|0"
"Alabama","Car",2043,16121,8093,2867,12107,599664,"36|53|80|119|177|266|398|588|856|1201|1519|1869|2152|2174|1878|1420|840|441|27|17|8|2|0|0|0|0|0|0|0|0","0|382|352|303|250|205|176|164|180|216|274|364|894|999|1016|902|708|438|240|15|10|4|1|0|0|0|0|0|0|0|0","0|382|350|303|252|205|175|165|180|216|613|26|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|30|45|69|107|164|252|381|571|453|824|1159|1518|1811|1821|1508|1044|350|0|0|0|0|0|0|0|0|0|0|0|0|0","47561|46091|44643|44506|43573|42634|41810|40965|39899|38066|35743|30677|26759|23329|19038|14322|10264|6153|3384|93|79|40|14|4|5|5|1|1|0|0|0"
"Alabama","Car",2044,18337,9830,3595,13336,630268,"38|56|82|123|184|273|408|604|884|1255|1705|2070|2343|2461|2218|1677|1101|568|262|14|7|3|1|0|0|0|0|0|0|0","0|486|461|414|353|292|242|214|212|242|300|380|1025|1099|1153|1066|839|576|310|149|9|5|2|1|0|0|0|0|0|0|0","0|485|461|414|352|291|242|215|213|243|354|325|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|31|46|70|110|168|256|387|582|373|761|1241|1602|1901|2019|1766|1233|675|115|0|0|0|0|0|0|0|0|0|0|0|0","48981|47550|46072|44614|44462|43505|42529|41648|40715|39037|37048|34523|29276|25101|21351|16827|12081|8151|4484|2181|51|43|22|8|3|3|3|1|1|0|0"
"Alabama","Car",2045,20405,11491,4394,14157,658430,"40|59|86|127|191|284|420|621|908|1296|1780|2303|2592|2677|2508|1980|1301|744|338|140|6|3|1|0|0|0|0|0|0|0","0|588|568|526|460|388|322|277|259|274|326|408|1033|1236|1259|1206|990|681|407|193|83|4|2|1|0|0|0|0|0|0|0","0|588|570|524|460|388|324|276|258|273|448|285|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|31|48|72|109|171|261|395|593|287|687|1200|1751|2032|2134|1968|1453|810|155|0|0|0|0|0|0|0|0|0|0|0|0","50178|48968|47531|46043|44568|44392|43398|42364|41395|39743|37896|35690|32882|27392|22908|18837|14185|9605|6008|3034|1343|27|22|11|4|1|2|1|0|0|0"
"Alabama","Car",2046,22325,13111,5177,14974,683970,"41|61|91|133|196|294|434|638|929|1330|1837|2410|2895|2959|2727|2239|1535|877|443|181|70|3|2|0|0|0|0|0|0|0","0|656|671|628|564|485|409|348|312|314|355|434|1110|1302|1402|1312|1120|804|481|253|106|42|2|1|0|0|0|0|0|0|0","0|655|672|628|563|486|409|347|314|314|425|364|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|32|49|74|113|171|266|403|602|236|611|1144|1740|2254|2306|2093|1624|969|287|0|0|0|0|0|0|0|0|0|0|0|0","51107|50165|48949|47500|45996|44498|44282|43230|42107|40351|38489|36415|33905|30716|24944|20159|15856|11287|7109|4083|1991|797|14|12|6|3|1|0|1|0|0"
"Alabama","Car",2047,24058,14632,5920,15665,706795,"42|63|94|140|204|299|448|656|952|1359|1880|2478|3025|3315|3014|2434|1736|1037|523|237|89|32|1|0|0|0|0|0|0|0","0|730|741|724|657|576|492|420|373|359|388|460|1150|1381|1522|1454|1217|908|568|298|139|54|20|1|0|0|0|0|0|0|0","2|728|742|724|656|575|491|420|372|360|422|426|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2","0|33|50|77|117|177|267|411|616|178|562|1085|1711|2279|2582|2274|1735|1092|419|0|0|0|0|0|0|0|0|0|0|0|0","51737|51094|50145|48918|47452|45923|44388|44111|42969|40982|39019|36899|34512|31598|27939|21909|16931|12606|8382|4837|2693|1275|459|7|6|3|1|0|0|0|0"
"Alabama","Car",2048,25601,16023,6617,16224,726937,"43|64|96|144|212|311|455|675|979|1390|1919|2534|3112|3462|3385|2690|1889|1172|617|280|116|41|15|0|0|0|0|0|0|0","0|797|815|791|740|654|566|487|431|408|426|488|1188|1425|1601|1608|1346|987|642|352|165|71|26|9|0|0|0|0|0|0|0","16|780|816|790|740|654|566|486|431|408|426|488|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|16","0|33|51|79|120|182|275|412|628|144|510|1049|1676|2278|2634|2562|1895|1170|526|0|0|0|0|0|0|0|0|0|0|0|0","52124|51724|51074|50113|48867|47377|45810|44216|43844|41783|39566|37350|34897|32093|28680|24523|18375|13437|9371|5718|3194|1733|801|259|3|3|1|0|0|0|0"
"Alabama","Car",2049,26924,17254,7235,16659,744504,"43|65|98|148|219|321|471|682|1004|1426|1962|2581|3180|3562|3532|3026|2086|1275|699|330|137|53|18|6|0|0|0|0|0|0","0|855|884|860|800|722|628|546|482|454|464|519|1229|1464|1649|1684|1502|1091|698|398|194|83|33|11|4|0|0|0|0|0|0","27|828|883|858|798|722|629|545|482|454|464|518|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|27","0|34|52|80|123|188|284|425|629|115|470|1012|1658|2271|2659|2629|2150|1287|565|28|0|0|0|0|0|0|0|0|0|0|0","52269|52111|51703|51041|50063|48791|47260|45633|43948|42603|40289|37818|35274|32392|29075|25127|20567|14571|9977|6419|3779|2060|1094|493|143|2|1|1|0|0|0"
"Alabama","Car",2050,28044,18316,7775,16985,759566,"44|67|101|151|225|332|486|707|1013|1460|2008|2634|3237|3637|3634|3157|2351|1408|759|374|162|63|25|7|2|0|0|0|0|0","0|904|941|920|858|770|682|594|528|491|500|550|1280|1501|1689|1733|1570|1224|771|432|220|98|39|15|5|1|0|0|0|0|0","35|869|941|921|858|772|681|593|527|492|501|550|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|35","0|34|53|81|125|192|293|439|649|77|440|988|1641|2270|2674|2668|2213|1478|638|32|0|0|0|0|0|0|0|0|0|0|0","52143|52256|52091|51670|50989|49983|48671|47077|45356|42665|41038|38461|35666|32699|29299|25433|21040|16327|10823|6836|4242|2440|1303|678|299|78|1|1|0|0|0"
"Alabama","SUV",2020,15,0,0,16,1357,"2|2|3|3|2|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|2|2|3|3|3|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","501|220|205|190|121|71|48|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0"
"Alabama","SUV",2021,22,0,0,23,2867,"3|2|3|4|4|3|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|3|2|3|5|4|3|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","1512|501|221|204|191|122|71|48|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0"
"Alabama","SUV",2022,42,0,0,41,5373,"9|5|3|5|6|5|5|4|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|9|4|3|5|6|5|5|4|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","2508|1511|500|220|205|190|120|70|47|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0"
"Alabama","SUV",2023,76,1,0,76,9619,"15|14|7|5|7|9|8|6|5|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|15|14|7|5|7|9|8|6|5|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","4251|2508|1511|499|220|205|189|119|70|46|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0"
"Alabama","SUV",2024,135,3,0,137,14611,"26|24|22|11|8|9|12|10|7|6|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|26|24|22|11|8|9|13|10|8|6|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","4998|4250|2507|1509|499|221|203|189|119|70|46|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0"
"Alabama","SUV",2025,222,9,0,223,26692,"31|40|36|34|17|11|13|15|12|8|5|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|2|2|2|2|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|30|40|36|33|16|11|14|17|12|8|6|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","12093|4997|4249|2505|1508|497|220|203|189|117|69|46|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0"
"Alabama","SUV",2026,394,13,5,385,42578,"75|48|63|56|50|24|15|18|19|14|8|4|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|2|2|2|2|2|1|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|2|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|73|48|61|56|50|23|14|18|18|13|7|4|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","15914|12090|4996|4245|2503|1506|496|219|203|186|114|66|43|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0"
"Alabama","SUV",2027,650,23,14,637,63766,"98|115|74|95|82|72|33|19|20|20|13|6|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|3|4|2|2|2|2|2|1|2|2|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|3|3|2|4|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|96|114|72|94|82|72|33|19|18|19|11|4|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","21240|15910|12085|4991|4241|2498|1503|493|218|198|180|110|61|40|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0"
