"State","Year","add_BEV","add_PHEV","add_ICE","ret_ICE","ret_BEV","ret_PHEV","Growth_from_pop","exp_ICE","exp_BEV","exp_PHEV","ret_EV","Demand_total","Export_All"
"Montana",2025,3906.62623306371,848.920815021986,42346.6355034387,42027.7504892967,3,1,5070.43206222763,3306.86183631205,0.236048453544108,0.0786828178480361,4,47102.1825515244,3307.17656758344
"Montana",2026,4966.43843348063,1077.53473017206,38828.8605734601,39784.401674885,13,5,5070.43206222778,3130.34883017808,1.02287663202447,0.393414089240181,18,44872.8337371127,3131.76512089934
"Montana",2027,6327.70226912014,1508.29574538971,35154.8931425448,37880.459094827,27,13,5070.43206222763,2980.54126295826,2.12443608189698,1.02287663202447,40,42990.8911570546,2983.68857567218
"Montana",2028,7680.15963264829,1532.96259097487,32209.2662746655,36285.9564360611,45,21,5070.43206222763,2855.08130070037,3.54072680316163,1.65233917480876,66,41422.3884982887,2860.27436667834
"Montana",2029,8925.22178908304,1925.91706375909,29297.5823407649,34974.2891313794,70,34,5070.43206222763,2751.87562108887,5.50779724936253,2.67521580683323,104,40148.721193607,2760.05863414507
"Montana",2030,10194.9696572423,2115.12571548474,26835.6575152127,33916.3208257121,109,50,5070.43206222763,2668.63169360506,8.57642714543594,3.93414089240181,159,39145.7528879397,2681.1422616429
"Montana",2031,11335.1610066181,2519.09338378826,23622.3844313406,33084.3943408134,159,68,4165.24448093348,2603.17337353082,12.5105680378377,5.35043161366646,227,37476.6388217469,2621.03437318232
"Montana",2032,12599.0538210224,2935.10849190642,21389.4727020646,32446.3905340599,226,86,4165.24448093348,2552.97343621768,17.7823168336562,6.76672233493111,312,36923.6350149934,2577.52247538627
"Montana",2033,14743.4847623132,3220.635604609,18631.472518676,31976.3484046648,329,125,4165.24448093348,2515.98919696958,25.8866470720039,9.83535223100452,454,36595.5928855983,2551.71119627259
"Montana",2034,15933.3256718679,3311.31260992758,17245.3277217996,31642.7215226616,501,181,4165.24448093348,2489.73849378372,39.4200917418661,14.2415900304945,682,36489.9660035951,2543.40017555608
"Montana",2035,17050.6017636627,3347.72240585275,16177.0305073457,31420.1101959274,740,250,4165.24448093364,2472.22280731138,58.2252852075467,19.670704462009,990,36575.3546768611,2550.11879698094
"Montana",2036,18103.8319651607,3365.92215710926,15369.2020363079,31278.7116776444,1049,346,4165.24448093348,2461.09717345334,82.5382759225899,27.2242549754205,1395,36838.9561585779,2570.85970435135
"Montana",2037,19163.8900832882,3377.11666322663,14818.5297199184,31187.2919854997,1544,463,4165.24448093348,2453.90401446859,121.486270757368,36.4301446636407,2007,37359.5364664332,2611.8204298896
"Montana",2038,20235.0388210577,3384.14348684895,14445.7468244597,31113.6846514328,2179,607,4165.24448093348,2448.11238200993,171.449860090871,47.7604704337579,2786,38064.9291323663,2667.32271253456
"Montana",2039,21337.3551586361,3398.32248082802,14221.8813648525,31025.3145233831,2992,775,4165.24448093348,2441.15917132138,235.418991001324,60.979183832228,3767,38957.5590043166,2737.55734615494
"Montana",2040,22419.6516904208,3415.19922434569,14127.1355025999,30890.7419364328,3950,956,4165.24448093348,2430.57062097503,310.797130499743,75.2207738627226,4906,39961.9864173663,2816.5885253375
"Montana",2041,23064.9860460224,3371.56957961557,13838.9916276135,30699.3189542218,5036,1163,3377.22829902969,2415.5089213338,396.24667068271,91.508117157266,6199,40275.5472532515,2903.26370917377
