"State","Segment","Year","ret_ICE","ret_BEV","ret_PHEV","ret_EV","Growth_seg","add_BEV","add_PHEV","add_ICE","Demand_total","exp_ICE","exp_BEV","exp_PHEV"
"District of Columbia","Car",2028,10413.0837841449,37,20,57,1847.43902698203,5360.11655173541,921.740321064947,6035.66593832658,12317.5228111269,818.979594636115,2.91001643986336,1.5729818593856
"District of Columbia","Car",2029,10358.9063213079,56,25,81,1847.43902698206,6118.00410589362,1131.60483379661,5037.73640859972,12287.34534829,814.718586324606,4.40434920627968,1.966227324232
"District of Columbia","Car",2030,10250.6778875178,78,37,115,1847.43902698203,7039.93177481104,1265.08624242327,3908.09889726554,12213.1169144998,806.206518173531,6.13462925160384,2.91001643986336
"District of Columbia","Car",2031,10086.9442581353,104,45,149,1981.82396892557,7771.1529126846,1514.55641076898,2932.05890360731,12217.7682270609,793.329016734029,8.17950566880512,3.5392091836176
"District of Columbia","Car",2032,9871.37505619582,142,55,197,1981.82396892557,8188.64049349893,1692.8540110805,2168.70452054196,12050.1990251214,776.374694529376,11.1681712016378,4.3257001133104
"District of Columbia","Car",2033,9611.44006035465,188,63,251,1981.82396892557,8628.06656402511,1795.20820977425,1420.98925548086,11844.2640292802,755.931042875495,14.7860294782246,4.95489285706464
"District of Columbia","Car",2034,9315.92881598761,247,72,319,1981.82396892557,9111.68139740625,1808.35823898676,696.713148520173,11616.7527849132,732.689351543803,19.4263259634121,5.66273469378816
"District of Columbia","Car",2035,8993.99242498676,325,82,407,1981.82396892557,9580.4362809749,1802.130542635,0.249570302432884,11382.8163939123,707.369346397783,25.560955215016,6.44922562348096
"District of Columbia","Car",2036,8653.2995923206,426,92,518,1981.82396892557,9463.04336120545,1689.83207790261,0.248122138104806,11153.1235612462,680.574164127455,33.5045136049133,7.23571655317376
"District of Columbia","Car",2037,8302.00267660509,567,113,680,1981.82396892557,9373.85203439814,1589.70295766524,0.271653467280016,10963.8266455307,652.944980343525,44.5940357135817,8.88734750552863
"District of Columbia","Car",2038,7942.06124041222,750,142,892,1981.82396892557,9313.47824235843,1502.04206116953,0.364905809826327,10815.8852093378,624.635912864896,58.98681972696,11.1681712016378
"District of Columbia","Car",2039,7572.27605095057,985,182,1167,1981.82396892557,9290.73300916419,1429.99707505403,0.369935657922145,10721.1000198761,595.552643120263,77.4693565747408,14.314134920409
"District of Columbia","Car",2040,7186.5642991691,1271,232,1503,1981.82396892557,9299.63573924798,1371.36924940487,0.383279441815622,10671.3882680947,565.216763695058,99.9629971639548,18.246589568873
"District of Columbia","Car",2041,6786.4754154118,1613,298,1911,1906.52866010931,9285.88383622102,1317.70446938137,0.415769918727634,10604.0040755211,533.750135880456,126.860986959449,23.4374297048454
"District of Columbia","Car",2042,6365.64367977239,1980,369,2349,1906.52866010931,9341.70995580686,1279.03162689466,0.430757180183645,10621.1723398817,500.652101579728,155.725204079174,29.0215153056643
"District of Columbia","Car",2043,5922.87147270507,2362,442,2804,1906.52866010928,9388.77577778197,1244.18837922978,0.435975802603443,10633.4001328144,465.828469101877,185.769157593439,34.7628990924217
"District of Columbia","Car",2044,5459.55772154516,2733,512,3245,1906.52866010931,9402.41077296803,1208.22584255526,0.449766131183706,10611.0863816545,429.389262812955,214.947971085042,40.2683356002713
"District of Columbia","Car",2045,4980.06948320755,3084,585,3669,1906.52866010931,9383.24971843095,1171.88696024308,0.461464642827177,10555.5981433169,391.677947778264,242.553802717259,46.0097193870288
"District of Columbia","Car",2046,4491.41008213451,3404,645,4049,1906.52866010931,9317.57560029926,1128.90909451221,0.454047432349373,10446.9387422438,353.245329112959,267.721512467429,50.7286649651856
"District of Columbia","Car",2047,4002.2938021712,3683,698,4381,1906.52866010931,9202.7566436003,1086.5900187153,0.475799964925389,10289.8224622805,314.776777337336,289.664609405858,54.8970668925574
"District of Columbia","Car",2048,3522.56486557717,3916,739,4655,1906.52866010928,9042.41226462935,1041.20507678183,0.476184275275232,10084.0935256865,277.046531603098,307.9898480677,58.1216797042979
"District of Columbia","Car",2049,3061.66516298158,4107,765,4872,1906.52866010931,8845.09433595666,994.638045421436,0.461441712791808,9840.19382309089,240.797188044144,323.011824824833,60.1665561214992
"District of Columbia","Car",2050,2628.0975071206,4256,778,5034,1906.52866010931,8621.48047520463,946.696312031625,0.44937999365723,9568.62616722991,206.697485169861,334.730539677255,61.1889943300998
"District of Columbia","SUV",2020,3847.50484024426,0,0,0,0,304.196290116793,101.092866756393,5183,5588.28915687319,253.659378924847,0,0
"District of Columbia","SUV",2021,4024.86260841067,0,0,0,0,744.500343784378,428.92730045755,5281,6454.42764424193,307.684271560192,0,0
"District of Columbia","SUV",2022,4209.33542497448,0,0,0,0,1220.42525488269,514.936388779139,4901,6636.36164366183,324.061562837532,0,0
"District of Columbia","SUV",2023,4398.14872136492,0,0,0,0,1907.44874715262,759.309516523868,5025,7691.75826367649,367.841210215079,0,0
"District of Columbia","SUV",2024,4591.80357595848,0,0,0,0,2285.42824601367,848.605416156671,4934,8068.03366217034,414.809856008043,0,0
"District of Columbia","SUV",2025,4788.66167191146,6,0,6,1220.52530456295,1125.24221638804,197.99135927803,4691.95340080834,6015.18697647441,376.623897032592,0.47189455781568,0
"District of Columbia","SUV",2026,4986.99518134561,10,5,15,1220.52530456295,1848.42019034789,329.444664226583,4044.65563133408,6222.52048590856,392.222647655002,0.7864909296928,0.3932454648464
"District of Columbia","SUV",2027,5183.53045745421,15,9,24,1220.52530456297,2291.81052780043,472.22328366513,3664.02195055162,6428.05576201718,407.67996885741,1.1797363945392,0.70784183672352
"District of Columbia","SUV",2028,5376.16148876722,24,12,36,1220.52530456295,2886.29254506355,496.334770241684,3250.05947802494,6632.68679333017,422.830224747916,1.88757823126272,0.943789115631359
"District of Columbia","SUV",2029,5560.68518778708,39,17,56,1220.52530456297,3404.3221443986,629.673881828755,2803.2144661227,6837.21049235005,437.342846307164,3.06731462580192,1.33703458047776
"District of Columbia","SUV",2030,5731.57119356124,55,23,78,1220.52530456295,4052.31523317151,728.207092828698,2249.57417212399,7030.09649812419,450.782875662445,4.3257001133104,1.80892913829344
"District of Columbia","SUV",2031,5881.86114625307,82,35,117,1309.307786582,4648.38563257428,905.94566065612,1753.83763960467,7308.16893283507,462.603044124053,6.44922562348096,2.7527182539248
"District of Columbia","SUV",2032,6004.40880150274,120,47,167,1309.307786582,5083.47610241755,1050.91717203136,1346.32331363582,7480.71658808474,472.241306054952,9.43789115631359,3.69650736955616
"District of Columbia","SUV",2033,6092.20903872168,170,67,237,1309.307786582,5564.35009015508,1157.75265405977,916.414081088829,7638.51682530368,479.146715074709,13.3703458047776,5.26948922894176
"District of Columbia","SUV",2034,6138.74284269009,238,92,330,1309.307786582,6100.76847971352,1210.79463419135,466.487515367228,7778.0506292721,482.806556549235,18.7184841266886,7.23571655317376
"District of Columbia","SUV",2035,6139.0902613817,327,120,447,1309.307786582,6645.22340463154,1250.00153530595,0.173108026209763,7895.3980479637,482.83388071421,25.7182534009545,9.43789115631359
"District of Columbia","SUV",2036,6090.52423823949,432,152,584,1309.307786582,6774.00803681448,1209.64637269939,0.177615307621231,7983.83202482149,479.014207044951,33.9764081627289,11.9546621313306
"District of Columbia","SUV",2037,5994.48449806614,556,189,745,1309.307786582,6881.55608175846,1167.03677595579,0.199426933882853,8048.79228464814,471.460768591311,43.7288956909197,14.8646785711939
"District of Columbia","SUV",2038,5853.44888724521,685,212,897,1309.307786582,6940.19647652942,1119.28827761861,0.271919679170313,8059.75667382721,460.368445723877,53.8746286839568,16.6736077094873
"District of Columbia","SUV",2039,5671.80275780525,821,235,1056,1309.307786582,6964.83085640524,1072.00236440779,0.277323574215219,8037.11054438725,446.082142402043,64.5709053277788,18.4825368477808
"District of Columbia","SUV",2040,5451.39078038543,955,250,1205,1309.307786582,6941.74864791731,1023.66381864559,0.286100404531893,7965.69856696743,428.746940298409,75.1098837856623,19.66227324232
"District of Columbia","SUV",2041,5206.1209178228,1103,263,1366,1259.56334122661,6858.17449272524,973.20269564551,0.307070678650738,7831.68425904941,409.456688075158,86.7499495451158,20.6847114509206
"District of Columbia","SUV",2042,4937.69178224201,1269,279,1548,1259.56334122661,6812.2354653344,932.705537983445,0.314120150772869,7745.25512346861,388.344980035201,99.8056989780163,21.9430969384291
"District of Columbia","SUV",2043,4651.60499607563,1457,299,1756,1259.56334122659,6769.737193214,897.116785573754,0.314358514473237,7667.16833730222,365.84451379272,114.591728456241,23.5160787978147
"District of Columbia","SUV",2044,4352.6706956281,1663,330,1993,1259.56334122661,6738.94565241646,865.966025674364,0.322358763888364,7605.23403685471,342.333602205115,130.793441607913,25.9542006798624
"District of Columbia","SUV",2045,4044.9116256175,1885,368,2253,1259.56334122661,6718.11051272229,839.034060008762,0.330394113047787,7557.4749668441,318.128630495712,148.253540247093,28.942866212695
"District of Columbia","SUV",2046,3732.08599454488,2112,405,2517,1259.56334122661,6696.92907830347,811.393914695714,0.326342772312132,7508.64933577149,293.525178354308,166.106884351119,31.8528826525584
"District of Columbia","SUV",2047,3417.61090692735,2334,441,2775,1259.56334122661,6664.89109242284,786.938568226439,0.344587504681174,7452.17424815396,268.791997951755,183.566982990299,34.6842499994525
"District of Columbia","SUV",2048,3105.05300853757,2547,480,3027,1259.56334122659,6628.06648572733,763.200822106034,0.349041930805119,7391.61634976416,244.209602743014,200.319239792756,37.7515646252544
"District of Columbia","SUV",2049,2797.88783798037,2735,504,3239,1259.56334122661,6558.59022271942,737.518799921339,0.342156566218683,7296.45117920698,220.051340686936,215.105269270981,39.6391428565171
"District of Columbia","SUV",2050,2499.52510120864,2899,522,3421,1259.56334122661,6469.37096661794,710.380270868306,0.337204948999904,7180.08844243525,196.585382064007,228.003720517943,41.0548265299641
"Florida","Car",2020,373133.433668846,19,13,32,0,7254.23672588085,1286.56796769852,320336,328876.804693579,24600.0457362716,1.25263733242403,0.85706764850065
"Florida","Car",2021,378758.461442255,33,19,52,0,12560.9749724972,1774.1103202847,334393,348728.085292782,28954.5340162897,2.52271492206184,1.45247222785379
"Florida","Car",2022,384709.320547075,54,31,85,0,19658.8822012038,1192.99861714737,322318,343169.880818351,29617.3839972389,4.15726537006322,2.38657826799925
