"State","Year","add_BEV","add_PHEV","add_ICE","ret_ICE","ret_BEV","ret_PHEV","Growth_from_pop","exp_ICE","exp_BEV","exp_PHEV","ret_EV","Demand_total","Export_All"
"Texas",2039,766769.506166314,119713.197796573,486334.503140549,1043033.11237207,63025,12644,254115.09473137,82532.6819570293,4987.0154826746,1000.48907200218,75669,1372817.20710344,88520.1865117061
"Texas",2040,789655.951978882,117718.563735999,470072.976109869,1025549.39709338,81424,16359,254115.09473137,81149.2379460894,6442.88375503842,1294.44801715309,97783,1377447.49182475,88886.5697182809
"Texas",2041,807790.898115258,115639.533088495,458633.166144187,1006982.37265098,103299,20927,250855.224696956,79680.074306876,8173.79948186915,1655.90278470339,124226,1382063.59734794,89509.7765734486
"Texas",2042,827498.06029642,114152.575959698,451296.791753785,986747.203312951,128967,26378,250855.224696951,78078.9144055144,10204.8461047853,2087.22720193559,155345,1392947.4280099,90370.9877122354
"Texas",2043,848444.450120245,112969.99965396,445392.354873715,964778.579950963,158514,32659,250855.224696956,76340.5904889848,12542.8285953301,2584.22750731725,191173,1406806.80464792,91467.6465916322
"Texas",2044,871819.293996653,112037.955101142,439481.248822254,941014.273223097,191803,39666,250855.224696951,74460.1785002995,15176.9064755801,3138.67443293567,231469,1423338.49792005,92775.7594088152
"Texas",2045,894569.312385069,111376.771953947,435889.538059818,915457.397701877,228330,47193,250855.224696956,72437.9248880327,18067.1994471891,3734.26769811761,275523,1441835.62239883,94239.3920333394
"Texas",2046,916529.142609717,110742.029875124,434179.953861143,888213.901649028,267333,55049,250855.224696956,70282.2130813251,21153.4122971813,4355.89393583108,322382,1461451.12634598,95791.5193143375
"Texas",2047,938361.4343067,110337.461498196,432204.849250582,859458.520358527,307675,62915,250855.224696951,68006.8694604455,24345.5769715495,4978.31144930539,370590,1480903.74505548,97330.7578813004
"Texas",2048,960221.139280741,109898.643399989,428918.95830069,829523.516284464,348236,70424,250855.224696956,65638.1851480094,27555.0705850801,5572.48041811783,418660,1499038.74098142,98765.7361512074
"Texas",2049,980197.173741634,109396.650114236,425002.974126738,798767.573285657,387818,77156,250855.224696951,63204.5419283457,30687.0983016247,6105.16726031323,464974,1514596.79798261,99996.8074902836
"Texas",2050,997279.043152368,108509.817120684,420536.635896981,767650.271473077,425159,82661,250855.224696956,60742.3052616517,33641.8011201658,6540.76456665395,507820,1526325.49617003,100924.870948471
"Utah",2020,2815.58700559427,627.219380888291,108107,136586.541104751,3,1,0,9060.26305519465,0.199000494087762,0.0663334980292541,4,111549.806386483,9060.52838918676
"Utah",2021,5488.0198019802,1700.00635485511,111936,135366.465393994,8,4,0,10411.5491680173,0.615310395390095,0.307655197695048,12,119124.026156835,10412.4721336104
"Utah",2022,9068.32903410719,1907.04938759384,107437,134149.123536796,16,6,0,10390.5454292862,1.23928298959761,0.464731121099105,22,118412.378421701,10392.2494433969
"Utah",2023,13035.574678703,2863.77906976744,116252,132914.863670653,28,11,0,11183.6885150089,2.35596884932434,0.925559190805992,39,132151.35374847,11186.9700430491
"Utah",2024,14219.8149554262,3213.1938494492,114153,131730.401943858,43,20,0,11971.6369291078,3.90783281881302,1.81759665991303,63,131586.008804875,11977.3623585866
"Utah",2025,14426.1828008195,2858.27819268753,144908.137587436,130573.41194688,74,30,31515.1866340632,10331.9575883338,5.8554406301931,2.37382728251072,104,162192.598580943,10340.1868562465
"Utah",2026,18626.0974630144,3719.75929547192,138938.128620687,129601.79874511,117,50,31515.1866340632,10255.0761907868,9.2579264017918,3.95637880418453,167,161283.985379173,10268.2904959928
