State,Segment,Propulsion,Year,BESS_retire_vector,BESS_retire_total
Alabama,Car,PHEV,2047,0|0|0|0|0|0|1|1|3|6|14|30|60|78|91|92|80|62|46|28|20|10|5|0|0|0|0|0|0|0|0,627
Alabama,Car,PHEV,2048,0|0|0|0|0|0|1|1|3|7|14|30|62|79|94|101|92|72|51|36|20|14|6|3|0|0|0|0|0|0|0,686
Alabama,Car,PHEV,2049,0|0|0|0|0|0|1|1|3|7|14|30|61|80|95|104|101|84|60|39|26|14|9|4|2|0|0|0|0|0|0,735
Alabama,Car,PHEV,2050,0|0|0|0|0|0|1|1|3|7|15|30|61|80|97|105|104|91|69|46|28|18|9|6|3|1|0|0|0|0|0,775
Alabama,SUV,BEV,2020,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0
Alabama,SUV,BEV,2021,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0
Alabama,SUV,BEV,2022,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0
Alabama,SUV,BEV,2023,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0
Alabama,SUV,BEV,2024,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0
Alabama,SUV,BEV,2025,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0
Alabama,SUV,BEV,2026,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0
Alabama,SUV,BEV,2027,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0
Alabama,SUV,BEV,2028,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0
Alabama,SUV,BEV,2029,0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,1
Alabama,SUV,BEV,2030,0|0|0|0|0|0|0|0|1|1|1|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,5
Alabama,SUV,BEV,2031,0|0|0|0|0|0|1|0|1|1|1|1|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,9
Alabama,SUV,BEV,2032,0|0|0|0|0|0|1|1|1|2|3|3|3|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0,18
