"Year","Total_Dereg_NewEV","Total_Dereg_SHEV","Total_Dereg_All","NewEV_vec","SHEV_vec","Total_vec"
2041,288514,25732,314246,"1589|2017|2552|3215|4031|5021|6206|7595|9184|10946|12823|14723|16518|18059|19194|19797|19796|19194|18059|16518|14723|12823|10946|9184|7595|6206|0|0|0|0|0","142|180|228|287|359|448|553|677|819|976|1144|1313|1473|1611|1712|1766|1766|1712|1611|1473|1313|1144|976|819|677|553|0|0|0|0|0","1731|2197|2780|3502|4390|5469|6759|8272|10003|11922|13967|16036|17991|19670|20906|21563|21562|20906|19670|17991|16036|13967|11922|10003|8272|6759|0|0|0|0|0"
2042,419531,44481,464012,"2271|2883|3647|4596|5761|7177|8870|10855|13126|15644|18327|21042|23608|25811|27432|28294|28294|27432|25811|23608|21043|18327|15644|13126|10855|8870|7177|0|0|0|0","241|306|387|487|611|761|940|1151|1392|1659|1943|2231|2503|2737|2908|3000|3000|2908|2736|2503|2231|1943|1659|1392|1151|940|761|0|0|0|0","2512|3189|4034|5083|6372|7938|9810|12006|14518|17303|20270|23273|26111|28548|30340|31294|31294|30340|28547|26111|23274|20270|17303|14518|12006|9810|7938|0|0|0|0"
2043,589942,71622,661564,"3151|3999|5059|6375|7992|9955|12304|15057|18207|21701|25423|29189|32748|35803|38052|39248|39248|38052|35803|32748|29189|25423|21701|18207|15057|12304|9955|7992|0|0|0","382|485|614|774|970|1209|1494|1828|2210|2635|3086|3544|3976|4347|4620|4765|4765|4620|4347|3976|3544|3086|2634|2210|1828|1494|1209|970|0|0|0","3533|4484|5673|7149|8962|11164|13798|16885|20417|24336|28509|32733|36724|40150|42672|44013|44013|42672|40150|36724|32733|28509|24335|20417|16885|13798|11164|8962|0|0|0"
2044,806709,108719,915428,"4262|5410|6844|8624|10812|13468|16645|20370|24631|29357|34392|39487|44303|48435|51478|53095|53095|51478|48435|44303|39487|34392|29357|24631|20370|16644|13468|10812|8624|0|0","574|729|922|1162|1457|1815|2243|2745|3319|3956|4635|5322|5971|6528|6938|7156|7156|6938|6528|5971|5322|4635|3956|3319|2745|2243|1815|1457|1162|0|0","4836|6139|7766|9786|12269|15283|18888|23115|27950|33313|39027|44809|50274|54963|58416|60251|60251|58416|54963|50274|44809|39027|33313|27950|23115|18887|15283|12269|9786|0|0"
2045,1077389,157268,1234657,"5644|7164|9063|11421|14318|17836|22042|26975|32619|38878|45546|52293|58670|64143|68172|70314|70314|68172|64143|58670|52293|45546|38878|32619|26975|22042|17836|14318|11421|9064|0","824|1046|1323|1667|2090|2604|3218|3938|4761|5675|6648|7633|8564|9363|9951|10264|10264|9951|9363|8564|7633|6648|5675|4761|3938|3218|2604|2090|1667|1323|0","6468|8210|10386|13088|16408|20440|25260|30913|37380|44553|52194|59926|67234|73506|78123|80578|80578|78123|73506|67234|59926|52194|44553|37380|30913|25260|20440|16408|13088|10387|0"
2046,1410074,218625,1628699,"7167|9096|11508|14501|18180|22646|27988|34251|41418|49364|57830|66398|74494|81444|86560|89279|89279|86560|81443|74494|66398|57830|49364|41418|34251|27988|22646|18180|14501|11508|42090","1111|1410|1784|2248|2819|3511|4339|5311|6422|7654|8966|10295|11550|12627|13421|13842|13842|13421|12627|11550|10295|8966|7654|6422|5311|4339|3511|2819|2248|1784|6526","8278|10506|13292|16749|20999|26157|32327|39562|47840|57018|66796|76693|86044|94071|99981|103121|103121|99981|94070|86044|76693|66796|57018|47840|39562|32327|26157|20999|16749|13292|48616"
2047,1813287,294054,2107341,"9216|11697|14799|18648|23378|29122|35991|44045|53261|63480|74367|85384|95796|104732|111312|114809|114809|111312|104732|95796|85385|74367|63480|53261|44045|35991|29122|23378|18648|14799|54125","1495|1897|2400|3024|3791|4723|5836|7143|8637|10294|12060|13846|15535|16984|18051|18618|18618|18051|16984|15535|13847|12060|10294|8637|7143|5836|4723|3791|3024|2400|8777","10711|13594|17199|21672|27169|33845|41827|51188|61898|73774|86427|99230|111331|121716|129363|133427|133427|129363|121716|111331|99232|86427|73774|61898|51188|41827|33845|27169|21672|17199|62902"
2048,2295862,384849,2680711,"11669|14810|18738|23611|29600|36872|45569|55767|67435|80373|94159|108108|121291|132605|140936|145363|145363|140936|132605|121291|108108|94159|80373|67435|55767|45569|36872|29600|23611|18738|68529","1956|2483|3141|3958|4962|6181|7638|9348|11304|13473|15783|18122|20332|22228|23625|24367|24367|23625|22228|20331|18122|15783|13473|11304|9348|7638|6181|4962|3958|3141|11487","13625|17293|21879|27569|34562|43053|53207|65115|78739|93846|109942|126230|141623|154833|164561|169730|169730|164561|154833|141622|126230|109942|93846|78739|65115|53207|43053|34562|27569|21879|80016"
2049,2866785,492354,3359139,"14571|18493|23397|29482|36961|46042|56901|69635|84205|100360|117573|134992|151453|165580|175983|181511|181511|175983|165580|151453|134992|117573|100360|84205|69635|56901|46042|36961|29482|23397|85571","2502|3176|4018|5063|6348|7907|9772|11960|14462|17236|20193|23184|26011|28438|30224|31174|31174|30224|28438|26011|23184|20193|17236|14462|11960|9772|7907|6348|5063|4018|14696","17073|21669|27415|34545|43309|53949|66673|81595|98667|117596|137766|158176|177464|194018|206207|212685|212685|206207|194018|177464|158176|137766|117596|98667|81595|66673|53949|43309|34545|27415|100267"
2050,3535008,617849,4152857,"17967|22804|28851|36354|45576|56774|70164|85866|103832|123753|144979|166457|186755|204176|217003|223820|223820|217003|204176|186755|166457|144979|123753|103832|85866|70164|56774|45576|36354|28851|105517","3140|3986|5042|6354|7966|9923|12263|15008|18148|21630|25339|29093|32641|35686|37928|39119|39119|37928|35686|32641|29093|25339|21630|18148|15008|12263|9923|7966|6354|5043|18442","21107|26790|33893|42708|53542|66697|82427|100874|121980|145383|170318|195550|219396|239862|254931|262939|262939|254931|239862|219396|195550|170318|145383|121980|100874|82427|66697|53542|42708|33894|123959"
