"State","Segment","Year","LIB_recycling","LIB_available","LIB_reuse_EV","LIB_new_add","LIB_repurpose","EV_stock","LIB_recycling_vector","LIB_available_vector","LIB_reuse_vector","LIB_newadd_vector","LIB_repurpose_vector","EV_stock_vector"
"New Mexico","Car",2041,8987,2552,1059,2107,2552,315685,"0|16|20|32|47|67|91|135|205|310|438|576|703|1833|1824|1570|918|78|64|37|16|5|2|0|0|0|0|0|0|0|0","0|13|21|31|44|67|91|132|201|307|425|554|666|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|14|20|65|49|49|59|79|116|157|203|248|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|15|23|40|60|92|143|227|355|530|600|22|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|13|21|31|44|67|91|132|201|307|425|554|666|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","21457|21486|21593|21789|22102|22518|23019|23556|24078|24517|22990|20595|16485|12529|8753|5490|2364|156|111|57|23|7|6|4|1|0|0|0|0|0|0"
"New Mexico","Car",2042,11173,2726,1186,2066,2726,323902,"0|15|19|34|47|70|100|139|203|307|461|629|794|2076|2119|1887|1427|726|53|38|19|8|2|0|0|0|0|0|0|0|0","0|14|22|32|46|67|101|138|202|302|449|604|749|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|15|22|71|54|70|72|89|119|169|225|280|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|15|24|40|58|91|141|221|345|517|590|24|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|14|22|32|46|67|101|138|202|302|449|604|749|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","21424|21452|21478|21580|21767|22068|22462|22930|23414|23835|24134|22438|18545|14165|10133|6585|3813|1481|90|60|29|11|4|3|2|0|0|0|0|0|0"
"New Mexico","Car",2043,13284,2840,1284,1970,2840,329492,"0|16|21|34|48|72|105|150|210|307|454|664|869|2338|2398|2190|1713|1127|500|33|22|10|3|0|0|0|0|0|0|0|0","0|13|22|33|48|69|102|146|206|300|443|640|818|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|14|22|76|58|75|94|102|125|171|240|307|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|15|24|39|58|90|140|217|337|503|521|26|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|13|22|33|48|69|102|146|206|300|443|640|818|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","21314|21419|21444|21464|21558|21733|22013|22376|22791|23177|23463|23555|20206|15933|11456|7618|4572|2444|854|49|31|15|5|1|1|0|0|0|0|0|0"
"New Mexico","Car",2044,15181,2893,1369,1811,2893,332584,"0|15|20|34|49|73|104|153|219|310|449|653|914|2555|2701|2478|1988|1353|775|303|18|10|5|2|0|0|0|0|0|0|0","0|13|22|34|49|72|105|149|216|303|439|627|864|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|13|22|79|62|81|102|124|140|178|240|328|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|15|24|41|59|90|138|216|330|492|378|28|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|13|22|34|49|72|105|149|216|303|439|627|864|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","21095|21309|21411|21430|21442|21524|21680|21929|22240|22562|22813|22899|21210|17363|12884|8615|5285|2929|1457|458|26|15|7|3|1|0|0|0|0|0|0"
"New Mexico","Car",2045,16815,2875,1420,1701,2875,333452,"0|14|20|35|48|74|106|154|223|318|451|642|897|2693|2948|2790|2249|1570|932|471|165|8|5|2|0|0|0|0|0|0|0","0|12|21|33|50|74|108|152|216|311|437|618|843|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|11|21|80|65|87|107|131|161|188|245|324|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|15|22|41|59|90|138|213|326|484|285|28|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|12|21|33|50|74|108|152|216|311|437|618|843|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","20740|21090|21300|21397|21409|21409|21471|21595|21796|22018|22210|22265|20618|18222|14043|9686|5977|3382|1747|820|232|12|7|3|1|0|0|0|0|0|0"
"New Mexico","Car",2046,18048,2868,1469,1592,2868,332393,"0|12|19|31|50|73|110|157|223|318|457|639|880|2637|3105|3044|2530|1777|1079|563|255|82|5|2|0|0|0|0|0|0|0","0|12|21|33|49|75|109|154|220|311|442|612|830|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|11|18|77|68|90|114|138|169|207|253|324|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|14|22|41|58|89|137|212|321|474|196|28|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|12|21|33|49|75|109|154|220|311|442|612|830|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","20249|20735|21082|21287|21376|21375|21356|21388|21464|21578|21678|21676|20035|17715|14735|10559|6720|3827|2014|982|442|112|6|3|1|0|0|0|0|0|0"
"New Mexico","Car",2047,18893,2851,1495,1521,2851,329743,"0|11|19|31|47|73|111|158|226|321|455|642|870|2587|3034|3203|2760|1998|1220|654|306|127|38|2|0|0|0|0|0|0|0","0|11|20|30|48|75|110|156|222|311|439|611|818|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|10|16|70|66|92|117|144|173|213|267|327|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|14|21|39|58|90|139|211|320|469|132|28|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|11|20|30|48|75|110|156|222|311|439|611|818|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","19631|20244|20726|21068|21265|21342|21322|21273|21259|21249|21245|21162|19500|17200|14324|11077|7327|4301|2279|1130|529|231|52|2|1|1|0|0|0|0|0"
"New Mexico","Car",2048,19378,2830,1515,1468,2830,325823,"0|12|17|29|46|72|111|159|229|323|453|634|868|2549|2970|3125|2905|2181|1372|739|355|152|60|17|0|0|0|0|0|0|0","0|9|18|29|45|72|108|158|222|313|439|606|811|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|8|15|62|62|91|120|149|181|219|271|337|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|13|21|39|58|90|139|211|318|463|87|29|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|9|18|29|45|72|108|158|222|313|439|606|811|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","18914|19625|20235|20713|21047|21232|21289|21240|21144|21049|20923|20741|19032|16734|13895|10768|7683|4692|2560|1280|608|277|118|23|1|1|0|0|0|0|0"
"New Mexico","Car",2049,19568,2809,1514,1440,2809,320909,"0|11|17|27|42|67|107|159|231|322|456|630|856|2533|2918|3055|2832|2292|1499|832|401|177|71|27|6|0|0|0|0|0|0","0|9|17|27|44|68|106|155|223|316|439|603|802|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|8|14|59|57|86|117|152|186|223|275|337|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|13|21|36|56|88|138|211|318|452|78|29|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|9|17|27|44|68|106|155|223|316|439|603|802|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","18125|18909|19618|20222|20692|21014|21179|21207|21111|20935|20726|20428|18647|16324|13510|10430|7467|4916|2794|1437|689|317|141|59|10|0|0|0|0|0|0"
"New Mexico","Car",2050,19549,2782,1495,1441,2782,315223,"0|9|15|25|42|64|102|155|228|325|455|633|850|2501|2885|2996|2765|2234|1577|907|452|200|84|31|11|3|0|0|0|0|0","0|9|16|25|41|65|101|153|222|315|440|600|795|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|8|13|52|51|77|113|150|188|228|277|338|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|12|20|35|54|87|136|210|318|453|87|29|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|9|16|25|41|65|101|153|222|315|440|600|795|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","17303|18119|18902|19606|20201|20659|20962|21097|21079|20903|20614|20238|18362|15987|13170|10134|7220|4775|2925|1569|773|359|161|70|28|5|0|0|0|0|0"
