"State","Segment","Propulsion","Year","LIB_recycling","LIB_available","LIB_reuse_EV","LIB_new_add","LIB_repurpose","EV_stock","LIB_recycling_vector","LIB_available_vector","LIB_reuse_vector","LIB_newadd_vector","LIB_repurpose_vector","EV_stock_vector","domestic_factor","export_factor"
"Wisconsin","Car","PHEV",2038,848,437,171,434,437,76180,"0|4|6|7|11|17|23|30|41|56|66|94|90|208|30|26|30|39|20|21|19|7|3|0|0|0|0|0|0|0|0","0|4|6|7|10|16|23|31|41|57|66|89|87|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|3|4|8|6|9|11|15|22|26|34|33|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|5|7|13|18|29|41|55|74|97|92|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|4|6|7|10|16|23|31|41|57|66|89|87|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","6978|7106|7228|7328|7384|7301|6720|5809|5021|4511|3491|3313|2105|1390|127|79|77|82|38|37|34|13|5|2|1|0|0|0|0|0|0",0.920872423916309,0.0791275760836906
"Wisconsin","SUV","BEV",2038,13704,11671,1350,20136,11671,615237,"0|291|410|566|767|1003|1179|1383|1572|1565|1394|1086|734|910|449|260|93|33|7|2|0|0|0|0|0|0|0|0|0|0|0","0|289|408|563|761|994|1164|1361|1544|1525|1346|1033|683|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|83|101|244|138|136|131|127|118|108|92|72|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|443|659|970|1356|1842|2217|2678|3136|3083|2757|995|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|289|408|563|761|994|1164|1361|1544|1525|1346|1033|683|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","74462|72067|69060|65316|60776|55456|46119|40097|35740|29459|23528|17860|11195|6804|3575|2327|925|351|81|19|11|8|3|1|0|0|0|0|0|0|0",0.920872423916309,0.0791275760836906
"Wisconsin","SUV","PHEV",2038,3291,2637,377,4286,2637,126663,"0|54|79|116|169|233|291|329|349|358|297|269|167|207|185|114|47|22|4|1|0|0|0|0|0|0|0|0|0|0|0","0|54|79|117|168|229|286|320|341|347|285|256|155|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|17|20|64|42|46|42|39|35|28|26|18|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|79|125|195|287|409|524|603|659|675|557|173|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|54|79|117|168|229|286|320|341|347|285|256|155|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","12638|12885|13025|13007|12802|12271|10876|9017|7500|6436|4749|4285|2415|1455|1468|1028|467|265|40|16|10|5|2|1|0|0|0|0|0|0|0",0.920872423916309,0.0791275760836906
"Wyoming","Car","BEV",2038,258,142,56,135,142,24540,"0|2|1|2|3|5|6|9|12|17|24|29|29|74|10|12|11|6|2|2|2|0|0|0|0|0|0|0|0|0|0","0|1|3|3|4|5|7|9|14|18|22|27|29|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|1|2|4|2|3|4|6|6|8|9|11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|2|2|4|6|8|11|16|24|31|30|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|1|3|3|4|5|7|9|14|18|22|27|29|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","2649|2551|2451|2348|2237|2116|1848|1697|1616|1425|1228|1005|721|503|48|43|29|13|5|3|3|0|0|0|0|0|0|0|0|0|0",0.920872423916309,0.0791275760836906
"Wyoming","Car","PHEV",2038,59,28,10,30,28,4814,"0|0|1|2|2|2|2|2|4|3|4|6|6|16|2|2|2|2|1|0|0|0|0|0|0|0|0|0|0|0|0","0|0|0|0|0|1|2|2|2|4|5|6|6|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|0|0|0|0|0|1|1|2|2|2|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|0|0|1|1|2|3|3|5|6|8|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|0|0|0|0|1|2|2|2|4|5|6|6|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","431|437|442|448|452|449|419|365|325|297|236|231|151|104|8|5|4|4|2|1|2|0|0|0|0|0|0|0|0|0|0",0.920872423916309,0.0791275760836906
"Wyoming","SUV","BEV",2038,1668,1463,154,2559,1463,73074,"0|35|49|65|89|118|140|165|197|202|184|149|103|136|19|11|5|1|0|0|0|0|0|0|0|0|0|0|0|0|0","0|35|50|66|88|115|137|165|192|196|180|142|97|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|11|15|29|13|13|13|13|13|13|12|9|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|50|75|111|157|216|267|329|399|404|373|178|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|35|50|66|88|115|137|165|192|196|180|142|97|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","8429|8166|7857|7483|7042|6529|5555|4936|4553|3863|3189|2499|1615|1044|150|96|43|18|3|1|1|0|0|0|0|0|0|0|0|0|0",0.920872423916309,0.0791275760836906
"Wyoming","SUV","PHEV",2038,370,312,40,526,312,14431,"0|6|9|13|18|25|33|37|41|42|36|35|23|29|12|7|3|1|0|0|0|0|0|0|0|0|0|0|0|0|0","0|6|9|13|18|26|31|37|41|42|36|33|20|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|2|3|7|4|4|4|4|4|3|3|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|8|13|22|32|46|60|71|80|85|72|37|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|6|9|13|18|26|31|37|41|42|36|33|20|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","1372|1400|1420|1430|1425|1386|1257|1066|917|809|616|577|334|215|91|66|28|15|3|1|0|0|0|0|0|0|0|0|0|0|0",0.920872423916309,0.0791275760836906
"Alabama","Car","BEV",2039,4972,2274,878,2222,2274,406003,"0|19|29|42|57|80|116|152|207|289|373|459|515|1173|1045|121|135|93|39|13|10|5|0|0|0|0|0|0|0|0|0","0|20|29|43|57|80|114|149|206|285|365|440|486|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|15|19|56|35|45|56|76|103|133|160|180|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|27|42|65|94|139|202|270|372|497|498|16|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|20|29|43|57|80|114|149|206|285|365|440|486|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","42540|41239|39895|38474|36863|35005|32813|28207|25359|23124|19815|16462|12105|8066|4970|407|349|194|69|22|16|6|1|0|0|0|0|0|0|0|0",0.920872423916309,0.0791275760836906
"Alabama","Car","PHEV",2039,1076,506,193,476,506,82077,"0|4|6|9|12|17|27|36|48|61|83|96|126|261|232|14|10|10|11|5|5|3|0|0|0|0|0|0|0|0|0","0|4|6|8|12|17|25|36|47|61|81|90|119|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|4|4|11|7|9|13|17|22|29|33|44|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|5|7|13|19|30|45|64|85|106|98|4|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|4|6|8|12|17|25|36|47|61|81|90|119|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","6968|7093|7226|7350|7436|7472|7356|6742|5780|4919|4389|3372|2954|1786|1102|42|24|21|20|8|7|6|2|1|0|0|0|0|0|0|0",0.920872423916309,0.0791275760836906
"Alabama","SUV","BEV",2039,13685,11358,1406,18958,11358,542125,"0|252|360|503|675|893|1136|1291|1450|1555|1449|1205|874|1115|632|163|88|32|10|2|0|0|0|0|0|0|0|0|0|0|0","0|252|357|499|669|881|1121|1273|1424|1518|1401|1147|816|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|88|111|269|138|136|129|122|118|111|99|85|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|359|536|801|1134|1580|2104|2465|2856|3048|2864|1211|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|252|357|499|669|881|1121|1273|1424|1518|1401|1147|816|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","59768|57964|55921|53562|50767|47517|43775|36913|32536|29184|24476|19896|13492|8464|5165|1390|867|342|102|20|3|2|1|0|0|0|0|0|0|0|0",0.920872423916309,0.0791275760836906
