"State","Segment","Year","ret_ICE","ret_BEV","ret_PHEV","ret_EV","Growth_seg","add_BEV","add_PHEV","add_ICE","Demand_total","exp_ICE","exp_BEV","exp_PHEV"
"Nebraska","SUV",2020,49910.0885894797,0,0,0,0,254.928250637203,93.2777277446363,43497,43845.2059783818,3287.37327129377,0,0
"Nebraska","SUV",2021,49330.0485101905,0,0,0,0,592.724602687142,403.706546359097,46147,47143.4311490462,3771.4043710762,0,0
"Nebraska","SUV",2022,48842.9243254946,0,0,0,0,1008.76126965609,559.836755062001,43803,45371.5980247181,3762.78770240699,0,0
"Nebraska","SUV",2023,48422.6241732459,0,0,0,0,1701.03644456577,889.204057213789,47149,49739.2405017796,4054.10229998959,0,0
"Nebraska","SUV",2024,48083.3293881003,0,0,0,0,2108.34419425731,1019.61787299805,46298,49425.9620672554,4349.30102412307,0,0
"Nebraska","SUV",2025,47812.6044066013,4,0,4,5238.32827226224,4363.52793226465,948.023516991081,47743.3812296079,53054.9326788636,3762.03044336482,0.314731271392145,0
"Nebraska","SUV",2026,47620.2938370662,10,8,18,5238.32827226224,5779.58298290049,1252.48602348811,45844.5531029398,52876.6221093284,3746.89890585184,0.786828178480361,0.629462542784289
"Nebraska","SUV",2027,47497.0310630622,17,12,29,5238.32827226235,7645.54605669412,1822.88527394048,43295.92800469,52764.3593353246,3737.20024345744,1.33760790341661,0.944193814176434
"Nebraska","SUV",2028,47436.9402781773,29,21,50,5238.32827226224,9596.36705166469,1918.63862501449,41210.2628737603,52725.2685504395,3732.47213117599,2.28180171759305,1.65233917480876
"Nebraska","SUV",2029,47431.6906572774,50,31,81,5238.32827226235,11509.5139674935,2488.96985620182,38752.5351058444,52751.0189295397,3732.05907621095,3.93414089240181,2.43916735328912
"Nebraska","SUV",2030,47463.582460471,80,44,124,5238.32827226224,13514.5188144345,2806.94622660542,36504.4456916933,52825.9107327332,3734.56841315248,6.29462542784289,3.46204398531359
"Nebraska","SUV",2031,47510.7330004633,121,63,184,3320.03596730448,15146.0485423323,3370.15448507294,32498.5659403625,51014.7689677678,3738.27835050213,9.52062095961237,4.95701752442628
"Nebraska","SUV",2032,47540.4922858306,191,88,279,3320.03596730436,17096.8312167307,3991.52509819303,30051.1719382112,51139.528253135,3740.61989493198,15.0284182089749,6.92408797062718
"Nebraska","SUV",2033,47529.7525859798,307,139,446,3320.03596730448,20250.7559615039,4435.21987432433,26609.812717456,51295.7885532843,3739.77486508487,24.1556250793471,10.936911680877
"Nebraska","SUV",2034,47449.6596125678,486,215,701,3320.03596730436,22024.9701111384,4592.72816910067,24852.9972996331,51470.6955798722,3733.47292424699,38.2398494741456,16.9168058373278
"Nebraska","SUV",2035,47285.1512625583,759,326,1085,3320.03596730436,23638.6679917264,4660.25880864483,23391.2604294914,51690.1872298626,3720.52894370871,59.7202587466594,25.6505986184598
"Nebraska","SUV",2036,47024.086560452,1130,462,1592,3320.03596730459,25056.427725658,4673.62128064604,22206.0735214526,51936.1225277566,3699.98763730633,88.9115841682808,36.3514618457927
"Nebraska","SUV",2037,46661.4051105274,1722,609,2331,3320.03596730436,26365.0016721942,4659.27392395297,21288.1654816846,52312.4410778318,3671.45083884505,135.491812334318,47.917836069454
"Nebraska","SUV",2038,46197.9400607712,2501,779,3280,3320.03596730436,27594.5247539938,4626.96071632623,20576.4905577556,52797.9760280756,3634.98410275615,196.785727437938,61.2939151036202
"Nebraska","SUV",2039,45638.0245521689,3513,984,4497,3320.03596730459,28790.723991431,4600.87654349164,20063.4599845508,53455.0605194735,3590.92837278251,276.412739100151,77.4238927624676
"Nebraska","SUV",2040,44987.1394659861,4735,1204,5939,3320.03596730436,29978.2299831848,4581.36525272988,19686.5801973758,54246.1754332905,3539.71490010638,372.563142510451,94.7341126890355
"Nebraska","SUV",2041,44258.2323705758,6170,1468,7638,2155.95034570086,30506.7472354335,4476.6403424005,19068.7951384426,54052.1827162767,3482.36243589007,485.472986122383,115.506376600917
