"Year","State_Province","Add_LIB_proj_tonnes","Add_LIB_15_tonnes","Add_LIB_proj_LFP_tonnes","Add_LIB_15_LFP_tonnes","Country","Tonnes_Scrap_proj_down","Tonnes_Scrap_15_down","Tonnes_Prod_proj_down","Tonnes_Prod_15_down","Tonnes_Scrap_proj_mid","Tonnes_Scrap_15_mid","Tonnes_Prod_proj_mid","Tonnes_Prod_15_mid","Cumulative_black_mass_cap","Cumulative_refining_cap","Recycle_Batt_15","Recycle_Batt_15_LFP","Recycle_Batt_Proj","Recycle_Batt_Proj_LFP"
2050,"DE",41608.2695871245,28047.5867774439,43691.8229908227,29176.0677598233,"US",0,0,0,0,0,0,0,0,0,0,17071.2792928222,17577.4478343037,23455.2958263864,24330.6690544213
2050,"FL",932637.480720632,640582.677365757,977871.249590203,665247.165756414,"US",0,0,0,0,534.398211127008,489.541462649113,13186.418939413,8724.3858316091,15,0,376018.057875622,386624.575132484,507616.04638997,525848.073528969
2050,"GA",414317.528018333,284728.771456214,434259.833534081,295544.202666111,"US",43918.224438792,38843.5051964931,1387710.00422179,918135.359936757,48808.3699496,44711.453588619,1204359.59646639,796827.239286964,32000,129143,171524.100753435,176216.041604186,230385.957970363,238483.434366659
2050,"HI",52813.0293122779,36039.9324758721,55385.6800053007,37431.261960119,"US",0,0,0,0,0,0,0,0,0,0,22595.8450788427,23231.2570071256,30625.7861990788,31725.9233769795
2050,"IA",106662.339442287,72712.154924318,111802.29125005,75461.0114320241,"US",0,0,0,0,0,0,0,0,0,0,46202.0318499103,47449.9293478891,62394.5556032426,64578.2228460043
2050,"ID",95794.8926605181,63431.7841921945,100678.626797321,66036.2000380202,"US",0,0,0,0,0,0,0,0,0,0,34980.8547413324,36012.2370278478,48452.7554445713,50264.8432353937
2050,"IL",353380.148972324,245826.975851042,369908.04111054,254779.949313324,"US",3470.75380034392,3069.71069532418,109667.452008234,72558.0742493763,32063.8926676205,29372.4877589468,791185.136364779,523463.149896546,24000,0,168956.364418817,173441.273823787,225386.053392759,233130.077458777
2050,"IN",220377.083989552,151729.167460114,230862.435632236,157379.679089326,"US",13001.4437360883,11499.1362646844,410814.275222845,271802.546138164,37072.985233251,33961.1230688444,914785.836556877,605239.726424829,5,5,96729.0307624977,99300.5906231808,129490.528582422,133955.330027173
2050,"KS",89700.0127094101,61906.0131793552,93931.9527644122,64180.4351062618,"US",0,0,0,0,10687.9642225402,9790.82925298225,263728.37878826,174487.716632182,0,0,40411.3746354251,41473.019744131,54012.1845177949,55858.6320495364
2050,"KY",139749.245830431,96780.5574369387,146318.843053864,100323.890434534,"US",19783.2966619604,17497.3509633478,625104.476446935,413581.023221445,9262.90232620147,8485.38535258462,228564.594949825,151222.687747891,270,270,62115.1887666235,63726.6098795306,82587.4358308168,85381.3965917398
2050,"LA",133850.286742252,93512.0378637137,139990.729749551,96811.4772453927,"US",0,0,0,0,0,0,0,0,0,0,61450.9698487192,62996.7761303467,81264.8496111485,83955.4932788953
2050,"MA",344466.95244408,222245.362958379,363132.57538521,232302.977656428,"US",3818.87040651842,3377.6026780652,120667.09744466,79835.6490965887,0,0,0,0,30000,0,149247.017010597,154498.451504771,216055.61781249,225147.80106331
2050,"MB",72623.8797811891,48450.1082918554,76240.0797657368,50363.7610822276,"CA",0,0,0,0,0,0,0,0,0,0,31359.497386426,32328.9357709066,44190.5209107241,45898.9713924218
2050,"MD",289293.674833642,188584.796971596,304798.75391419,196996.997826326,"US",0,0,0,0,71.2530948169344,65.2721950198817,1758.18919192173,1163.25144421455,0,0,127298.686711023,131701.632055158,182356.229994406,189918.456618467
2050,"ME",44854.3239814361,30291.4274674504,47056.8187307863,31468.264362382,"US",0,0,0,0,0,0,0,0,0,0,19912.9742220074,20477.1366809881,27256.332230496,28244.5302524857
2050,"MI",297433.66626223,205002.77131725,311418.947447632,212478.188664767,"US",70526.4113737486,62377.1352711264,2228464.55829772,1474394.58036218,57547.562028897,52717.0883078074,1420001.50085559,939500.028919878,22680,0,135593.965820674,139146.901772975,181761.394900419,187987.561749721
2050,"MN",210199.272209103,142693.884446841,220435.846162997,148176.086143305,"US",0,0,0,0,0,0,0,0,0,0,88221.0443962083,90661.4647058848,119820.63550964,124089.161883961
2050,"MO",191357.294804591,131512.883509831,200488.296848448,136429.072214282,"US",0,0,0,0,71.2530948169344,65.2721950198817,1758.18919192173,1163.25144421455,0,206085.3314,86186.8129494318,88511.7870946297,115851.498182514,119892.162265124
2050,"MS",83319.3702269537,57600.4227608806,87258.4746583652,59728.1539911832,"US",0,0,0,0,7481.57495577811,6853.58047708758,184609.865151782,122141.401642527,0,0,38878.8646435913,39905.4552942636,51854.1752030652,53628.6487251179
2050,"MT",38079.8620880922,26258.4251302103,39849.4203536902,27195.4052301446,"US",0,0,0,0,0,0,0,0,0,0,15752.9886698724,16146.400060385,20975.4094249697,21671.1084269305
2050,"MX",174481.822043239,174481.822043239,174481.822043239,174481.822043239,"MX",3036.90957530093,2685.99685840866,95959.0205072049,63488.3149682042,0,0,0,0,0,0,398976.704677351,419605.400620029,654099.500848064,690083.393652076
2050,"NB",43811.9780905046,28902.7247963427,46064.346089717,30105.0411983343,"CA",0,0,0,0,0,0,0,0,0,0,19272.8157960273,19900.8578365906,27402.7710921777,28498.2132546184
2050,"NC",382559.49234865,264769.14667484,400740.602704767,274654.339175674,"US",23830.1955931614,21076.6336340958,752976.725488535,498183.737796218,11044.2296966248,10117.1902280817,272519.324747868,180303.973853255,38000,28504.625929,160534.394999781,164815.729834113,213756.95225142,221120.034922553
2050,"ND",36467.4023790629,24400.8523949053,38273.3797145396,25356.988371206,"US",0,0,0,0,0,0,0,0,0,0,13759.3329065009,14146.6110407013,18911.065606144,19596.801629735
