"Year","State_Province","Tonnes_Scrap_proj_down","Tonnes_Scrap_15_down","Tonnes_Prod_proj_down","Tonnes_Prod_15_down","Tonnes_Scrap_proj_mid","Tonnes_Scrap_15_mid","Tonnes_Prod_proj_mid","Tonnes_Prod_15_mid"
2045,"FL",0,0,0,0,526.67330093092,478.792986307884,12119.0102657367,8070.04922435661
2046,"FL",0,0,0,0,528.663056637985,481.383794230947,12377.0747209352,8218.62702928047
2047,"FL",0,0,0,0,530.389848898149,483.677246072602,12610.1092199139,8354.79276746792
2048,"FL",0,0,0,0,531.991108399268,485.95033325626,12834.1835356487,8494.27580584202
2049,"FL",0,0,0,0,533.27019732365,487.777123644488,13018.9780798962,8609.79419167735
2050,"FL",0,0,0,0,534.398211127008,489.541462649113,13186.418939413,8724.3858316091
2025,"GA",425.489293574825,425.489293574825,8084.29657792166,8084.29657792166,3742.72894079824,3642.80033651589,32793.7958704155,31289.0304588796
2026,"GA",14253.8913347566,14253.8913347566,270823.935360376,270823.935360376,3927.80782977627,3777.5882281878,41847.1832170569,38131.3546658833
2027,"GA",16283.049775815,16283.049775815,309377.945740484,309377.945740484,25484.9888553553,25484.9888553553,208207.05007724,208207.05007724
2028,"GA",26920.2821151856,26920.2821151856,511485.360188526,511485.360188526,27993.9688636808,24171.239993441,252737.960581308,211938.898650982
2029,"GA",26920.2821151856,26920.2821151856,511485.360188526,511485.360188526,37215.3134283757,37215.3134283757,330782.495005711,330782.495005711
2030,"GA",26920.2821151856,26920.2821151856,511485.360188526,511485.360188526,38393.1550116186,34760.274929057,372129.705631945,333237.53350503
2031,"GA",26920.2821151856,26920.2821151856,511485.360188526,511485.360188526,40245.8714643394,32480.8523223903,440926.940377066,335516.956111696
2032,"GA",30511.9595200121,26920.2821151856,590233.765157338,511485.360188526,40495.2547367241,33400.193872895,512464.143553785,377812.092956781
2033,"GA",34044.659867017,26920.2821151856,695564.594641705,511485.360188526,42171.3045919678,35690.3480403198,603758.757752097,433041.184182553
2034,"GA",36450.8037514622,29005.9593928083,791806.776796179,554441.284011736,42779.7806764739,36769.4176984207,687189.749501281,481186.039622984
2035,"GA",38438.5178064463,31352.8959335421,893993.552225229,612305.82078641,44384.499645937,38664.143741937,775875.154409742,531405.256856877
2036,"GA",39194.6925270996,32386.9038362525,940150.949908068,641817.290900959,44994.9737306868,39498.9177839545,815934.031753079,557017.540496945
2037,"GA",39864.7197338213,33302.4787012979,985223.483093389,670429.099857963,45535.8993059659,40238.0786055113,855051.38171355,581849.030206464
