"Year","State_Province","Mineral","Available Recycled Minerals (w Scrap) (Tonne)","Available Recycled Minerals No R Restraint (Tonne)","Minerals Recoverable in Exported Scrap/Batts (Tonne)","Minerals Recoverable in Exported BM (Tonne)","Minerals Lost to Pyrometalurgy (Tonne)","Scrap_min","Batt_min","Battery_Scenario","Chemistry_Scenario","Scenario","Country"
2025,"CA","Graphite",0,231.53400915734,0,0,231.53400915734,0,231.53400915734,"15% Lower Capacity","Benchmark Chemistry","Decreasing Batt Cap - Benchmark Chemistry","US"
2025,"CA","Lithium",0,24.2967161343611,0,0,24.2967161343611,0.00882404562559042,24.2878920887355,"15% Lower Capacity","Benchmark Chemistry","Decreasing Batt Cap - Benchmark Chemistry","US"
2025,"CA","Manganese",0,19.471436379332,0,0,19.471436379332,0.0131201831018811,19.4583161962301,"15% Lower Capacity","Benchmark Chemistry","Decreasing Batt Cap - Benchmark Chemistry","US"
2025,"CA","Nickel",164.285104170164,164.285104170164,0,0,0,0.0581428504646009,164.2269613197,"15% Lower Capacity","Benchmark Chemistry","Decreasing Batt Cap - Benchmark Chemistry","US"
2025,"CO","Cobalt",2.49145640762096,2.49145640762096,0,0,0,0.0141576444915308,2.47729876312943,"15% Lower Capacity","Benchmark Chemistry","Decreasing Batt Cap - Benchmark Chemistry","US"
2025,"CO","Copper",6.03653946420156,6.37190276776831,0,0,0.335363303566752,0.0349744967488428,6.33692827101947,"15% Lower Capacity","Benchmark Chemistry","Decreasing Batt Cap - Benchmark Chemistry","US"
2025,"CO","Graphite",0,14.4480285991084,0,0,14.4480285991084,0,14.4480285991084,"15% Lower Capacity","Benchmark Chemistry","Decreasing Batt Cap - Benchmark Chemistry","US"
2025,"CO","Lithium",0,1.51045803109485,0,0,1.51045803109485,0.00882404562559042,1.50163398546926,"15% Lower Capacity","Benchmark Chemistry","Decreasing Batt Cap - Benchmark Chemistry","US"
2025,"CO","Manganese",0,1.01668268099484,0,0,1.01668268099484,0.0131201831018811,1.00356249789296,"15% Lower Capacity","Benchmark Chemistry","Decreasing Batt Cap - Benchmark Chemistry","US"
2025,"CO","Nickel",10.5102869379519,10.5102869379519,0,0,0,0.0581428504646009,10.4521440874873,"15% Lower Capacity","Benchmark Chemistry","Decreasing Batt Cap - Benchmark Chemistry","US"
2025,"CT","Cobalt",1.0890282770145,1.0890282770145,0,0,0,0.0141576444915308,1.07487063252297,"15% Lower Capacity","Benchmark Chemistry","Decreasing Batt Cap - Benchmark Chemistry","US"
2025,"CT","Copper",2.5177892905702,2.65766647337965,0,0,0.139877182809455,0.0349744967488428,2.62269197663081,"15% Lower Capacity","Benchmark Chemistry","Decreasing Batt Cap - Benchmark Chemistry","US"
2025,"CT","Graphite",0,5.9467064733065,0,0,5.9467064733065,0,5.9467064733065,"15% Lower Capacity","Benchmark Chemistry","Decreasing Batt Cap - Benchmark Chemistry","US"
2025,"CT","Lithium",0,0.631258446887529,0,0,0.631258446887529,0.00882404562559042,0.622434401261938,"15% Lower Capacity","Benchmark Chemistry","Decreasing Batt Cap - Benchmark Chemistry","US"
2025,"CT","Manganese",0,0.520770494611004,0,0,0.520770494611004,0.0131201831018811,0.507650311509123,"15% Lower Capacity","Benchmark Chemistry","Decreasing Batt Cap - Benchmark Chemistry","US"
2025,"CT","Nickel",4.25273338615788,4.25273338615788,0,0,0,0.0581428504646009,4.19459053569328,"15% Lower Capacity","Benchmark Chemistry","Decreasing Batt Cap - Benchmark Chemistry","US"
2025,"DC","Cobalt",0.433518423334435,0.433518423334435,0,0,0,0.0141576444915308,0.419360778842904,"15% Lower Capacity","Benchmark Chemistry","Decreasing Batt Cap - Benchmark Chemistry","US"
2025,"DC","Copper",1.0557411501833,1.1143934363046,0,0,0.0586522861212944,0.0349744967488428,1.07941893955576,"15% Lower Capacity","Benchmark Chemistry","Decreasing Batt Cap - Benchmark Chemistry","US"
2025,"DC","Graphite",0,2.45985414502166,0,0,2.45985414502166,0,2.45985414502166,"15% Lower Capacity","Benchmark Chemistry","Decreasing Batt Cap - Benchmark Chemistry","US"
2025,"DC","Lithium",0,0.264279123386682,0,0,0.264279123386682,0.00882404562559042,0.255455077761092,"15% Lower Capacity","Benchmark Chemistry","Decreasing Batt Cap - Benchmark Chemistry","US"
2025,"DC","Manganese",0,0.188855800261929,0,0,0.188855800261929,0.0131201831018811,0.175735617160048,"15% Lower Capacity","Benchmark Chemistry","Decreasing Batt Cap - Benchmark Chemistry","US"
2025,"DC","Nickel",1.83284632745381,1.83284632745381,0,0,0,0.0581428504646009,1.77470347698921,"15% Lower Capacity","Benchmark Chemistry","Decreasing Batt Cap - Benchmark Chemistry","US"
2025,"DE","Cobalt",0.342176240226389,0.342176240226389,0,0,0,0.0141576444915308,0.328018595734858,"15% Lower Capacity","Benchmark Chemistry","Decreasing Batt Cap - Benchmark Chemistry","US"
2025,"DE","Copper",0.818269986230758,0.863729429910245,0,0,0.0454594436794865,0.0349744967488428,0.828754933161402,"15% Lower Capacity","Benchmark Chemistry","Decreasing Batt Cap - Benchmark Chemistry","US"
2025,"DE","Graphite",0,1.8859395743425,0,0,1.8859395743425,0,1.8859395743425,"15% Lower Capacity","Benchmark Chemistry","Decreasing Batt Cap - Benchmark Chemistry","US"
2025,"DE","Lithium",0,0.205155805662096,0,0,0.205155805662096,0.00882404562559042,0.196331760036505,"15% Lower Capacity","Benchmark Chemistry","Decreasing Batt Cap - Benchmark Chemistry","US"
2025,"DE","Manganese",0,0.163765587636595,0,0,0.163765587636595,0.0131201831018811,0.150645404534714,"15% Lower Capacity","Benchmark Chemistry","Decreasing Batt Cap - Benchmark Chemistry","US"
2025,"DE","Nickel",1.40491094438493,1.40491094438493,0,0,0,0.0581428504646009,1.34676809392033,"15% Lower Capacity","Benchmark Chemistry","Decreasing Batt Cap - Benchmark Chemistry","US"
2025,"FL","Cobalt",5.72848450764365,5.72848450764365,0,0,0,0.0141576444915308,5.71432686315212,"15% Lower Capacity","Benchmark Chemistry","Decreasing Batt Cap - Benchmark Chemistry","US"
2025,"FL","Copper",14.1130183343557,14.8970749084865,0,0,0.784056574130872,0.0349744967488428,14.8621004117377,"15% Lower Capacity","Benchmark Chemistry","Decreasing Batt Cap - Benchmark Chemistry","US"
2025,"FL","Graphite",0,33.8439722846435,0,0,33.8439722846435,0,33.8439722846435,"15% Lower Capacity","Benchmark Chemistry","Decreasing Batt Cap - Benchmark Chemistry","US"
2025,"FL","Lithium",0,3.51699405434448,0,0,3.51699405434448,0.00882404562559042,3.50817000871889,"15% Lower Capacity","Benchmark Chemistry","Decreasing Batt Cap - Benchmark Chemistry","US"
2025,"FL","Manganese",0,2.30256185636954,0,0,2.30256185636954,0.0131201831018811,2.28944167326766,"15% Lower Capacity","Benchmark Chemistry","Decreasing Batt Cap - Benchmark Chemistry","US"
2025,"FL","Nickel",24.4544623815353,24.4544623815353,0,0,0,0.0581428504646009,24.3963195310707,"15% Lower Capacity","Benchmark Chemistry","Decreasing Batt Cap - Benchmark Chemistry","US"
2025,"GA","Cobalt",4.36374671905381,4.36374671905381,0,0,0,0.0141576444915308,4.34958907456228,"15% Lower Capacity","Benchmark Chemistry","Decreasing Batt Cap - Benchmark Chemistry","US"
2025,"GA","Copper",10.1974762101518,10.7640026662713,0,0,0.566526456119542,0.0349744967488428,10.7290281695225,"15% Lower Capacity","Benchmark Chemistry","Decreasing Batt Cap - Benchmark Chemistry","US"
2025,"GA","Graphite",0,24.4912062209986,0,0,24.4912062209986,0,24.4912062209986,"15% Lower Capacity","Benchmark Chemistry","Decreasing Batt Cap - Benchmark Chemistry","US"
2025,"GA","Lithium",0,2.568594403617,0,0,2.568594403617,0.00882404562559042,2.55977035799141,"15% Lower Capacity","Benchmark Chemistry","Decreasing Batt Cap - Benchmark Chemistry","US"
2025,"GA","Manganese",0,1.74991506064459,0,0,1.74991506064459,0.0131201831018811,1.73679487754271,"15% Lower Capacity","Benchmark Chemistry","Decreasing Batt Cap - Benchmark Chemistry","US"
2025,"GA","Nickel",17.8399595731024,17.8399595731024,0,0,0,0.0581428504646009,17.7818167226378,"15% Lower Capacity","Benchmark Chemistry","Decreasing Batt Cap - Benchmark Chemistry","US"
2025,"HI","Cobalt",1.37790521831303,1.37790521831303,0,0,0,0.0141576444915308,1.3637475738215,"15% Lower Capacity","Benchmark Chemistry","Decreasing Batt Cap - Benchmark Chemistry","US"
2025,"HI","Copper",3.25342958670012,3.43417567485013,0,0,0.180746088150006,0.0349744967488428,3.39920117810129,"15% Lower Capacity","Benchmark Chemistry","Decreasing Batt Cap - Benchmark Chemistry","US"
2025,"HI","Graphite",0,7.74948996421739,0,0,7.74948996421739,0,7.74948996421739,"15% Lower Capacity","Benchmark Chemistry","Decreasing Batt Cap - Benchmark Chemistry","US"
2025,"HI","Lithium",0,0.817759659114941,0,0,0.817759659114941,0.00882404562559042,0.80893561348935,"15% Lower Capacity","Benchmark Chemistry","Decreasing Batt Cap - Benchmark Chemistry","US"
2025,"HI","Manganese",0,0.554038293476719,0,0,0.554038293476719,0.0131201831018811,0.540918110374838,"15% Lower Capacity","Benchmark Chemistry","Decreasing Batt Cap - Benchmark Chemistry","US"
2025,"HI","Nickel",5.67318277919936,5.67318277919936,0,0,0,0.0581428504646009,5.61503992873475,"15% Lower Capacity","Benchmark Chemistry","Decreasing Batt Cap - Benchmark Chemistry","US"
2025,"IA","Cobalt",0.477030929139548,0.477030929139548,0,0,0,0.0141576444915308,0.462873284648017,"15% Lower Capacity","Benchmark Chemistry","Decreasing Batt Cap - Benchmark Chemistry","US"
2025,"IA","Copper",1.09883602975207,1.1598824758494,0,0,0.0610464460973368,0.0349744967488428,1.12490797910056,"15% Lower Capacity","Benchmark Chemistry","Decreasing Batt Cap - Benchmark Chemistry","US"
2025,"IA","Graphite",0,2.54936036020354,0,0,2.54936036020354,0,2.54936036020354,"15% Lower Capacity","Benchmark Chemistry","Decreasing Batt Cap - Benchmark Chemistry","US"
2025,"IA","Lithium",0,0.275808959693059,0,0,0.275808959693059,0.00882404562559042,0.266984914067469,"15% Lower Capacity","Benchmark Chemistry","Decreasing Batt Cap - Benchmark Chemistry","US"
2025,"IA","Manganese",0,0.24526900063161,0,0,0.24526900063161,0.0131201831018811,0.232148817529729,"15% Lower Capacity","Benchmark Chemistry","Decreasing Batt Cap - Benchmark Chemistry","US"
2025,"IA","Nickel",1.84656661844857,1.84656661844857,0,0,0,0.0581428504646009,1.78842376798397,"15% Lower Capacity","Benchmark Chemistry","Decreasing Batt Cap - Benchmark Chemistry","US"
2025,"ID","Cobalt",0.417351214723031,0.417351214723031,0,0,0,0.0141576444915308,0.4031935702315,"15% Lower Capacity","Benchmark Chemistry","Decreasing Batt Cap - Benchmark Chemistry","US"
2025,"ID","Copper",1.01578155542769,1.07221386406257,0,0,0.0564323086348717,0.0349744967488428,1.03723936731372,"15% Lower Capacity","Benchmark Chemistry","Decreasing Batt Cap - Benchmark Chemistry","US"
2025,"ID","Graphite",0,2.36226850592411,0,0,2.36226850592411,0,2.36226850592411,"15% Lower Capacity","Benchmark Chemistry","Decreasing Batt Cap - Benchmark Chemistry","US"
2025,"ID","Lithium",0,0.254157128375031,0,0,0.254157128375031,0.00882404562559042,0.245333082749441,"15% Lower Capacity","Benchmark Chemistry","Decreasing Batt Cap - Benchmark Chemistry","US"
2025,"ID","Manganese",0,0.185127517294408,0,0,0.185127517294408,0.0131201831018811,0.172007334192527,"15% Lower Capacity","Benchmark Chemistry","Decreasing Batt Cap - Benchmark Chemistry","US"
2025,"ID","Nickel",1.75783329856484,1.75783329856484,0,0,0,0.0581428504646009,1.69969044810024,"15% Lower Capacity","Benchmark Chemistry","Decreasing Batt Cap - Benchmark Chemistry","US"
2025,"IL","Cobalt",2.7606885414674,2.7606885414674,0,0,0,0.0141576444915308,2.74653089697587,"15% Lower Capacity","Benchmark Chemistry","Decreasing Batt Cap - Benchmark Chemistry","US"
2025,"IL","Copper",6.56627137901806,6.93106423340796,0,0,0.364792854389893,0.0349744967488428,6.89608973665911,"15% Lower Capacity","Benchmark Chemistry","Decreasing Batt Cap - Benchmark Chemistry","US"
2025,"IL","Graphite",0,15.7050410858225,0,0,15.7050410858225,0,15.7050410858225,"15% Lower Capacity","Benchmark Chemistry","Decreasing Batt Cap - Benchmark Chemistry","US"
