"Year","Scenario","Recycling Step","Tonne","Scenario_Recycling"
2045,"Decreasing Batt Cap - High LFP Chemistry","Black Mass",20.8367767909583,"Decreasing Batt Cap - High LFP Chemistry - Black Mass"
2045,"Decreasing Batt Cap - High LFP Chemistry","Refining",16.0784507783855,"Decreasing Batt Cap - High LFP Chemistry - Refining"
2046,"Decreasing Batt Cap - High LFP Chemistry","Black Mass",25.6009057305243,"Decreasing Batt Cap - High LFP Chemistry - Black Mass"
2046,"Decreasing Batt Cap - High LFP Chemistry","Refining",20.3580861983985,"Decreasing Batt Cap - High LFP Chemistry - Refining"
2047,"Decreasing Batt Cap - High LFP Chemistry","Black Mass",30.9008236913294,"Decreasing Batt Cap - High LFP Chemistry - Black Mass"
2047,"Decreasing Batt Cap - High LFP Chemistry","Refining",25.1735106396506,"Decreasing Batt Cap - High LFP Chemistry - Refining"
2048,"Decreasing Batt Cap - High LFP Chemistry","Black Mass",36.7230148648453,"Decreasing Batt Cap - High LFP Chemistry - Black Mass"
2048,"Decreasing Batt Cap - High LFP Chemistry","Refining",30.5112082936135,"Decreasing Batt Cap - High LFP Chemistry - Refining"
2049,"Decreasing Batt Cap - High LFP Chemistry","Black Mass",43.0383750969385,"Decreasing Batt Cap - High LFP Chemistry - Black Mass"
2049,"Decreasing Batt Cap - High LFP Chemistry","Refining",36.3420750061537,"Decreasing Batt Cap - High LFP Chemistry - Refining"
2050,"Decreasing Batt Cap - High LFP Chemistry","Black Mass",49.8109308434296,"Decreasing Batt Cap - High LFP Chemistry - Black Mass"
2050,"Decreasing Batt Cap - High LFP Chemistry","Refining",42.6301372330918,"Decreasing Batt Cap - High LFP Chemistry - Refining"
2025,"Increasing Batt Cap - Benchmark Chemistry","Black Mass",0,"Increasing Batt Cap - Benchmark Chemistry - Black Mass"
2025,"Increasing Batt Cap - Benchmark Chemistry","Refining",0,"Increasing Batt Cap - Benchmark Chemistry - Refining"
2026,"Increasing Batt Cap - Benchmark Chemistry","Black Mass",0,"Increasing Batt Cap - Benchmark Chemistry - Black Mass"
2026,"Increasing Batt Cap - Benchmark Chemistry","Refining",0,"Increasing Batt Cap - Benchmark Chemistry - Refining"
2027,"Increasing Batt Cap - Benchmark Chemistry","Black Mass",0,"Increasing Batt Cap - Benchmark Chemistry - Black Mass"
2027,"Increasing Batt Cap - Benchmark Chemistry","Refining",0,"Increasing Batt Cap - Benchmark Chemistry - Refining"
2028,"Increasing Batt Cap - Benchmark Chemistry","Black Mass",0,"Increasing Batt Cap - Benchmark Chemistry - Black Mass"
2028,"Increasing Batt Cap - Benchmark Chemistry","Refining",0,"Increasing Batt Cap - Benchmark Chemistry - Refining"
2029,"Increasing Batt Cap - Benchmark Chemistry","Black Mass",0,"Increasing Batt Cap - Benchmark Chemistry - Black Mass"
2029,"Increasing Batt Cap - Benchmark Chemistry","Refining",0,"Increasing Batt Cap - Benchmark Chemistry - Refining"
2030,"Increasing Batt Cap - Benchmark Chemistry","Black Mass",0,"Increasing Batt Cap - Benchmark Chemistry - Black Mass"
2030,"Increasing Batt Cap - Benchmark Chemistry","Refining",0,"Increasing Batt Cap - Benchmark Chemistry - Refining"
2031,"Increasing Batt Cap - Benchmark Chemistry","Black Mass",0,"Increasing Batt Cap - Benchmark Chemistry - Black Mass"
2031,"Increasing Batt Cap - Benchmark Chemistry","Refining",0,"Increasing Batt Cap - Benchmark Chemistry - Refining"
2032,"Increasing Batt Cap - Benchmark Chemistry","Black Mass",0,"Increasing Batt Cap - Benchmark Chemistry - Black Mass"
2032,"Increasing Batt Cap - Benchmark Chemistry","Refining",0,"Increasing Batt Cap - Benchmark Chemistry - Refining"
2033,"Increasing Batt Cap - Benchmark Chemistry","Black Mass",0,"Increasing Batt Cap - Benchmark Chemistry - Black Mass"
2033,"Increasing Batt Cap - Benchmark Chemistry","Refining",0,"Increasing Batt Cap - Benchmark Chemistry - Refining"
2034,"Increasing Batt Cap - Benchmark Chemistry","Black Mass",0,"Increasing Batt Cap - Benchmark Chemistry - Black Mass"
2034,"Increasing Batt Cap - Benchmark Chemistry","Refining",0,"Increasing Batt Cap - Benchmark Chemistry - Refining"
2035,"Increasing Batt Cap - Benchmark Chemistry","Black Mass",0.172648358587309,"Increasing Batt Cap - Benchmark Chemistry - Black Mass"
2035,"Increasing Batt Cap - Benchmark Chemistry","Refining",0,"Increasing Batt Cap - Benchmark Chemistry - Refining"
2036,"Increasing Batt Cap - Benchmark Chemistry","Black Mass",0.571920299108163,"Increasing Batt Cap - Benchmark Chemistry - Black Mass"
2036,"Increasing Batt Cap - Benchmark Chemistry","Refining",0,"Increasing Batt Cap - Benchmark Chemistry - Refining"
2037,"Increasing Batt Cap - Benchmark Chemistry","Black Mass",1.24987835175169,"Increasing Batt Cap - Benchmark Chemistry - Black Mass"
2037,"Increasing Batt Cap - Benchmark Chemistry","Refining",0.193464533090531,"Increasing Batt Cap - Benchmark Chemistry - Refining"
2038,"Increasing Batt Cap - Benchmark Chemistry","Black Mass",2.31697854422561,"Increasing Batt Cap - Benchmark Chemistry - Black Mass"
2038,"Increasing Batt Cap - Benchmark Chemistry","Refining",0.776071206011446,"Increasing Batt Cap - Benchmark Chemistry - Refining"
2039,"Increasing Batt Cap - Benchmark Chemistry","Black Mass",3.8062132981683,"Increasing Batt Cap - Benchmark Chemistry - Black Mass"
2039,"Increasing Batt Cap - Benchmark Chemistry","Refining",1.78081244040113,"Increasing Batt Cap - Benchmark Chemistry - Refining"
2040,"Increasing Batt Cap - Benchmark Chemistry","Black Mass",5.78428298317405,"Increasing Batt Cap - Benchmark Chemistry - Black Mass"
2040,"Increasing Batt Cap - Benchmark Chemistry","Refining",3.27438860585388,"Increasing Batt Cap - Benchmark Chemistry - Refining"
2041,"Increasing Batt Cap - Benchmark Chemistry","Black Mass",8.31565041378159,"Increasing Batt Cap - Benchmark Chemistry - Black Mass"
2041,"Increasing Batt Cap - Benchmark Chemistry","Refining",5.32126251690843,"Increasing Batt Cap - Benchmark Chemistry - Refining"
2042,"Increasing Batt Cap - Benchmark Chemistry","Black Mass",11.4638414467663,"Increasing Batt Cap - Benchmark Chemistry - Black Mass"
2042,"Increasing Batt Cap - Benchmark Chemistry","Refining",7.9849600303401,"Increasing Batt Cap - Benchmark Chemistry - Refining"
2043,"Increasing Batt Cap - Benchmark Chemistry","Black Mass",15.2893502088659,"Increasing Batt Cap - Benchmark Chemistry - Black Mass"
2043,"Increasing Batt Cap - Benchmark Chemistry","Refining",11.3259752728867,"Increasing Batt Cap - Benchmark Chemistry - Refining"
2044,"Increasing Batt Cap - Benchmark Chemistry","Black Mass",19.8433926480697,"Increasing Batt Cap - Benchmark Chemistry - Black Mass"
2044,"Increasing Batt Cap - Benchmark Chemistry","Refining",15.3955241925375,"Increasing Batt Cap - Benchmark Chemistry - Refining"
2045,"Increasing Batt Cap - Benchmark Chemistry","Black Mass",25.170278466291,"Increasing Batt Cap - Benchmark Chemistry - Black Mass"
2045,"Increasing Batt Cap - Benchmark Chemistry","Refining",20.2379164912058,"Increasing Batt Cap - Benchmark Chemistry - Refining"
2046,"Increasing Batt Cap - Benchmark Chemistry","Black Mass",31.3117817220449,"Increasing Batt Cap - Benchmark Chemistry - Black Mass"
2046,"Increasing Batt Cap - Benchmark Chemistry","Refining",25.8949262274067,"Increasing Batt Cap - Benchmark Chemistry - Refining"
2047,"Increasing Batt Cap - Benchmark Chemistry","Black Mass",38.2899113039696,"Increasing Batt Cap - Benchmark Chemistry - Black Mass"
2047,"Increasing Batt Cap - Benchmark Chemistry","Refining",32.3885622897785,"Increasing Batt Cap - Benchmark Chemistry - Refining"
2048,"Increasing Batt Cap - Benchmark Chemistry","Black Mass",46.1116628988239,"Increasing Batt Cap - Benchmark Chemistry - Black Mass"
2048,"Increasing Batt Cap - Benchmark Chemistry","Refining",39.7258203650797,"Increasing Batt Cap - Benchmark Chemistry - Refining"
2049,"Increasing Batt Cap - Benchmark Chemistry","Black Mass",54.742008776552,"Increasing Batt Cap - Benchmark Chemistry - Black Mass"
2049,"Increasing Batt Cap - Benchmark Chemistry","Refining",47.8716727232549,"Increasing Batt Cap - Benchmark Chemistry - Refining"
2050,"Increasing Batt Cap - Benchmark Chemistry","Black Mass",64.1269306044299,"Increasing Batt Cap - Benchmark Chemistry - Black Mass"
2050,"Increasing Batt Cap - Benchmark Chemistry","Refining",56.7721010315797,"Increasing Batt Cap - Benchmark Chemistry - Refining"
2025,"Increasing Batt Cap - High LFP Chemistry","Black Mass",0,"Increasing Batt Cap - High LFP Chemistry - Black Mass"
