"Year","Scenario","Mineral","Recycling Scenario","Recycle_v_Demand"
2045,"Increasing Batt Cap - High LFP Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",0.0345933380359151
2045,"Increasing Batt Cap - High LFP Chemistry","Cobalt","All Material is Recycled in NA",0.44419518241251
2046,"Increasing Batt Cap - High LFP Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",0.0327437536241639
2046,"Increasing Batt Cap - High LFP Chemistry","Cobalt","All Material is Recycled in NA",0.490163936236455
2047,"Increasing Batt Cap - High LFP Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",0.0311580188466375
2047,"Increasing Batt Cap - High LFP Chemistry","Cobalt","All Material is Recycled in NA",0.536991759873702
2048,"Increasing Batt Cap - High LFP Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",0.0297520850186091
2048,"Increasing Batt Cap - High LFP Chemistry","Cobalt","All Material is Recycled in NA",0.582528635234512
2049,"Increasing Batt Cap - High LFP Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",0.028510484132388
2049,"Increasing Batt Cap - High LFP Chemistry","Cobalt","All Material is Recycled in NA",0.626310375967875
2050,"Increasing Batt Cap - High LFP Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",0.0273846953973086
2050,"Increasing Batt Cap - High LFP Chemistry","Cobalt","All Material is Recycled in NA",0.664597870085491
2026,"Decreasing Batt Cap - Benchmark Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",0.00521622592351571
2026,"Decreasing Batt Cap - Benchmark Chemistry","Cobalt","All Material is Recycled in NA",0.00521622592351571
2027,"Decreasing Batt Cap - Benchmark Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",0.00680310986029708
2027,"Decreasing Batt Cap - Benchmark Chemistry","Cobalt","All Material is Recycled in NA",0.00680310986029708
2028,"Decreasing Batt Cap - Benchmark Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",0.00971561574528525
2028,"Decreasing Batt Cap - Benchmark Chemistry","Cobalt","All Material is Recycled in NA",0.00971561574528525
2029,"Decreasing Batt Cap - Benchmark Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",0.0136652067269525
