"Year","Scenario","Mineral","Recycling Scenario","Tonne"
2026,"Increasing Batt Cap - High LFP Chemistry","Nickel","All Material is Recycled in NA",839.431316579645
2027,"Decreasing Batt Cap - Benchmark Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",353.540316835571
2027,"Decreasing Batt Cap - Benchmark Chemistry","Cobalt","All Material is Recycled in NA",353.540316835571
2027,"Decreasing Batt Cap - Benchmark Chemistry","Copper","Recycling Limited to NA 2025 Online or Planned",1318.09701794555
2027,"Decreasing Batt Cap - Benchmark Chemistry","Copper","All Material is Recycled in NA",1391.32463005364
2027,"Decreasing Batt Cap - Benchmark Chemistry","Graphite","Recycling Limited to NA 2025 Online or Planned",0
2027,"Decreasing Batt Cap - Benchmark Chemistry","Graphite","All Material is Recycled in NA",2869.13338321011
2027,"Decreasing Batt Cap - Benchmark Chemistry","Lithium","Recycling Limited to NA 2025 Online or Planned",0
2027,"Decreasing Batt Cap - Benchmark Chemistry","Lithium","All Material is Recycled in NA",281.518715205381
2027,"Decreasing Batt Cap - Benchmark Chemistry","Manganese","Recycling Limited to NA 2025 Online or Planned",0
2027,"Decreasing Batt Cap - Benchmark Chemistry","Manganese","All Material is Recycled in NA",169.03615968039
2027,"Decreasing Batt Cap - Benchmark Chemistry","Nickel","Recycling Limited to NA 2025 Online or Planned",1457.889919537
2027,"Decreasing Batt Cap - Benchmark Chemistry","Nickel","All Material is Recycled in NA",1457.889919537
2027,"Decreasing Batt Cap - High LFP Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",353.211816229486
2027,"Decreasing Batt Cap - High LFP Chemistry","Cobalt","All Material is Recycled in NA",353.211816229486
2027,"Decreasing Batt Cap - High LFP Chemistry","Copper","Recycling Limited to NA 2025 Online or Planned",1318.49455525854
2027,"Decreasing Batt Cap - High LFP Chemistry","Copper","All Material is Recycled in NA",1391.7442527729
2027,"Decreasing Batt Cap - High LFP Chemistry","Graphite","Recycling Limited to NA 2025 Online or Planned",0
2027,"Decreasing Batt Cap - High LFP Chemistry","Graphite","All Material is Recycled in NA",2869.2759188535
2027,"Decreasing Batt Cap - High LFP Chemistry","Lithium","Recycling Limited to NA 2025 Online or Planned",0
2027,"Decreasing Batt Cap - High LFP Chemistry","Lithium","All Material is Recycled in NA",281.488281483291
2027,"Decreasing Batt Cap - High LFP Chemistry","Manganese","Recycling Limited to NA 2025 Online or Planned",0
2027,"Decreasing Batt Cap - High LFP Chemistry","Manganese","All Material is Recycled in NA",168.868087668847
2027,"Decreasing Batt Cap - High LFP Chemistry","Nickel","Recycling Limited to NA 2025 Online or Planned",1456.30953212959
2027,"Decreasing Batt Cap - High LFP Chemistry","Nickel","All Material is Recycled in NA",1456.30953212959
2027,"Increasing Batt Cap - Benchmark Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",355.190465285861
2027,"Increasing Batt Cap - Benchmark Chemistry","Cobalt","All Material is Recycled in NA",355.190465285861
2027,"Increasing Batt Cap - Benchmark Chemistry","Copper","Recycling Limited to NA 2025 Online or Planned",1324.89199542893
2027,"Increasing Batt Cap - Benchmark Chemistry","Copper","All Material is Recycled in NA",1398.49710628609
2027,"Increasing Batt Cap - Benchmark Chemistry","Graphite","Recycling Limited to NA 2025 Online or Planned",0
2027,"Increasing Batt Cap - Benchmark Chemistry","Graphite","All Material is Recycled in NA",2884.11553584753
2027,"Increasing Batt Cap - Benchmark Chemistry","Lithium","Recycling Limited to NA 2025 Online or Planned",0
2027,"Increasing Batt Cap - Benchmark Chemistry","Lithium","All Material is Recycled in NA",282.968039553279
2027,"Increasing Batt Cap - Benchmark Chemistry","Manganese","Recycling Limited to NA 2025 Online or Planned",0
2027,"Increasing Batt Cap - Benchmark Chemistry","Manganese","All Material is Recycled in NA",169.866645699382
2027,"Increasing Batt Cap - Benchmark Chemistry","Nickel","Recycling Limited to NA 2025 Online or Planned",1465.80757239545
2027,"Increasing Batt Cap - Benchmark Chemistry","Nickel","All Material is Recycled in NA",1465.80757239545
2027,"Increasing Batt Cap - High LFP Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",354.821139536854
2027,"Increasing Batt Cap - High LFP Chemistry","Cobalt","All Material is Recycled in NA",354.821139536854
2027,"Increasing Batt Cap - High LFP Chemistry","Copper","Recycling Limited to NA 2025 Online or Planned",1325.33892661078
2027,"Increasing Batt Cap - High LFP Chemistry","Copper","All Material is Recycled in NA",1398.96886697804
2027,"Increasing Batt Cap - High LFP Chemistry","Graphite","Recycling Limited to NA 2025 Online or Planned",0
2027,"Increasing Batt Cap - High LFP Chemistry","Graphite","All Material is Recycled in NA",2884.27578067156
2027,"Increasing Batt Cap - High LFP Chemistry","Lithium","Recycling Limited to NA 2025 Online or Planned",0
2027,"Increasing Batt Cap - High LFP Chemistry","Lithium","All Material is Recycled in NA",282.933823303064
2027,"Increasing Batt Cap - High LFP Chemistry","Manganese","Recycling Limited to NA 2025 Online or Planned",0
2027,"Increasing Batt Cap - High LFP Chemistry","Manganese","All Material is Recycled in NA",169.677704926678
2027,"Increasing Batt Cap - High LFP Chemistry","Nickel","Recycling Limited to NA 2025 Online or Planned",1464.03080749976
2027,"Increasing Batt Cap - High LFP Chemistry","Nickel","All Material is Recycled in NA",1464.03080749976
2028,"Decreasing Batt Cap - Benchmark Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",564.635522720735
2028,"Decreasing Batt Cap - Benchmark Chemistry","Cobalt","All Material is Recycled in NA",564.635522720735
2028,"Decreasing Batt Cap - Benchmark Chemistry","Copper","Recycling Limited to NA 2025 Online or Planned",2391.16526029923
2028,"Decreasing Batt Cap - Benchmark Chemistry","Copper","All Material is Recycled in NA",2524.0077747603
2028,"Decreasing Batt Cap - Benchmark Chemistry","Graphite","Recycling Limited to NA 2025 Online or Planned",0
2028,"Decreasing Batt Cap - Benchmark Chemistry","Graphite","All Material is Recycled in NA",5124.42057474303
2028,"Decreasing Batt Cap - Benchmark Chemistry","Lithium","Recycling Limited to NA 2025 Online or Planned",0
2028,"Decreasing Batt Cap - Benchmark Chemistry","Lithium","All Material is Recycled in NA",494.205776271008
2028,"Decreasing Batt Cap - Benchmark Chemistry","Manganese","Recycling Limited to NA 2025 Online or Planned",0
2028,"Decreasing Batt Cap - Benchmark Chemistry","Manganese","All Material is Recycled in NA",268.313927519611
2028,"Decreasing Batt Cap - Benchmark Chemistry","Nickel","Recycling Limited to NA 2025 Online or Planned",2394.8549339179
2028,"Decreasing Batt Cap - Benchmark Chemistry","Nickel","All Material is Recycled in NA",2394.8549339179
2028,"Decreasing Batt Cap - High LFP Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",563.178381903389
2028,"Decreasing Batt Cap - High LFP Chemistry","Cobalt","All Material is Recycled in NA",563.178381903389
2028,"Decreasing Batt Cap - High LFP Chemistry","Copper","Recycling Limited to NA 2025 Online or Planned",2392.94652310482
2028,"Decreasing Batt Cap - High LFP Chemistry","Copper","All Material is Recycled in NA",2525.88799661064
2028,"Decreasing Batt Cap - High LFP Chemistry","Graphite","Recycling Limited to NA 2025 Online or Planned",0
2028,"Decreasing Batt Cap - High LFP Chemistry","Graphite","All Material is Recycled in NA",5125.05869492424
2028,"Decreasing Batt Cap - High LFP Chemistry","Lithium","Recycling Limited to NA 2025 Online or Planned",0
2028,"Decreasing Batt Cap - High LFP Chemistry","Lithium","All Material is Recycled in NA",494.071010926573
2028,"Decreasing Batt Cap - High LFP Chemistry","Manganese","Recycling Limited to NA 2025 Online or Planned",0
2028,"Decreasing Batt Cap - High LFP Chemistry","Manganese","All Material is Recycled in NA",267.555162264693
2028,"Decreasing Batt Cap - High LFP Chemistry","Nickel","Recycling Limited to NA 2025 Online or Planned",2387.78366485127
2028,"Decreasing Batt Cap - High LFP Chemistry","Nickel","All Material is Recycled in NA",2387.78366485127
2028,"Increasing Batt Cap - Benchmark Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",569.591748146554
2028,"Increasing Batt Cap - Benchmark Chemistry","Cobalt","All Material is Recycled in NA",569.591748146554
2028,"Increasing Batt Cap - Benchmark Chemistry","Copper","Recycling Limited to NA 2025 Online or Planned",2410.78361578012
2028,"Increasing Batt Cap - Benchmark Chemistry","Copper","All Material is Recycled in NA",2544.71603887902
2028,"Increasing Batt Cap - Benchmark Chemistry","Graphite","Recycling Limited to NA 2025 Online or Planned",0
2028,"Increasing Batt Cap - Benchmark Chemistry","Graphite","All Material is Recycled in NA",5166.25507157978
2028,"Increasing Batt Cap - Benchmark Chemistry","Lithium","Recycling Limited to NA 2025 Online or Planned",0
2028,"Increasing Batt Cap - Benchmark Chemistry","Lithium","All Material is Recycled in NA",498.450964767689
2028,"Increasing Batt Cap - Benchmark Chemistry","Manganese","Recycling Limited to NA 2025 Online or Planned",0
2028,"Increasing Batt Cap - Benchmark Chemistry","Manganese","All Material is Recycled in NA",270.985671044437
2028,"Increasing Batt Cap - Benchmark Chemistry","Nickel","Recycling Limited to NA 2025 Online or Planned",2418.58341776992
2028,"Increasing Batt Cap - Benchmark Chemistry","Nickel","All Material is Recycled in NA",2418.58341776992
2028,"Increasing Batt Cap - High LFP Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",567.896198353068
2028,"Increasing Batt Cap - High LFP Chemistry","Cobalt","All Material is Recycled in NA",567.896198353068
2028,"Increasing Batt Cap - High LFP Chemistry","Copper","Recycling Limited to NA 2025 Online or Planned",2412.85667407168
2028,"Increasing Batt Cap - High LFP Chemistry","Copper","All Material is Recycled in NA",2546.90426707567
2028,"Increasing Batt Cap - High LFP Chemistry","Graphite","Recycling Limited to NA 2025 Online or Planned",0
2028,"Increasing Batt Cap - High LFP Chemistry","Graphite","All Material is Recycled in NA",5166.99771212463
2028,"Increasing Batt Cap - High LFP Chemistry","Lithium","Recycling Limited to NA 2025 Online or Planned",0
2028,"Increasing Batt Cap - High LFP Chemistry","Lithium","All Material is Recycled in NA",498.294154210074
2028,"Increasing Batt Cap - High LFP Chemistry","Manganese","Recycling Limited to NA 2025 Online or Planned",0
2028,"Increasing Batt Cap - High LFP Chemistry","Manganese","All Material is Recycled in NA",270.102514610285
2028,"Increasing Batt Cap - High LFP Chemistry","Nickel","Recycling Limited to NA 2025 Online or Planned",2410.35396075853
2028,"Increasing Batt Cap - High LFP Chemistry","Nickel","All Material is Recycled in NA",2410.35396075853
2029,"Decreasing Batt Cap - Benchmark Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",863.664911530048
2029,"Decreasing Batt Cap - Benchmark Chemistry","Cobalt","All Material is Recycled in NA",863.664911530048
2029,"Decreasing Batt Cap - Benchmark Chemistry","Copper","Recycling Limited to NA 2025 Online or Planned",4046.79118631751
2029,"Decreasing Batt Cap - Benchmark Chemistry","Copper","All Material is Recycled in NA",4271.6129188907
2029,"Decreasing Batt Cap - Benchmark Chemistry","Graphite","Recycling Limited to NA 2025 Online or Planned",0
2029,"Decreasing Batt Cap - Benchmark Chemistry","Graphite","All Material is Recycled in NA",8577.52651404898
2029,"Decreasing Batt Cap - Benchmark Chemistry","Lithium","Recycling Limited to NA 2025 Online or Planned",0
2029,"Decreasing Batt Cap - Benchmark Chemistry","Lithium","All Material is Recycled in NA",818.036151492057
2029,"Decreasing Batt Cap - Benchmark Chemistry","Manganese","Recycling Limited to NA 2025 Online or Planned",0
2029,"Decreasing Batt Cap - Benchmark Chemistry","Manganese","All Material is Recycled in NA",403.710001218655
2029,"Decreasing Batt Cap - Benchmark Chemistry","Nickel","Recycling Limited to NA 2025 Online or Planned",3791.2678566531
2029,"Decreasing Batt Cap - Benchmark Chemistry","Nickel","All Material is Recycled in NA",3791.2678566531
2029,"Decreasing Batt Cap - High LFP Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",859.761728289471
2029,"Decreasing Batt Cap - High LFP Chemistry","Cobalt","All Material is Recycled in NA",859.761728289471
2029,"Decreasing Batt Cap - High LFP Chemistry","Copper","Recycling Limited to NA 2025 Online or Planned",4051.61469512205
2029,"Decreasing Batt Cap - High LFP Chemistry","Copper","All Material is Recycled in NA",4276.7044004066
2029,"Decreasing Batt Cap - High LFP Chemistry","Graphite","Recycling Limited to NA 2025 Online or Planned",0
2029,"Decreasing Batt Cap - High LFP Chemistry","Graphite","All Material is Recycled in NA",8579.25110225399
2029,"Decreasing Batt Cap - High LFP Chemistry","Lithium","Recycling Limited to NA 2025 Online or Planned",0
2029,"Decreasing Batt Cap - High LFP Chemistry","Lithium","All Material is Recycled in NA",817.675574407197
2029,"Decreasing Batt Cap - High LFP Chemistry","Manganese","Recycling Limited to NA 2025 Online or Planned",0
2029,"Decreasing Batt Cap - High LFP Chemistry","Manganese","All Material is Recycled in NA",401.655449327005
2029,"Decreasing Batt Cap - High LFP Chemistry","Nickel","Recycling Limited to NA 2025 Online or Planned",3772.13488527068
2029,"Decreasing Batt Cap - High LFP Chemistry","Nickel","All Material is Recycled in NA",3772.13488527068
2029,"Increasing Batt Cap - Benchmark Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",874.373330117242
2029,"Increasing Batt Cap - Benchmark Chemistry","Cobalt","All Material is Recycled in NA",874.373330117242
2029,"Increasing Batt Cap - Benchmark Chemistry","Copper","Recycling Limited to NA 2025 Online or Planned",4090.06410165247
2029,"Increasing Batt Cap - Benchmark Chemistry","Copper","All Material is Recycled in NA",4317.28988507761
2029,"Increasing Batt Cap - Benchmark Chemistry","Graphite","Recycling Limited to NA 2025 Online or Planned",0
2029,"Increasing Batt Cap - Benchmark Chemistry","Graphite","All Material is Recycled in NA",8673.64450504384
2029,"Increasing Batt Cap - Benchmark Chemistry","Lithium","Recycling Limited to NA 2025 Online or Planned",0
2029,"Increasing Batt Cap - Benchmark Chemistry","Lithium","All Material is Recycled in NA",827.35348528057
2029,"Increasing Batt Cap - Benchmark Chemistry","Manganese","Recycling Limited to NA 2025 Online or Planned",0
