Year,State_Province,Add_LIB_proj_tonnes,Add_LIB_15_tonnes,Add_LIB_proj_LFP_tonnes,Add_LIB_15_LFP_tonnes,Tonnes_Scrap_proj_down,Tonnes_Scrap_15_down,Tonnes_Prod_proj_down,Tonnes_Prod_15_down,Tonnes_Scrap_proj_mid,Tonnes_Scrap_15_mid,Tonnes_Prod_proj_mid,Tonnes_Prod_15_mid,Cumulative_black_mass_cap,Cumulative_refining_cap,Recycle_Batt_15,Recycle_Batt_15_LFP,Recycle_Batt_Proj,Recycle_Batt_Proj_LFP,Country
2050,HI,46817.60864555483,25950.152523217912,49390.25933857771,27341.482007464772,0,0,0,0,0,0,0,0,0,0,14587.608004547543,15185.220349383553,24312.599856476052,25343.43114409365,US
2050,IA,94262.02161414825,51843.481117434145,99401.97342191168,54592.33762514029,0,0,0,0,0,0,0,0,0,0,29262.87826965387,30437.14192878498,49105.00744512476,51151.792742226084,US
2050,ID,86056.16263430419,47042.33490330699,90939.89677110693,49646.75074913264,0,0,0,0,0,0,0,0,0,0,23034.41521403104,24004.203081017695,38938.930039529034,40636.53647130959,US
2050,IL,309677.35590775067,172278.9147808013,326205.2480459666,181231.88824308393,3387.138570383114,2681.671225542104,99100.09610098244,54661.42530442422,31502.749893839762,26768.35039650739,714947.9778333093,394349.5215893858,24000,0,106189.70107578943,110408.78182549842,176299.9980100672,183557.56337381632,US
2050,IN,194054.00209256157,107429.6730992802,204539.3537352461,113080.18472849188,12688.221084655146,10045.540410880725,371228.95999428025,204761.69919037313,36424.17948836628,30950.16158067288,826638.7397037128,455955.68018434977,5,5,60832.29075160266,63252.41927278461,101444.74583456905,105630.30739173891,US
2050,KS,78798.02933361444,43558.908042961935,83029.9693886165,45833.32996986856,0,0,0,0,10500.91663127992,8922.783465502464,238315.9926111031,131449.84052979527,0,0,25328.645266771382,26328.41581976224,42251.553669656176,43983.33596584291,US
2050,KY,122640.9692801599,67988.79196174974,129210.56650359253,71532.12495934503,19306.68985118375,15285.525985589995,564870.5477755999,311570.12423521804,9100.794413775931,7733.079003435469,206540.52692962266,113923.19512582256,270,270,38654.536686555,40171.545802968976,64338.40352020934,66958.24881307455,US
2050,LA,116670.43109430603,64599.81089217721,122810.87410160496,67899.25027385623,0,0,0,0,0,0,0,0,0,0,37628.34441816876,39082.65525877253,62776.752562316935,65298.4647896314,US
2050,MA,315220.14700765203,173025.492064325,333885.7699487816,183083.1067623736,3726.8685689925405,2950.6428494639777,109039.83573991098,60143.966262457965,0,0,0,0,30000,0,108915.92414678601,113866.458739479,182435.7263388291,190970.42625444767,US
2050,MB,64789.918742509195,35266.22221749415,68406.11872705679,37179.87500786633,0,0,0,0,0,0,0,0,0,0,21178.692880175637,22092.77139726215,35991.0682709608,37595.00258430708,CA
2050,MD,263838.1395490121,145745.3093232127,279343.21862955985,154157.51017794313,0,0,0,0,70.00611087519948,59.48522310334977,1588.7732840740207,876.3322701986351,0,0,92412.89431817833,96568.10557513474,153581.71691516635,160686.53327363587,US
