Year,Scenario,Recycling Step,Tonne,Scenario_Recycling
2026,Increasing Batt Cap - Benchmark Chemistry,Refining,0,Increasing Batt Cap - Benchmark Chemistry - Refining
2027,Increasing Batt Cap - Benchmark Chemistry,Black Mass,0,Increasing Batt Cap - Benchmark Chemistry - Black Mass
2027,Increasing Batt Cap - Benchmark Chemistry,Refining,0,Increasing Batt Cap - Benchmark Chemistry - Refining
2028,Increasing Batt Cap - Benchmark Chemistry,Black Mass,0,Increasing Batt Cap - Benchmark Chemistry - Black Mass
2028,Increasing Batt Cap - Benchmark Chemistry,Refining,0,Increasing Batt Cap - Benchmark Chemistry - Refining
2029,Increasing Batt Cap - Benchmark Chemistry,Black Mass,0,Increasing Batt Cap - Benchmark Chemistry - Black Mass
2029,Increasing Batt Cap - Benchmark Chemistry,Refining,0,Increasing Batt Cap - Benchmark Chemistry - Refining
2030,Increasing Batt Cap - Benchmark Chemistry,Black Mass,0,Increasing Batt Cap - Benchmark Chemistry - Black Mass
2030,Increasing Batt Cap - Benchmark Chemistry,Refining,0,Increasing Batt Cap - Benchmark Chemistry - Refining
2031,Increasing Batt Cap - Benchmark Chemistry,Black Mass,0,Increasing Batt Cap - Benchmark Chemistry - Black Mass
2031,Increasing Batt Cap - Benchmark Chemistry,Refining,0,Increasing Batt Cap - Benchmark Chemistry - Refining
2032,Increasing Batt Cap - Benchmark Chemistry,Black Mass,0,Increasing Batt Cap - Benchmark Chemistry - Black Mass
2032,Increasing Batt Cap - Benchmark Chemistry,Refining,0,Increasing Batt Cap - Benchmark Chemistry - Refining
2033,Increasing Batt Cap - Benchmark Chemistry,Black Mass,0,Increasing Batt Cap - Benchmark Chemistry - Black Mass
2033,Increasing Batt Cap - Benchmark Chemistry,Refining,0,Increasing Batt Cap - Benchmark Chemistry - Refining
2034,Increasing Batt Cap - Benchmark Chemistry,Black Mass,0,Increasing Batt Cap - Benchmark Chemistry - Black Mass
2034,Increasing Batt Cap - Benchmark Chemistry,Refining,0,Increasing Batt Cap - Benchmark Chemistry - Refining
2035,Increasing Batt Cap - Benchmark Chemistry,Black Mass,0.07053070376669167,Increasing Batt Cap - Benchmark Chemistry - Black Mass
2035,Increasing Batt Cap - Benchmark Chemistry,Refining,0,Increasing Batt Cap - Benchmark Chemistry - Refining
2036,Increasing Batt Cap - Benchmark Chemistry,Black Mass,0.3291540969040772,Increasing Batt Cap - Benchmark Chemistry - Black Mass
2036,Increasing Batt Cap - Benchmark Chemistry,Refining,0,Increasing Batt Cap - Benchmark Chemistry - Refining
2037,Increasing Batt Cap - Benchmark Chemistry,Black Mass,0.8151179839311582,Increasing Batt Cap - Benchmark Chemistry - Black Mass
2037,Increasing Batt Cap - Benchmark Chemistry,Refining,0.0014703674740808783,Increasing Batt Cap - Benchmark Chemistry - Refining
2038,Increasing Batt Cap - Benchmark Chemistry,Black Mass,1.6453926852618468,Increasing Batt Cap - Benchmark Chemistry - Black Mass
2038,Increasing Batt Cap - Benchmark Chemistry,Refining,0.3472515492517693,Increasing Batt Cap - Benchmark Chemistry - Refining
2039,Increasing Batt Cap - Benchmark Chemistry,Black Mass,2.818888223775386,Increasing Batt Cap - Benchmark Chemistry - Black Mass
2039,Increasing Batt Cap - Benchmark Chemistry,Refining,1.0362535682123086,Increasing Batt Cap - Benchmark Chemistry - Refining
2040,Increasing Batt Cap - Benchmark Chemistry,Black Mass,4.381071334672668,Increasing Batt Cap - Benchmark Chemistry - Black Mass
2040,Increasing Batt Cap - Benchmark Chemistry,Refining,2.1139431595565905,Increasing Batt Cap - Benchmark Chemistry - Refining
2041,Increasing Batt Cap - Benchmark Chemistry,Black Mass,6.375564670670887,Increasing Batt Cap - Benchmark Chemistry - Black Mass
2041,Increasing Batt Cap - Benchmark Chemistry,Refining,3.623942976001809,Increasing Batt Cap - Benchmark Chemistry - Refining
2042,Increasing Batt Cap - Benchmark Chemistry,Black Mass,8.849492217019293,Increasing Batt Cap - Benchmark Chemistry - Black Mass
2042,Increasing Batt Cap - Benchmark Chemistry,Refining,5.613377002797216,Increasing Batt Cap - Benchmark Chemistry - Refining
2043,Increasing Batt Cap - Benchmark Chemistry,Black Mass,11.855914793778416,Increasing Batt Cap - Benchmark Chemistry - Black Mass
2043,Increasing Batt Cap - Benchmark Chemistry,Refining,8.135306060003337,Increasing Batt Cap - Benchmark Chemistry - Refining
2044,Increasing Batt Cap - Benchmark Chemistry,Black Mass,15.44529436242091,Increasing Batt Cap - Benchmark Chemistry - Black Mass
2044,Increasing Batt Cap - Benchmark Chemistry,Refining,11.240192109092828,Increasing Batt Cap - Benchmark Chemistry - Refining
