Year,Mineral,Total_Minerals_Exported,Scenario
2039,Nickel,56596.56045813976,Decreasing Batt Cap - Benchmark Chemistry
2039,Cobalt,10462.017896851563,Decreasing Batt Cap - High LFP Chemistry
2039,Copper,58446.71445483919,Decreasing Batt Cap - High LFP Chemistry
2039,Graphite,118474.38474866787,Decreasing Batt Cap - High LFP Chemistry
2039,Lithium,11149.70027340337,Decreasing Batt Cap - High LFP Chemistry
2039,Manganese,5077.646704648618,Decreasing Batt Cap - High LFP Chemistry
2039,Nickel,54196.593314589416,Decreasing Batt Cap - High LFP Chemistry
2039,Cobalt,15206.61681892177,Increasing Batt Cap - Benchmark Chemistry
2039,Copper,86018.01131782278,Increasing Batt Cap - Benchmark Chemistry
2039,Graphite,174304.15719729717,Increasing Batt Cap - Benchmark Chemistry
2039,Lithium,16381.55474279823,Increasing Batt Cap - Benchmark Chemistry
2039,Manganese,7651.226234050535,Increasing Batt Cap - Benchmark Chemistry
2039,Nickel,79426.77533467615,Increasing Batt Cap - Benchmark Chemistry
2039,Cobalt,14386.285877375125,Increasing Batt Cap - High LFP Chemistry
2039,Copper,87527.61033766446,Increasing Batt Cap - High LFP Chemistry
2039,Graphite,175279.97689592102,Increasing Batt Cap - High LFP Chemistry
2039,Lithium,16355.056585029122,Increasing Batt Cap - High LFP Chemistry
2039,Manganese,7176.988967571612,Increasing Batt Cap - High LFP Chemistry
2039,Nickel,75087.19682661367,Increasing Batt Cap - High LFP Chemistry
2040,Cobalt,14648.493181681886,Decreasing Batt Cap - Benchmark Chemistry
2040,Copper,77883.37713253303,Decreasing Batt Cap - Benchmark Chemistry
2040,Graphite,159238.00790237542,Decreasing Batt Cap - Benchmark Chemistry
2040,Lithium,15060.861372465566,Decreasing Batt Cap - Benchmark Chemistry
2040,Manganese,7415.926681469545,Decreasing Batt Cap - Benchmark Chemistry
2040,Nickel,75867.39973240849,Decreasing Batt Cap - Benchmark Chemistry
2040,Cobalt,13802.06909546705,Decreasing Batt Cap - High LFP Chemistry
2040,Copper,79558.88346628305,Decreasing Batt Cap - High LFP Chemistry
2040,Graphite,160461.20541040032,Decreasing Batt Cap - High LFP Chemistry
2040,Lithium,15051.575663305191,Decreasing Batt Cap - High LFP Chemistry
2040,Manganese,6930.297327948231,Decreasing Batt Cap - High LFP Chemistry
2040,Nickel,71431.52265570208,Decreasing Batt Cap - High LFP Chemistry
2040,Cobalt,20116.73402017736,Increasing Batt Cap - Benchmark Chemistry
2040,Copper,114352.53805015872,Increasing Batt Cap - Benchmark Chemistry
2040,Graphite,231579.73393419906,Increasing Batt Cap - Benchmark Chemistry
2040,Lithium,21751.269599287407,Increasing Batt Cap - Benchmark Chemistry
2040,Manganese,10457.229498380915,Increasing Batt Cap - Benchmark Chemistry
2040,Nickel,105051.53520289296,Increasing Batt Cap - Benchmark Chemistry
2040,Cobalt,18694.83189840366,Increasing Batt Cap - High LFP Chemistry
2040,Copper,116802.54483993036,Increasing Batt Cap - High LFP Chemistry
2040,Graphite,232991.94749772392,Increasing Batt Cap - High LFP Chemistry
2040,Lithium,21682.290842616167,Increasing Batt Cap - High LFP Chemistry
2040,Manganese,9638.892635391034,Increasing Batt Cap - High LFP Chemistry
2040,Nickel,97535.34991035996,Increasing Batt Cap - High LFP Chemistry
2041,Cobalt,18453.691052660415,Decreasing Batt Cap - Benchmark Chemistry
2041,Copper,99099.75627594361,Decreasing Batt Cap - Benchmark Chemistry
2041,Graphite,202386.9151913724,Decreasing Batt Cap - Benchmark Chemistry
2041,Lithium,19119.69409144779,Decreasing Batt Cap - Benchmark Chemistry
2041,Manganese,9659.006841929959,Decreasing Batt Cap - Benchmark Chemistry
2041,Nickel,95743.06128148749,Decreasing Batt Cap - Benchmark Chemistry
2041,Cobalt,17024.589223466126,Decreasing Batt Cap - High LFP Chemistry
2041,Copper,101734.20377680808,Decreasing Batt Cap - High LFP Chemistry
2041,Graphite,204118.82266489125,Decreasing Batt Cap - High LFP Chemistry
2041,Lithium,19076.41390301676,Decreasing Batt Cap - High LFP Chemistry
2041,Manganese,8841.705315544225,Decreasing Batt Cap - High LFP Chemistry
2041,Nickel,88241.62226731956,Decreasing Batt Cap - High LFP Chemistry
2041,Cobalt,25582.494375152753,Increasing Batt Cap - Benchmark Chemistry
2041,Copper,145774.7137184992,Increasing Batt Cap - Benchmark Chemistry
2041,Graphite,295288.0601333818,Increasing Batt Cap - Benchmark Chemistry
2041,Lithium,27725.584343237584,Increasing Batt Cap - Benchmark Chemistry
2041,Manganese,13715.423463603543,Increasing Batt Cap - Benchmark Chemistry
2041,Nickel,133911.06273334968,Increasing Batt Cap - Benchmark Chemistry
2041,Cobalt,23256.672345281033,Increasing Batt Cap - High LFP Chemistry
2041,Copper,149622.15982608238,Increasing Batt Cap - High LFP Chemistry
2041,Graphite,297320.0994012579,Increasing Batt Cap - High LFP Chemistry
2041,Lithium,27589.70070797674,Increasing Batt Cap - High LFP Chemistry
2041,Manganese,12378.324643935013,Increasing Batt Cap - High LFP Chemistry
2041,Nickel,121597.90813870708,Increasing Batt Cap - High LFP Chemistry
2042,Cobalt,22328.162504427284,Decreasing Batt Cap - Benchmark Chemistry
2042,Copper,121195.83797946577,Decreasing Batt Cap - Benchmark Chemistry
2042,Graphite,247447.72065154198,Decreasing Batt Cap - Benchmark Chemistry
2042,Lithium,23347.94664736065,Decreasing Batt Cap - Benchmark Chemistry
2042,Manganese,12130.940925734318,Decreasing Batt Cap - Benchmark Chemistry
2042,Nickel,116644.52685835393,Decreasing Batt Cap - Benchmark Chemistry
2042,Cobalt,20105.18726992134,Decreasing Batt Cap - High LFP Chemistry
2042,Copper,125123.16172884713,Decreasing Batt Cap - High LFP Chemistry
2042,Graphite,249818.50859902232,Decreasing Batt Cap - High LFP Chemistry
2042,Lithium,23253.5739300289,Decreasing Batt Cap - High LFP Chemistry
2042,Manganese,10846.802524689934,Decreasing Batt Cap - High LFP Chemistry
2042,Nickel,104893.2891782464,Decreasing Batt Cap - High LFP Chemistry
2042,Cobalt,31613.095881388046,Increasing Batt Cap - Benchmark Chemistry
2042,Copper,180532.43185604317,Increasing Batt Cap - Benchmark Chemistry
2042,Graphite,366139.23902837496,Increasing Batt Cap - Benchmark Chemistry
2042,Lithium,34367.25583507229,Increasing Batt Cap - Benchmark Chemistry
2042,Manganese,17538.017949889265,Increasing Batt Cap - Benchmark Chemistry
2042,Nickel,166702.9875818333,Increasing Batt Cap - Benchmark Chemistry
2042,Cobalt,28038.623038423902,Increasing Batt Cap - High LFP Chemistry
2042,Copper,186311.29615914816,Increasing Batt Cap - High LFP Chemistry
2042,Graphite,368983.83841200656,Increasing Batt Cap - High LFP Chemistry
2042,Lithium,34134.912127213356,Increasing Batt Cap - High LFP Chemistry
2042,Manganese,15462.239212864759,Increasing Batt Cap - High LFP Chemistry
2042,Nickel,147656.93104535528,Increasing Batt Cap - High LFP Chemistry
2043,Cobalt,26354.061695256012,Decreasing Batt Cap - Benchmark Chemistry
2043,Copper,144389.2077377758,Decreasing Batt Cap - Benchmark Chemistry
2043,Graphite,295013.13924379286,Decreasing Batt Cap - Benchmark Chemistry
2043,Lithium,27806.75521446199,Decreasing Batt Cap - Benchmark Chemistry
2043,Manganese,14784.518458014665,Decreasing Batt Cap - Benchmark Chemistry
2043,Nickel,139225.78599273693,Decreasing Batt Cap - Benchmark Chemistry
2043,Cobalt,23126.44239515632,Decreasing Batt Cap - High LFP Chemistry
2043,Copper,149947.3997844929,Decreasing Batt Cap - High LFP Chemistry
2043,Graphite,298139.88356785424,Decreasing Batt Cap - High LFP Chemistry
2043,Lithium,27642.891479048194,Decreasing Batt Cap - High LFP Chemistry
2043,Manganese,12901.450293709324,Decreasing Batt Cap - High LFP Chemistry
2043,Nickel,121986.91426079818,Decreasing Batt Cap - High LFP Chemistry
2043,Cobalt,38346.67456253715,Increasing Batt Cap - Benchmark Chemistry
2043,Copper,219040.60643368744,Increasing Batt Cap - Benchmark Chemistry
2043,Graphite,445209.0207907636,Increasing Batt Cap - Benchmark Chemistry
2043,Lithium,41785.27355266547,Increasing Batt Cap - Benchmark Chemistry
2043,Manganese,21886.82376531304,Increasing Batt Cap - Benchmark Chemistry
2043,Nickel,204497.57365508805,Increasing Batt Cap - Benchmark Chemistry
2043,Cobalt,33151.78461722023,Increasing Batt Cap - High LFP Chemistry
2043,Copper,227338.54459605564,Increasing Batt Cap - High LFP Chemistry
2043,Graphite,449064.704364264,Increasing Batt Cap - High LFP Chemistry
2043,Lithium,41423.429905023404,Increasing Batt Cap - High LFP Chemistry
2043,Manganese,18840.78517788049,Increasing Batt Cap - High LFP Chemistry
2043,Nickel,176551.2527532737,Increasing Batt Cap - High LFP Chemistry
2044,Cobalt,30510.59148612764,Decreasing Batt Cap - Benchmark Chemistry
2044,Copper,168601.36708795986,Decreasing Batt Cap - Benchmark Chemistry
2044,Graphite,344913.4755431817,Decreasing Batt Cap - Benchmark Chemistry
2044,Lithium,32479.736421138223,Decreasing Batt Cap - Benchmark Chemistry
2044,Manganese,17557.385579448255,Decreasing Batt Cap - Benchmark Chemistry
2044,Nickel,163408.80380484386,Decreasing Batt Cap - Benchmark Chemistry
2044,Cobalt,26104.299350928097,Decreasing Batt Cap - High LFP Chemistry
2044,Copper,176074.7462622682,Decreasing Batt Cap - High LFP Chemistry
2044,Graphite,348876.93839396746,Decreasing Batt Cap - High LFP Chemistry
2044,Lithium,32229.586859331153,Decreasing Batt Cap - High LFP Chemistry
2044,Manganese,14963.139604776283,Decreasing Batt Cap - High LFP Chemistry
2044,Nickel,139597.21061495025,Decreasing Batt Cap - High LFP Chemistry
2044,Cobalt,45733.25182501218,Increasing Batt Cap - Benchmark Chemistry
2044,Copper,261132.71026500684,Increasing Batt Cap - Benchmark Chemistry
2044,Graphite,532153.1058105443,Increasing Batt Cap - Benchmark Chemistry
2044,Lithium,49945.40920498507,Increasing Batt Cap - Benchmark Chemistry
2044,Manganese,26681.14850200096,Increasing Batt Cap - Benchmark Chemistry
2044,Nickel,247143.14040986044,Increasing Batt Cap - Benchmark Chemistry
2044,Cobalt,38571.539814880976,Increasing Batt Cap - High LFP Chemistry
2044,Copper,272511.9407540135,Increasing Batt Cap - High LFP Chemistry
2044,Graphite,537195.563513281,Increasing Batt Cap - High LFP Chemistry
2044,Lithium,49422.10966584343,Increasing Batt Cap - High LFP Chemistry
2044,Manganese,22445.282532628702,Increasing Batt Cap - High LFP Chemistry
2044,Nickel,208190.02931678272,Increasing Batt Cap - High LFP Chemistry
2045,Cobalt,34787.28919408299,Decreasing Batt Cap - Benchmark Chemistry
2045,Copper,193669.43854215482,Decreasing Batt Cap - Benchmark Chemistry
2045,Graphite,396775.9549268925,Decreasing Batt Cap - Benchmark Chemistry
2045,Lithium,37333.950432997786,Decreasing Batt Cap - Benchmark Chemistry
2045,Manganese,20411.052937931785,Decreasing Batt Cap - Benchmark Chemistry
2045,Nickel,188953.84646598404,Decreasing Batt Cap - Benchmark Chemistry
2045,Cobalt,29048.550343827104,Decreasing Batt Cap - High LFP Chemistry
2045,Copper,203314.49059537967,Decreasing Batt Cap - High LFP Chemistry
2045,Graphite,401644.72281427163,Decreasing Batt Cap - High LFP Chemistry
2045,Lithium,36982.31248306252,Decreasing Batt Cap - High LFP Chemistry
2045,Manganese,17004.024568449026,Decreasing Batt Cap - High LFP Chemistry
2045,Nickel,157581.50051039757,Decreasing Batt Cap - High LFP Chemistry
2045,Cobalt,53753.94199041892,Increasing Batt Cap - Benchmark Chemistry
2045,Copper,306579.8708012879,Increasing Batt Cap - Benchmark Chemistry
2045,Graphite,626469.0340352313,Increasing Batt Cap - Benchmark Chemistry
2045,Lithium,58802.8828744319,Increasing Batt Cap - Benchmark Chemistry
2045,Manganese,31879.007921573168,Increasing Batt Cap - Benchmark Chemistry
2045,Nickel,294350.37513090397,Increasing Batt Cap - Benchmark Chemistry
2045,Cobalt,44278.61977236401,Increasing Batt Cap - High LFP Chemistry
2045,Copper,321610.450216385,Increasing Batt Cap - High LFP Chemistry
2045,Graphite,632874.4856648864,Increasing Batt Cap - High LFP Chemistry
2045,Lithium,58086.029447996356,Increasing Batt Cap - High LFP Chemistry
2045,Manganese,26230.630578741122,Increasing Batt Cap - High LFP Chemistry
2045,Nickel,242252.0795436459,Increasing Batt Cap - High LFP Chemistry
2046,Cobalt,39166.07371642386,Decreasing Batt Cap - Benchmark Chemistry
