Year,State_Province,Origin,Metric Tonnes (millions)
2050,MA,End of Life Batteries,0.1824357263388291
2050,MA,Black Mass,0.03
2050,MA,Refining,0
2050,MB,LIB Demand,0.0647899187425092
2050,MB,Pack Manufacturing,0
2050,MB,Cell Manufacturing,0
2050,MB,End of Life Batteries,0.035991068270960803
2050,MB,Black Mass,0
2050,MB,Refining,0
2050,MD,LIB Demand,0.26383813954901214
2050,MD,Pack Manufacturing,0
2050,MD,Cell Manufacturing,0.0015887732840740207
2050,MD,End of Life Batteries,0.15358171691516637
2050,MD,Black Mass,0
2050,MD,Refining,0
2050,ME,LIB Demand,0.03985403273843968
2050,ME,Pack Manufacturing,0
2050,ME,Cell Manufacturing,0
2050,ME,End of Life Batteries,0.021705710748076822
2050,ME,Black Mass,0
2050,ME,Refining,0
2050,MI,LIB Demand,0.2610369190811266
2050,MI,Pack Manufacturing,2.0137337727911837
2050,MI,Cell Manufacturing,1.2831727428823823
2050,MI,End of Life Batteries,0.14180065415040363
2050,MI,Black Mass,0.02268
2050,MI,Refining,0
2050,MN,LIB Demand,0.1863227760208198
2050,MN,Pack Manufacturing,0
2050,MN,Cell Manufacturing,0
2050,MN,End of Life Batteries,0.0947781671616209
2050,MN,Black Mass,0
2050,MN,Refining,0
2050,MO,LIB Demand,0.16863843250067995
2050,MO,Pack Manufacturing,0
2050,MO,Cell Manufacturing,0.0015887732840740207
2050,MO,End of Life Batteries,0.09103634024535302
2050,MO,Black Mass,0
2050,MO,Refining,0.2060853314
2050,MS,LIB Demand,0.07323571935457278
2050,MS,Pack Manufacturing,0
2050,MS,Cell Manufacturing,0.1668211948277722
2050,MS,End of Life Batteries,0.04060469032459322
2050,MS,Black Mass,0
2050,MS,Refining,0
2050,MT,LIB Demand,0.033310542074107746
2050,MT,Pack Manufacturing,0
2050,MT,Cell Manufacturing,0
2050,MT,End of Life Batteries,0.01621317148214611
2050,MT,Black Mass,0
2050,MT,Refining,0
2050,MX,LIB Demand,0.11024534538403671
2050,MX,Pack Manufacturing,0.08671258408835963
2050,MX,Cell Manufacturing,0
2050,MX,End of Life Batteries,0.6659696282424172
2050,MX,Black Mass,0
2050,MX,Refining,0
2050,NB,LIB Demand,0.039456134474687474
2050,NB,Pack Manufacturing,0
2050,NB,Cell Manufacturing,0
2050,NB,End of Life Batteries,0.022650275424425454
2050,NB,Black Mass,0
2050,NB,Refining,0
2050,NC,LIB Demand,0.33675601250841597
2050,NC,Pack Manufacturing,0.6804212598293454
2050,NC,Cell Manufacturing,0.24625985903147318
2050,NC,End of Life Batteries,0.16728406153337116
2050,NC,Black Mass,0.038
2050,NC,Refining,0.028504625929
2050,ND,LIB Demand,0.03248209171173356
2050,ND,Pack Manufacturing,0
