Year,Metric,Tonnes
2043,Decreasing Batt Cap Cell Manufacturing,4.058973838771893
2043,EoL Batteries (Increasing Batt Cap - Benchmark Chemistry),3.4138835239709144
2043,EoL Batteries (Decreasing Batt Cap - Benchmark Chemistry),2.4835000668320504
2043,Black Mass,0.91838736185
2043,Refining,1.402880881403
2044,LIB Demand (Increasing Batt Cap - Benchmark Chemistry),12.350321912707953
2044,LIB Demand (Decreasing Batt Cap - Benchmark Chemistry),6.8469204428359625
2044,Pack Manufacturing,11.949472552229276
2044,Decreasing Batt Cap Pack Manufacturing,6.606694203683279
2044,Cell Manufacturing,7.543706177800113
2044,Decreasing Batt Cap Cell Manufacturing,4.170808348345372
2044,EoL Batteries (Increasing Batt Cap - Benchmark Chemistry),3.9938100859247005
2044,EoL Batteries (Decreasing Batt Cap - Benchmark Chemistry),2.8133875083971835
2044,Black Mass,0.91838736185
2044,Refining,1.402880881403
2045,LIB Demand (Increasing Batt Cap - Benchmark Chemistry),12.652316114922156
2045,LIB Demand (Decreasing Batt Cap - Benchmark Chemistry),7.0112712463414235
2045,Pack Manufacturing,12.248284553089242
2045,Decreasing Batt Cap Pack Manufacturing,6.769162275058484
2045,Cell Manufacturing,7.732346297858596
2045,Decreasing Batt Cap Cell Manufacturing,4.273374498304831
2045,EoL Batteries (Increasing Batt Cap - Benchmark Chemistry),4.6212889972040605
2045,EoL Batteries (Decreasing Batt Cap - Benchmark Chemistry),3.1559708877727037
2045,Black Mass,0.91838736185
2045,Refining,1.402880881403
2046,LIB Demand (Increasing Batt Cap - Benchmark Chemistry),12.934069023866998
2046,LIB Demand (Decreasing Batt Cap - Benchmark Chemistry),7.163828617194425
2046,Pack Manufacturing,12.527042722147312
2046,Decreasing Batt Cap Pack Manufacturing,6.919949033534879
2046,Cell Manufacturing,7.9083264269265765
2046,Decreasing Batt Cap Cell Manufacturing,4.36856623136895
2046,EoL Batteries (Increasing Batt Cap - Benchmark Chemistry),5.2949750875822446
2046,EoL Batteries (Decreasing Batt Cap - Benchmark Chemistry),3.5093000635073888
2046,Black Mass,0.91838736185
2046,Refining,1.402880881403
2047,LIB Demand (Increasing Batt Cap - Benchmark Chemistry),13.188352643229965
2047,LIB Demand (Decreasing Batt Cap - Benchmark Chemistry),7.301066941846359
2047,Pack Manufacturing,12.77795350525183
2047,Decreasing Batt Cap Pack Manufacturing,7.055186779170349
2047,Cell Manufacturing,8.066726491557805
2047,Decreasing Batt Cap Cell Manufacturing,4.45394186721923
2047,EoL Batteries (Increasing Batt Cap - Benchmark Chemistry),5.996263367774328
2047,EoL Batteries (Decreasing Batt Cap - Benchmark Chemistry),3.861025460058774
2047,Black Mass,0.91838736185
2047,Refining,1.402880881403
2048,LIB Demand (Increasing Batt Cap - Benchmark Chemistry),13.428269859664198
2048,LIB Demand (Decreasing Batt Cap - Benchmark Chemistry),7.430984626992873
2048,Pack Manufacturing,13.012362914090058
2048,Decreasing Batt Cap Pack Manufacturing,7.181815918574836
2048,Cell Manufacturing,8.214709232876173
2048,Decreasing Batt Cap Cell Manufacturing,4.533882886962142
2048,EoL Batteries (Increasing Batt Cap - Benchmark Chemistry),6.7138042081115135
2048,EoL Batteries (Decreasing Batt Cap - Benchmark Chemistry),4.20498224254898
2048,Black Mass,0.91838736185
2048,Refining,1.402880881403
2049,LIB Demand (Increasing Batt Cap - Benchmark Chemistry),13.626705504461585
2049,LIB Demand (Decreasing Batt Cap - Benchmark Chemistry),7.537906262151327
2049,Pack Manufacturing,13.20598586129463
2049,Decreasing Batt Cap Pack Manufacturing,7.285863760921702
2049,Cell Manufacturing,8.336943466781209
2049,Decreasing Batt Cap Cell Manufacturing,4.599568326019653
2049,EoL Batteries (Increasing Batt Cap - Benchmark Chemistry),7.411433197489352
2049,EoL Batteries (Decreasing Batt Cap - Benchmark Chemistry),4.530975953481016
2049,Black Mass,0.91838736185
2049,Refining,1.402880881403
2050,LIB Demand (Increasing Batt Cap - Benchmark Chemistry),13.800758542800864
2050,LIB Demand (Decreasing Batt Cap - Benchmark Chemistry),7.632506036235054
2050,Pack Manufacturing,13.373132497341048
2050,Decreasing Batt Cap Pack Manufacturing,7.376324664152661
2050,Cell Manufacturing,8.442463196244631
2050,Decreasing Batt Cap Cell Manufacturing,4.656676325688261
2050,EoL Batteries (Increasing Batt Cap - Benchmark Chemistry),8.076157374029657
2050,EoL Batteries (Decreasing Batt Cap - Benchmark Chemistry),4.836554376750088
2050,Black Mass,0.91838736185
2050,Refining,1.402880881403
