Year,Scenario,Mineral,Recycling Scenario,Recycle_v_Demand
2039,Increasing Batt Cap - High LFP Chemistry,Cobalt,All Material is Recycled in NA,0.18212722841480794
2040,Increasing Batt Cap - High LFP Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.05868637534135924
2040,Increasing Batt Cap - High LFP Chemistry,Cobalt,All Material is Recycled in NA,0.22386508772595193
2041,Increasing Batt Cap - High LFP Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.05524241405751947
2041,Increasing Batt Cap - High LFP Chemistry,Cobalt,All Material is Recycled in NA,0.26533428038486223
2042,Increasing Batt Cap - High LFP Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.05162002706327303
2042,Increasing Batt Cap - High LFP Chemistry,Cobalt,All Material is Recycled in NA,0.3044651507924533
2043,Increasing Batt Cap - High LFP Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.048022530469802135
2043,Increasing Batt Cap - High LFP Chemistry,Cobalt,All Material is Recycled in NA,0.3432276517422599
2044,Increasing Batt Cap - High LFP Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.04478701975152728
2044,Increasing Batt Cap - High LFP Chemistry,Cobalt,All Material is Recycled in NA,0.38322948735519846
2045,Increasing Batt Cap - High LFP Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.0419899888073738
2045,Increasing Batt Cap - High LFP Chemistry,Cobalt,All Material is Recycled in NA,0.4249705414350711
2046,Increasing Batt Cap - High LFP Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.039591284768788766
2046,Increasing Batt Cap - High LFP Chemistry,Cobalt,All Material is Recycled in NA,0.4682829812081607
2047,Increasing Batt Cap - High LFP Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.03753314504989873
2047,Increasing Batt Cap - High LFP Chemistry,Cobalt,All Material is Recycled in NA,0.5133444919693831
2048,Increasing Batt Cap - High LFP Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.035719665288807045
2048,Increasing Batt Cap - High LFP Chemistry,Cobalt,All Material is Recycled in NA,0.5578520183231029
2049,Increasing Batt Cap - High LFP Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.034121503596541446
2049,Increasing Batt Cap - High LFP Chemistry,Cobalt,All Material is Recycled in NA,0.6012659906278108
2050,Increasing Batt Cap - High LFP Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.032694189495636614
2050,Increasing Batt Cap - High LFP Chemistry,Cobalt,All Material is Recycled in NA,0.6401432888296602
2026,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.005071291604531932
2026,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,0.005071291604531932
2027,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.006593717673402945
2027,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,0.006593717673402945
2028,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.009500257664268189
2028,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,0.009500257664268189
2029,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.013304777032117712
2029,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,0.013304777032117712
2030,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.01781530518427571
2030,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,0.01781530518427571
2031,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.02408742674182713
2031,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,0.02408742674182713
2032,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.03262915642875637
2032,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,0.03262915642875637
2033,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.041183032925413574
2033,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,0.041183032925413574
2034,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.05210730783000334
2034,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,0.05210730783000334
2035,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.0669459507465689
2035,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,0.0669459507465689
2036,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.08934136865063885
2036,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,0.08934136865063885
2037,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.10882813170134618
2037,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,0.11905930569266347
2038,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.10737741591343973
2038,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,0.15488884421623503
