Year,Scenario,Mineral,Recycling Scenario,Tonne
2026,Increasing Batt Cap - Benchmark Chemistry,Lithium,All Material is Recycled in NA,138.509329936696
2026,Increasing Batt Cap - Benchmark Chemistry,Manganese,Recycling Limited to NA 2025 Online or Planned,0
2026,Increasing Batt Cap - Benchmark Chemistry,Manganese,All Material is Recycled in NA,85.76689483828947
2026,Increasing Batt Cap - Benchmark Chemistry,Nickel,Recycling Limited to NA 2025 Online or Planned,817.1500350645475
2026,Increasing Batt Cap - Benchmark Chemistry,Nickel,All Material is Recycled in NA,817.1500350645475
2026,Increasing Batt Cap - High LFP Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,193.19321155936404
2026,Increasing Batt Cap - High LFP Chemistry,Cobalt,All Material is Recycled in NA,193.19321155936404
2026,Increasing Batt Cap - High LFP Chemistry,Copper,Recycling Limited to NA 2025 Online or Planned,611.8095155120462
2026,Increasing Batt Cap - High LFP Chemistry,Copper,All Material is Recycled in NA,645.7989330404931
2026,Increasing Batt Cap - High LFP Chemistry,Graphite,Recycling Limited to NA 2025 Online or Planned,0
2026,Increasing Batt Cap - High LFP Chemistry,Graphite,All Material is Recycled in NA,1379.4790441414755
2026,Increasing Batt Cap - High LFP Chemistry,Lithium,Recycling Limited to NA 2025 Online or Planned,0
2026,Increasing Batt Cap - High LFP Chemistry,Lithium,All Material is Recycled in NA,138.5103408219099
2026,Increasing Batt Cap - High LFP Chemistry,Manganese,Recycling Limited to NA 2025 Online or Planned,0
2026,Increasing Batt Cap - High LFP Chemistry,Manganese,All Material is Recycled in NA,85.77220428814677
2026,Increasing Batt Cap - High LFP Chemistry,Nickel,Recycling Limited to NA 2025 Online or Planned,817.2019318968249
2026,Increasing Batt Cap - High LFP Chemistry,Nickel,All Material is Recycled in NA,817.2019318968249
2027,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,341.61497024902997
2027,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,341.61497024902997
2027,Decreasing Batt Cap - Benchmark Chemistry,Copper,Recycling Limited to NA 2025 Online or Planned,1236.1943255324213
2027,Decreasing Batt Cap - Benchmark Chemistry,Copper,All Material is Recycled in NA,1304.8717880620013
2027,Decreasing Batt Cap - Benchmark Chemistry,Graphite,Recycling Limited to NA 2025 Online or Planned,0
2027,Decreasing Batt Cap - Benchmark Chemistry,Graphite,All Material is Recycled in NA,2708.4239825318446
2027,Decreasing Batt Cap - Benchmark Chemistry,Lithium,Recycling Limited to NA 2025 Online or Planned,0
2027,Decreasing Batt Cap - Benchmark Chemistry,Lithium,All Material is Recycled in NA,266.86633714744727
2027,Decreasing Batt Cap - Benchmark Chemistry,Manganese,Recycling Limited to NA 2025 Online or Planned,0
2027,Decreasing Batt Cap - Benchmark Chemistry,Manganese,All Material is Recycled in NA,162.0793197352998
2027,Decreasing Batt Cap - Benchmark Chemistry,Nickel,Recycling Limited to NA 2025 Online or Planned,1419.2303585154496
2027,Decreasing Batt Cap - Benchmark Chemistry,Nickel,All Material is Recycled in NA,1419.2303585154496
2027,Decreasing Batt Cap - High LFP Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,341.113859229382
2027,Decreasing Batt Cap - High LFP Chemistry,Cobalt,All Material is Recycled in NA,341.113859229382
2027,Decreasing Batt Cap - High LFP Chemistry,Copper,Recycling Limited to NA 2025 Online or Planned,1236.8006857513253
2027,Decreasing Batt Cap - High LFP Chemistry,Copper,All Material is Recycled in NA,1305.5118349597324
2027,Decreasing Batt Cap - High LFP Chemistry,Graphite,Recycling Limited to NA 2025 Online or Planned,0
2027,Decreasing Batt Cap - High LFP Chemistry,Graphite,All Material is Recycled in NA,2708.6413862054337
2027,Decreasing Batt Cap - High LFP Chemistry,Lithium,Recycling Limited to NA 2025 Online or Planned,0
2027,Decreasing Batt Cap - High LFP Chemistry,Lithium,All Material is Recycled in NA,266.8199102737626
2027,Decreasing Batt Cap - High LFP Chemistry,Manganese,Recycling Limited to NA 2025 Online or Planned,0
2027,Decreasing Batt Cap - High LFP Chemistry,Manganese,All Material is Recycled in NA,161.82304185884988
2027,Decreasing Batt Cap - High LFP Chemistry,Nickel,Recycling Limited to NA 2025 Online or Planned,1416.8197218519404
2027,Decreasing Batt Cap - High LFP Chemistry,Nickel,All Material is Recycled in NA,1416.8197218519404
2027,Increasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,344.65263183350754
2027,Increasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,344.65263183350754
2027,Increasing Batt Cap - Benchmark Chemistry,Copper,Recycling Limited to NA 2025 Online or Planned,1275.0089708560795
2027,Increasing Batt Cap - Benchmark Chemistry,Copper,All Material is Recycled in NA,1345.8428025703056
2027,Increasing Batt Cap - Benchmark Chemistry,Graphite,Recycling Limited to NA 2025 Online or Planned,0
2027,Increasing Batt Cap - Benchmark Chemistry,Graphite,All Material is Recycled in NA,2783.9642638019836
2027,Increasing Batt Cap - Benchmark Chemistry,Lithium,Recycling Limited to NA 2025 Online or Planned,0
2027,Increasing Batt Cap - Benchmark Chemistry,Lithium,All Material is Recycled in NA,273.5053855199269
2027,Increasing Batt Cap - Benchmark Chemistry,Manganese,Recycling Limited to NA 2025 Online or Planned,0
2027,Increasing Batt Cap - Benchmark Chemistry,Manganese,All Material is Recycled in NA,163.92518944762756
2027,Increasing Batt Cap - Benchmark Chemistry,Nickel,Recycling Limited to NA 2025 Online or Planned,1436.1328763006557
2027,Increasing Batt Cap - Benchmark Chemistry,Nickel,All Material is Recycled in NA,1436.1328763006557
2027,Increasing Batt Cap - High LFP Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,344.08931441330725
2027,Increasing Batt Cap - High LFP Chemistry,Cobalt,All Material is Recycled in NA,344.08931441330725
2027,Increasing Batt Cap - High LFP Chemistry,Copper,Recycling Limited to NA 2025 Online or Planned,1275.6905900186878
2027,Increasing Batt Cap - High LFP Chemistry,Copper,All Material is Recycled in NA,1346.56228946417
2027,Increasing Batt Cap - High LFP Chemistry,Graphite,Recycling Limited to NA 2025 Online or Planned,0
2027,Increasing Batt Cap - High LFP Chemistry,Graphite,All Material is Recycled in NA,2784.2086497702185
2027,Increasing Batt Cap - High LFP Chemistry,Lithium,Recycling Limited to NA 2025 Online or Planned,0
2027,Increasing Batt Cap - High LFP Chemistry,Lithium,All Material is Recycled in NA,273.4531949943456
2027,Increasing Batt Cap - High LFP Chemistry,Manganese,Recycling Limited to NA 2025 Online or Planned,0
2027,Increasing Batt Cap - High LFP Chemistry,Manganese,All Material is Recycled in NA,163.63711987020397
2027,Increasing Batt Cap - High LFP Chemistry,Nickel,Recycling Limited to NA 2025 Online or Planned,1433.4230239191659
2027,Increasing Batt Cap - High LFP Chemistry,Nickel,All Material is Recycled in NA,1433.4230239191659
2028,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,541.2803611054592
2028,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,541.2803611054592
2028,Decreasing Batt Cap - Benchmark Chemistry,Copper,Recycling Limited to NA 2025 Online or Planned,2170.1175433296335
2028,Decreasing Batt Cap - Benchmark Chemistry,Copper,All Material is Recycled in NA,2290.6796290701673
2028,Decreasing Batt Cap - Benchmark Chemistry,Graphite,Recycling Limited to NA 2025 Online or Planned,0
2028,Decreasing Batt Cap - Benchmark Chemistry,Graphite,All Material is Recycled in NA,4695.424339856071
2028,Decreasing Batt Cap - Benchmark Chemistry,Lithium,Recycling Limited to NA 2025 Online or Planned,0
2028,Decreasing Batt Cap - Benchmark Chemistry,Lithium,All Material is Recycled in NA,455.94552488216647
2028,Decreasing Batt Cap - Benchmark Chemistry,Manganese,Recycling Limited to NA 2025 Online or Planned,0
2028,Decreasing Batt Cap - Benchmark Chemistry,Manganese,All Material is Recycled in NA,255.19280107217247
2028,Decreasing Batt Cap - Benchmark Chemistry,Nickel,Recycling Limited to NA 2025 Online or Planned,2302.175887020907
2028,Decreasing Batt Cap - Benchmark Chemistry,Nickel,All Material is Recycled in NA,2302.175887020907
2028,Decreasing Batt Cap - High LFP Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,539.5508511766432
2028,Decreasing Batt Cap - High LFP Chemistry,Cobalt,All Material is Recycled in NA,539.5508511766432
2028,Decreasing Batt Cap - High LFP Chemistry,Copper,Recycling Limited to NA 2025 Online or Planned,2172.2283543050826
2028,Decreasing Batt Cap - High LFP Chemistry,Copper,All Material is Recycled in NA,2292.907707322031
2028,Decreasing Batt Cap - High LFP Chemistry,Graphite,Recycling Limited to NA 2025 Online or Planned,0
2028,Decreasing Batt Cap - High LFP Chemistry,Graphite,All Material is Recycled in NA,4696.180609927207
2028,Decreasing Batt Cap - High LFP Chemistry,Lithium,Recycling Limited to NA 2025 Online or Planned,0
2028,Decreasing Batt Cap - High LFP Chemistry,Lithium,All Material is Recycled in NA,455.78552378539945
2028,Decreasing Batt Cap - High LFP Chemistry,Manganese,Recycling Limited to NA 2025 Online or Planned,0
2028,Decreasing Batt Cap - High LFP Chemistry,Manganese,All Material is Recycled in NA,254.29482314196832
2028,Decreasing Batt Cap - High LFP Chemistry,Nickel,Recycling Limited to NA 2025 Online or Planned,2293.794404812505
2028,Decreasing Batt Cap - High LFP Chemistry,Nickel,All Material is Recycled in NA,2293.794404812505
2028,Increasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,549.185381513326
2028,Increasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,549.185381513326
2028,Increasing Batt Cap - Benchmark Chemistry,Copper,Recycling Limited to NA 2025 Online or Planned,2272.458513144617
2028,Increasing Batt Cap - Benchmark Chemistry,Copper,All Material is Recycled in NA,2398.7062083193173
2028,Increasing Batt Cap - Benchmark Chemistry,Graphite,Recycling Limited to NA 2025 Online or Planned,0
2028,Increasing Batt Cap - Benchmark Chemistry,Graphite,All Material is Recycled in NA,4892.977828360994
2028,Increasing Batt Cap - Benchmark Chemistry,Lithium,Recycling Limited to NA 2025 Online or Planned,0
2028,Increasing Batt Cap - Benchmark Chemistry,Lithium,All Material is Recycled in NA,473.4342632013173
2028,Increasing Batt Cap - Benchmark Chemistry,Manganese,Recycling Limited to NA 2025 Online or Planned,0
2028,Increasing Batt Cap - Benchmark Chemistry,Manganese,All Material is Recycled in NA,260.1755633984762
2028,Increasing Batt Cap - Benchmark Chemistry,Nickel,Recycling Limited to NA 2025 Online or Planned,2346.316799247013
2028,Increasing Batt Cap - Benchmark Chemistry,Nickel,All Material is Recycled in NA,2346.316799247013
2028,Increasing Batt Cap - High LFP Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,547.183528454334
2028,Increasing Batt Cap - High LFP Chemistry,Cobalt,All Material is Recycled in NA,547.183528454334
2028,Increasing Batt Cap - High LFP Chemistry,Copper,Recycling Limited to NA 2025 Online or Planned,2274.902178054414
2028,Increasing Batt Cap - High LFP Chemistry,Copper,All Material is Recycled in NA,2401.285632390769
2028,Increasing Batt Cap - High LFP Chemistry,Graphite,Recycling Limited to NA 2025 Online or Planned,0
2028,Increasing Batt Cap - High LFP Chemistry,Graphite,All Material is Recycled in NA,4893.853338794937
2028,Increasing Batt Cap - High LFP Chemistry,Lithium,Recycling Limited to NA 2025 Online or Planned,0
2028,Increasing Batt Cap - High LFP Chemistry,Lithium,All Material is Recycled in NA,473.24907276008787
2028,Increasing Batt Cap - High LFP Chemistry,Manganese,Recycling Limited to NA 2025 Online or Planned,0
2028,Increasing Batt Cap - High LFP Chemistry,Manganese,All Material is Recycled in NA,259.1358523724357
2028,Increasing Batt Cap - High LFP Chemistry,Nickel,Recycling Limited to NA 2025 Online or Planned,2336.6138874510675
2028,Increasing Batt Cap - High LFP Chemistry,Nickel,All Material is Recycled in NA,2336.6138874510675
2029,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,822.729706779998
