Year,State_Province,Tonnes_Scrap_proj_down,Tonnes_Scrap_15_down,Tonnes_Prod_proj_down,Tonnes_Prod_15_down,Tonnes_Scrap_proj_mid,Tonnes_Scrap_15_mid,Tonnes_Prod_proj_mid,Tonnes_Prod_15_mid
2045,GA,41851.765943862796,32147.745105057096,1148516.2953786447,634741.3913572232,47140.07911163665,39305.840438800326,996769.2225530832,550876.5402208031
2046,GA,42118.54682213386,32620.434985035874,1174655.3271953377,648880.5998714296,47355.45633603076,39687.451875904764,1019454.6494182074,563147.613722268
2047,GA,42348.72300537453,33027.19422912918,1198183.1217883423,661561.7842396874,47541.281901151015,40015.83626970844,1039873.8473165933,574153.3037021679
2048,GA,42555.74118691459,33394.17371749893,1220163.5897203092,673435.7433598767,47708.41157561708,40312.105717979524,1058950.158223159,584458.4226181832
2049,GA,42721.19651295428,33686.16419199234,1238319.5289508034,683192.2641131625,47841.9867745391,40547.83512390047,1074707.2541427554,592925.868526619
2050,GA,42860.17404191385,33933.33135376468,1253992.7960426116,691674.7435171232,47954.18594951163,40747.37782579458,1088309.699590704,600287.605086065
2025,IL,0,0,0,0,19090.03552486434,18570.198453231373,190500.5487782914,179891.7211046102
2026,IL,2127.4464678741224,2127.4464678741224,40421.48288960833,40421.48288960833,18585.19572735745,17700.850938696683,210303.17683915352,188194.10904126722
2027,IL,2127.4464678741224,2127.4464678741224,40421.48288960832,40421.48288960832,12160.404310127306,12160.404310127306,122145.36519136418,122145.36519136418
2028,IL,2127.4464678741224,2127.4464678741224,40421.48288960832,40421.48288960832,12795.121913031522,11264.404857821224,142390.8156611865,123041.36464367027
2029,IL,2127.4464678741224,2127.4464678741224,40421.48288960832,40421.48288960832,22247.127539151585,22247.127539151585,219503.2575635331,219503.2575635331
2030,IL,2127.4464678741224,2127.4464678741224,40421.48288960833,40421.48288960833,22648.71781918087,21530.32797730672,232286.12714929396,220220.057125378
2031,IL,2127.4464678741224,2127.4464678741224,40421.48288960833,40421.48288960833,24664.09734047405,20813.528415461853,271089.22515975666,220936.85668722287
2032,IL,2263.991349744643,2127.4464678741224,43193.767891034244,40421.48288960833,25888.0950244083,20096.72885361699,311387.6612438644,221653.65624906772
2033,IL,2552.3055216500265,2127.4464678741224,50508.15029387423,40421.48288960833,26928.102555829908,20168.77722997969,364233.65222373814,231805.97342544238
2034,IL,2746.473501362957,2127.4464678741224,57009.7010416576,40421.48288960833,27203.239217819704,20704.676149966068,411290.92786228436,250487.9535536332
2035,IL,2907.916814588209,2127.4464678741224,63842.66183254362,40421.48288960833,28286.687157076994,21830.693857498893,460586.6570518933,268690.1849831315
2036,IL,2971.466178268592,2127.4464678741224,67003.85549745313,40421.48288960833,28713.167670547122,22400.504862038226,483392.78042803524,278947.7986409025
2037,IL,3027.9409941314943,2127.4464678741224,70087.94565043584,40421.48288960833,29092.170811923606,22901.81332267686,505642.6480374849,288642.3747934511
2038,IL,3079.9673592176,2174.6305473420557,73191.47928812544,41338.31456983509,29441.320348770267,23365.594550255733,528032.7887709794,298231.23863194557
2039,IL,3128.957949239272,2240.333118840068,76376.11587713657,42686.51656703381,29770.096764105114,23806.52526625328,551008.0388366039,307957.71044712776
2040,IL,3176.033640528472,2304.857464909227,79708.76404435455,44098.96244745317,30086.02227193482,24239.5488977927,575051.1039972517,318147.663491934
2041,IL,3197.192187763484,2343.1781357351742,81303.28087937641,44982.93416943968,30228.01752674891,24496.719362198382,586554.5901861895,324524.9912641705
2042,IL,3227.7116316566476,2398.0085003299514,83718.95074140004,46311.197056460784,30432.833867127105,24864.686572125825,603982.2047992649,334107.6143136889
2043,IL,3256.6856980390007,2450.007123724304,86148.98565259636,47645.419132249706,30627.27916118562,25213.6499341588,621513.4546585364,343733.2293493579
2044,IL,3283.7543308891495,2498.4026630935264,88550.22400454224,48958.165233537766,30808.937068807278,25538.432957693945,638836.9545496984,353203.9080615973
2045,IL,3307.4464543348868,2540.560551380383,90764.53676987503,50162.11662561627,30967.935182827,25821.355032788535,654811.898027573,361889.6979552722
2046,IL,3328.5295185741716,2577.9161188762164,92830.2428673867,51279.50496067819,31109.423870385173,26072.048677601673,669714.7331944429,369950.9871168185
2047,IL,3346.719800010631,2610.0613435591818,94689.58903952506,52281.66908278046,31231.499059150305,26287.77565163328,683128.8048065213,377181.0024320812
2048,IL,3363.079959135958,2639.0628678735975,96426.65363134468,53220.040095455646,31341.29227595283,26482.40521619093,695660.6878838271,383950.7885812883
2049,IL,3376.155503718588,2662.138187105244,97861.47473097437,53991.07494295488,31429.042406631528,26637.26395000761,706012.0647653139,389513.3442875601
2050,IL,3387.138570383114,2681.671225542104,99100.09610098244,54661.42530442422,31502.749893839762,26768.35039650739,714947.9778333093,394349.5215893858
2025,IN,1161.585771459271,1161.585771459271,22070.12965772615,22070.12965772615,430.69845651831514,418.9701900045256,4008.5452227988367,3785.3124512212407
2026,IN,1161.5857714592707,1161.5857714592707,22070.129657726146,22070.129657726146,14370.821104459998,13687.010132601461,141174.1884607962,126332.61663623675
2027,IN,7969.414468656463,7969.414468656463,151418.8749044728,151418.8749044728,9485.381881491636,9485.381881491636,82003.70830292437,82003.70830292437
2028,IN,7969.414468656464,7969.414468656464,151418.87490447276,151418.87490447276,10081.052179686825,8875.027054580733,95605.92787806955,82614.06312983525
2029,IN,7969.414468656464,7969.414468656464,151418.87490447276,151418.87490447276,29052.435961533592,29052.435961533592,250464.7315249705,250464.7315249705
