"VehicleType","FuelType","Year","Annual_Sales"
"Passenger cars","Gasoline",2024,186183
"Passenger cars","Hybrid electric",2017,13210
"Passenger cars","Hybrid electric",2018,12735
"Passenger cars","Hybrid electric",2019,19141
"Passenger cars","Hybrid electric",2020,11716
"Passenger cars","Hybrid electric",2021,17348
"Passenger cars","Hybrid electric",2022,15632
"Passenger cars","Hybrid electric",2023,22752
"Passenger cars","Hybrid electric",2024,28660
"Passenger cars","Other fuel types",2017,0
"Passenger cars","Other fuel types",2018,0
"Passenger cars","Other fuel types",2019,75
"Passenger cars","Other fuel types",2020,19
"Passenger cars","Other fuel types",2021,1
"Passenger cars","Other fuel types",2022,17
"Passenger cars","Other fuel types",2023,16
"Passenger cars","Other fuel types",2024,20
"Passenger cars","Plug-in hybrid electric",2017,8718
"Passenger cars","Plug-in hybrid electric",2018,13815
"Passenger cars","Plug-in hybrid electric",2019,13517
"Passenger cars","Plug-in hybrid electric",2020,8561
"Passenger cars","Plug-in hybrid electric",2021,8191
"Passenger cars","Plug-in hybrid electric",2022,3907
"Passenger cars","Plug-in hybrid electric",2023,3306
"Passenger cars","Plug-in hybrid electric",2024,6172
"Pickup trucks","Battery electric",2017,0
"Pickup trucks","Battery electric",2018,0
"Pickup trucks","Battery electric",2019,0
"Pickup trucks","Battery electric",2020,0
"Pickup trucks","Battery electric",2021,0
"Pickup trucks","Battery electric",2022,2446
"Pickup trucks","Battery electric",2023,6749
"Pickup trucks","Battery electric",2024,14188
"Pickup trucks","Diesel",2017,53638
"Pickup trucks","Diesel",2018,56688
"Pickup trucks","Diesel",2019,50457
"Pickup trucks","Diesel",2020,58510
"Pickup trucks","Diesel",2021,57902
"Pickup trucks","Diesel",2022,67539
"Pickup trucks","Diesel",2023,63848
"Pickup trucks","Diesel",2024,70090
"Pickup trucks","Gasoline",2017,366063
"Pickup trucks","Gasoline",2018,332321
"Pickup trucks","Gasoline",2019,347479
"Pickup trucks","Gasoline",2020,304040
"Pickup trucks","Gasoline",2021,274777
"Pickup trucks","Gasoline",2022,266126
"Pickup trucks","Gasoline",2023,288165
"Pickup trucks","Gasoline",2024,263479
"Pickup trucks","Hybrid electric",2017,0
"Pickup trucks","Hybrid electric",2018,0
"Pickup trucks","Hybrid electric",2019,0
"Pickup trucks","Hybrid electric",2020,12
"Pickup trucks","Hybrid electric",2021,6457
"Pickup trucks","Hybrid electric",2022,12081
"Pickup trucks","Hybrid electric",2023,12059
"Pickup trucks","Hybrid electric",2024,18110
"Pickup trucks","Other fuel types",2017,1
"Pickup trucks","Other fuel types",2018,0
"Pickup trucks","Other fuel types",2019,0
"Pickup trucks","Other fuel types",2020,0
"Pickup trucks","Other fuel types",2021,0
"Pickup trucks","Other fuel types",2022,0
"Pickup trucks","Other fuel types",2023,0
"Pickup trucks","Other fuel types",2024,0
"Pickup trucks","Plug-in hybrid electric",2017,0
"Pickup trucks","Plug-in hybrid electric",2018,0
