Sale Year,Global Segment,Cathode Mix,Total Mwh,BEV,PHEV,FCEV
2019,Car,LMO+NMC+NCA,39.288,0.002952365512228728,0,0
2019,Car,NCA,12342.828,0.9275234094525322,0,0
2019,Car,NMC (unspecified),14.688,0.0011037554633378018,0,0
2019,Car,NMC 111,174.0954,0.013082703492101033,0,0
2019,Car,NMC 622,736.3960000000001,0.05533776607980011,0,0
2019,Car,NiMH (unspecified),2.4032,0,0,0.34913993491399353
2019,Car,tba (unspecified),4.4799999999999995,0,0,0.6508600650860065
2019,Car,NMC (unspecified),23.366699999999998,0,0.0368907140205932,0
2019,Car,NMC 111,494.65879999999993,0,0.7809539356678438,0
2019,Car,NMC 442,4.165,0,0.006575589359891242,0
2019,Car,NMC 532,82.67119999999998,0,0.13051905476337114,0
2019,Car,NMC 622,28.1231,0,0.044399989706400335,0
2019,Car,NMC 811 + 111,0.4185000000000001,0,6.607164819002366e-4,0
2019,SUV,NCA,1844.2,0.44357524243063456,0,0
2019,SUV,NCA (unspecified),0.252,6.0612168470079116e-5,0,0
2019,SUV,NMC (unspecified),203.868,0.049035244292294,0,0
2019,SUV,NMC 111,0.54,1.2988321815016955e-4,0,0
2019,SUV,NMC 622,2108.615,0.5071735222957772,0,0
2019,SUV,NMC 811,0.106,2.5495594673922165e-5,0,0
2019,SUV,tba (unspecified),0.41652,0,0,1
2019,SUV,70 % NMC 111 + 30 % NMC 622,0.2852,0,9.987011981963149e-4,0
2019,SUV,NCA (unspecified),22.8008,0,0.07984286914387985,0
2019,SUV,NMC (unspecified),38.421899999999994,0,0.13454417099221241,0
2019,SUV,NMC 111,6.4003,0,0.02241229761155636,0
2019,SUV,NMC 111 + LMO,38.778000000000006,0,0.1357911467870151,0
2019,SUV,NMC 111 + NCA,5.3317,0,0.018670319699941415,0
2019,SUV,NMC 622,173.553,0,0.6077404945671986,0
2020,Car,LMO+NMC+NCA,9.672,0.0010637319396391955,0,0
2020,Car,NCA,8071.73,0.8877333549569771,0,0
2020,Car,NMC (unspecified),22.8265,0.0025104711662711017,0,0
2020,Car,NMC 111,27.4586,0.0030199121006799848,0,0
2020,Car,NMC 622,960.8292,0.10567252983643263,0,0
2020,Car,NiMH (unspecified),0.7983999999999999,0,0,0.1986860441966952
2020,Car,tba (unspecified),3.22,0,0,0.8013139558033049
2020,Car,NMC (unspecified),14.3094,0,0.03967496770555115,0
2020,Car,NMC 111,253.288,0,0.7022791465892099,0
2020,Car,NMC 442,5.88,0,0.016303186025175113,0
2020,Car,NMC 532,4.055199999999999,0,0.011243653056001718,0
2020,Car,NMC 622,34.087599999999995,0,0.09451300747478897,0
2020,Car,NMC 811 + 111,49.0455,0,0.13598603914927312,0
2020,SUV,NCA,7697,0.7440418650907197,0,0
2020,SUV,NMC (unspecified),71.04299999999999,0.006867476448179809,0,0
2020,SUV,NMC 622,2576.5399999999995,0.2490650418449841,0,0
2020,SUV,NMC 811,0.265,2.5616616116544204e-5,0,0
2020,SUV,tba (unspecified),0.32448000000000005,0,0,1
2020,SUV,NCA (unspecified),20.2752,0,0.040169019263504586,0
2020,SUV,NMC (unspecified),138.4356,0,0.2742671975198674,0
