"Province","Year","BEV","PHEV","Total_EV"
"Northwest Territories",2021,4.22895786007476,4.84047966631908,9.06943752639384
"Northwest Territories",2022,11.1272407098027,6.09738366020172,17.2246243700044
"Northwest Territories",2023,16.6046356928823,10.6715491559086,27.2761848487909
"Northwest Territories",2024,20.0983884926315,16.0817740572221,36.1801625498536
"Nova Scotia",2014,7.86258842689195,17.388340957737,25.250929384629
"Nova Scotia",2015,12.049264593618,18.5250346245856,30.5742992182035
"Nova Scotia",2016,13.7138785688839,43.4708523943426,57.1847309632265
"Nova Scotia",2017,25.5805384497939,72.3490158223864,97.9295542721802
"Nova Scotia",2018,44.6039299969297,118.003408892981,162.60733888991
"Nova Scotia",2019,63.3965955781647,85.551765750968,148.948361329133
"Nova Scotia",2020,102.596904937362,62.2175329310233,164.814437868385
"Nova Scotia",2021,241.819499453366,169.701522419187,411.521021872553
"Nova Scotia",2022,568.379455456721,205.351171127508,773.730626584229
"Nova Scotia",2023,1032.54616163897,418.265440527419,1450.81160216639
"Nova Scotia",2024,1459.83871801287,769.717852425081,2229.55657043795
"Nunavut",2014,0,0,0
"Nunavut",2015,0,0,0
"Nunavut",2016,0,0,0
"Nunavut",2017,0,0,0
"Nunavut",2018,0,0,0
"Nunavut",2019,0,0,0
"Nunavut",2020,0,0,0
"Nunavut",2021,0,0.28473409801877,0.28473409801877
"Nunavut",2022,0.445089628392107,0.435527404300123,0.88061703269223
"Nunavut",2023,0,0.592863841994924,0.592863841994924
"Nunavut",2024,0,0.945986709248359,0.945986709248359
"Ontario",2014,878.493053081582,733.255886179544,1611.74893926113
"Ontario",2015,1346.27360171001,781.189574852059,2127.46317656207
"Ontario",2016,1532.26220163876,1833.13971544886,3365.40191708762
"Ontario",2017,2858.13323833274,3050.91450875058,5909.04774708332
"Ontario",2018,6876.73656739331,7830.94115305183,14707.6777204451
"Ontario",2019,8804.81179356742,5977.73519601763,14782.546989585
"Ontario",2020,8293.47480898266,3390.1503082214,11683.6251172041
"Ontario",2021,13819.0809345807,6944.94938477581,20764.0303193565
"Ontario",2022,24395.8076217998,6067.11450560286,30462.9221274027
"Ontario",2023,36583.5081441971,9705.47752537791,46288.985669575
"Ontario",2024,48143.7570967438,14999.8805907451,63143.6376874888
"Prince Edward Island",2014,2.11685073031706,2.85054769798968,4.96739842830674
"Prince Edward Island",2015,3.24403277520485,3.03689092206321,6.28092369726805
"Prince Edward Island",2016,3.69219807623798,7.12636924497419,10.8185673212122
"Prince Edward Island",2017,6.88706804417528,11.8604943971125,18.7475624412878
"Prince Edward Island",2018,12.4891003991403,19.7562268282366,32.2453272273769
"Prince Edward Island",2019,19.5066447932815,16.4881584901865,35.994803283468
"Prince Edward Island",2020,24.2992669588489,11.753941989488,36.0532089483369
"Prince Edward Island",2021,86.5014107742565,37.3001668404588,123.801577614715
"Prince Edward Island",2022,220.319366054093,40.0685211956113,260.387887249704
"Prince Edward Island",2023,318.983790942213,92.1903274302107,411.174118372423
"Prince Edward Island",2024,401.194754910606,178.79148804794,579.986242958546
"Quebec",2014,1126.76940302305,1071.61589793092,2198.38530095397
"Quebec",2015,1726.75230291618,1141.66852730096,2868.42083021714
"Quebec",2016,1965.30429029467,2679.0397448273,4644.34403512197
"Quebec",2017,3665.88793322815,4458.75519368783,8124.64312691599
"Quebec",2018,7995.4031317163,9682.15300206524,17677.5561337815
"Quebec",2019,12846.5885947353,8807.47650972965,21654.065104465
"Quebec",2020,14351.4170577512,6069.57892414509,20420.9959818963
"Quebec",2021,23745.5983843198,13908.4064859228,37654.0048702426
"Quebec",2022,38122.3717614124,13335.8491196698,51458.2208810821
"Quebec",2023,55071.45909593,21513.8430983118,76585.3021942418
"Quebec",2024,77129.1118703575,29501.2261857162,106630.338056074
"Saskatchewan",2014,7.25777393251565,12.162336844756,19.4201107772716
"Saskatchewan",2015,11.1223980864166,12.9574012674697,24.0797993538863
"Saskatchewan",2016,12.6589648328159,30.4058421118899,43.0648069447058
"Saskatchewan",2017,23.6128047228867,50.6047760943468,74.2175808172334
"Saskatchewan",2018,48.7669634633098,81.6946676951405,130.46163115845
"Saskatchewan",2019,74.6129163343016,62.841660660711,137.454576995013
"Saskatchewan",2020,105.971803126091,47.4859256375316,153.457728763622
"Saskatchewan",2021,207.987836572768,121.581459854015,329.569296426782
"Saskatchewan",2022,415.713712918228,136.320077545938,552.033790464167
"Saskatchewan",2023,644.959007439323,280.424597263599,925.383604702922
"Saskatchewan",2024,821.71488337182,479.615261588918,1301.33014496074
"Yukon",2014,1.05842536515853,0.380073026398623,1.43849839155716
"Yukon",2015,1.62201638760242,0.404918789608427,2.02693517721085
"Yukon",2016,1.84609903811899,0.950182565996559,2.79628160411555
"Yukon",2017,3.44353402208764,1.58139925294834,5.02493327503597
"Yukon",2018,4.75775253300583,2.66976038219413,7.42751291519997
"Yukon",2019,6.82732567764851,3.1109733000352,9.93829897768371
"Yukon",2020,7.08728619633092,3.13438453053014,10.2216707268611
"Yukon",2021,18.0691835839558,15.0909071949948,33.1600907789506
"Yukon",2022,35.6071702713686,18.5099146827552,54.1170849541238
"Yukon",2023,64.2337222856236,35.8682624406929,100.101984726317
"Yukon",2024,108.222091883401,53.9212424271565,162.143334310557
