State,Reg Year,Fraction_BEV,Fraction_PHEV,Fraction_FCEV
Ohio,2014,0.00927577595433464,0.01732283464566929,0
Oklahoma,2014,0.0021405636817695326,0.0027559055118110236,0
Oregon,2014,0.027470567249375667,0.016929133858267716,0
Pennsylvania,2014,0.011416339636104174,0.02125984251968504,0
Rhode Island,2014,0.0010702818408847663,0.002362204724409449,0
South Carolina,2014,0.0028540849090260435,0.004724409448818898,0
South Dakota,2014,3.5676061362825543e-4,7.874015748031496e-4,0
Tennessee,2014,0.00927577595433464,0.0066929133858267716,0
Texas,2014,0.0424545130217624,0.031496062992125984,0
Utah,2014,0.008919015340706386,0.0066929133858267716,0
Vermont,2014,0.0010702818408847663,0.004724409448818898,0
Virginia,2014,0.011059579022475919,0.01653543307086614,0
Washington,2014,0.053157331430610064,0.025196850393700787,0
West Virginia,2014,3.5676061362825543e-4,0.0011811023622047244,0
Wisconsin,2014,0.00927577595433464,0.010236220472440945,0
Wyoming,2014,3.5676061362825543e-4,3.937007874015748e-4,0
Alabama,2015,0.0017838030681412772,0.003543307086614173,0
Alaska,2015,7.135212272565109e-4,7.874015748031496e-4,0
Arizona,2015,0.016767748840528007,0.01732283464566929,0
Arkansas,2015,7.135212272565109e-4,0.001968503937007874,0
California,2015,0.5048162682839814,0.4594488188976378,1
Colorado,2015,0.01890831252229754,0.014960629921259842,0
Connecticut,2015,0.007135212272565109,0.011023622047244094,0
Delaware,2015,0.0010702818408847663,0.0027559055118110236,0
District of Columbia,2015,0.0021405636817695326,0.001968503937007874,0
Florida,2015,0.04138423118087763,0.03976377952755906,0
Georgia,2015,0.06421691045308597,0.015748031496062992,0
Hawaii,2015,0.014983945772386728,0.004724409448818898,0
Idaho,2015,0.0014270424545130217,0.002362204724409449,0
Illinois,2015,0.020692115590438816,0.023622047244094488,0
Indiana,2015,0.00463788797716732,0.009448818897637795,0
Iowa,2015,0.0014270424545130217,0.004724409448818898,0
Kansas,2015,0.0021405636817695326,0.003937007874015748,0
Kentucky,2015,0.0017838030681412772,0.003543307086614173,0
Louisiana,2015,0.0014270424545130217,0.001968503937007874,0
Maine,2015,0.0010702818408847663,0.003937007874015748,0
Maryland,2015,0.011416339636104174,0.01968503937007874,0
Massachusetts,2015,0.012843382090617196,0.02047244094488189,0
Michigan,2015,0.005708169818052087,0.045669291338582677,0
Minnesota,2015,0.005708169818052087,0.009448818897637795,0
Mississippi,2015,3.5676061362825543e-4,7.874015748031496e-4,0
Missouri,2015,0.0049946485907955765,0.00826771653543307,0
Montana,2015,7.135212272565109e-4,7.874015748031496e-4,0
Nebraska,2015,0.0010702818408847663,0.002362204724409449,0
Nevada,2015,0.007135212272565109,0.005511811023622047,0
New Hampshire,2015,0.0014270424545130217,0.003937007874015748,0
New Jersey,2015,0.014983945772386728,0.021653543307086614,0
New Mexico,2015,0.0017838030681412772,0.002362204724409449,0
New York,2015,0.02176239743132358,0.047637795275590554,0
North Carolina,2015,0.010346057795219408,0.014173228346456693,0
