Year,State_Province,Mineral,Available Recycled Minerals (w Scrap) (Tonne),Available Recycled Minerals No R Restraint (Tonne),Minerals Recoverable in Exported Scrap/Batts (Tonne),Minerals Recoverable in Exported BM (Tonne),Minerals Lost to Pyrometalurgy (Tonne),Scrap_min,Batt_min,Battery_Scenario,Chemistry_Scenario,Scenario
2025,CA,Graphite,0,223.05086184345305,0,0,223.05086184345305,0,223.05086184345305,Decreasing Batt Cap,Benchmark Chemistry,Decreasing Batt Cap - Benchmark Chemistry
2025,CA,Lithium,0,23.382862048930125,0,0,23.382862048930125,0.008659318187636612,23.374202730742486,Decreasing Batt Cap,Benchmark Chemistry,Decreasing Batt Cap - Benchmark Chemistry
2025,CA,Manganese,0,18.436560264272455,0,0,18.436560264272455,0.012875255294437539,18.42368500897802,Decreasing Batt Cap,Benchmark Chemistry,Decreasing Batt Cap - Benchmark Chemistry
2025,CA,Nickel,158.52662714365587,158.52662714365587,0,0,0,0.057057438715982026,158.46956970493991,Decreasing Batt Cap,Benchmark Chemistry,Decreasing Batt Cap - Benchmark Chemistry
2025,CO,Cobalt,2.4121859534366537,2.4121859534366537,0,0,0,0.01389334933673391,2.398292604099919,Decreasing Batt Cap,Benchmark Chemistry,Decreasing Batt Cap - Benchmark Chemistry
2025,CO,Copper,5.877427572586397,6.2039513266189745,0,0,0.3265237540325776,0.03432159223229627,6.169629734386679,Decreasing Batt Cap,Benchmark Chemistry,Decreasing Batt Cap - Benchmark Chemistry
2025,CO,Graphite,0,14.06915722724387,0,0,14.06915722724387,0,14.06915722724387,Decreasing Batt Cap,Benchmark Chemistry,Decreasing Batt Cap - Benchmark Chemistry
2025,CO,Lithium,0,1.4697011968528468,0,0,1.4697011968528468,0.008659318187636612,1.4610418786652104,Decreasing Batt Cap,Benchmark Chemistry,Decreasing Batt Cap - Benchmark Chemistry
2025,CO,Manganese,0,0.9764569116629643,0,0,0.9764569116629643,0.012875255294437539,0.963581656368527,Decreasing Batt Cap,Benchmark Chemistry,Decreasing Batt Cap - Benchmark Chemistry
2025,CO,Nickel,10.245466349703511,10.245466349703511,0,0,0,0.057057438715982026,10.188408910987528,Decreasing Batt Cap,Benchmark Chemistry,Decreasing Batt Cap - Benchmark Chemistry
2025,CT,Cobalt,1.0555985595794046,1.0555985595794046,0,0,0,0.01389334933673391,1.0417052102426705,Decreasing Batt Cap,Benchmark Chemistry,Decreasing Batt Cap - Benchmark Chemistry
2025,CT,Copper,2.460135386510003,2.5968095746494475,0,0,0.13667418813944465,0.03432159223229627,2.5624879824171516,Decreasing Batt Cap,Benchmark Chemistry,Decreasing Batt Cap - Benchmark Chemistry
2025,CT,Graphite,0,5.812806724130676,0,0,5.812806724130676,0,5.812806724130676,Decreasing Batt Cap,Benchmark Chemistry,Decreasing Batt Cap - Benchmark Chemistry
2025,CT,Lithium,0,0.6163433010822089,0,0,0.6163433010822089,0.008659318187636612,0.60768398289457215,Decreasing Batt Cap,Benchmark Chemistry,Decreasing Batt Cap - Benchmark Chemistry
2025,CT,Manganese,0,0.49934480525704794,0,0,0.49934480525704794,0.012875255294437539,0.48646954996261044,Decreasing Batt Cap,Benchmark Chemistry,Decreasing Batt Cap - Benchmark Chemistry
2025,CT,Nickel,4.16642535626832,4.16642535626832,0,0,0,0.057057438715982026,4.109367917552338,Decreasing Batt Cap,Benchmark Chemistry,Decreasing Batt Cap - Benchmark Chemistry
2025,DC,Cobalt,0.43325412817963804,0.43325412817963804,0,0,0,0.01389334933673391,0.41936077884290424,Decreasing Batt Cap,Benchmark Chemistry,Decreasing Batt Cap - Benchmark Chemistry
2025,DC,Copper,1.055122609062366,1.1137405317880527,0,0,0.058617922725686666,0.03432159223229627,1.0794189395557565,Decreasing Batt Cap,Benchmark Chemistry,Decreasing Batt Cap - Benchmark Chemistry
2025,DC,Graphite,0,2.459854145021657,0,0,2.459854145021657,0,2.459854145021657,Decreasing Batt Cap,Benchmark Chemistry,Decreasing Batt Cap - Benchmark Chemistry
2025,DC,Lithium,0,0.2641143959487283,0,0,0.2641143959487283,0.008659318187636612,0.2554550777610917,Decreasing Batt Cap,Benchmark Chemistry,Decreasing Batt Cap - Benchmark Chemistry
2025,DC,Manganese,0,0.1886108724544855,0,0,0.1886108724544855,0.012875255294437539,0.17573561716004799,Decreasing Batt Cap,Benchmark Chemistry,Decreasing Batt Cap - Benchmark Chemistry
2025,DC,Nickel,1.8317609157051955,1.8317609157051955,0,0,0,0.057057438715982026,1.7747034769892134,Decreasing Batt Cap,Benchmark Chemistry,Decreasing Batt Cap - Benchmark Chemistry
2025,DE,Cobalt,0.34191194507159206,0.34191194507159206,0,0,0,0.01389334933673391,0.3280185957348582,Decreasing Batt Cap,Benchmark Chemistry,Decreasing Batt Cap - Benchmark Chemistry
2025,DE,Copper,0.8176514451098196,0.8630765253936984,0,0,0.045425080283878816,0.03432159223229627,0.8287549331614021,Decreasing Batt Cap,Benchmark Chemistry,Decreasing Batt Cap - Benchmark Chemistry
2025,DE,Graphite,0,1.8859395743425031,0,0,1.8859395743425031,0,1.8859395743425031,Decreasing Batt Cap,Benchmark Chemistry,Decreasing Batt Cap - Benchmark Chemistry
2025,DE,Lithium,0,0.20499107822414192,0,0,0.20499107822414192,0.008659318187636612,0.19633176003650527,Decreasing Batt Cap,Benchmark Chemistry,Decreasing Batt Cap - Benchmark Chemistry
2025,DE,Manganese,0,0.16352065982915112,0,0,0.16352065982915112,0.012875255294437539,0.1506454045347136,Decreasing Batt Cap,Benchmark Chemistry,Decreasing Batt Cap - Benchmark Chemistry
2025,DE,Nickel,1.403825532636314,1.403825532636314,0,0,0,0.057057438715982026,1.346768093920332,Decreasing Batt Cap,Benchmark Chemistry,Decreasing Batt Cap - Benchmark Chemistry
2025,FL,Cobalt,5.5289055540060765,5.5289055540060765,0,0,0,0.01389334933673391,5.5150122046693415,Decreasing Batt Cap,Benchmark Chemistry,Decreasing Batt Cap - Benchmark Chemistry
2025,FL,Copper,13.712025365063646,14.473804552011627,0,0,0.7617791869479813,0.03432159223229627,14.439482959779326,Decreasing Batt Cap,Benchmark Chemistry,Decreasing Batt Cap - Benchmark Chemistry
2025,FL,Graphite,0,32.88713747560565,0,0,32.88713747560565,0,32.88713747560565,Decreasing Batt Cap,Benchmark Chemistry,Decreasing Batt Cap - Benchmark Chemistry
2025,FL,Lithium,0,3.4143709817234433,0,0,3.4143709817234433,0.008659318187636612,3.405711663535807,Decreasing Batt Cap,Benchmark Chemistry,Decreasing Batt Cap - Benchmark Chemistry
2025,FL,Manganese,0,2.199801092926101,0,0,2.199801092926101,0.012875255294437539,2.1869258376316636,Decreasing Batt Cap,Benchmark Chemistry,Decreasing Batt Cap - Benchmark Chemistry
2025,FL,Nickel,23.788443128157866,23.788443128157866,0,0,0,0.057057438715982026,23.73138568944189,Decreasing Batt Cap,Benchmark Chemistry,Decreasing Batt Cap - Benchmark Chemistry
2025,GA,Cobalt,4.141965246412442,4.141965246412442,0,0,0,0.01389334933673391,4.128071897075709,Decreasing Batt Cap,Benchmark Chemistry,Decreasing Batt Cap - Benchmark Chemistry
2025,GA,Copper,9.73031824461921,10.27089148043139,0,0,0.5405732358121789,0.03432159223229627,10.236569888199092,Decreasing Batt Cap,Benchmark Chemistry,Decreasing Batt Cap - Benchmark Chemistry
2025,GA,Graphite,0,23.37025770374983,0,0,23.37025770374983,0,23.37025770374983,Decreasing Batt Cap,Benchmark Chemistry,Decreasing Batt Cap - Benchmark Chemistry
2025,GA,Lithium,0,2.4493253970719486,0,0,2.4493253970719486,0.008659318187636612,2.4406660788843126,Decreasing Batt Cap,Benchmark Chemistry,Decreasing Batt Cap - Benchmark Chemistry
2025,GA,Manganese,0,1.6473395738584935,0,0,1.6473395738584935,0.012875255294437539,1.634464318564056,Decreasing Batt Cap,Benchmark Chemistry,Decreasing Batt Cap - Benchmark Chemistry
2025,GA,Nickel,17.040256672779297,17.040256672779297,0,0,0,0.057057438715982026,16.98319923406331,Decreasing Batt Cap,Benchmark Chemistry,Decreasing Batt Cap - Benchmark Chemistry
2025,HI,Cobalt,1.3281393251626463,1.3281393251626463,0,0,0,0.01389334933673391,1.3142459758259122,Decreasing Batt Cap,Benchmark Chemistry,Decreasing Batt Cap - Benchmark Chemistry
2025,HI,Copper,3.1543383867654975,3.329579408252469,0,0,0.17524102148697152,0.03432159223229627,3.2952578160201726,Decreasing Batt Cap,Benchmark Chemistry,Decreasing Batt Cap - Benchmark Chemistry
2025,HI,Graphite,0,7.514088133926898,0,0,7.514088133926898,0,7.514088133926898,Decreasing Batt Cap,Benchmark Chemistry,Decreasing Batt Cap - Benchmark Chemistry
2025,HI,Lithium,0,0.7923170936960029,0,0,0.7923170936960029,0.008659318187636612,0.7836577755083662,Decreasing Batt Cap,Benchmark Chemistry,Decreasing Batt Cap - Benchmark Chemistry
2025,HI,Manganese,0,0.5304625120659542,0,0,0.5304625120659542,0.012875255294437539,0.5175872567715167,Decreasing Batt Cap,Benchmark Chemistry,Decreasing Batt Cap - Benchmark Chemistry
2025,HI,Nickel,5.507083910723714,5.507083910723714,0,0,0,0.057057438715982026,5.450026472007733,Decreasing Batt Cap,Benchmark Chemistry,Decreasing Batt Cap - Benchmark Chemistry
2025,IA,Cobalt,0.4733572570008366,0.4733572570008366,0,0,0,0.01389334933673391,0.4594639076641026,Decreasing Batt Cap,Benchmark Chemistry,Decreasing Batt Cap - Benchmark Chemistry
2025,IA,Copper,1.0942676736724426,1.1550603222098004,0,0,0.060792648537357774,0.03432159223229627,1.120738729977504,Decreasing Batt Cap,Benchmark Chemistry,Decreasing Batt Cap - Benchmark Chemistry
2025,IA,Graphite,0,2.54068755395098,0,0,2.54068755395098,0,2.54068755395098,Decreasing Batt Cap,Benchmark Chemistry,Decreasing Batt Cap - Benchmark Chemistry
2025,IA,Lithium,0,0.2745983761554371,0,0,0.2745983761554371,0.008659318187636612,0.2659390579678006,Decreasing Batt Cap,Benchmark Chemistry,Decreasing Batt Cap - Benchmark Chemistry
2025,IA,Manganese,0,0.24173422007588147,0,0,0.24173422007588147,0.012875255294437539,0.22885896478144394,Decreasing Batt Cap,Benchmark Chemistry,Decreasing Batt Cap - Benchmark Chemistry
2025,IA,Nickel,1.8420845577482203,1.8420845577482203,0,0,0,0.057057438715982026,1.7850271190322384,Decreasing Batt Cap,Benchmark Chemistry,Decreasing Batt Cap - Benchmark Chemistry
2025,ID,Cobalt,0.41708691956823374,0.41708691956823374,0,0,0,0.01389334933673391,0.40319357023149993,Decreasing Batt Cap,Benchmark Chemistry,Decreasing Batt Cap - Benchmark Chemistry
2025,ID,Copper,1.0151630143067554,1.0715609595460194,0,0,0.056397945239264,0.03432159223229627,1.0372393673137232,Decreasing Batt Cap,Benchmark Chemistry,Decreasing Batt Cap - Benchmark Chemistry
2025,ID,Graphite,0,2.3622685059241104,0,0,2.3622685059241104,0,2.3622685059241104,Decreasing Batt Cap,Benchmark Chemistry,Decreasing Batt Cap - Benchmark Chemistry
2025,ID,Lithium,0,0.25399240093707737,0,0,0.25399240093707737,0.008659318187636612,0.24533308274944077,Decreasing Batt Cap,Benchmark Chemistry,Decreasing Batt Cap - Benchmark Chemistry
2025,ID,Manganese,0,0.1848825894869646,0,0,0.1848825894869646,0.012875255294437539,0.1720073341925271,Decreasing Batt Cap,Benchmark Chemistry,Decreasing Batt Cap - Benchmark Chemistry
2025,ID,Nickel,1.7567478868162179,1.7567478868162179,0,0,0,0.057057438715982026,1.6996904481002362,Decreasing Batt Cap,Benchmark Chemistry,Decreasing Batt Cap - Benchmark Chemistry
2025,IL,Cobalt,2.6717643323113722,2.6717643323113722,0,0,0,0.01389334933673391,2.657870982974639,Decreasing Batt Cap,Benchmark Chemistry,Decreasing Batt Cap - Benchmark Chemistry
