Year,State_Province,Scenario,Tonnes_Scrap
2026,CA,Increasing Batt Cap - Benchmark Chemistry,1584.4786736790645
2026,CA,Increasing Batt Cap - High LFP Chemistry,1584.4786736790645
2026,CO,Decreasing Batt Cap - Benchmark Chemistry,224.49138413599331
2026,CO,Decreasing Batt Cap - High LFP Chemistry,224.49138413599331
2026,CO,Increasing Batt Cap - Benchmark Chemistry,244.77013496586986
2026,CO,Increasing Batt Cap - High LFP Chemistry,244.77013496586986
2026,FL,Decreasing Batt Cap - Benchmark Chemistry,448.98276827198663
2026,FL,Decreasing Batt Cap - High LFP Chemistry,448.98276827198663
2026,FL,Increasing Batt Cap - Benchmark Chemistry,489.5402699317397
2026,FL,Increasing Batt Cap - High LFP Chemistry,489.5402699317397
2026,GA,Decreasing Batt Cap - Benchmark Chemistry,2933.3540860436465
2026,GA,Decreasing Batt Cap - High LFP Chemistry,2933.3540860436465
2026,GA,Increasing Batt Cap - Benchmark Chemistry,3198.3297635540334
2026,GA,Increasing Batt Cap - High LFP Chemistry,3198.3297635540334
2026,IL,Decreasing Batt Cap - Benchmark Chemistry,14004.995447048002
2026,IL,Decreasing Batt Cap - High LFP Chemistry,14004.995447048002
2026,IL,Increasing Batt Cap - Benchmark Chemistry,15270.094391211474
2026,IL,Increasing Batt Cap - High LFP Chemistry,15270.094391211474
2026,IN,Decreasing Batt Cap - Benchmark Chemistry,10829.22596516127
2026,IN,Decreasing Batt Cap - High LFP Chemistry,10829.22596516127
2026,IN,Increasing Batt Cap - Benchmark Chemistry,11807.451369548737
2026,IN,Increasing Batt Cap - High LFP Chemistry,11807.451369548737
2026,KS,Decreasing Batt Cap - Benchmark Chemistry,0
2026,KS,Decreasing Batt Cap - High LFP Chemistry,0
2026,KS,Increasing Batt Cap - Benchmark Chemistry,0
2026,KS,Increasing Batt Cap - High LFP Chemistry,0
2026,KY,Decreasing Batt Cap - Benchmark Chemistry,0
2026,KY,Decreasing Batt Cap - High LFP Chemistry,0
2026,KY,Increasing Batt Cap - Benchmark Chemistry,0
2026,KY,Increasing Batt Cap - High LFP Chemistry,0
2026,MA,Decreasing Batt Cap - Benchmark Chemistry,0
2026,MA,Decreasing Batt Cap - High LFP Chemistry,0
2026,MA,Increasing Batt Cap - Benchmark Chemistry,0
2026,MA,Increasing Batt Cap - High LFP Chemistry,0
2026,MD,Decreasing Batt Cap - Benchmark Chemistry,59.86436910293157
2026,MD,Decreasing Batt Cap - High LFP Chemistry,59.86436910293157
2026,MD,Increasing Batt Cap - Benchmark Chemistry,65.27203599089864
2026,MD,Increasing Batt Cap - High LFP Chemistry,65.27203599089864
2026,MI,Decreasing Batt Cap - Benchmark Chemistry,5546.433797386609
2026,MI,Decreasing Batt Cap - High LFP Chemistry,5546.433797386609
2026,MI,Increasing Batt Cap - Benchmark Chemistry,6047.454134556758
2026,MI,Increasing Batt Cap - High LFP Chemistry,6047.454134556758
2026,MO,Decreasing Batt Cap - Benchmark Chemistry,59.86436910293157
2026,MO,Decreasing Batt Cap - High LFP Chemistry,59.86436910293157
2026,MO,Increasing Batt Cap - Benchmark Chemistry,65.27203599089864
2026,MO,Increasing Batt Cap - High LFP Chemistry,65.27203599089864
2026,MS,Decreasing Batt Cap - Benchmark Chemistry,0
2026,MS,Decreasing Batt Cap - High LFP Chemistry,0
2026,MS,Increasing Batt Cap - Benchmark Chemistry,0
2026,MS,Increasing Batt Cap - High LFP Chemistry,0
2026,NC,Decreasing Batt Cap - Benchmark Chemistry,8979.655365439734
2026,NC,Decreasing Batt Cap - High LFP Chemistry,8979.655365439734
2026,NC,Increasing Batt Cap - Benchmark Chemistry,9790.805398634795
2026,NC,Increasing Batt Cap - High LFP Chemistry,9790.805398634795
2026,NH,Decreasing Batt Cap - Benchmark Chemistry,0
2026,NH,Decreasing Batt Cap - High LFP Chemistry,0
2026,NH,Increasing Batt Cap - Benchmark Chemistry,0
2026,NH,Increasing Batt Cap - High LFP Chemistry,0
2026,NV,Decreasing Batt Cap - Benchmark Chemistry,104.7626459301302
2026,NV,Decreasing Batt Cap - High LFP Chemistry,104.7626459301302
2026,NV,Increasing Batt Cap - Benchmark Chemistry,114.22606298407258
2026,NV,Increasing Batt Cap - High LFP Chemistry,114.22606298407258
2026,NY,Decreasing Batt Cap - Benchmark Chemistry,164.62701503306178
2026,NY,Decreasing Batt Cap - High LFP Chemistry,164.62701503306178
2026,NY,Increasing Batt Cap - Benchmark Chemistry,179.49809897497124
2026,NY,Increasing Batt Cap - High LFP Chemistry,179.49809897497124
2026,OH,Decreasing Batt Cap - Benchmark Chemistry,12571.517511615628
2026,OH,Decreasing Batt Cap - High LFP Chemistry,12571.517511615628
2026,OH,Increasing Batt Cap - Benchmark Chemistry,13707.127558088714
2026,OH,Increasing Batt Cap - High LFP Chemistry,13707.127558088714
2026,ON,Decreasing Batt Cap - Benchmark Chemistry,299.3218455146578
2026,ON,Decreasing Batt Cap - High LFP Chemistry,299.3218455146578
2026,ON,Increasing Batt Cap - Benchmark Chemistry,326.3601799544932
2026,ON,Increasing Batt Cap - High LFP Chemistry,326.3601799544932
2026,PA,Decreasing Batt Cap - Benchmark Chemistry,20.952529186026045
2026,PA,Decreasing Batt Cap - High LFP Chemistry,20.952529186026045
2026,PA,Increasing Batt Cap - Benchmark Chemistry,22.84521259681452
2026,PA,Increasing Batt Cap - High LFP Chemistry,22.84521259681452
2026,QC,Decreasing Batt Cap - Benchmark Chemistry,59.86436910293157
2026,QC,Decreasing Batt Cap - High LFP Chemistry,59.86436910293157
2026,QC,Increasing Batt Cap - Benchmark Chemistry,65.27203599089864
2026,QC,Increasing Batt Cap - High LFP Chemistry,65.27203599089864
2026,SC,Decreasing Batt Cap - Benchmark Chemistry,0
2026,SC,Decreasing Batt Cap - High LFP Chemistry,0
2026,SC,Increasing Batt Cap - Benchmark Chemistry,0
2026,SC,Increasing Batt Cap - High LFP Chemistry,0
2026,SLP ,Decreasing Batt Cap - Benchmark Chemistry,0
2026,SLP ,Decreasing Batt Cap - High LFP Chemistry,0
2026,SLP ,Increasing Batt Cap - Benchmark Chemistry,0
2026,SLP ,Increasing Batt Cap - High LFP Chemistry,0
2026,TN,Decreasing Batt Cap - Benchmark Chemistry,15864.05781227686
2026,TN,Decreasing Batt Cap - High LFP Chemistry,15864.05781227686
2026,TN,Increasing Batt Cap - Benchmark Chemistry,17297.089537588137
2026,TN,Increasing Batt Cap - High LFP Chemistry,17297.089537588137
2026,TX,Decreasing Batt Cap - Benchmark Chemistry,2993.2184551465775
2026,TX,Decreasing Batt Cap - High LFP Chemistry,2993.2184551465775
2026,TX,Increasing Batt Cap - Benchmark Chemistry,3263.6017995449315
2026,TX,Increasing Batt Cap - High LFP Chemistry,3263.6017995449315
2026,VA,Decreasing Batt Cap - Benchmark Chemistry,0
2026,VA,Decreasing Batt Cap - High LFP Chemistry,0
2026,VA,Increasing Batt Cap - Benchmark Chemistry,0
2026,VA,Increasing Batt Cap - High LFP Chemistry,0
2026,WV,Decreasing Batt Cap - Benchmark Chemistry,0
2026,WV,Decreasing Batt Cap - High LFP Chemistry,0
2026,WV,Increasing Batt Cap - Benchmark Chemistry,0
2026,WV,Increasing Batt Cap - High LFP Chemistry,0
2027,AL,Decreasing Batt Cap - Benchmark Chemistry,0
2027,AL,Decreasing Batt Cap - High LFP Chemistry,0
2027,AL,Increasing Batt Cap - Benchmark Chemistry,0
2027,AL,Increasing Batt Cap - High LFP Chemistry,0
2027,AZ,Decreasing Batt Cap - Benchmark Chemistry,11878.722133636436
2027,AZ,Decreasing Batt Cap - High LFP Chemistry,11878.722133636436
2027,AZ,Increasing Batt Cap - Benchmark Chemistry,11878.722133636436
2027,AZ,Increasing Batt Cap - High LFP Chemistry,11878.722133636436
2027,CA,Decreasing Batt Cap - Benchmark Chemistry,1267.776805332282
2027,CA,Decreasing Batt Cap - High LFP Chemistry,1267.776805332282
2027,CA,Increasing Batt Cap - Benchmark Chemistry,1267.776805332282
2027,CA,Increasing Batt Cap - High LFP Chemistry,1267.776805332282
2027,CO,Decreasing Batt Cap - Benchmark Chemistry,195.84605643650076
2027,CO,Decreasing Batt Cap - High LFP Chemistry,195.84605643650076
2027,CO,Increasing Batt Cap - Benchmark Chemistry,195.84605643650076
2027,CO,Increasing Batt Cap - High LFP Chemistry,195.84605643650076
2027,FL,Decreasing Batt Cap - Benchmark Chemistry,391.6921128730015
2027,FL,Decreasing Batt Cap - High LFP Chemistry,391.6921128730015
2027,FL,Increasing Batt Cap - Benchmark Chemistry,391.6921128730015
2027,FL,Increasing Batt Cap - High LFP Chemistry,391.6921128730015
2027,GA,Decreasing Batt Cap - Benchmark Chemistry,25484.988855355266
2027,GA,Decreasing Batt Cap - High LFP Chemistry,25484.988855355266
2027,GA,Increasing Batt Cap - Benchmark Chemistry,25484.988855355266
2027,GA,Increasing Batt Cap - High LFP Chemistry,25484.988855355266
2027,IL,Decreasing Batt Cap - Benchmark Chemistry,12160.404310127306
2027,IL,Decreasing Batt Cap - High LFP Chemistry,12160.404310127306
2027,IL,Increasing Batt Cap - Benchmark Chemistry,12160.404310127306
2027,IL,Increasing Batt Cap - High LFP Chemistry,12160.404310127306
2027,IN,Decreasing Batt Cap - Benchmark Chemistry,9485.381881491636
2027,IN,Decreasing Batt Cap - High LFP Chemistry,9485.381881491636
2027,IN,Increasing Batt Cap - Benchmark Chemistry,9485.381881491636
2027,IN,Increasing Batt Cap - High LFP Chemistry,9485.381881491636
2027,KS,Decreasing Batt Cap - Benchmark Chemistry,8909.041600227327
2027,KS,Decreasing Batt Cap - High LFP Chemistry,8909.041600227327
2027,KS,Increasing Batt Cap - Benchmark Chemistry,8909.041600227327
2027,KS,Increasing Batt Cap - High LFP Chemistry,8909.041600227327
2027,KY,Decreasing Batt Cap - Benchmark Chemistry,5939.361066818218
2027,KY,Decreasing Batt Cap - High LFP Chemistry,5939.361066818218
2027,KY,Increasing Batt Cap - Benchmark Chemistry,5939.361066818218
2027,KY,Increasing Batt Cap - High LFP Chemistry,5939.361066818218
2027,MA,Decreasing Batt Cap - Benchmark Chemistry,0
2027,MA,Decreasing Batt Cap - High LFP Chemistry,0
2027,MA,Increasing Batt Cap - Benchmark Chemistry,0
2027,MA,Increasing Batt Cap - High LFP Chemistry,0
2027,MD,Decreasing Batt Cap - Benchmark Chemistry,52.225615049733555
2027,MD,Decreasing Batt Cap - High LFP Chemistry,52.225615049733555
2027,MD,Increasing Batt Cap - Benchmark Chemistry,52.225615049733555
2027,MD,Increasing Batt Cap - High LFP Chemistry,52.225615049733555
2027,MI,Decreasing Batt Cap - Benchmark Chemistry,21171.946168107912
2027,MI,Decreasing Batt Cap - High LFP Chemistry,21171.946168107912
2027,MI,Increasing Batt Cap - Benchmark Chemistry,21171.946168107912
2027,MI,Increasing Batt Cap - High LFP Chemistry,21171.946168107912
2027,MO,Decreasing Batt Cap - Benchmark Chemistry,52.225615049733555
2027,MO,Decreasing Batt Cap - High LFP Chemistry,52.225615049733555
2027,MO,Increasing Batt Cap - Benchmark Chemistry,52.225615049733555
2027,MO,Increasing Batt Cap - High LFP Chemistry,52.225615049733555
2027,MS,Decreasing Batt Cap - Benchmark Chemistry,6236.32912015913
2027,MS,Decreasing Batt Cap - High LFP Chemistry,6236.32912015913
2027,MS,Increasing Batt Cap - Benchmark Chemistry,6236.32912015913
2027,MS,Increasing Batt Cap - High LFP Chemistry,6236.32912015913
2027,NC,Decreasing Batt Cap - Benchmark Chemistry,8130.810310800943
2027,NC,Decreasing Batt Cap - High LFP Chemistry,8130.810310800943
2027,NC,Increasing Batt Cap - Benchmark Chemistry,8130.810310800943
2027,NC,Increasing Batt Cap - High LFP Chemistry,8130.810310800943
2027,NH,Decreasing Batt Cap - Benchmark Chemistry,0
2027,NH,Decreasing Batt Cap - High LFP Chemistry,0
2027,NH,Increasing Batt Cap - Benchmark Chemistry,0
2027,NH,Increasing Batt Cap - High LFP Chemistry,0
2027,NV,Decreasing Batt Cap - Benchmark Chemistry,91.39482633703368
2027,NV,Decreasing Batt Cap - High LFP Chemistry,91.39482633703368
2027,NV,Increasing Batt Cap - Benchmark Chemistry,91.39482633703368
2027,NV,Increasing Batt Cap - High LFP Chemistry,91.39482633703368
2027,NY,Decreasing Batt Cap - Benchmark Chemistry,143.62044138676725
2027,NY,Decreasing Batt Cap - High LFP Chemistry,143.62044138676725
2027,NY,Increasing Batt Cap - Benchmark Chemistry,143.62044138676725
2027,NY,Increasing Batt Cap - High LFP Chemistry,143.62044138676725
2027,OH,Decreasing Batt Cap - Benchmark Chemistry,22846.10129408048
2027,OH,Decreasing Batt Cap - High LFP Chemistry,22846.10129408048
2027,OH,Increasing Batt Cap - Benchmark Chemistry,22846.10129408048
2027,OH,Increasing Batt Cap - High LFP Chemistry,22846.10129408048
2027,ON,Decreasing Batt Cap - Benchmark Chemistry,14961.046715623757
2027,ON,Decreasing Batt Cap - High LFP Chemistry,14961.046715623757
2027,ON,Increasing Batt Cap - Benchmark Chemistry,14961.046715623757
2027,ON,Increasing Batt Cap - High LFP Chemistry,14961.046715623757
2027,PA,Decreasing Batt Cap - Benchmark Chemistry,18.27896526740674
2027,PA,Decreasing Batt Cap - High LFP Chemistry,18.27896526740674
2027,PA,Increasing Batt Cap - Benchmark Chemistry,18.27896526740674
2027,PA,Increasing Batt Cap - High LFP Chemistry,18.27896526740674
2027,QC,Decreasing Batt Cap - Benchmark Chemistry,52.225615049733555
2027,QC,Decreasing Batt Cap - High LFP Chemistry,52.225615049733555
2027,QC,Increasing Batt Cap - Benchmark Chemistry,52.225615049733555
2027,QC,Increasing Batt Cap - High LFP Chemistry,52.225615049733555
2027,SC,Decreasing Batt Cap - Benchmark Chemistry,890.9041600227328
2027,SC,Decreasing Batt Cap - High LFP Chemistry,890.9041600227328
2027,SC,Increasing Batt Cap - Benchmark Chemistry,890.9041600227328
2027,SC,Increasing Batt Cap - High LFP Chemistry,890.9041600227328
2027,SLP ,Decreasing Batt Cap - Benchmark Chemistry,0
2027,SLP ,Decreasing Batt Cap - High LFP Chemistry,0
