State,Year,Powertrain,Value,Scenario,Country,Value_thousands,code,Group
Alaska,2029,BEV,65,ACCII,US,0.065,AK,BEV.ACCII
Alaska,2029,PHEV,30,ACCII,US,0.03,AK,PHEV.ACCII
Alaska,2029,ICE,24499.3852297376,ACCII,US,24.499385229737598,AK,ICE.ACCII
Alaska,2030,BEV,102,ACCII,US,0.102,AK,BEV.ACCII
Alaska,2030,PHEV,38,ACCII,US,0.038,AK,PHEV.ACCII
Alaska,2030,ICE,24443.4295378342,ACCII,US,24.4434295378342,AK,ICE.ACCII
Alaska,2031,BEV,141,ACCII,US,0.141,AK,BEV.ACCII
Alaska,2031,PHEV,52,ACCII,US,0.052,AK,PHEV.ACCII
Alaska,2031,ICE,24361.5769203391,ACCII,US,24.3615769203391,AK,ICE.ACCII
Alaska,2032,BEV,191,ACCII,US,0.191,AK,BEV.ACCII
Alaska,2032,PHEV,62,ACCII,US,0.062,AK,PHEV.ACCII
Alaska,2032,ICE,24240.958928049102,ACCII,US,24.240958928049103,AK,ICE.ACCII
Alaska,2033,BEV,266,ACCII,US,0.266,AK,BEV.ACCII
Alaska,2033,PHEV,76,ACCII,US,0.076,AK,PHEV.ACCII
Alaska,2033,ICE,24078.7029479783,ACCII,US,24.0787029479783,AK,ICE.ACCII
Alaska,2034,BEV,376,ACCII,US,0.376,AK,BEV.ACCII
Alaska,2034,PHEV,95,ACCII,US,0.095,AK,PHEV.ACCII
Alaska,2034,ICE,23868.295252977,ACCII,US,23.868295252977,AK,ICE.ACCII
Alaska,2035,BEV,521,ACCII,US,0.521,AK,BEV.ACCII
Alaska,2035,PHEV,128,ACCII,US,0.128,AK,PHEV.ACCII
Alaska,2035,ICE,23610.3797126769,ACCII,US,23.6103797126769,AK,ICE.ACCII
Alaska,2036,BEV,700,ACCII,US,0.7,AK,BEV.ACCII
Alaska,2036,PHEV,169,ACCII,US,0.169,AK,PHEV.ACCII
Alaska,2036,ICE,23304.6579954586,ACCII,US,23.3046579954586,AK,ICE.ACCII
Alaska,2037,BEV,1003,ACCII,US,1.003,AK,BEV.ACCII
Alaska,2037,PHEV,228,ACCII,US,0.228,AK,PHEV.ACCII
Alaska,2037,ICE,22951.5364651644,ACCII,US,22.951536465164402,AK,ICE.ACCII
Alaska,2038,BEV,1403,ACCII,US,1.403,AK,BEV.ACCII
Alaska,2038,PHEV,316,ACCII,US,0.316,AK,PHEV.ACCII
Alaska,2038,ICE,22551.7216282428,ACCII,US,22.551721628242802,AK,ICE.ACCII
Alaska,2039,BEV,1927,ACCII,US,1.927,AK,BEV.ACCII
Alaska,2039,PHEV,426,ACCII,US,0.426,AK,PHEV.ACCII
Alaska,2039,ICE,22105.4373641739,ACCII,US,22.105437364173902,AK,ICE.ACCII
Alaska,2040,BEV,2573,ACCII,US,2.573,AK,BEV.ACCII
Alaska,2040,PHEV,557,ACCII,US,0.557,AK,PHEV.ACCII
Alaska,2040,ICE,21612.3085263532,ACCII,US,21.6123085263532,AK,ICE.ACCII
Alaska,2041,BEV,3329,ACCII,US,3.329,AK,BEV.ACCII
Alaska,2041,PHEV,715,ACCII,US,0.715,AK,PHEV.ACCII
Alaska,2041,ICE,21073.7000729005,ACCII,US,21.0737000729005,AK,ICE.ACCII
Alaska,2042,BEV,4167,ACCII,US,4.167,AK,BEV.ACCII
Alaska,2042,PHEV,884,ACCII,US,0.884,AK,PHEV.ACCII
Alaska,2042,ICE,20485.6870107028,ACCII,US,20.4856870107028,AK,ICE.ACCII
Alaska,2043,BEV,5047,ACCII,US,5.047,AK,BEV.ACCII
Alaska,2043,PHEV,1066,ACCII,US,1.066,AK,PHEV.ACCII
Alaska,2043,ICE,19848.4359599376,ACCII,US,19.8484359599376,AK,ICE.ACCII
Alaska,2044,BEV,5961,ACCII,US,5.961,AK,BEV.ACCII
Alaska,2044,PHEV,1265,ACCII,US,1.265,AK,PHEV.ACCII
Alaska,2044,ICE,19163.2686816416,ACCII,US,19.1632686816416,AK,ICE.ACCII
Alaska,2045,BEV,6927,ACCII,US,6.927,AK,BEV.ACCII
Alaska,2045,PHEV,1469,ACCII,US,1.469,AK,PHEV.ACCII
Alaska,2045,ICE,18434.1618932431,ACCII,US,18.4341618932431,AK,ICE.ACCII
Alaska,2046,BEV,7899,ACCII,US,7.899,AK,BEV.ACCII
Alaska,2046,PHEV,1667,ACCII,US,1.667,AK,PHEV.ACCII
Alaska,2046,ICE,17667.8317025545,ACCII,US,17.6678317025545,AK,ICE.ACCII
Alaska,2047,BEV,8854,ACCII,US,8.854,AK,BEV.ACCII
Alaska,2047,PHEV,1839,ACCII,US,1.839,AK,PHEV.ACCII
Alaska,2047,ICE,16872.0319246839,ACCII,US,16.8720319246839,AK,ICE.ACCII
Alaska,2048,BEV,9784,ACCII,US,9.784,AK,BEV.ACCII
Alaska,2048,PHEV,1985,ACCII,US,1.985,AK,PHEV.ACCII
Alaska,2048,ICE,16058.2793760606,ACCII,US,16.0582793760606,AK,ICE.ACCII
Alaska,2049,BEV,10652,ACCII,US,10.652,AK,BEV.ACCII
Alaska,2049,PHEV,2096,ACCII,US,2.096,AK,PHEV.ACCII
Alaska,2049,ICE,15237.9485835843,ACCII,US,15.2379485835843,AK,ICE.ACCII
Alaska,2050,BEV,11455,ACCII,US,11.455,AK,BEV.ACCII
Alaska,2050,PHEV,2174,ACCII,US,2.174,AK,PHEV.ACCII
Alaska,2050,ICE,14423.7686321382,ACCII,US,14.4237686321382,AK,ICE.ACCII
