Year,Tonnes,Display metric,Capacity scenario,Policy scenario
2035,5.454705572342804,Pack Mfg.,Decrease LIB Capacity,Policy Baseline
2035,5.438837539797281,Cell Mfg.,Increase LIB Capacity,Policy Baseline
2035,3.1728280493733076,Cell Mfg.,Decrease LIB Capacity,Policy Baseline
2035,0.5170375706142579,EoL batteries,Increase LIB Capacity,Policy Baseline
2035,0.447299167236678,EoL batteries,Decrease LIB Capacity,Policy Baseline
2035,0.91838736185,Preprocessing (black mass prod.),Installed,Policy Baseline
2035,1.402880881403,Materials recovery (refining),Installed,Policy Baseline
2036,9.31497976394646,LIB demand,Increase LIB Capacity,Policy Baseline
2036,5.3899967332666865,LIB demand,Decrease LIB Capacity,Policy Baseline
2036,9.041882628318168,Pack Mfg.,Increase LIB Capacity,Policy Baseline
2036,5.454705572342804,Pack Mfg.,Decrease LIB Capacity,Policy Baseline
2036,5.708143647684454,Cell Mfg.,Increase LIB Capacity,Policy Baseline
2036,3.2939550802510964,Cell Mfg.,Decrease LIB Capacity,Policy Baseline
2036,0.6980156822089248,EoL batteries,Increase LIB Capacity,Policy Baseline
2036,0.595929180730752,EoL batteries,Decrease LIB Capacity,Policy Baseline
2036,0.91838736185,Preprocessing (black mass prod.),Installed,Policy Baseline
2036,1.402880881403,Materials recovery (refining),Installed,Policy Baseline
2037,9.756860481601358,LIB demand,Increase LIB Capacity,Policy Baseline
2037,5.585127539019714,LIB demand,Decrease LIB Capacity,Policy Baseline
2037,9.458067353381958,Pack Mfg.,Increase LIB Capacity,Policy Baseline
2037,5.454705572342804,Pack Mfg.,Decrease LIB Capacity,Policy Baseline
2037,5.97088120935064,Cell Mfg.,Increase LIB Capacity,Policy Baseline
2037,3.408433482748467,Cell Mfg.,Decrease LIB Capacity,Policy Baseline
2037,0.9190336191669054,EoL batteries,Increase LIB Capacity,Policy Baseline
2037,0.7737481880294069,EoL batteries,Decrease LIB Capacity,Policy Baseline
2037,0.91838736185,Preprocessing (black mass prod.),Installed,Policy Baseline
2037,1.402880881403,Materials recovery (refining),Installed,Policy Baseline
2038,10.202672101518669,LIB demand,Increase LIB Capacity,Policy Baseline
2038,5.778685346890076,LIB demand,Decrease LIB Capacity,Policy Baseline
2038,9.876875893229242,Pack Mfg.,Increase LIB Capacity,Policy Baseline
2038,5.578428071309288,Pack Mfg.,Decrease LIB Capacity,Policy Baseline
2038,6.2352751862021085,Cell Mfg.,Increase LIB Capacity,Policy Baseline
2038,3.5216635813853294,Cell Mfg.,Decrease LIB Capacity,Policy Baseline
2038,1.257519896459086,EoL batteries,Increase LIB Capacity,Policy Baseline
2038,1.051899863543003,EoL batteries,Decrease LIB Capacity,Policy Baseline
2038,0.91838736185,Preprocessing (black mass prod.),Installed,Policy Baseline
2038,1.402880881403,Materials recovery (refining),Installed,Policy Baseline
2039,10.665166516359037,LIB demand,Increase LIB Capacity,Policy Baseline
2039,5.977635594978929,LIB demand,Decrease LIB Capacity,Policy Baseline
2039,10.306628928153938,Pack Mfg.,Increase LIB Capacity,Policy Baseline
2039,5.7603621425270015,Pack Mfg.,Decrease LIB Capacity,Policy Baseline
2039,6.506578426602037,Cell Mfg.,Increase LIB Capacity,Policy Baseline
2039,3.636518623814907,Cell Mfg.,Decrease LIB Capacity,Policy Baseline
2039,1.595256062469529,EoL batteries,Increase LIB Capacity,Policy Baseline
2039,1.3073973779684156,EoL batteries,Decrease LIB Capacity,Policy Baseline
2039,0.91838736185,Preprocessing (black mass prod.),Installed,Policy Baseline
2039,1.402880881403,Materials recovery (refining),Installed,Policy Baseline
2040,11.140928687098736,LIB demand,Increase LIB Capacity,Policy Baseline
2040,6.181511539837332,LIB demand,Decrease LIB Capacity,Policy Baseline
2040,10.756355490092002,Pack Mfg.,Increase LIB Capacity,Policy Baseline
2040,5.950965649963805,Pack Mfg.,Decrease LIB Capacity,Policy Baseline
2040,6.790490961551547,Cell Mfg.,Increase LIB Capacity,Policy Baseline
2040,3.7568466843445023,Cell Mfg.,Decrease LIB Capacity,Policy Baseline
2040,1.978673343419327,EoL batteries,Increase LIB Capacity,Policy Baseline
2040,1.581382739103087,EoL batteries,Decrease LIB Capacity,Policy Baseline
2040,0.91838736185,Preprocessing (black mass prod.),Installed,Policy Baseline
2040,1.402880881403,Materials recovery (refining),Installed,Policy Baseline
2041,11.36056807776906,LIB demand,Increase LIB Capacity,Policy Baseline
2041,6.303469208793882,LIB demand,Decrease LIB Capacity,Policy Baseline
2041,10.971528691157918,Pack Mfg.,Increase LIB Capacity,Policy Baseline
2041,6.070253838645099,Pack Mfg.,Decrease LIB Capacity,Policy Baseline
2041,6.926329878213619,Cell Mfg.,Increase LIB Capacity,Policy Baseline
2041,3.832153359342957,Cell Mfg.,Decrease LIB Capacity,Policy Baseline
2041,2.4086147937408913,EoL batteries,Increase LIB Capacity,Policy Baseline
2041,1.8694455741254097,EoL batteries,Decrease LIB Capacity,Policy Baseline
2041,0.91838736185,Preprocessing (black mass prod.),Installed,Policy Baseline
2041,1.402880881403,Materials recovery (refining),Installed,Policy Baseline
2042,11.690360457034211,LIB demand,Increase LIB Capacity,Policy Baseline
2042,6.484972953167466,LIB demand,Decrease LIB Capacity,Policy Baseline
2042,11.297512967719635,Pack Mfg.,Increase LIB Capacity,Policy Baseline
2042,6.2494972125499375,Pack Mfg.,Decrease LIB Capacity,Policy Baseline
2042,7.132123865372119,Cell Mfg.,Increase LIB Capacity,Policy Baseline
2042,3.945309763623195,Cell Mfg.,Decrease LIB Capacity,Policy Baseline
2042,2.88463224356534,EoL batteries,Increase LIB Capacity,Policy Baseline
2042,2.168420760785403,EoL batteries,Decrease LIB Capacity,Policy Baseline
