Year,Scenario,Powertrain,Value,Value_thousands,Group,Flow
2022,Repeal,ICE,1262686,1262.686,ICE_Repeal,New sales
2023,Repeal,BEV,374385,374.385,BEV_Repeal,New sales
2023,Repeal,PHEV,62775,62.775,PHEV_Repeal,New sales
2023,Repeal,ICE,1311480,1311.48,ICE_Repeal,New sales
2024,Repeal,BEV,378910,378.91,BEV_Repeal,New sales
2024,Repeal,PHEV,63864,63.864,PHEV_Repeal,New sales
2024,Repeal,ICE,1307122,1307.122,ICE_Repeal,New sales
2025,Repeal,BEV,702086,702.086,BEV_Repeal,New sales
2025,Repeal,PHEV,114650,114.65,PHEV_Repeal,New sales
2025,Repeal,ICE,1374899,1374.899,ICE_Repeal,New sales
2026,Repeal,BEV,216518.2870994,216.5182870994,BEV_Repeal,New sales
2026,Repeal,PHEV,43487.6520872601,43.4876520872601,PHEV_Repeal,New sales
2026,Repeal,ICE,1540111.82706158,1540.11182706158,ICE_Repeal,New sales
2027,Repeal,BEV,286891.770102842,286.89177010284203,BEV_Repeal,New sales
2027,Repeal,PHEV,63641.2705588405,63.6412705588405,PHEV_Repeal,New sales
2027,Repeal,ICE,1456681.47639563,1456.68147639563,ICE_Repeal,New sales
2028,Repeal,BEV,359682.511957981,359.682511957981,BEV_Repeal,New sales
2028,Repeal,PHEV,67113.0893309191,67.1130893309191,PHEV_Repeal,New sales
2028,Repeal,ICE,1390195.90557812,1390.19590557812,ICE_Repeal,New sales
2029,Repeal,BEV,431684.965669166,431.684965669166,BEV_Repeal,New sales
2029,Repeal,PHEV,87332.3256762386,87.3323256762386,PHEV_Repeal,New sales
2029,Repeal,ICE,1310015.53061158,1310.01553061158,ICE_Repeal,New sales
2030,Repeal,BEV,507230.01226518,507.23001226518,BEV_Repeal,New sales
2030,Repeal,PHEV,98846.4164730924,98.84641647309239,PHEV_Repeal,New sales
2030,Repeal,ICE,1238502.35289833,1238.50235289833,ICE_Repeal,New sales
2031,Repeal,BEV,565542.421930726,565.542421930726,BEV_Repeal,New sales
2031,Repeal,PHEV,118248.716616556,118.24871661655601,PHEV_Repeal,New sales
2031,Repeal,ICE,1099817.24053052,1099.81724053052,ICE_Repeal,New sales
2032,Repeal,BEV,638294.154612287,638.294154612287,BEV_Repeal,New sales
2032,Repeal,PHEV,140308.502914352,140.308502914352,PHEV_Repeal,New sales
2032,Repeal,ICE,1015515.54255109,1015.51554255109,ICE_Repeal,New sales
2033,Repeal,BEV,753231.312352473,753.2313123524731,BEV_Repeal,New sales
2033,Repeal,PHEV,155675.836464995,155.675836464995,PHEV_Repeal,New sales
2033,Repeal,ICE,898672.332106582,898.672332106582,ICE_Repeal,New sales
2034,Repeal,BEV,820427.707810554,820.427707810554,BEV_Repeal,New sales
2034,Repeal,PHEV,161898.257740139,161.898257740139,PHEV_Repeal,New sales
2034,Repeal,ICE,842272.282492009,842.272282492009,ICE_Repeal,New sales
2035,Repeal,BEV,883634.106080447,883.6341060804469,BEV_Repeal,New sales
2035,Repeal,PHEV,165206.731102976,165.206731102976,PHEV_Repeal,New sales
2035,Repeal,ICE,800579.809931207,800.579809931207,ICE_Repeal,New sales
2036,Repeal,BEV,942161.879370999,942.161879370999,BEV_Repeal,New sales
2036,Repeal,PHEV,167295.10115775,167.29510115775,PHEV_Repeal,New sales
2036,Repeal,ICE,766238.585794993,766.238585794993,ICE_Repeal,New sales
2037,Repeal,BEV,1007926.34962775,1007.92634962775,BEV_Repeal,New sales
2037,Repeal,PHEV,169907.817371206,169.90781737120602,PHEV_Repeal,New sales
2037,Repeal,ICE,745949.394165977,745.949394165977,ICE_Repeal,New sales
2038,Repeal,BEV,1051565.66787578,1051.56566787578,BEV_Repeal,New sales
2038,Repeal,PHEV,168541.287896861,168.541287896861,PHEV_Repeal,New sales
2038,Repeal,ICE,717750.505470172,717.750505470172,ICE_Repeal,New sales
2039,Repeal,BEV,1086609.56643007,1086.60956643007,BEV_Repeal,New sales
2039,Repeal,PHEV,166145.950439248,166.145950439248,PHEV_Repeal,New sales
2039,Repeal,ICE,692607.126074927,692.607126074927,ICE_Repeal,New sales
2040,Repeal,BEV,1111861.05194699,1111.8610519469898,BEV_Repeal,New sales
2040,Repeal,PHEV,162785.390094347,162.785390094347,PHEV_Repeal,New sales
2040,Repeal,ICE,669395.670224309,669.395670224309,ICE_Repeal,New sales
2041,Repeal,BEV,1107415.81844537,1107.4158184453702,BEV_Repeal,New sales
2041,Repeal,PHEV,155882.668058043,155.882668058043,PHEV_Repeal,New sales
2041,Repeal,ICE,634798.13904359,634.79813904359,ICE_Repeal,New sales
2042,Repeal,BEV,1122686.77281737,1122.68677281737,BEV_Repeal,New sales
2042,Repeal,PHEV,152404.932563908,152.40493256390798,PHEV_Repeal,New sales
2042,Repeal,ICE,615807.21913901,615.8072191390099,ICE_Repeal,New sales
2043,Repeal,BEV,1139584.98263738,1139.58498263738,BEV_Repeal,New sales
2043,Repeal,PHEV,149683.59827894,149.68359827894,PHEV_Repeal,New sales
2043,Repeal,ICE,601064.34104278,601.0643410427799,ICE_Repeal,New sales
2044,Repeal,BEV,1160943.56541732,1160.94356541732,BEV_Repeal,New sales
2044,Repeal,PHEV,147898.476611421,147.89847661142102,PHEV_Repeal,New sales
2044,Repeal,ICE,592256.540214046,592.256540214046,ICE_Repeal,New sales
2045,Repeal,BEV,1189759.52976503,1189.7595297650298,BEV_Repeal,New sales
2045,Repeal,PHEV,147277.247970389,147.277247970389,PHEV_Repeal,New sales
2045,Repeal,ICE,588126.38830567,588.12638830567,ICE_Repeal,New sales
2046,Repeal,BEV,1233564.47061226,1233.56447061226,BEV_Repeal,New sales
2046,Repeal,PHEV,147185.637701393,147.18563770139298,PHEV_Repeal,New sales
2046,Repeal,ICE,575747.774400179,575.7477744001791,ICE_Repeal,New sales
2047,Repeal,BEV,1268850.30784025,1268.85030784025,BEV_Repeal,New sales
2047,Repeal,PHEV,147460.156953192,147.46015695319198,PHEV_Repeal,New sales
2047,Repeal,ICE,574587.100163339,574.5871001633391,ICE_Repeal,New sales
2048,Repeal,BEV,1303558.7291111299,1303.5587291111299,BEV_Repeal,New sales
2048,Repeal,PHEV,147709.179830969,147.709179830969,PHEV_Repeal,New sales
2048,Repeal,ICE,573271.431133348,573.2714311333481,ICE_Repeal,New sales
2049,Repeal,BEV,1336271.25781326,1336.27125781326,BEV_Repeal,New sales
2049,Repeal,PHEV,147879.03787839,147.87903787839,PHEV_Repeal,New sales
2049,Repeal,ICE,571219.774362656,571.219774362656,ICE_Repeal,New sales
2050,Repeal,BEV,1364104.05403565,1364.10405403565,BEV_Repeal,New sales
2050,Repeal,PHEV,147431.712834021,147.431712834021,PHEV_Repeal,New sales
2050,Repeal,ICE,569024.697931933,569.024697931933,ICE_Repeal,New sales
2020,ACCII,BEV,243,0.243,BEV_ACCII,Retirements
2020,ACCII,PHEV,196,0.196,PHEV_ACCII,Retirements
2020,ACCII,ICE,1659886.4816221,1659.8864816221,ICE_ACCII,Retirements
2021,ACCII,BEV,403,0.403,BEV_ACCII,Retirements
2021,ACCII,PHEV,316,0.316,PHEV_ACCII,Retirements
2021,ACCII,ICE,1658330.2052545,1658.3302052545,ICE_ACCII,Retirements
2022,ACCII,BEV,672,0.672,BEV_ACCII,Retirements
2022,ACCII,PHEV,508,0.508,PHEV_ACCII,Retirements
2022,ACCII,ICE,1656744.52462367,1656.7445246236698,ICE_ACCII,Retirements
2023,ACCII,BEV,1118,1.118,BEV_ACCII,Retirements
2023,ACCII,PHEV,804,0.804,PHEV_ACCII,Retirements
2023,ACCII,ICE,1654010.39649208,1654.01039649208,ICE_ACCII,Retirements
2024,ACCII,BEV,1838,1.838,BEV_ACCII,Retirements
2024,ACCII,PHEV,1264,1.264,PHEV_ACCII,Retirements
2024,ACCII,ICE,1651277.07498437,1651.27707498437,ICE_ACCII,Retirements
2025,ACCII,BEV,2942,2.942,BEV_ACCII,Retirements
2025,ACCII,PHEV,1968,1.968,PHEV_ACCII,Retirements
2025,ACCII,ICE,1648661.65736156,1648.66165736156,ICE_ACCII,Retirements
2026,ACCII,BEV,6376,6.376,BEV_ACCII,Retirements
2026,ACCII,PHEV,4731,4.731,PHEV_ACCII,Retirements
2026,ACCII,ICE,1646660.64974904,1646.66064974904,ICE_ACCII,Retirements
2027,ACCII,BEV,11162,11.162,BEV_ACCII,Retirements
2027,ACCII,PHEV,7970,7.97,PHEV_ACCII,Retirements
2027,ACCII,ICE,1644195.74102347,1644.19574102347,ICE_ACCII,Retirements
2028,ACCII,BEV,17568,17.568,BEV_ACCII,Retirements
2028,ACCII,PHEV,12472,12.472,PHEV_ACCII,Retirements
2028,ACCII,ICE,1640923.42110887,1640.9234211088701,ICE_ACCII,Retirements
2029,ACCII,BEV,25980,25.98,BEV_ACCII,Retirements
2029,ACCII,PHEV,18021,18.021,PHEV_ACCII,Retirements
2029,ACCII,ICE,1636054.50572954,1636.05450572954,ICE_ACCII,Retirements
2030,ACCII,BEV,38395,38.395,BEV_ACCII,Retirements
2030,ACCII,PHEV,24737,24.737,PHEV_ACCII,Retirements
2030,ACCII,ICE,1628604.99001329,1628.60499001329,ICE_ACCII,Retirements
2031,ACCII,BEV,52710,52.71,BEV_ACCII,Retirements
2031,ACCII,PHEV,30585,30.585,PHEV_ACCII,Retirements
2031,ACCII,ICE,1617461.20609153,1617.46120609153,ICE_ACCII,Retirements
2032,ACCII,BEV,68793,68.793,BEV_ACCII,Retirements
2032,ACCII,PHEV,34688,34.688,PHEV_ACCII,Retirements
2032,ACCII,ICE,1601652.96212421,1601.65296212421,ICE_ACCII,Retirements
2033,ACCII,BEV,91303,91.303,BEV_ACCII,Retirements
2033,ACCII,PHEV,39299,39.299,PHEV_ACCII,Retirements
2033,ACCII,ICE,1580656.26269318,1580.65626269318,ICE_ACCII,Retirements
2034,ACCII,BEV,123344,123.344,BEV_ACCII,Retirements
2034,ACCII,PHEV,42636,42.636,PHEV_ACCII,Retirements
2034,ACCII,ICE,1553992.14111196,1553.9921411119599,ICE_ACCII,Retirements
2035,ACCII,BEV,167237,167.237,BEV_ACCII,Retirements
2035,ACCII,PHEV,46909,46.909,PHEV_ACCII,Retirements
2035,ACCII,ICE,1521411.75700525,1521.4117570052501,ICE_ACCII,Retirements
2036,ACCII,BEV,217221,217.221,BEV_ACCII,Retirements
2036,ACCII,PHEV,51576,51.576,PHEV_ACCII,Retirements
2036,ACCII,ICE,1482836.88877187,1482.83688877187,ICE_ACCII,Retirements
2037,ACCII,BEV,291792,291.792,BEV_ACCII,Retirements
2037,ACCII,PHEV,60230,60.23,PHEV_ACCII,Retirements
2037,ACCII,ICE,1438753.1921895,1438.7531921895,ICE_ACCII,Retirements
2038,ACCII,BEV,361219,361.219,BEV_ACCII,Retirements
2038,ACCII,PHEV,69238,69.238,PHEV_ACCII,Retirements
2038,ACCII,ICE,1389325.56140087,1389.3255614008701,ICE_ACCII,Retirements
2039,ACCII,BEV,437760,437.76,BEV_ACCII,Retirements
2039,ACCII,PHEV,81451,81.451,PHEV_ACCII,Retirements
2039,ACCII,ICE,1334733.43841361,1334.73343841361,ICE_ACCII,Retirements
2040,ACCII,BEV,519949,519.949,BEV_ACCII,Retirements
2040,ACCII,PHEV,94589,94.589,PHEV_ACCII,Retirements
2040,ACCII,ICE,1275168.40459063,1275.16840459063,ICE_ACCII,Retirements
2041,ACCII,BEV,606120,606.12,BEV_ACCII,Retirements
2041,ACCII,PHEV,109959,109.959,PHEV_ACCII,Retirements
2041,ACCII,ICE,1210952.54768778,1210.9525476877802,ICE_ACCII,Retirements
2042,ACCII,BEV,698772,698.772,BEV_ACCII,Retirements
2042,ACCII,PHEV,126699,126.699,PHEV_ACCII,Retirements
2042,ACCII,ICE,1142319.4553765,1142.3194553765,ICE_ACCII,Retirements
2043,ACCII,BEV,793696,793.696,BEV_ACCII,Retirements
2043,ACCII,PHEV,145170,145.17,PHEV_ACCII,Retirements
2043,ACCII,ICE,1069691.87825619,1069.6918782561902,ICE_ACCII,Retirements
2044,ACCII,BEV,890988,890.988,BEV_ACCII,Retirements
2044,ACCII,PHEV,165251,165.251,PHEV_ACCII,Retirements
2044,ACCII,ICE,993710.29290683,993.71029290683,ICE_ACCII,Retirements
2045,ACCII,BEV,989111,989.111,BEV_ACCII,Retirements
2045,ACCII,PHEV,186104,186.104,PHEV_ACCII,Retirements
2045,ACCII,ICE,915236.018587249,915.236018587249,ICE_ACCII,Retirements
2046,ACCII,BEV,1086842,1086.842,BEV_ACCII,Retirements
2046,ACCII,PHEV,206359,206.359,PHEV_ACCII,Retirements
2046,ACCII,ICE,835332.289170781,835.332289170781,ICE_ACCII,Retirements
2047,ACCII,BEV,1183448,1183.448,BEV_ACCII,Retirements
2047,ACCII,PHEV,224963,224.963,PHEV_ACCII,Retirements
2047,ACCII,ICE,755123.63489618106,755.1236348961811,ICE_ACCII,Retirements
2048,ACCII,BEV,1272959,1272.959,BEV_ACCII,Retirements
2048,ACCII,PHEV,239993,239.993,PHEV_ACCII,Retirements
2048,ACCII,ICE,675934.162835449,675.934162835449,ICE_ACCII,Retirements
2049,ACCII,BEV,1355596,1355.596,BEV_ACCII,Retirements
2049,ACCII,PHEV,250980,250.98,PHEV_ACCII,Retirements
2049,ACCII,ICE,598989.311915349,598.9893119153489,ICE_ACCII,Retirements
2050,ACCII,BEV,1429771,1429.771,BEV_ACCII,Retirements
2050,ACCII,PHEV,257643,257.643,PHEV_ACCII,Retirements
2050,ACCII,ICE,525472.771470225,525.472771470225,ICE_ACCII,Retirements
2020,Repeal,BEV,243,0.243,BEV_Repeal,Retirements
2020,Repeal,PHEV,196,0.196,PHEV_Repeal,Retirements
2020,Repeal,ICE,1659886.4816221,1659.8864816221,ICE_Repeal,Retirements
2021,Repeal,BEV,403,0.403,BEV_Repeal,Retirements
2021,Repeal,PHEV,316,0.316,PHEV_Repeal,Retirements
2021,Repeal,ICE,1658330.2052545,1658.3302052545,ICE_Repeal,Retirements
2022,Repeal,BEV,672,0.672,BEV_Repeal,Retirements
2022,Repeal,PHEV,508,0.508,PHEV_Repeal,Retirements
2022,Repeal,ICE,1656744.52462367,1656.7445246236698,ICE_Repeal,Retirements
2023,Repeal,BEV,1118,1.118,BEV_Repeal,Retirements
2023,Repeal,PHEV,804,0.804,PHEV_Repeal,Retirements
2023,Repeal,ICE,1654010.39649208,1654.01039649208,ICE_Repeal,Retirements
2024,Repeal,BEV,1838,1.838,BEV_Repeal,Retirements
2024,Repeal,PHEV,1264,1.264,PHEV_Repeal,Retirements
2024,Repeal,ICE,1651277.07498437,1651.27707498437,ICE_Repeal,Retirements
2025,Repeal,BEV,2942,2.942,BEV_Repeal,Retirements
2025,Repeal,PHEV,1968,1.968,PHEV_Repeal,Retirements
2025,Repeal,ICE,1648661.65736156,1648.66165736156,ICE_Repeal,Retirements
2026,Repeal,BEV,6376,6.376,BEV_Repeal,Retirements
2026,Repeal,PHEV,4731,4.731,PHEV_Repeal,Retirements
2026,Repeal,ICE,1646660.64974904,1646.66064974904,ICE_Repeal,Retirements
2027,Repeal,BEV,11080,11.08,BEV_Repeal,Retirements
2027,Repeal,PHEV,7957,7.957,PHEV_Repeal,Retirements
2027,Repeal,ICE,1645827.40055811,1645.8274005581102,ICE_Repeal,Retirements
2028,Repeal,BEV,17346,17.346,BEV_Repeal,Retirements
2028,Repeal,PHEV,12434,12.434,PHEV_Repeal,Retirements
2028,Repeal,ICE,1644861.39036782,1644.86139036782,ICE_Repeal,Retirements
2029,Repeal,BEV,25524,25.524,BEV_Repeal,Retirements
2029,Repeal,PHEV,17944,17.944,PHEV_Repeal,Retirements
2029,Repeal,ICE,1643214.70545779,1643.2147054577902,ICE_Repeal,Retirements
2030,Repeal,BEV,37563,37.563,BEV_Repeal,Retirements
2030,Repeal,PHEV,24598,24.598,PHEV_Repeal,Retirements
2030,Repeal,ICE,1640067.6651374,1640.0676651374,ICE_Repeal,Retirements
2031,Repeal,BEV,51284,51.284,BEV_Repeal,Retirements
2031,Repeal,PHEV,30349,30.349,PHEV_Repeal,Retirements
2031,Repeal,ICE,1634681.25905156,1634.68125905156,ICE_Repeal,Retirements
2032,Repeal,BEV,66405,66.405,BEV_Repeal,Retirements
2032,Repeal,PHEV,34288,34.288,PHEV_Repeal,Retirements
2032,Repeal,ICE,1626131.08005149,1626.13108005149,ICE_Repeal,Retirements
2033,Repeal,BEV,87453,87.453,BEV_Repeal,Retirements
2033,Repeal,PHEV,38643,38.643,PHEV_Repeal,Retirements
2033,Repeal,ICE,1614189.3608978,1614.1893608978,ICE_Repeal,Retirements
