Geography,Scope,Mineral,Scenario effect,Year,Reference maximum RCS (%),Change (percentage points),Resulting maximum RCS (%)
United States,US-origin / US network,Nickel,ΔPolicy,2045,26.90313620860595,-2.2342054676135206,24.66893074099243
United States,US-origin / US network,Nickel,ΔPolicy,2050,47.1029407719777,-2.9628015489440713,44.14013922303363
United States,US-origin / US network,Nickel,ΔCapacity,2030,1.1011864351769571,0.3828881843176064,1.4840746194945635
United States,US-origin / US network,Nickel,ΔCapacity,2035,3.4513112042782152,2.1783148148829152,5.6296260191611305
United States,US-origin / US network,Nickel,ΔCapacity,2040,12.52472543029449,7.698384362145751,20.22310979244024
United States,US-origin / US network,Nickel,ΔCapacity,2045,26.90313620860595,8.873398984475628,35.77653519308158
United States,US-origin / US network,Nickel,ΔCapacity,2050,47.1029407719777,5.614998244050213,52.71793901602791
United States,US-origin / US network,Nickel,ΔChemistry,2030,1.1011864351769571,0.20731495970097047,1.3085013948779276
United States,US-origin / US network,Nickel,ΔChemistry,2035,3.4513112042782152,1.1196653061662047,4.57097651044442
United States,US-origin / US network,Nickel,ΔChemistry,2040,12.52472543029449,5.1387633841554905,17.66348881444998
United States,US-origin / US network,Nickel,ΔChemistry,2045,26.90313620860595,6.967398832659164,33.870535041265114
United States,US-origin / US network,Nickel,ΔChemistry,2050,47.1029407719777,6.089769526664455,53.192710298642154
United States,US-origin / US network,Manganese,ΔPolicy,2030,1.0576651734062947,0.303453566622498,1.3611187400287927
United States,US-origin / US network,Manganese,ΔPolicy,2035,2.837196467702962,0.3714224489610025,3.2086189166639647
United States,US-origin / US network,Manganese,ΔPolicy,2040,11.133982957306712,0.07286641760600432,11.206849374912716
United States,US-origin / US network,Manganese,ΔPolicy,2045,27.093344503114057,-2.315712500926839,24.777632002187218
United States,US-origin / US network,Manganese,ΔPolicy,2050,47.25789062939012,-2.972263780889108,44.28562684850101
United States,US-origin / US network,Manganese,ΔCapacity,2030,1.0576651734062947,0.36617396736443864,1.4238391407707334
United States,US-origin / US network,Manganese,ΔCapacity,2035,2.837196467702962,1.7054389037872921,4.542635371490254
United States,US-origin / US network,Manganese,ΔCapacity,2040,11.133982957306712,6.460958134189992,17.594941091496704
United States,US-origin / US network,Manganese,ΔCapacity,2045,27.093344503114057,8.728020405545319,35.821364908659376
United States,US-origin / US network,Manganese,ΔCapacity,2050,47.25789062939012,5.627584930699669,52.88547556008979
United States,US-origin / US network,Manganese,ΔChemistry,2030,1.0576651734062947,0.19857033569845206,1.2562355091047468
United States,US-origin / US network,Manganese,ΔChemistry,2035,2.837196467702962,0.8949588065572116,3.732155274260174
