Year,Scenario,Mineral,Recycling Scenario,Recycle_v_Demand,Capacity key,Chemistry key,Percent
2031,Increasing Batt Cap - High LFP Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.0207095420679032,Increasing Batt Cap,High LFP Chemistry,2.07095420679032
2031,Increasing Batt Cap - High LFP Chemistry,Cobalt,All Material is Recycled in NA,0.0207095420679032,Increasing Batt Cap,High LFP Chemistry,2.07095420679032
2032,Increasing Batt Cap - High LFP Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.0275114077913516,Increasing Batt Cap,High LFP Chemistry,2.75114077913516
2032,Increasing Batt Cap - High LFP Chemistry,Cobalt,All Material is Recycled in NA,0.0275114077913516,Increasing Batt Cap,High LFP Chemistry,2.75114077913516
2033,Increasing Batt Cap - High LFP Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.0342219797893495,Increasing Batt Cap,High LFP Chemistry,3.42219797893495
2033,Increasing Batt Cap - High LFP Chemistry,Cobalt,All Material is Recycled in NA,0.0342219797893495,Increasing Batt Cap,High LFP Chemistry,3.42219797893495
2034,Increasing Batt Cap - High LFP Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.0427221390945332,Increasing Batt Cap,High LFP Chemistry,4.27221390945332
2034,Increasing Batt Cap - High LFP Chemistry,Cobalt,All Material is Recycled in NA,0.0427221390945332,Increasing Batt Cap,High LFP Chemistry,4.27221390945332
2035,Increasing Batt Cap - High LFP Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.0541307064245869,Increasing Batt Cap,High LFP Chemistry,5.41307064245869
2035,Increasing Batt Cap - High LFP Chemistry,Cobalt,All Material is Recycled in NA,0.0541307064245869,Increasing Batt Cap,High LFP Chemistry,5.41307064245869
2036,Increasing Batt Cap - High LFP Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.0630122290322123,Increasing Batt Cap,High LFP Chemistry,6.30122290322123
2036,Increasing Batt Cap - High LFP Chemistry,Cobalt,All Material is Recycled in NA,0.0732822274148329,Increasing Batt Cap,High LFP Chemistry,7.328222741483289
2037,Increasing Batt Cap - High LFP Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.061866200405362,Increasing Batt Cap,High LFP Chemistry,6.1866200405362
2037,Increasing Batt Cap - High LFP Chemistry,Cobalt,All Material is Recycled in NA,0.0987790865783539,Increasing Batt Cap,High LFP Chemistry,9.87790865783539
2038,Increasing Batt Cap - High LFP Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.0609259451132574,Increasing Batt Cap,High LFP Chemistry,6.09259451132574
2038,Increasing Batt Cap - High LFP Chemistry,Cobalt,All Material is Recycled in NA,0.1300753568546812,Increasing Batt Cap,High LFP Chemistry,13.007535685468119
2039,Increasing Batt Cap - High LFP Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.061460552848654,Increasing Batt Cap,High LFP Chemistry,6.1460552848654
2039,Increasing Batt Cap - High LFP Chemistry,Cobalt,All Material is Recycled in NA,0.1821272284148079,Increasing Batt Cap,High LFP Chemistry,18.21272284148079
2040,Increasing Batt Cap - High LFP Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.0586863753413592,Increasing Batt Cap,High LFP Chemistry,5.86863753413592
2040,Increasing Batt Cap - High LFP Chemistry,Cobalt,All Material is Recycled in NA,0.2238650877259519,Increasing Batt Cap,High LFP Chemistry,22.38650877259519
2041,Increasing Batt Cap - High LFP Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.0552424140575194,Increasing Batt Cap,High LFP Chemistry,5.5242414057519404
2041,Increasing Batt Cap - High LFP Chemistry,Cobalt,All Material is Recycled in NA,0.2653342803848622,Increasing Batt Cap,High LFP Chemistry,26.533428038486218
2042,Increasing Batt Cap - High LFP Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.051620027063273,Increasing Batt Cap,High LFP Chemistry,5.1620027063273
2042,Increasing Batt Cap - High LFP Chemistry,Cobalt,All Material is Recycled in NA,0.3044651507924533,Increasing Batt Cap,High LFP Chemistry,30.44651507924533
2043,Increasing Batt Cap - High LFP Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.0480225304698021,Increasing Batt Cap,High LFP Chemistry,4.80225304698021
2043,Increasing Batt Cap - High LFP Chemistry,Cobalt,All Material is Recycled in NA,0.3432276517422599,Increasing Batt Cap,High LFP Chemistry,34.32276517422599
2044,Increasing Batt Cap - High LFP Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.0447870197515272,Increasing Batt Cap,High LFP Chemistry,4.4787019751527195
2044,Increasing Batt Cap - High LFP Chemistry,Cobalt,All Material is Recycled in NA,0.3832294873551984,Increasing Batt Cap,High LFP Chemistry,38.32294873551984
2045,Increasing Batt Cap - High LFP Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.0419899888073738,Increasing Batt Cap,High LFP Chemistry,4.1989988807373795
2045,Increasing Batt Cap - High LFP Chemistry,Cobalt,All Material is Recycled in NA,0.4249705414350711,Increasing Batt Cap,High LFP Chemistry,42.497054143507114
2046,Increasing Batt Cap - High LFP Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.0395912847687887,Increasing Batt Cap,High LFP Chemistry,3.9591284768788695
2046,Increasing Batt Cap - High LFP Chemistry,Cobalt,All Material is Recycled in NA,0.4682829812081607,Increasing Batt Cap,High LFP Chemistry,46.82829812081607
