State,Year,Powertrain,Value,Scenario,Country,Value_thousands,code,Group
Alaska,2040,BEV,14772.8993258914,ACCII,US,14.7728993258914,AK,BEV.ACCII
Alaska,2040,PHEV,2224.60271988067,ACCII,US,2.22460271988067,AK,PHEV.ACCII
Alaska,2040,ICE,7399.43110506488,ACCII,US,7.39943110506488,AK,ICE.ACCII
Alaska,2041,BEV,14962.6127851662,ACCII,US,14.9626127851662,AK,BEV.ACCII
Alaska,2041,PHEV,2164.62104774725,ACCII,US,2.16462104774725,AK,PHEV.ACCII
Alaska,2041,ICE,7093.49380231793,ACCII,US,7.09349380231793,AK,ICE.ACCII
Alaska,2042,BEV,15506.1261110665,ACCII,US,15.5061261110665,AK,BEV.ACCII
Alaska,2042,PHEV,2160.6528616241,ACCII,US,2.1606528616241,AK,PHEV.ACCII
Alaska,2042,ICE,6972.93560034303,ACCII,US,6.97293560034303,AK,ICE.ACCII
Alaska,2043,BEV,16020.374543633,ACCII,US,16.020374543633,AK,BEV.ACCII
Alaska,2043,PHEV,2157.80091548493,ACCII,US,2.15780091548493,AK,PHEV.ACCII
Alaska,2043,ICE,6886.28806315042,ACCII,US,6.88628806315042,AK,ICE.ACCII
Alaska,2044,BEV,16539.7543013636,ACCII,US,16.539754301363597,AK,BEV.ACCII
Alaska,2044,PHEV,2156.46614894588,ACCII,US,2.15646614894588,AK,PHEV.ACCII
Alaska,2044,ICE,6796.075793663,ACCII,US,6.796075793662999,AK,ICE.ACCII
Alaska,2045,BEV,17036.8705388834,ACCII,US,17.0368705388834,AK,BEV.ACCII
Alaska,2045,PHEV,2156.73916332008,ACCII,US,2.15673916332008,AK,PHEV.ACCII
Alaska,2045,ICE,6739.57975337056,ACCII,US,6.73957975337056,AK,ICE.ACCII
Alaska,2046,BEV,17501.3007167716,ACCII,US,17.5013007167716,AK,BEV.ACCII
Alaska,2046,PHEV,2152.22317179809,ACCII,US,2.1522231717980898,AK,PHEV.ACCII
Alaska,2046,ICE,6683.33537631561,ACCII,US,6.68333537631561,AK,ICE.ACCII
Alaska,2047,BEV,17912.2964019572,ACCII,US,17.9122964019572,AK,BEV.ACCII
Alaska,2047,PHEV,2144.57627940107,ACCII,US,2.14457627940107,AK,PHEV.ACCII
Alaska,2047,ICE,6611.18680565638,ACCII,US,6.61118680565638,AK,ICE.ACCII
Alaska,2048,BEV,18280.7335937948,ACCII,US,18.2807335937948,AK,BEV.ACCII
Alaska,2048,PHEV,2132.37967473657,ACCII,US,2.13237967473657,AK,PHEV.ACCII
Alaska,2048,ICE,6517.19366986009,ACCII,US,6.51719366986009,AK,ICE.ACCII
Alaska,2049,BEV,18577.7931859868,ACCII,US,18.5777931859868,AK,BEV.ACCII
Alaska,2049,PHEV,2114.93648027187,ACCII,US,2.11493648027187,AK,PHEV.ACCII
Alaska,2049,ICE,6396.24647965649,ACCII,US,6.39624647965649,AK,ICE.ACCII
Alaska,2050,BEV,18799.8943851687,ACCII,US,18.7998943851687,AK,BEV.ACCII
Alaska,2050,PHEV,2088.15699199028,ACCII,US,2.08815699199028,AK,PHEV.ACCII
Alaska,2050,ICE,6267.74481730997,ACCII,US,6.26774481730997,AK,ICE.ACCII
Arizona,2020,BEV,8089.95687331537,ACCII,US,8.08995687331537,AZ,BEV.ACCII
Arizona,2020,PHEV,1534.15141380359,ACCII,US,1.53415141380359,AZ,PHEV.ACCII
Arizona,2020,ICE,239949,ACCII,US,239.949,AZ,ICE.ACCII
Arizona,2021,BEV,14769.0359026142,ACCII,US,14.769035902614199,AZ,BEV.ACCII
Arizona,2021,PHEV,4133.45387062566,ACCII,US,4.13345387062566,AZ,PHEV.ACCII
Arizona,2021,ICE,248745,ACCII,US,248.745,AZ,ICE.ACCII
Arizona,2022,BEV,22592.6162344837,ACCII,US,22.5926162344837,AZ,BEV.ACCII
Arizona,2022,PHEV,4575.63887609397,ACCII,US,4.5756388760939695,AZ,PHEV.ACCII
Arizona,2022,ICE,239516,ACCII,US,239.516,AZ,ICE.ACCII
Arizona,2023,BEV,30636.7855434262,ACCII,US,30.6367855434262,AZ,BEV.ACCII
Arizona,2023,PHEV,6430.38304517568,ACCII,US,6.43038304517568,AZ,PHEV.ACCII
Arizona,2023,ICE,254068,ACCII,US,254.068,AZ,ICE.ACCII
Arizona,2024,BEV,34571.6525899187,ACCII,US,34.571652589918706,AZ,BEV.ACCII
Arizona,2024,PHEV,7402.58337981037,ACCII,US,7.402583379810371,AZ,PHEV.ACCII
Arizona,2024,ICE,249480,ACCII,US,249.48,AZ,ICE.ACCII
Arizona,2025,BEV,29716.0860839684,ACCII,US,29.7160860839684,AZ,BEV.ACCII
Arizona,2025,PHEV,6035.3725075085,ACCII,US,6.035372507508501,AZ,PHEV.ACCII
Arizona,2025,ICE,297491.12835554,ACCII,US,297.49112835554,AZ,ICE.ACCII
Arizona,2026,BEV,39156.4895641873,ACCII,US,39.156489564187304,AZ,BEV.ACCII
Arizona,2026,PHEV,7929.23496290772,ACCII,US,7.92923496290772,AZ,PHEV.ACCII
Arizona,2026,ICE,282880.956440908,ACCII,US,282.880956440908,AZ,ICE.ACCII
Arizona,2027,BEV,51370.2055168789,ACCII,US,51.370205516878904,AZ,BEV.ACCII
Arizona,2027,PHEV,11441.9084077974,ACCII,US,11.441908407797401,AZ,PHEV.ACCII
Arizona,2027,ICE,264512.422395464,ACCII,US,264.512422395464,AZ,ICE.ACCII
Arizona,2028,BEV,63559.0641743216,ACCII,US,63.5590641743216,AZ,BEV.ACCII
Arizona,2028,PHEV,11893.0704303202,ACCII,US,11.8930704303202,AZ,PHEV.ACCII
Arizona,2028,ICE,249921.879900107,ACCII,US,249.92187990010697,AZ,ICE.ACCII
Arizona,2029,BEV,75567.8670757695,ACCII,US,75.56786707576951,AZ,BEV.ACCII
Arizona,2029,PHEV,15330.9013006733,ACCII,US,15.3309013006733,AZ,PHEV.ACCII
Arizona,2029,ICE,233173.246595312,ACCII,US,233.173246595312,AZ,ICE.ACCII
Arizona,2030,BEV,88025.226785865,ACCII,US,88.025226785865,AZ,BEV.ACCII
Arizona,2030,PHEV,17201.6784622184,ACCII,US,17.2016784622184,AZ,PHEV.ACCII
Arizona,2030,ICE,218329.187635608,ACCII,US,218.32918763560798,AZ,ICE.ACCII
Arizona,2031,BEV,101109.66090172,ACCII,US,101.10966090171999,AZ,BEV.ACCII
Arizona,2031,PHEV,21212.3861115617,ACCII,US,21.2123861115617,AZ,PHEV.ACCII
Arizona,2031,ICE,199126.619538134,ACCII,US,199.12661953813398,AZ,ICE.ACCII
Arizona,2032,BEV,113711.170626778,ACCII,US,113.711170626778,AZ,BEV.ACCII
Arizona,2032,PHEV,25078.6066209133,ACCII,US,25.0786066209133,AZ,PHEV.ACCII
Arizona,2032,ICE,183034.708363544,ACCII,US,183.03470836354398,AZ,ICE.ACCII
Arizona,2033,BEV,133812.71452137,ACCII,US,133.81271452137003,AZ,BEV.ACCII
Arizona,2033,PHEV,27760.6281544361,ACCII,US,27.7606281544361,AZ,PHEV.ACCII
Arizona,2033,ICE,161472.600442284,ACCII,US,161.47260044228398,AZ,ICE.ACCII
Arizona,2034,BEV,145207.189243239,ACCII,US,145.20718924323901,AZ,BEV.ACCII
Arizona,2034,PHEV,28756.9875912744,ACCII,US,28.7569875912744,AZ,PHEV.ACCII
Arizona,2034,ICE,151085.336617111,ACCII,US,151.08533661711098,AZ,ICE.ACCII
Arizona,2035,BEV,155789.203751788,ACCII,US,155.78920375178802,AZ,BEV.ACCII
Arizona,2035,PHEV,29234.4989959348,ACCII,US,29.2344989959348,AZ,PHEV.ACCII
Arizona,2035,ICE,142949.677896936,ACCII,US,142.94967789693598,AZ,ICE.ACCII
Arizona,2036,BEV,165664.432419221,ACCII,US,165.66443241922101,AZ,BEV.ACCII
Arizona,2036,PHEV,29494.687863283,ACCII,US,29.494687863283,AZ,PHEV.ACCII
Arizona,2036,ICE,136306.053087363,ACCII,US,136.30605308736298,AZ,ICE.ACCII
Arizona,2037,BEV,174299.777376187,ACCII,US,174.299777376187,AZ,BEV.ACCII
Arizona,2037,PHEV,29460.4839544282,ACCII,US,29.4604839544282,AZ,PHEV.ACCII
Arizona,2037,ICE,130834.305314379,ACCII,US,130.834305314379,AZ,ICE.ACCII
Arizona,2038,BEV,182305.650560347,ACCII,US,182.305650560347,AZ,BEV.ACCII
Arizona,2038,PHEV,29295.3299913666,ACCII,US,29.2953299913666,AZ,PHEV.ACCII
Arizona,2038,ICE,126488.365101316,ACCII,US,126.48836510131599,AZ,ICE.ACCII
Arizona,2039,BEV,189872.0175427,ACCII,US,189.87201754269998,AZ,BEV.ACCII
Arizona,2039,PHEV,29106.1386618702,ACCII,US,29.1061386618702,AZ,PHEV.ACCII
Arizona,2039,ICE,123089.948335003,ACCII,US,123.089948335003,AZ,ICE.ACCII
Arizona,2040,BEV,196875.790742827,ACCII,US,196.875790742827,AZ,BEV.ACCII
Arizona,2040,PHEV,28910.3272716506,ACCII,US,28.9103272716506,AZ,PHEV.ACCII
Arizona,2040,ICE,120713.25199169,ACCII,US,120.71325199169,AZ,ICE.ACCII
Arizona,2041,BEV,201203.734847164,ACCII,US,201.20373484716401,AZ,BEV.ACCII
Arizona,2041,PHEV,28421.5612655247,ACCII,US,28.421561265524698,AZ,PHEV.ACCII
Arizona,2041,ICE,117585.912571195,ACCII,US,117.58591257119501,AZ,ICE.ACCII
