"Year","Scenario","Mineral","Recycling Scenario","Recycle_v_Demand"
2035,"Decreasing Batt Cap - Benchmark Chemistry","Cobalt","All Material is Recycled in NA",0.0819023635417728
2036,"Decreasing Batt Cap - Benchmark Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",0.106365388165012
2036,"Decreasing Batt Cap - Benchmark Chemistry","Cobalt","All Material is Recycled in NA",0.106365388165012
2037,"Decreasing Batt Cap - Benchmark Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",0.113636154433081
2037,"Decreasing Batt Cap - Benchmark Chemistry","Cobalt","All Material is Recycled in NA",0.138388626455368
2038,"Decreasing Batt Cap - Benchmark Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",0.109916283109863
2038,"Decreasing Batt Cap - Benchmark Chemistry","Cobalt","All Material is Recycled in NA",0.176320842186486
2039,"Decreasing Batt Cap - Benchmark Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",0.108617639496231
2039,"Decreasing Batt Cap - Benchmark Chemistry","Cobalt","All Material is Recycled in NA",0.229637999026858
2040,"Decreasing Batt Cap - Benchmark Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",0.101679159473971
2040,"Decreasing Batt Cap - Benchmark Chemistry","Cobalt","All Material is Recycled in NA",0.264578250182582
2041,"Decreasing Batt Cap - Benchmark Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",0.0960681017903576
2041,"Decreasing Batt Cap - Benchmark Chemistry","Cobalt","All Material is Recycled in NA",0.30033540684688
2042,"Decreasing Batt Cap - Benchmark Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",0.0903159576673461
2042,"Decreasing Batt Cap - Benchmark Chemistry","Cobalt","All Material is Recycled in NA",0.332337627376233
2043,"Decreasing Batt Cap - Benchmark Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",0.0851190157872982
2043,"Decreasing Batt Cap - Benchmark Chemistry","Cobalt","All Material is Recycled in NA",0.364501257643868
2044,"Decreasing Batt Cap - Benchmark Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",0.0807930616360711
2044,"Decreasing Batt Cap - Benchmark Chemistry","Cobalt","All Material is Recycled in NA",0.398127236557732
2045,"Decreasing Batt Cap - Benchmark Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",0.0772585472694555
2045,"Decreasing Batt Cap - Benchmark Chemistry","Cobalt","All Material is Recycled in NA",0.434073417648241
2046,"Decreasing Batt Cap - Benchmark Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",0.0741916945737372
2046,"Decreasing Batt Cap - Benchmark Chemistry","Cobalt","All Material is Recycled in NA",0.470901481102954
2047,"Decreasing Batt Cap - Benchmark Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",0.0717426502508651
2047,"Decreasing Batt Cap - Benchmark Chemistry","Cobalt","All Material is Recycled in NA",0.511032782127166
2048,"Decreasing Batt Cap - Benchmark Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",0.069597485322323
