"Year","State_Province","Tonnes_Scrap_proj_down","Tonnes_Scrap_15_down","Tonnes_Prod_proj_down","Tonnes_Prod_15_down","Tonnes_Scrap_proj_mid","Tonnes_Scrap_15_mid","Tonnes_Prod_proj_mid","Tonnes_Prod_15_mid"
2030,"NH",2.12744646787412,2.12744646787412,40.4214828896083,40.4214828896083,0,0,0,0
2031,"NH",2.12744646787412,2.12744646787412,40.4214828896083,40.4214828896083,0,0,0,0
2032,"NH",2.12744646787412,2.12744646787412,40.4214828896083,40.4214828896083,0,0,0,0
2033,"NH",2.23846693311926,2.12744646787412,42.6470105461906,40.4214828896083,0,0,0,0
2034,"NH",2.44631554604219,2.12744646787412,47.5481676864864,40.4214828896083,0,0,0,0
2035,"NH",2.62671007611601,2.12744646787412,52.8162672214565,40.4214828896083,0,0,0,0
2036,"NH",2.71091908255172,2.12744646787412,55.6968894399961,40.4214828896083,0,0,0,0
2037,"NH",2.77784247041091,2.12744646787412,58.2204488051069,40.4214828896083,0,0,0,0
2038,"NH",2.83445284899546,2.12744646787412,60.5407731038626,40.4214828896083,0,0,0,0
2039,"NH",2.88399149403993,2.12744646787412,62.7284634645737,40.4214828896083,0,0,0,0
2040,"NH",2.92648017207942,2.15798031919457,64.7348048374894,41.0100737249917,0,0,0,0
2041,"NH",2.95122113499128,2.1954510062296,65.9633359790397,41.7562349135191,0,0,0,0
2042,"NH",2.98809139523575,2.24861932758882,67.883198946018,42.8628182367527,0,0,0,0
2043,"NH",3.02388313533358,2.3005715645109,69.8569101324495,44.0022517613291,0,0,0,0
2044,"NH",3.05868254726171,2.35093364434148,71.8891441066094,45.1661657829845,0,0,0,0
2045,"NH",3.09041703404583,2.39660165483764,73.848278761296,46.2761365148267,0,0,0,0
2046,"NH",3.12204013133477,2.44199566990039,75.9097216025821,47.4348671707624,0,0,0,0
2047,"NH",3.14907718589183,2.4811871259413,77.7657046491676,48.4829787015759,0,0,0,0
2048,"NH",3.17392738646061,2.51823966369477,79.553452056268,49.5173920917725,0,0,0,0
2049,"NH",3.1950598045763,2.54963171936723,81.1396987605403,50.4289549153256,0,0,0,0
2050,"NH",3.21302447809161,2.57747288278995,82.5387700028367,51.265955029017,0,0,0,0
2025,"NV",5531.36081647272,5531.36081647272,105095.855512982,105095.855512982,120.417425038581,116.287422578549,993.752482930821,948.94201698839
2026,"NV",5531.36081647272,5531.36081647272,105095.855512982,105095.855512982,116.45506901716,109.188529872793,1043.14403508996,955.152429849871
2027,"NV",35102.866719923,35102.866719923,666954.467678537,666954.467678537,91.3948263370337,91.3948263370337,848.745560173407,848.745560173407
2028,"NV",35102.866719923,35102.866719923,666954.467678537,666954.467678537,85.1228301708911,85.1228301708911,855.017556339549,855.017556339549
2029,"NV",35102.866719923,35102.866719923,666954.467678537,666954.467678537,3048.53136741386,3048.53136741386,24752.7629193949,24752.7629193949
2030,"NV",35102.866719923,35102.866719923,666954.467678537,666954.467678537,2863.0594807865,2863.0594807865,24938.2348060222,24938.2348060222
2031,"NV",35102.866719923,35102.866719923,666954.467678537,666954.467678537,2683.85959032528,2683.85959032528,25117.4346964835,25117.4346964835
2032,"NV",35102.866719923,35102.866719923,666954.467678537,666954.467678537,2858.44865470693,2504.65969986407,29457.5865791895,25296.6345869447
2033,"NV",36934.7043964677,35102.866719923,703675.674012145,666954.467678537,2969.48987247963,2325.45980940285,35233.7225612032,25475.8344774059
2034,"NV",40364.2065096961,35102.866719923,784544.766827025,666954.467678537,2896.72070707631,2269.48370085842,39448.6361020944,27217.6907644368
2035,"NV",43340.7162559141,35102.866719923,871468.409154032,666954.467678537,3035.94313112768,2417.35548880956,43819.3479847252,29364.0245507136
2036,"NV",44730.1648621034,35102.866719923,918998.675759936,666954.467678537,3100.9328068021,2493.38722852153,46209.2743094587,30604.9546855567
2037,"NV",45834.40076178,35102.866719923,960637.405284264,666954.467678537,3152.58202410195,2550.01669327614,48302.9611941498,31599.5825621524
2038,"NV",46768.472008425,35102.866719923,998922.756213733,666954.467678537,3196.27200810412,2597.44908694727,50228.0328289602,32483.8193051342
2039,"NV",47585.8596516588,35102.866719923,1035019.64716547,666954.467678537,3234.50426628007,2638.87871306105,52043.0638836327,33297.6551902959
2040,"NV",48286.9228393104,35606.6752667104,1068124.27981857,676666.216462362,3267.29559730865,2674.19328784304,53707.6376110284,34024.2653631646
2041,"NV",48695.1487273561,36224.9416027884,1088395.04365416,688977.876073065,3286.38983940427,2703.1119023806,54726.8961924034,34643.3226819199
2042,"NV",49303.50802139,37102.2189052155,1120072.7826093,707236.50090642,3314.84506476249,2744.1454225175,56319.722566904,35561.4064895383
2043,"NV",49894.0717330042,37959.4308144298,1152639.01718542,726037.15406193,3342.46792458754,2784.24040963393,57957.224455043,36506.7446731234
2044,"NV",50468.2620298183,38790.4051316345,1186170.87775906,745241.735419245,3369.32493894498,2823.10816705103,59643.2801417636,37472.3932549395
2045,"NV",50991.8810617562,39543.927304821,1218496.59956138,763556.25249464,3393.81654727869,2858.35319981492,61268.688518745,38393.2874473957
2046,"NV",51513.6621670236,40292.9285533564,1252510.4064426,782675.308317579,3418.22218895073,2893.3867721293,62978.9775256183,39354.6356172714
2047,"NV",51959.7735672153,40939.5875780314,1283134.12671127,799969.148576002,3439.08847726393,2923.63341824371,64518.8055227594,40224.2079348861
2048,"NV",52369.8018766,41550.9544509637,1312631.95892842,817036.969514246,3458.26702530489,2952.22931924571,66002.0213928255,41082.4155040623
2049,"NV",52718.486775509,42068.9233695593,1338805.02954891,832077.756102873,3474.57631403404,2976.45665077781,67318.0609386095,41838.6993286599
2050,"NV",53014.9038885115,42528.3025660341,1361889.70504681,845888.257978781,3488.44084414517,2997.94352323749,68478.8091862006,42533.121732487
2025,"NY",106.372323393706,106.372323393706,2021.07414448042,2021.07414448042,189.227382203484,182.73737833772,1561.61104460558,1491.19459812461
2026,"NY",106.372323393706,106.372323393706,2021.07414448042,2021.07414448042,183.000822741252,171.58197551439,1639.22634085565,1500.95381833551
2027,"NY",106.372323393706,106.372323393706,2021.07414448042,2021.07414448042,143.620441386767,143.620441386767,1333.74302312964,1333.74302312964
2028,"NY",106.372323393706,106.372323393706,2021.07414448042,2021.07414448042,133.7644474114,133.7644474114,1343.59901710501,1343.59901710501
