"Year","Scenario","Mineral","Recycling Scenario","Tonne"
2027,"Increasing Batt Cap - High LFP Chemistry","Lithium","Recycling Limited to NA 2025 Online or Planned",0
2027,"Increasing Batt Cap - High LFP Chemistry","Lithium","All Material is Recycled in NA",272.249889330945
2027,"Increasing Batt Cap - High LFP Chemistry","Manganese","Recycling Limited to NA 2025 Online or Planned",0
2027,"Increasing Batt Cap - High LFP Chemistry","Manganese","All Material is Recycled in NA",166.070271762886
2027,"Increasing Batt Cap - High LFP Chemistry","Nickel","Recycling Limited to NA 2025 Online or Planned",1427.80072863658
2027,"Increasing Batt Cap - High LFP Chemistry","Nickel","All Material is Recycled in NA",1427.80072863658
2028,"Decreasing Batt Cap - Benchmark Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",550.200782363059
2028,"Decreasing Batt Cap - Benchmark Chemistry","Cobalt","All Material is Recycled in NA",550.200782363059
2028,"Decreasing Batt Cap - Benchmark Chemistry","Copper","Recycling Limited to NA 2025 Online or Planned",2247.34877448227
2028,"Decreasing Batt Cap - Benchmark Chemistry","Copper","All Material is Recycled in NA",2372.20148417573
2028,"Decreasing Batt Cap - Benchmark Chemistry","Graphite","Recycling Limited to NA 2025 Online or Planned",0
2028,"Decreasing Batt Cap - Benchmark Chemistry","Graphite","All Material is Recycled in NA",4838.97617765908
2028,"Decreasing Batt Cap - Benchmark Chemistry","Lithium","Recycling Limited to NA 2025 Online or Planned",0
2028,"Decreasing Batt Cap - Benchmark Chemistry","Lithium","All Material is Recycled in NA",468.726092152852
2028,"Decreasing Batt Cap - Benchmark Chemistry","Manganese","Recycling Limited to NA 2025 Online or Planned",0
2028,"Decreasing Batt Cap - Benchmark Chemistry","Manganese","All Material is Recycled in NA",260.269013070307
2028,"Decreasing Batt Cap - Benchmark Chemistry","Nickel","Recycling Limited to NA 2025 Online or Planned",2316.33056208032
2028,"Decreasing Batt Cap - Benchmark Chemistry","Nickel","All Material is Recycled in NA",2316.33056208032
2028,"Decreasing Batt Cap - High LFP Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",549.152355291969
2028,"Decreasing Batt Cap - High LFP Chemistry","Cobalt","All Material is Recycled in NA",549.152355291969
2028,"Decreasing Batt Cap - High LFP Chemistry","Copper","Recycling Limited to NA 2025 Online or Planned",2248.63056226228
2028,"Decreasing Batt Cap - High LFP Chemistry","Copper","All Material is Recycled in NA",2373.55448238796
2028,"Decreasing Batt Cap - High LFP Chemistry","Graphite","Recycling Limited to NA 2025 Online or Planned",0
2028,"Decreasing Batt Cap - High LFP Chemistry","Graphite","All Material is Recycled in NA",4839.43536487961
2028,"Decreasing Batt Cap - High LFP Chemistry","Lithium","Recycling Limited to NA 2025 Online or Planned",0
2028,"Decreasing Batt Cap - High LFP Chemistry","Lithium","All Material is Recycled in NA",468.629129666157
2028,"Decreasing Batt Cap - High LFP Chemistry","Manganese","Recycling Limited to NA 2025 Online or Planned",0
2028,"Decreasing Batt Cap - High LFP Chemistry","Manganese","All Material is Recycled in NA",259.722927479897
2028,"Decreasing Batt Cap - High LFP Chemistry","Nickel","Recycling Limited to NA 2025 Online or Planned",2311.24222483982
2028,"Decreasing Batt Cap - High LFP Chemistry","Nickel","All Material is Recycled in NA",2311.24222483982
2028,"Increasing Batt Cap - Benchmark Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",553.652589602028
2028,"Increasing Batt Cap - Benchmark Chemistry","Cobalt","All Material is Recycled in NA",553.652589602028
2028,"Increasing Batt Cap - Benchmark Chemistry","Copper","Recycling Limited to NA 2025 Online or Planned",2261.39228983464
2028,"Increasing Batt Cap - Benchmark Chemistry","Copper","All Material is Recycled in NA",2387.02519482545
2028,"Increasing Batt Cap - Benchmark Chemistry","Graphite","Recycling Limited to NA 2025 Online or Planned",0
2028,"Increasing Batt Cap - Benchmark Chemistry","Graphite","All Material is Recycled in NA",4870.06228667966
2028,"Increasing Batt Cap - Benchmark Chemistry","Lithium","Recycling Limited to NA 2025 Online or Planned",0
2028,"Increasing Batt Cap - Benchmark Chemistry","Lithium","All Material is Recycled in NA",471.737307176679
2028,"Increasing Batt Cap - Benchmark Chemistry","Manganese","Recycling Limited to NA 2025 Online or Planned",0
2028,"Increasing Batt Cap - Benchmark Chemistry","Manganese","All Material is Recycled in NA",262.03846191787
2028,"Increasing Batt Cap - Benchmark Chemistry","Nickel","Recycling Limited to NA 2025 Online or Planned",2333.00756988005
2028,"Increasing Batt Cap - Benchmark Chemistry","Nickel","All Material is Recycled in NA",2333.00756988005
2028,"Increasing Batt Cap - High LFP Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",552.4319770494
2028,"Increasing Batt Cap - High LFP Chemistry","Cobalt","All Material is Recycled in NA",552.4319770494
2028,"Increasing Batt Cap - High LFP Chemistry","Copper","Recycling Limited to NA 2025 Online or Planned",2262.88483608734
2028,"Increasing Batt Cap - High LFP Chemistry","Copper","All Material is Recycled in NA",2388.60066031442
2028,"Increasing Batt Cap - High LFP Chemistry","Graphite","Recycling Limited to NA 2025 Online or Planned",0
2028,"Increasing Batt Cap - High LFP Chemistry","Graphite","All Material is Recycled in NA",4870.59696679175
2028,"Increasing Batt Cap - High LFP Chemistry","Lithium","Recycling Limited to NA 2025 Online or Planned",0
2028,"Increasing Batt Cap - High LFP Chemistry","Lithium","All Material is Recycled in NA",471.624423273464
2028,"Increasing Batt Cap - High LFP Chemistry","Manganese","Recycling Limited to NA 2025 Online or Planned",0
2028,"Increasing Batt Cap - High LFP Chemistry","Manganese","All Material is Recycled in NA",261.402523666114
2028,"Increasing Batt Cap - High LFP Chemistry","Nickel","Recycling Limited to NA 2025 Online or Planned",2327.08270557411
2028,"Increasing Batt Cap - High LFP Chemistry","Nickel","All Material is Recycled in NA",2327.08270557411
2029,"Decreasing Batt Cap - Benchmark Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",835.988413713872
2029,"Decreasing Batt Cap - Benchmark Chemistry","Cobalt","All Material is Recycled in NA",835.988413713872
2029,"Decreasing Batt Cap - Benchmark Chemistry","Copper","Recycling Limited to NA 2025 Online or Planned",3746.98642807619
2029,"Decreasing Batt Cap - Benchmark Chemistry","Copper","All Material is Recycled in NA",3955.15234074709
2029,"Decreasing Batt Cap - Benchmark Chemistry","Graphite","Recycling Limited to NA 2025 Online or Planned",0
2029,"Decreasing Batt Cap - Benchmark Chemistry","Graphite","All Material is Recycled in NA",7986.05695726109
2029,"Decreasing Batt Cap - Benchmark Chemistry","Lithium","Recycling Limited to NA 2025 Online or Planned",0
2029,"Decreasing Batt Cap - Benchmark Chemistry","Lithium","All Material is Recycled in NA",765.543085645297
2029,"Decreasing Batt Cap - Benchmark Chemistry","Manganese","Recycling Limited to NA 2025 Online or Planned",0
2029,"Decreasing Batt Cap - Benchmark Chemistry","Manganese","All Material is Recycled in NA",387.831717714857
2029,"Decreasing Batt Cap - Benchmark Chemistry","Nickel","Recycling Limited to NA 2025 Online or Planned",3638.38733455638
2029,"Decreasing Batt Cap - Benchmark Chemistry","Nickel","All Material is Recycled in NA",3638.38733455638
2029,"Decreasing Batt Cap - High LFP Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",833.151915613858
2029,"Decreasing Batt Cap - High LFP Chemistry","Cobalt","All Material is Recycled in NA",833.151915613858
2029,"Decreasing Batt Cap - High LFP Chemistry","Copper","Recycling Limited to NA 2025 Online or Planned",3750.49261764781
2029,"Decreasing Batt Cap - High LFP Chemistry","Copper","All Material is Recycled in NA",3958.85331862824
2029,"Decreasing Batt Cap - High LFP Chemistry","Graphite","Recycling Limited to NA 2025 Online or Planned",0
2029,"Decreasing Batt Cap - High LFP Chemistry","Graphite","All Material is Recycled in NA",7987.31051217793
2029,"Decreasing Batt Cap - High LFP Chemistry","Lithium","Recycling Limited to NA 2025 Online or Planned",0
2029,"Decreasing Batt Cap - High LFP Chemistry","Lithium","All Material is Recycled in NA",765.281058325432
2029,"Decreasing Batt Cap - High LFP Chemistry","Manganese","Recycling Limited to NA 2025 Online or Planned",0
2029,"Decreasing Batt Cap - High LFP Chemistry","Manganese","All Material is Recycled in NA",386.338137163726
2029,"Decreasing Batt Cap - High LFP Chemistry","Nickel","Recycling Limited to NA 2025 Online or Planned",3624.48002244438
2029,"Decreasing Batt Cap - High LFP Chemistry","Nickel","All Material is Recycled in NA",3624.48002244438
2029,"Increasing Batt Cap - Benchmark Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",843.91343777349
2029,"Increasing Batt Cap - Benchmark Chemistry","Cobalt","All Material is Recycled in NA",843.91343777349
2029,"Increasing Batt Cap - Benchmark Chemistry","Copper","Recycling Limited to NA 2025 Online or Planned",3779.02508713614
2029,"Increasing Batt Cap - Benchmark Chemistry","Copper","All Material is Recycled in NA",3988.97092531037
2029,"Increasing Batt Cap - Benchmark Chemistry","Graphite","Recycling Limited to NA 2025 Online or Planned",0
2029,"Increasing Batt Cap - Benchmark Chemistry","Graphite","All Material is Recycled in NA",8057.2115536316
2029,"Increasing Batt Cap - Benchmark Chemistry","Lithium","Recycling Limited to NA 2025 Online or Planned",0
2029,"Increasing Batt Cap - Benchmark Chemistry","Lithium","All Material is Recycled in NA",772.44023882214
2029,"Increasing Batt Cap - Benchmark Chemistry","Manganese","Recycling Limited to NA 2025 Online or Planned",0
2029,"Increasing Batt Cap - Benchmark Chemistry","Manganese","All Material is Recycled in NA",391.950135379715
2029,"Increasing Batt Cap - Benchmark Chemistry","Nickel","Recycling Limited to NA 2025 Online or Planned",3677.03324202183
2029,"Increasing Batt Cap - Benchmark Chemistry","Nickel","All Material is Recycled in NA",3677.03324202183
2029,"Increasing Batt Cap - High LFP Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",840.508978461112
2029,"Increasing Batt Cap - High LFP Chemistry","Cobalt","All Material is Recycled in NA",840.508978461112
2029,"Increasing Batt Cap - High LFP Chemistry","Copper","Recycling Limited to NA 2025 Online or Planned",3783.23556874309
2029,"Increasing Batt Cap - High LFP Chemistry","Copper","All Material is Recycled in NA",3993.41532256215
2029,"Increasing Batt Cap - High LFP Chemistry","Graphite","Recycling Limited to NA 2025 Online or Planned",0
2029,"Increasing Batt Cap - High LFP Chemistry","Graphite","All Material is Recycled in NA",8058.71677833163
2029,"Increasing Batt Cap - High LFP Chemistry","Lithium","Recycling Limited to NA 2025 Online or Planned",0
2029,"Increasing Batt Cap - High LFP Chemistry","Lithium","All Material is Recycled in NA",772.12576416044
2029,"Increasing Batt Cap - High LFP Chemistry","Manganese","Recycling Limited to NA 2025 Online or Planned",0
2029,"Increasing Batt Cap - High LFP Chemistry","Manganese","All Material is Recycled in NA",390.156446633768
2029,"Increasing Batt Cap - High LFP Chemistry","Nickel","Recycling Limited to NA 2025 Online or Planned",3660.33308679077
2029,"Increasing Batt Cap - High LFP Chemistry","Nickel","All Material is Recycled in NA",3660.33308679077
2030,"Decreasing Batt Cap - Benchmark Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",1223.20611119929
2030,"Decreasing Batt Cap - Benchmark Chemistry","Cobalt","All Material is Recycled in NA",1223.20611119929
2030,"Decreasing Batt Cap - Benchmark Chemistry","Copper","Recycling Limited to NA 2025 Online or Planned",5941.54296126303
2030,"Decreasing Batt Cap - Benchmark Chemistry","Copper","All Material is Recycled in NA",6271.6286813332
2030,"Decreasing Batt Cap - Benchmark Chemistry","Graphite","Recycling Limited to NA 2025 Online or Planned",0
2030,"Decreasing Batt Cap - Benchmark Chemistry","Graphite","All Material is Recycled in NA",12570.9396319252
2030,"Decreasing Batt Cap - Benchmark Chemistry","Lithium","Recycling Limited to NA 2025 Online or Planned",0
2030,"Decreasing Batt Cap - Benchmark Chemistry","Lithium","All Material is Recycled in NA",1193.63314421712
2030,"Decreasing Batt Cap - Benchmark Chemistry","Manganese","Recycling Limited to NA 2025 Online or Planned",0
2030,"Decreasing Batt Cap - Benchmark Chemistry","Manganese","All Material is Recycled in NA",563.591946667923
2030,"Decreasing Batt Cap - Benchmark Chemistry","Nickel","Recycling Limited to NA 2025 Online or Planned",5483.62947187489
2030,"Decreasing Batt Cap - Benchmark Chemistry","Nickel","All Material is Recycled in NA",5483.62947187489
2030,"Decreasing Batt Cap - High LFP Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",1217.08290860364
2030,"Decreasing Batt Cap - High LFP Chemistry","Cobalt","All Material is Recycled in NA",1217.08290860364
2030,"Decreasing Batt Cap - High LFP Chemistry","Copper","Recycling Limited to NA 2025 Online or Planned",5949.24840778839
2030,"Decreasing Batt Cap - High LFP Chemistry","Copper","All Material is Recycled in NA",6279.76220822107
2030,"Decreasing Batt Cap - High LFP Chemistry","Graphite","Recycling Limited to NA 2025 Online or Planned",0
2030,"Decreasing Batt Cap - High LFP Chemistry","Graphite","All Material is Recycled in NA",12573.6908416124
2030,"Decreasing Batt Cap - High LFP Chemistry","Lithium","Recycling Limited to NA 2025 Online or Planned",0
