"Year","State_Province","Add_LIB_proj_tonnes","Add_LIB_15_tonnes","Add_LIB_proj_LFP_tonnes","Add_LIB_15_LFP_tonnes","Country","Tonnes_Scrap_proj_down","Tonnes_Scrap_15_down","Tonnes_Prod_proj_down","Tonnes_Prod_15_down","Tonnes_Scrap_proj_mid","Tonnes_Scrap_15_mid","Tonnes_Prod_proj_mid","Tonnes_Prod_15_mid","Cumulative_black_mass_cap","Cumulative_refining_cap","Recycle_Batt_15","Recycle_Batt_15_LFP","Recycle_Batt_Proj","Recycle_Batt_Proj_LFP"
2050,"MD",186344.345596912,119587.675956433,196651.41805441,125193.10801665,"US",0,0,0,0,67.4094849110179,57.9312758113525,1323.26201325992,821.896072125353,0,0,78349.910651813,80984.9786698889,111261.179599203,115799.911880331
2050,"ME",39129.3105741354,24566.4140601497,41331.8053234856,25743.2509550814,"US",0,0,0,0,0,0,0,0,0,0,16509.7759155636,17073.9383745443,23853.1339240522,24841.3319460418
2050,"MI",255761.720475911,163330.825530932,269747.001661313,170806.242878449,"US",65289.299999717,52374.7644728682,1677204.31421164,1041734.45938063,54443.2704883836,46788.1949090388,1068732.56500937,663804.362652041,22680,0,110708.558110773,114261.494063074,156875.987190517,163102.154039819
2050,"MN",182862.212395089,115356.824632827,193098.786348983,120839.026329291,"US",0,0,0,0,0,0,0,0,0,0,72729.1044425572,75169.5247522337,104328.695555989,108597.22193031
2050,"MO",165345.651688666,105501.240393905,174476.653732522,110417.429098356,"US",0,0,0,0,67.4094849110179,57.9312758113525,1323.26201325992,821.896072125353,0,206085.3314,70775.3051510242,73100.279296222,100439.990384106,104480.654466716
2050,"MS",71774.2354271003,46055.2879610272,75713.3398585118,48183.0191913299,"US",0,0,0,0,7077.99591565687,6082.78396019201,138942.511392291,86299.087573162,0,0,31854.2900913169,32880.8807419891,44829.6006507908,46604.0741728434
2050,"MT",32619.2959536671,20797.8589957852,34388.8542192652,21734.8390957195,"US",0,0,0,0,0,0,0,0,0,0,12683.8910658309,13077.3024563435,17906.3118209282,18602.010822889
2050,"MX",32282.3859102812,32282.3859102812,32282.3859102812,32282.3859102812,"MX",2811.39641833016,2255.2887724412,72221.4237524821,44857.7106503899,0,0,0,0,0,0,316736.752752062,334101.878642352,531980.123263457,562036.905144485
2050,"NB",22621.9223598344,12587.3646700996,24141.1831185639,13399.896317611,"CA",0,0,0,0,0,0,0,0,0,0,7151.58750734995,7524.64076219765,11975.4344554141,12628.033487928
2050,"NC",330117.439787482,212327.094113672,348298.5501436,222212.286614507,"US",22060.626066577,17696.9288132358,566711.194839477,351992.047229231,10448.4701612078,8979.34775075964,205105.612055287,127393.89117943,38000,28504.625929,131255.486562457,135536.82139679,184478.043814097,191841.12648523
2050,"ND",31904.4767625449,19837.9267783873,33710.4540980215,20794.0627546879,"US",0,0,0,0,0,0,0,0,0,0,11331.8148124436,11719.092946644,16483.5475120867,17169.2835356777
2050,"NE",61833.620073135,39055.916798013,65284.6364143297,40902.7103633811,"US",0,0,0,0,0,0,0,0,0,0,24489.7802892707,25302.5550756816,35020.3363356569,36442.1968918662
2050,"NH",44912.9323867875,28076.1700894269,47484.9839539293,29462.4165197485,"US",3.21302447809161,2.57747288278995,82.5387700028367,51.265955029017,0,0,0,0,0,0,18226.9031066168,18873.8964102976,26458.805839379,27581.4549733326
2050,"NJ",267633.832029442,171866.389976363,282390.156984051,179877.859671925,"US",0,0,0,0,0,0,0,0,500,500,114305.818989482,118126.139833771,162238.109275706,168832.437801413
2050,"NL",12884.5700478479,7073.34301681833,13754.5736117361,7534.06463308988,"CA",0,0,0,0,0,0,0,0,0,0,4227.25905522352,4449.10547224038,7159.02921077235,7550.8852265715
2050,"NM",55854.2331989035,35737.026644106,58921.6100205107,37387.5582047397,"US",0,0,0,0,0,0,0,0,0,0,23959.522770512,24736.1371938969,33867.5483539512,35216.0725683013
2050,"NS",24669.1276706454,13870.6856352872,26313.5608467189,14754.5896900824,"CA",0,0,0,0,0,0,0,0,0,0,7908.95672867304,8315.9833351539,13110.1227731324,13818.4533307884
2050,"NT",924.788281949871,503.784569789998,986.503767631431,535.848964859095,"CA",0,0,0,0,0,0,0,0,0,0,273.726267505968,289.123120907058,486.66210176316,514.470286850984
2050,"NU",53.9652948484493,53.9652948484493,53.9652948484493,53.9652948484493,"CA",0,0,0,0,0,0,0,0,0,0,7.10127274753215,7.10127274753215,7.10127274753215,7.10127274753215
2050,"NV",114440.187951068,73355.690164822,120778.361190176,76800.3018237293,"US",53014.9038885115,42528.3025660341,1361889.70504681,845888.257978781,3488.44084414517,2997.94352323749,68478.8091862006,42533.121732487,216075,216075,43827.5901253955,45299.1957187413,62219.7854165214,64756.7625243403
