"Year","Scenario","Recycling Step","Tonne","Scenario_Recycling"
2031,"Decreasing Batt Cap - High LFP Chemistry","Refining",0,"Decreasing Batt Cap - High LFP Chemistry - Refining"
2032,"Decreasing Batt Cap - High LFP Chemistry","Black Mass",0,"Decreasing Batt Cap - High LFP Chemistry - Black Mass"
2032,"Decreasing Batt Cap - High LFP Chemistry","Refining",0,"Decreasing Batt Cap - High LFP Chemistry - Refining"
2033,"Decreasing Batt Cap - High LFP Chemistry","Black Mass",0,"Decreasing Batt Cap - High LFP Chemistry - Black Mass"
2033,"Decreasing Batt Cap - High LFP Chemistry","Refining",0,"Decreasing Batt Cap - High LFP Chemistry - Refining"
2034,"Decreasing Batt Cap - High LFP Chemistry","Black Mass",0,"Decreasing Batt Cap - High LFP Chemistry - Black Mass"
2034,"Decreasing Batt Cap - High LFP Chemistry","Refining",0,"Decreasing Batt Cap - High LFP Chemistry - Refining"
2035,"Decreasing Batt Cap - High LFP Chemistry","Black Mass",0,"Decreasing Batt Cap - High LFP Chemistry - Black Mass"
2035,"Decreasing Batt Cap - High LFP Chemistry","Refining",0,"Decreasing Batt Cap - High LFP Chemistry - Refining"
2036,"Decreasing Batt Cap - High LFP Chemistry","Black Mass",0.123338861751687,"Decreasing Batt Cap - High LFP Chemistry - Black Mass"
2036,"Decreasing Batt Cap - High LFP Chemistry","Refining",0,"Decreasing Batt Cap - High LFP Chemistry - Refining"
2037,"Decreasing Batt Cap - High LFP Chemistry","Black Mass",0.458072339010673,"Decreasing Batt Cap - High LFP Chemistry - Black Mass"
2037,"Decreasing Batt Cap - High LFP Chemistry","Refining",0,"Decreasing Batt Cap - High LFP Chemistry - Refining"
2038,"Decreasing Batt Cap - High LFP Chemistry","Black Mass",1.06683531832574,"Decreasing Batt Cap - High LFP Chemistry - Black Mass"
2038,"Decreasing Batt Cap - High LFP Chemistry","Refining",0.124269459762068,"Decreasing Batt Cap - High LFP Chemistry - Refining"
2039,"Decreasing Batt Cap - High LFP Chemistry","Black Mass",1.93339983875063,"Decreasing Batt Cap - High LFP Chemistry - Black Mass"
2039,"Decreasing Batt Cap - High LFP Chemistry","Refining",0.506340460633958,"Decreasing Batt Cap - High LFP Chemistry - Refining"
2040,"Decreasing Batt Cap - High LFP Chemistry","Black Mass",3.07485580236812,"Decreasing Batt Cap - High LFP Chemistry - Black Mass"
2040,"Decreasing Batt Cap - High LFP Chemistry","Refining",1.16330290469844,"Decreasing Batt Cap - High LFP Chemistry - Refining"
2041,"Decreasing Batt Cap - High LFP Chemistry","Black Mass",4.50592710828492,"Decreasing Batt Cap - High LFP Chemistry - Black Mass"
2041,"Decreasing Batt Cap - High LFP Chemistry","Refining",2.10988069106225,"Decreasing Batt Cap - High LFP Chemistry - Refining"
2042,"Decreasing Batt Cap - High LFP Chemistry","Black Mass",6.24432227690535,"Decreasing Batt Cap - High LFP Chemistry - Black Mass"
2042,"Decreasing Batt Cap - High LFP Chemistry","Refining",3.36378234012968,"Decreasing Batt Cap - High LFP Chemistry - Refining"
2043,"Decreasing Batt Cap - High LFP Chemistry","Black Mass",8.30798727739248,"Decreasing Batt Cap - High LFP Chemistry - Black Mass"
2043,"Decreasing Batt Cap - High LFP Chemistry","Refining",4.94295382106381,"Decreasing Batt Cap - High LFP Chemistry - Refining"
2044,"Decreasing Batt Cap - High LFP Chemistry","Black Mass",10.7154785478511,"Decreasing Batt Cap - High LFP Chemistry - Black Mass"
2044,"Decreasing Batt Cap - High LFP Chemistry","Refining",6.86595157196943,"Decreasing Batt Cap - High LFP Chemistry - Refining"
2045,"Decreasing Batt Cap - High LFP Chemistry","Black Mass",13.4830179319689,"Decreasing Batt Cap - High LFP Chemistry - Black Mass"
2045,"Decreasing Batt Cap - High LFP Chemistry","Refining",9.14899743653422,"Decreasing Batt Cap - High LFP Chemistry - Refining"
2046,"Decreasing Batt Cap - High LFP Chemistry","Black Mass",16.629329181402,"Decreasing Batt Cap - High LFP Chemistry - Black Mass"
2046,"Decreasing Batt Cap - High LFP Chemistry","Refining",11.8108151664143,"Decreasing Batt Cap - High LFP Chemistry - Refining"
2047,"Decreasing Batt Cap - High LFP Chemistry","Black Mass",20.1542201854023,"Decreasing Batt Cap - High LFP Chemistry - Black Mass"
2047,"Decreasing Batt Cap - High LFP Chemistry","Refining",14.8512126508617,"Decreasing Batt Cap - High LFP Chemistry - Refining"
2048,"Decreasing Batt Cap - High LFP Chemistry","Black Mass",24.0467092556042,"Decreasing Batt Cap - High LFP Chemistry - Black Mass"
2048,"Decreasing Batt Cap - High LFP Chemistry","Refining",18.2592082015105,"Decreasing Batt Cap - High LFP Chemistry - Refining"
2049,"Decreasing Batt Cap - High LFP Chemistry","Black Mass",28.2850195286568,"Decreasing Batt Cap - High LFP Chemistry - Black Mass"
2049,"Decreasing Batt Cap - High LFP Chemistry","Refining",22.0130249550101,"Decreasing Batt Cap - High LFP Chemistry - Refining"
2050,"Decreasing Batt Cap - High LFP Chemistry","Black Mass",32.8396946709863,"Decreasing Batt Cap - High LFP Chemistry - Black Mass"
2050,"Decreasing Batt Cap - High LFP Chemistry","Refining",26.0832065777866,"Decreasing Batt Cap - High LFP Chemistry - Refining"
2025,"Increasing Batt Cap - Benchmark Chemistry","Black Mass",0,"Increasing Batt Cap - Benchmark Chemistry - Black Mass"
2025,"Increasing Batt Cap - Benchmark Chemistry","Refining",0,"Increasing Batt Cap - Benchmark Chemistry - Refining"
2026,"Increasing Batt Cap - Benchmark Chemistry","Black Mass",0,"Increasing Batt Cap - Benchmark Chemistry - Black Mass"
2026,"Increasing Batt Cap - Benchmark Chemistry","Refining",0,"Increasing Batt Cap - Benchmark Chemistry - Refining"
2027,"Increasing Batt Cap - Benchmark Chemistry","Black Mass",0,"Increasing Batt Cap - Benchmark Chemistry - Black Mass"
2027,"Increasing Batt Cap - Benchmark Chemistry","Refining",0,"Increasing Batt Cap - Benchmark Chemistry - Refining"
2028,"Increasing Batt Cap - Benchmark Chemistry","Black Mass",0,"Increasing Batt Cap - Benchmark Chemistry - Black Mass"
2028,"Increasing Batt Cap - Benchmark Chemistry","Refining",0,"Increasing Batt Cap - Benchmark Chemistry - Refining"
2029,"Increasing Batt Cap - Benchmark Chemistry","Black Mass",0,"Increasing Batt Cap - Benchmark Chemistry - Black Mass"
2029,"Increasing Batt Cap - Benchmark Chemistry","Refining",0,"Increasing Batt Cap - Benchmark Chemistry - Refining"
2030,"Increasing Batt Cap - Benchmark Chemistry","Black Mass",0,"Increasing Batt Cap - Benchmark Chemistry - Black Mass"
2030,"Increasing Batt Cap - Benchmark Chemistry","Refining",0,"Increasing Batt Cap - Benchmark Chemistry - Refining"
2031,"Increasing Batt Cap - Benchmark Chemistry","Black Mass",0,"Increasing Batt Cap - Benchmark Chemistry - Black Mass"
2031,"Increasing Batt Cap - Benchmark Chemistry","Refining",0,"Increasing Batt Cap - Benchmark Chemistry - Refining"
2032,"Increasing Batt Cap - Benchmark Chemistry","Black Mass",0,"Increasing Batt Cap - Benchmark Chemistry - Black Mass"
2032,"Increasing Batt Cap - Benchmark Chemistry","Refining",0,"Increasing Batt Cap - Benchmark Chemistry - Refining"
2033,"Increasing Batt Cap - Benchmark Chemistry","Black Mass",0,"Increasing Batt Cap - Benchmark Chemistry - Black Mass"
2033,"Increasing Batt Cap - Benchmark Chemistry","Refining",0,"Increasing Batt Cap - Benchmark Chemistry - Refining"
2034,"Increasing Batt Cap - Benchmark Chemistry","Black Mass",0,"Increasing Batt Cap - Benchmark Chemistry - Black Mass"
2034,"Increasing Batt Cap - Benchmark Chemistry","Refining",0,"Increasing Batt Cap - Benchmark Chemistry - Refining"
2035,"Increasing Batt Cap - Benchmark Chemistry","Black Mass",0.0457245731261538,"Increasing Batt Cap - Benchmark Chemistry - Black Mass"
2035,"Increasing Batt Cap - Benchmark Chemistry","Refining",0,"Increasing Batt Cap - Benchmark Chemistry - Refining"
2036,"Increasing Batt Cap - Benchmark Chemistry","Black Mass",0.281214317885889,"Increasing Batt Cap - Benchmark Chemistry - Black Mass"
2036,"Increasing Batt Cap - Benchmark Chemistry","Refining",0,"Increasing Batt Cap - Benchmark Chemistry - Refining"
2037,"Increasing Batt Cap - Benchmark Chemistry","Black Mass",0.741435167379513,"Increasing Batt Cap - Benchmark Chemistry - Black Mass"
2037,"Increasing Batt Cap - Benchmark Chemistry","Refining",0,"Increasing Batt Cap - Benchmark Chemistry - Refining"
2038,"Increasing Batt Cap - Benchmark Chemistry","Black Mass",1.49880997386591,"Increasing Batt Cap - Benchmark Chemistry - Black Mass"
2038,"Increasing Batt Cap - Benchmark Chemistry","Refining",0.2728812869334,"Increasing Batt Cap - Benchmark Chemistry - Refining"
2039,"Increasing Batt Cap - Benchmark Chemistry","Black Mass",2.54987441318722,"Increasing Batt Cap - Benchmark Chemistry - Black Mass"
2039,"Increasing Batt Cap - Benchmark Chemistry","Refining",0.839452206701711,"Increasing Batt Cap - Benchmark Chemistry - Refining"
2040,"Increasing Batt Cap - Benchmark Chemistry","Black Mass",3.92911549119865,"Increasing Batt Cap - Benchmark Chemistry - Black Mass"
2040,"Increasing Batt Cap - Benchmark Chemistry","Refining",1.73419976516014,"Increasing Batt Cap - Benchmark Chemistry - Refining"
2041,"Increasing Batt Cap - Benchmark Chemistry","Black Mass",5.67195053090454,"Increasing Batt Cap - Benchmark Chemistry - Black Mass"
2041,"Increasing Batt Cap - Benchmark Chemistry","Refining",2.99254128531302,"Increasing Batt Cap - Benchmark Chemistry - Refining"
2042,"Increasing Batt Cap - Benchmark Chemistry","Black Mass",7.82087221046126,"Increasing Batt Cap - Benchmark Chemistry - Black Mass"
2042,"Increasing Batt Cap - Benchmark Chemistry","Refining",4.65696944531675,"Increasing Batt Cap - Benchmark Chemistry - Refining"
2043,"Increasing Batt Cap - Benchmark Chemistry","Black Mass",10.4217121603971,"Increasing Batt Cap - Benchmark Chemistry - Black Mass"
2043,"Increasing Batt Cap - Benchmark Chemistry","Refining",6.77331587569954,"Increasing Batt Cap - Benchmark Chemistry - Refining"
2044,"Increasing Batt Cap - Benchmark Chemistry","Black Mass",13.5222967075641,"Increasing Batt Cap - Benchmark Chemistry - Black Mass"
2044,"Increasing Batt Cap - Benchmark Chemistry","Refining",9.38940690331358,"Increasing Batt Cap - Benchmark Chemistry - Refining"
