State,Sale Year,Propulsion,Global Segment,Sales
California,2015,PHEV,SUV,5923.214173228346
Colorado,2015,BEV,Car,1087.6628612201214
Colorado,2015,BEV,SUV,268.0820549411345
Colorado,2015,PHEV,Car,466.11338582677166
Colorado,2015,PHEV,SUV,192.87244094488187
Connecticut,2015,BEV,Car,410.43881555476275
Connecticut,2015,BEV,SUV,101.1630396004281
Connecticut,2015,PHEV,Car,343.451968503937
Connecticut,2015,PHEV,SUV,142.11653543307085
Delaware,2015,BEV,Car,61.56582233321441
Delaware,2015,BEV,SUV,15.174455940064217
Delaware,2015,PHEV,Car,85.86299212598425
Delaware,2015,PHEV,SUV,35.52913385826771
District of Columbia,2015,BEV,Car,123.13164466642883
District of Columbia,2015,BEV,SUV,30.348911880128433
District of Columbia,2015,PHEV,Car,61.33070866141732
District of Columbia,2015,PHEV,SUV,25.37795275590551
Florida,2015,BEV,Car,2380.545130217624
Florida,2015,BEV,SUV,586.7456296824831
Florida,2015,PHEV,Car,1238.88031496063
Florida,2015,PHEV,SUV,512.6346456692913
Georgia,2015,BEV,Car,3693.9493399928647
Georgia,2015,BEV,SUV,910.4673564038529
Georgia,2015,PHEV,Car,490.64566929133855
Georgia,2015,PHEV,SUV,203.0236220472441
Hawaii,2015,BEV,Car,861.9215126650017
Hawaii,2015,BEV,SUV,212.44238316089903
Hawaii,2015,PHEV,Car,147.19370078740158
Hawaii,2015,PHEV,SUV,60.90708661417323
Idaho,2015,BEV,Car,82.08776311095255
Idaho,2015,BEV,SUV,20.232607920085623
Idaho,2015,PHEV,Car,73.59685039370079
Idaho,2015,PHEV,SUV,30.453543307086615
Illinois,2015,BEV,Car,1190.272565108812
Illinois,2015,BEV,SUV,293.37281484124156
Illinois,2015,PHEV,Car,735.9685039370079
Illinois,2015,PHEV,SUV,304.53543307086613
Indiana,2015,BEV,Car,266.78523011059576
Indiana,2015,BEV,SUV,65.75597574027827
Indiana,2015,PHEV,Car,294.38740157480316
Indiana,2015,PHEV,SUV,121.81417322834646
Iowa,2015,BEV,Car,82.08776311095255
Iowa,2015,BEV,SUV,20.232607920085623
Iowa,2015,PHEV,Car,147.19370078740158
Iowa,2015,PHEV,SUV,60.90708661417323
