Year,Policy scenario,Capacity scenario,Recycling step,Annual capacity deficit (million metric tonnes/year)
2033,Rollback Policy,Increase LIB Capacity,Preprocessing (black mass production),0
2034,Rollback Policy,Increase LIB Capacity,Preprocessing (black mass production),0
2035,Rollback Policy,Increase LIB Capacity,Preprocessing (black mass production),0.0457245731261538
2036,Rollback Policy,Increase LIB Capacity,Preprocessing (black mass production),0.235489744759735
2037,Rollback Policy,Increase LIB Capacity,Preprocessing (black mass production),0.460220849493624
2038,Rollback Policy,Increase LIB Capacity,Preprocessing (black mass production),0.757374806486397
2039,Rollback Policy,Increase LIB Capacity,Preprocessing (black mass production),1.05106443932131
2040,Rollback Policy,Increase LIB Capacity,Preprocessing (black mass production),1.37924107801143
2041,Rollback Policy,Increase LIB Capacity,Preprocessing (black mass production),1.74283503970589
2042,Rollback Policy,Increase LIB Capacity,Preprocessing (black mass production),2.14892167955672
2043,Rollback Policy,Increase LIB Capacity,Preprocessing (black mass production),2.60083994993584
2044,Rollback Policy,Increase LIB Capacity,Preprocessing (black mass production),3.100584547167
2045,Rollback Policy,Increase LIB Capacity,Preprocessing (black mass production),3.6468065301789
2046,Rollback Policy,Increase LIB Capacity,Preprocessing (black mass production),4.2447323845294
2047,Rollback Policy,Increase LIB Capacity,Preprocessing (black mass production),4.8673801322899
2048,Rollback Policy,Increase LIB Capacity,Preprocessing (black mass production),5.4966387785725
2049,Rollback Policy,Increase LIB Capacity,Preprocessing (black mass production),6.1026635538323
2050,Rollback Policy,Increase LIB Capacity,Preprocessing (black mass production),6.666812691249
