State,Segment,Propulsion,Year,LIB_recycling,LIB_available,LIB_reuse_EV,LIB_repurpose,LIB_new_add,EV_stock,LIB_recycling_vector,LIB_available_vector,LIB_reuse_vector,LIB_repurpose_vector,LIB_newadd_vector,EV_stock_vector
Manitoba,Car,BEV,2044,3576,678,331,678,169,73025,0|2|6|6|15|8|34|11|81|15|176|15|336|38|1098|25|985|12|510|4|160|0|34|0|5|0|0|0|0|0|0,0|2|7|4|14|9|35|11|81|13|172|13|317|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,4|0|10|6|14|15|20|32|21|66|17|122|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|4,0|2|7|4|14|9|35|11|81|13|172|13|317|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|10|0|24|0|57|0|78|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,9741|0|9735|0|9661|0|9506|0|9253|0|8835|0|7531|0|5029|0|2501|0|899|0|254|0|62|0|13|0|3|0|0|0|0
Manitoba,Car,PHEV,2044,626,105,54,105,20,10604,0|1|2|0|2|2|5|2|12|3|28|2|54|9|186|5|175|2|95|0|31|0|8|0|2|0|0|0|0|0|0,0|0|0|1|2|1|5|2|11|2|27|3|51|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|2|1|2|2|4|5|4|10|4|20|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|1|2|1|5|2|11|2|27|3|51|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|1|0|3|0|8|0|8|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,1241|0|1278|0|1311|0|1337|0|1353|0|1350|0|1207|0|848|0|445|0|168|0|50|0|13|0|3|0|1|0|0|0|0
Manitoba,SUV,BEV,2044,6678,1272,625,1272,319,137279,0|5|11|9|28|15|66|22|154|27|332|28|633|69|2058|45|1837|20|944|6|292|2|63|0|10|0|2|0|0|0|0,0|4|11|8|27|15|65|22|150|25|323|25|597|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,8|0|20|11|27|28|38|61|39|125|32|228|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|8,0|4|11|8|27|15|65|22|150|25|323|25|597|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|18|0|45|0|107|0|149|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,18386|0|18321|0|18153|0|17853|0|17392|0|16648|0|14153|0|9431|0|4669|0|1666|0|466|0|113|0|23|0|5|0|1|0|0
Manitoba,SUV,PHEV,2044,1164,200,102,200,40,19936,0|1|2|2|3|3|9|4|22|4|51|7|101|14|348|9|328|5|177|1|57|0|13|0|3|0|0|0|0|0|0,0|0|1|1|4|2|10|4|22|5|49|5|97|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,1|0|2|2|5|4|7|10|8|19|6|37|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1,0|0|1|1|4|2|10|4|22|5|49|5|97|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|2|0|6|0|15|0|17|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,2342|0|2406|0|2463|0|2514|0|2546|0|2547|0|2269|0|1588|0|827|0|311|0|92|0|24|0|5|0|1|0|0|0|0
New Brunswick,Car,BEV,2044,2935,553,272,553,139,59544,0|1|5|4|11|8|28|10|66|12|144|12|276|31|900|20|810|10|419|3|131|0|29|0|5|0|0|0|0|0|0,0|2|5|4|12|6|28|10|66|10|140|11|259|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,4|0|9|6|11|11|16|27|17|54|14|99|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|4,0|2|5|4|12|6|28|10|66|10|140|11|259|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|8|0|19|0|47|0|65|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,7879|0|7907|0|7862|0|7745|0|7559|0|7242|0|6162|0|4121|0|2055|0|738|0|209|0|52|0|11|0|2|0|0|0|0
New Brunswick,Car,PHEV,2044,512,88,44,88,19,8654,0|1|2|1|2|1|4|1|10|2|24|2|45|6|151|4|143|2|79|0|26|0|6|0|0|0|0|0|0|0|0,0|0|0|0|2|1|5|2|10|2|21|3|42|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|1|0|2|2|3|4|4|9|3|16|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|2|1|5|2|10|2|21|3|42|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|1|0|3|0|7|0|8|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,1003|0|1039|0|1067|0|1091|0|1106|0|1107|0|988|0|695|0|363|0|138|0|41|0|11|0|2|0|0|0|0|0|0
New Brunswick,SUV,BEV,2044,3908,744,365,744,185,79931,0|3|6|5|15|10|38|11|87|15|195|15|370|41|1206|27|1079|12|555|4|171|0|37|0|6|0|0|0|0|0|0,0|2|8|5|16|9|38|13|88|14|188|15|348|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,4|0|12|7|16|16|22|36|23|73|19|133|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|4,0|2|8|5|16|9|38|13|88|14|188|15|348|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|11|0|26|0|62|0|86|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,10628|0|10628|0|10545|0|10382|0|10136|0|9745|0|8270|0|5522|0|2740|0|977|0|274|0|67|0|14|0|3|0|0|0|0
New Brunswick,SUV,PHEV,2044,687,114,58,114,24,11614,0|1|2|0|3|1|7|3|12|4|30|3|60|9|204|7|192|2|104|0|33|0|8|0|2|0|0|0|0|0|0,0|0|0|1|2|2|5|2|13|2|28|3|56|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|2|1|3|2|4|6|4|11|4|21|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|1|2|2|5|2|13|2|28|3|56|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|1|0|4|0|9|0|10|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,1354|0|1395|0|1431|0|1461|0|1484|0|1490|0|1324|0|932|0|488|0|184|0|54|0|14|0|3|0|1|0|0|0|0
Newfoundland and Labrador,Car,BEV,2044,1434,265,136,265,64,28328,0|0|3|1|7|4|13|6|31|6|68|6|134|16|439|10|395|5|206|2|65|0|14|0|3|0|0|0|0|0|0,0|1|2|2|5|3|13|4|31|5|68|6|125|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,2|0|5|2|6|6|8|13|9|27|8|48|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2,0|1|2|2|5|3|13|4|31|5|68|6|125|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|4|0|9|0|22|0|29|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,3651|0|3693|0|3705|0|3681|0|3614|0|3485|0|2986|0|2008|0|1005|0|363|0|103|0|25|0|5|0|1|0|0|0|0
Newfoundland and Labrador,Car,PHEV,2044,248,40,22,40,8,4117,0|0|0|1|2|1|2|0|5|0|11|1|21|3|74|2|70|1|39|0|12|0|3|0|0|0|0|0|0|0|0,0|0|0|0|0|0|2|1|5|1|10|1|20|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|1|1|2|2|2|4|2|8|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|2|1|5|1|10|1|20|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|1|0|3|0|4|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,465|0|484|0|503|0|518|0|528|0|533|0|477|0|338|0|177|0|67|0|20|0|5|0|1|0|0|0|0|0|0
