State,Segment,Year,ret_ICE,ret_BEV,ret_PHEV,ret_EV,Growth_seg,add_BEV,add_PHEV,add_ICE,Demand_total
Alberta,Car,2025,54982.77331861476,327,180,507,0,5061.237869654679,1007.4401929057024,49123.09525605438,55191.77331861476
Alberta,SUV,2025,97375.34250768203,390,156,546,0,8949.395331056157,1781.3785462969663,86860.56863032891,97591.34250768203
British Columbia,Car,2025,69511.98444678984,1602,610,2212,0,6462.108572257799,1286.2837262887172,62719.592148243326,70467.98444678984
British Columbia,SUV,2025,84121.57506307404,613,229,842,0,7746.2764631701575,1541.8975466745833,75183.4010532293,84471.57506307404
Manitoba,Car,2025,15528.953916729104,92,50,142,0,1429.4583763115345,284.5339143248408,13873.961626092729,15587.953916729104
Manitoba,SUV,2025,24208.336638717203,89,33,122,0,2224.372985195633,442.7617920776793,21589.201861443893,24256.336638717203
New Brunswick,Car,2025,13234.59322630358,60,42,102,0,1217.5002246993395,242.3436109549075,11816.749390649333,13276.59322630358
New Brunswick,SUV,2025,14819.892853368381,55,20,75,0,1361.6844379697682,271.04350125289665,13216.164914145716,14848.892853368381
Newfoundland and Labrador,Car,2025,7164.580923622774,32,18,50,0,658.7541878837579,131.12512456647934,6393.701611172537,7183.580923622774
Newfoundland and Labrador,SUV,2025,10542.721940072015,38,11,49,0,968.5390382958768,192.78784769783508,9400.395054078304,10561.721940072015
Northwest Territories,Car,2025,223.98528961715527,0,0,0,0,20.540068961211816,4.088503952886036,199.35671670305743,223.98528961715527
Northwest Territories,SUV,2025,844.5065567376496,2,0,2,0,77.53528373328466,15.433410405306267,752.5378625990587,845.5065567376496
Nova Scotia,Car,2025,16002.572685981186,75,48,123,0,1472.0651991855855,293.01480911002534,14287.492677685575,16052.572685981186
Nova Scotia,SUV,2025,15396.727712922579,56,19,75,0,1414.5817858925966,281.57272666533714,13729.573200364646,15425.727712922579
Nunavut,Car,2025,0,0,0,0,0,0,0,0,0
Nunavut,SUV,2025,0,0,0,0,0,0,0,0,0
Ontario,Car,2025,219388.02735047598,2270,1603,3873,0,20269.88858356806,4034.7245062797597,196734.41426062817,221039.02735047598
Ontario,SUV,2025,232661.2409415959,1156,556,1712,0,21399.686157377477,4259.61089079988,207699.94389341856,233359.2409415959
Prince Edward Island,Car,2025,2575.1635765541887,9,5,14,0,236.60811781083535,47.096883013456676,2296.458575729897,2580.1635765541887
Prince Edward Island,SUV,2025,2576.28416742339,8,2,10,0,236.6191763262125,47.09908421267942,2296.5659068844984,2580.28416742339
Quebec,Car,2025,162495.9983490106,2551,2209,4760,0,15090.055600119815,3003.677937346128,146460.26481154465,164553.9983490106
Quebec,SUV,2025,124642.1727888704,762,359,1121,0,11472.397766884173,2283.5825774277046,111348.19244455853,125104.1727888704
Saskatchewan,Car,2025,12844.281218685024,63,33,96,0,1181.5241313381646,235.1825639207264,11467.574523426134,12884.281218685024
Saskatchewan,SUV,2025,25991.918289840298,96,32,128,0,2388.1157484486616,475.3548148216979,23178.44772656994,26041.918289840298
