State,Segment,Year,ret_ICE,ret_BEV,ret_PHEV,ret_EV,Growth_seg,add_BEV,add_PHEV,add_ICE,Demand_total
Alberta,SUV,2026,101951.60791330952,18,10,28,18797.450446195075,35938.85265912631,6331.941667831626,78506.26403254666,120777.05835950459
British Columbia,Car,2026,67061.2227045996,267,84,351,0,20059.42164937781,3534.199852705787,43818.601202516,67412.2227045996
British Columbia,SUV,2026,88074.61046915392,91,28,119,0,26243.20558207958,4623.699273283392,57326.70561379095,88193.61046915392
Manitoba,Car,2026,14982.031609035435,6,5,11,0,4461.380010654518,786.0350538575374,9745.616544523382,14993.031609035435
Manitoba,SUV,2026,25346.06336011625,1,0,1,0,7542.362662362937,1328.8626898773784,16475.838007875936,25347.06336011625
New Brunswick,Car,2026,12768.515917009288,1,4,5,1032.6628745543626,4108.215849227244,723.8122864660382,8974.15065587037,13806.17879156365
New Brunswick,SUV,2026,15516.385233885365,1,0,1,1498.0320308651574,5063.168306278753,892.0620442130248,11060.186914258746,17015.417264750522
Newfoundland and Labrador,Car,2026,6912.29697913763,0,0,0,0,2056.847765988015,362.38886637185493,4493.06034677776,6912.29697913763
Newfoundland and Labrador,SUV,2026,11038.20345608736,1,0,1,0,3284.8647903107358,578.7489221273096,7175.589743649315,11039.20345608736
Northwest Territories,Car,2026,216.1015505496229,0,0,0,0,64.30394886331864,11.329489482474198,140.4681122038301,216.1015505496229
Northwest Territories,SUV,2026,884.1999698558268,0,0,0,0,263.10569962107184,46.35567969506673,574.7385905396883,884.1999698558268
Nova Scotia,Car,2026,15439.017382654007,1,5,6,943.2275383409801,4876.544664667802,859.181472767771,10652.518783559415,16388.24492099499
Nova Scotia,SUV,2026,16120.339432437195,1,0,1,1175.4921188334738,5146.906946023698,906.815664403343,11243.10894084363,17296.83155127067
Nunavut,Car,2026,0,0,0,0,0,0,0,0,0
Nunavut,SUV,2026,0,0,0,0,0,0,0,0,0
Ontario,Car,2026,211657.9735084072,266,201,467,0,63120.66440256847,11121.010701780042,137883.29840405867,212124.9735084072
Ontario,SUV,2026,243595.00989182875,96,50,146,0,72528.44505795771,12778.53491098855,158434.0299228825,243741.00989182875
Prince Edward Island,Car,2026,2484.5009469194342,0,0,0,303.61321185125166,829.6412026415129,146.17160292182368,1812.3013532073498,2788.114158770686
Prince Edward Island,SUV,2026,2697.3672230771435,0,0,0,393.1623547601358,919.6290143609472,162.02624302477028,2008.874320451562,3090.5295778372792
Quebec,Car,2026,156767.48464936018,376,323,699,0,46856.28932705811,8255.446928260015,102354.74839404206,157466.48464936018
Quebec,SUV,2026,130499.54858135505,112,49,161,0,38879.81929356534,6850.100367914061,84930.62891987566,130660.54858135505
Saskatchewan,Car,2026,12391.968569200972,1,1,2,355.2963795870791,3793.716792992247,668.4017897104496,8287.146366085353,12749.26494878805
Saskatchewan,SUV,2026,27213.463820062432,1,0,1,931.1243349853817,8375.101691066415,1475.5800880171937,18294.90637596421,28145.588155047815
Yukon,Car,2026,513.1526063554319,0,0,0,37.11290527521177,163.73897008674896,28.848600626565656,357.6779409173291,550.2655116306437
Yukon,SUV,2026,1188.384378427579,0,0,0,102.34781659315341,384.0748798597503,67.66881954796662,838.9884956130154,1290.7321950207322
