State,Segment,Propulsion,Year,BESS_retire_vector,BESS_retire_total
Alberta,SUV,BEV,2020,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0
Alberta,SUV,BEV,2021,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0
Alberta,SUV,BEV,2022,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0
Alberta,SUV,BEV,2023,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0
Alberta,SUV,BEV,2024,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0
Alberta,SUV,BEV,2025,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0
Alberta,SUV,BEV,2026,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0
Alberta,SUV,BEV,2027,0|0|0|0|0|0|0|0|0|1|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,2
Alberta,SUV,BEV,2028,0|0|0|0|0|0|1|0|0|1|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,6
Alberta,SUV,BEV,2029,0|0|0|0|1|1|1|1|1|1|1|2|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,12
Alberta,SUV,BEV,2030,0|0|0|0|1|1|1|2|3|2|2|3|3|2|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,22
Alberta,SUV,BEV,2031,0|0|0|1|1|2|4|3|5|6|4|3|4|4|2|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0,41
Alberta,SUV,BEV,2032,0|0|0|1|2|3|6|8|8|11|11|8|5|6|5|2|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0,78
Alberta,SUV,BEV,2033,0|0|0|1|2|4|8|13|18|16|21|19|13|6|7|5|2|1|1|0|0|0|0|0|0|0|0|0|0|0|0,137
Alberta,SUV,BEV,2034,0|0|0|1|3|5|11|18|29|38|31|38|31|17|8|7|5|2|1|1|0|0|0|0|0|0|0|0|0|0|0,246
Alberta,SUV,BEV,2035,0|0|1|1|3|6|13|25|40|60|73|55|61|41|20|9|7|5|2|1|0|0|0|0|0|0|0|0|0|0|0,423
Alberta,SUV,BEV,2036,0|0|1|2|4|8|16|30|54|84|115|131|89|80|50|23|9|7|4|1|0|0|0|0|0|0|0|0|0|0|0,708
Alberta,SUV,BEV,2037,0|0|1|2|4|9|19|36|66|113|163|206|213|117|97|55|23|8|6|3|1|0|0|0|0|0|0|0|0|0|0,1142
Alberta,SUV,BEV,2038,0|0|1|2|5|11|22|43|80|137|218|291|337|278|141|107|55|20|6|4|2|1|0|0|0|0|0|0|0|0|0,1761
Alberta,SUV,BEV,2039,0|0|1|2|6|12|26|50|95|166|265|389|475|439|337|156|107|50|17|5|3|1|0|0|0|0|0|0|0|0|0,2602
Alberta,SUV,BEV,2040,0|0|1|3|6|14|30|61|111|197|321|473|636|619|531|372|156|97|41|13|4|2|1|0|0|0|0|0|0|0|0,3689
Alberta,SUV,BEV,2041,0|0|1|3|7|16|34|69|134|229|381|573|773|829|748|586|372|141|80|31|9|2|1|1|0|0|0|0|0|0|0,5020
Alberta,SUV,BEV,2042,0|0|1|3|8|17|38|78|152|278|443|680|934|1007|1002|827|586|337|117|61|23|7|2|1|0|0|0|0|0|0|0,6602
Alberta,SUV,BEV,2043,0|0|1|3|8|19|42|87|170|313|536|789|1108|1218|1218|1107|827|531|278|89|44|16|4|1|1|0|0|0|0|0|0,8410
Alberta,SUV,BEV,2044,0|0|1|3|9|21|46|96|189|350|603|954|1285|1444|1473|1345|1107|748|439|213|65|31|11|3|1|0|0|0|0|0|0,10437
Alberta,SUV,BEV,2045,0|0|1|4|9|22|49|104|208|389|673|1072|1553|1675|1747|1627|1345|1002|619|337|154|45|21|7|2|0|0|0|0|0|0,12665
Alberta,SUV,BEV,2046,0|0|1|4|10|23|53|113|226|426|744|1192|1741|2024|2026|1929|1627|1218|829|475|244|107|30|14|5|1|0|0|0|0|0,15062
Alberta,SUV,BEV,2047,0|0|1|4|10|25|56|120|243|461|813|1316|1934|2270|2448|2237|1929|1473|1007|636|343|169|72|20|9|3|1|0|0|0|0,17600
Alberta,SUV,BEV,2048,0|0|1|4|11|26|59|127|258|496|879|1435|2131|2522|2745|2704|2237|1747|1218|773|460|238|114|48|13|6|2|0|0|0|0,20254
Alberta,SUV,BEV,2049,0|0|1|4|11|27|61|133|273|525|943|1548|2320|2778|3050|3032|2704|2026|1444|934|559|319|160|75|31|8|4|1|0|0|0,22971
Alberta,SUV,BEV,2050,0|0|1|4|11|28|64|139|287|554|997|1660|2500|3024|3359|3369|3032|2448|1675|1108|676|388|215|106|49|20|5|2|1|0|0,25722
Alberta,SUV,PHEV,2020,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0
Alberta,SUV,PHEV,2021,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0
Alberta,SUV,PHEV,2022,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0
Alberta,SUV,PHEV,2023,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0
Alberta,SUV,PHEV,2024,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0
Alberta,SUV,PHEV,2025,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0
Alberta,SUV,PHEV,2026,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0
Alberta,SUV,PHEV,2027,0|0|0|0|0|0|0|0|0|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,3
Alberta,SUV,PHEV,2028,0|0|0|0|0|0|0|0|0|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,4
Alberta,SUV,PHEV,2029,0|0|0|0|0|0|0|0|1|1|1|3|2|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,9
Alberta,SUV,PHEV,2030,0|0|0|0|0|0|1|1|1|2|1|3|4|2|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,16
Alberta,SUV,PHEV,2031,0|0|0|0|0|0|1|2|2|2|3|2|4|6|3|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,27
