"State","Segment","Propulsion","Year","LIB_recycling","LIB_available","LIB_reuse_EV","LIB_new_add","LIB_repurpose","EV_stock","LIB_recycling_vector","LIB_available_vector","LIB_reuse_vector","LIB_newadd_vector","LIB_repurpose_vector","EV_stock_vector","domestic_factor"
"New Brunswick","Car","BEV",2046,6563,1130,544,653,1130,130156,"0|6|9|13|19|28|44|62|89|126|182|256|335|958|1074|1079|922|649|402|195|87|26|2|0|0|0|0|0|0|0|0","0|5|8|13|21|30|43|63|86|124|175|246|316|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|5|8|28|26|32|43|50|63|76|96|117|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|6|9|17|23|37|54|84|125|185|100|13|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|5|8|13|21|30|43|63|86|124|175|246|316|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","8783|8829|8806|8749|8618|8481|8385|8374|8335|8393|8486|8538|7456|6273|4970|3658|2393|1374|735|335|147|34|2|1|0|0|0|0|0|0|0",0.95
"New Brunswick","Car","PHEV",2046,1245,202,102,102,202,20396,"0|2|1|3|2|6|8|10|13|22|31|47|66|197|219|209|163|119|67|40|15|5|0|0|0|0|0|0|0|0|0","0|0|1|2|4|4|7|10|14|21|31|46|62|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|1|2|6|5|6|8|9|10|13|18|24|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|1|1|2|3|5|7|13|21|31|16|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|0|1|2|4|4|7|10|14|21|31|46|62|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","1043|1088|1116|1143|1164|1186|1218|1271|1323|1403|1494|1584|1459|1289|1013|701|423|248|126|68|25|6|1|1|0|0|0|0|0|0|0",0.95
"New Brunswick","SUV","BEV",2046,11979,8036,1771,9413,8036,260368,"0|108|164|244|356|506|685|888|1068|1193|1223|1133|908|1367|917|578|333|172|85|33|14|4|0|0|0|0|0|0|0|0|0","0|107|162|242|352|493|663|849|1014|1127|1145|1051|831|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|48|70|237|175|206|221|215|195|164|134|106|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|123|191|308|446|652|923|1253|1588|1821|1949|159|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|107|162|242|352|493|663|849|1014|1127|1145|1051|831|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","19030|19264|19405|19468|19369|19155|18869|18584|18009|17379|16652|15724|12017|9040|6665|4781|3186|1896|1080|501|222|62|6|1|0|0|0|0|0|0|0",0.95
"New Brunswick","SUV","PHEV",2046,2159,1381,326,1494,1381,39896,"0|15|25|39|57|82|109|143|179|206|218|212|178|282|188|113|60|31|13|7|2|0|0|0|0|0|0|0|0|0|0","0|16|26|38|55|78|106|139|168|193|203|196|163|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|9|13|46|32|38|40|38|34|28|26|22|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|15|25|42|62|92|135|191|253|305|342|32|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|16|26|38|55|78|106|139|168|193|203|196|163|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","2260|2374|2462|2549|2621|2684|2748|2826|2869|2908|2935|2918|2359|1866|1368|920|557|340|177|100|37|10|6|1|0|0|0|0|0|0|0",0.95
"Newfoundland and Labrador","Car","BEV",2046,3176,555,265,321,555,62058,"0|3|4|7|9|15|20|30|43|62|90|127|166|469|522|520|440|307|189|95|44|14|0|0|0|0|0|0|0|0|0","0|3|4|7|10|13|21|29|42|61|86|122|157|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|2|4|14|11|16|20|25|30|38|47|58|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|3|4|8|12|17|26|40|62|91|52|6|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|3|4|7|10|13|21|29|42|61|86|122|157|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","3922|3988|4027|4040|4036|4019|4012|4049|4074|4132|4189|4227|3704|3078|2413|1760|1140|647|343|163|74|19|1|0|0|0|0|0|0|0|0",0.95
"Newfoundland and Labrador","Car","PHEV",2046,606,97,49,51,97,9774,"0|1|2|2|1|3|3|4|8|10|16|24|33|97|106|101|78|56|32|19|8|2|0|0|0|0|0|0|0|0|0","0|0|0|0|1|2|4|5|7|10|15|23|30|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|0|0|3|2|3|4|4|6|8|9|10|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|0|1|1|1|2|3|6|9|15|11|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|0|0|0|1|2|4|5|7|10|15|23|30|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","466|491|511|529|545|561|581|614|647|690|739|787|724|632|493|337|202|117|59|33|13|4|0|0|0|0|0|0|0|0|0",0.95
"Newfoundland and Labrador","SUV","BEV",2046,7483,5030,1098,5915,5030,160868,"0|67|102|152|221|314|426|551|666|749|770|715|576|858|571|357|202|104|49|21|9|3|0|0|0|0|0|0|0|0|0","0|66|101|149|217|305|410|528|633|708|722|665|526|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|30|45|148|108|126|135|132|121|103|84|66|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|74|115|188|274|402|572|782|997|1149|1233|129|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|66|101|149|217|305|410|528|633|708|722|665|526|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","11330|11553|11724|11830|11858|11812|11703|11599|11305|10967|10530|9991|7642|5695|4156|2951|1939|1141|639|312|144|45|2|1|0|0|0|0|0|0|0",0.95
"Newfoundland and Labrador","SUV","PHEV",2046,1347,865,203,938,865,24711,"0|10|14|24|36|51|68|90|111|128|138|132|113|176|117|69|36|19|9|4|2|0|0|0|0|0|0|0|0|0|0","0|10|16|24|34|48|66|85|105|122|128|124|103|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|6|9|28|20|24|24|24|22|18|16|12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|9|16|25|37|56|83|119|158|192|216|27|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|10|16|24|34|48|66|85|105|122|128|124|103|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","1346|1423|1487|1549|1600|1652|1702|1762|1798|1836|1857|1854|1502|1177|849|567|339|206|106|63|25|8|2|0|0|0|0|0|0|0|0",0.95
"Northwest Territories","Car","BEV",2046,113,18,11,10,18,2315,"0|0|0|1|1|2|2|2|2|2|3|5|7|16|18|17|14|10|6|3|2|0|0|0|0|0|0|0|0|0|0","0|0|0|0|0|0|0|0|1|3|3|5|6|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|0|0|0|0|1|1|1|2|2|2|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|0|0|0|0|1|1|1|2|3|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|0|0|0|0|0|0|0|1|3|3|5|6|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","149|150|155|148|157|157|158|150|158|158|152|159|134|106|85|59|38|22|11|5|3|1|0|0|0|0|0|0|0|0|0",0.95
"Northwest Territories","Car","PHEV",2046,21,1,0,3,1,355,"0|0|0|0|0|0|0|0|0|1|1|2|2|3|3|3|3|2|1|0|0|0|0|0|0|0|0|0|0|0|0","0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|0|0|0|0|0|0|0|0|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","18|18|20|19|21|22|22|22|25|26|26|28|25|21|17|11|7|4|2|1|0|0|0|0|0|0|0|0|0|0|0",0.95
