State,Year,ret_ICE,ret_BEV,ret_PHEV,ret_EV,Growth_seg,add_BEV,add_PHEV,add_ICE,Demand_total
Alberta,2041,167764.8629625219,24240,5134,29374,46921.51623848764,142393.34338686988,20043.649287952903,81623.38652618673,244060.37920100952
Alberta,2042,166202.27301851497,31326,6452,37778,47401.53174987881,149253.36488412909,20261.171290919247,81867.26859334548,251381.80476839378
Alberta,2043,163882.6182593115,39066,7958,47024,47821.54532234609,155973.96965262387,20487.059211172433,82267.13471786128,258728.16358165757
Alberta,2044,160775.48247193813,47229,9623,56852,48241.55889481338,162358.20472511576,20683.633433618375,82827.20320801738,265869.04136675154
Alberta,2045,156928.1877375774,55948,11371,67319,48661.57246728066,168658.84613707557,20877.841348188576,83372.07271959394,272908.7602048581
Alberta,2046,152483.51327697252,64790,13074,77864,48961.58216190014,176103.32190818785,21012.180841691676,82193.59268899314,279309.0954388727
Alberta,2047,147503.78293237998,73642,14650,88292,49201.58991759573,181636.16784683982,21108.950089361875,82252.25491377401,284997.3728499757
Alberta,2048,142200.95452319988,82317,16018,98335,49441.59767329132,186710.5083756622,21156.588838001764,82110.45498282724,289977.5521964912
Alberta,2049,136699.06272903355,90694,17134,107828,49621.60349006302,191236.80641233627,21163.304062582934,81748.55574417736,294148.6662190966
Alberta,2050,131153.79353378533,98690,17990,116680,49621.60349006302,195024.42723466226,21078.14669021479,81352.82309897129,297455.3970238483
British Columbia,2020,154855.673921684,10,5,15,0,10772.00003878525,2024.185529816365,195470,208266.1855686016
British Columbia,2021,154710.00707572984,24,6,30,0,18486.69705995957,4948.67862356622,203923,227358.37568352578
British Columbia,2022,154674.44945425485,39,15,54,0,30632.40349483,4963.705826808509,181909,217505.10932163853
British Columbia,2023,154637.97489207418,67,22,89,0,42663.863556472395,8381.61256620324,200849,251894.47612267564
British Columbia,2024,154747.538293863,119,38,157,0,51296.8850452609,11863.30399178059,210782,273942.1890370415
British Columbia,2025,155005.44872654427,197,62,259,0,14238.178272862326,2834.1116215541315,138192.15883212784,155264.44872654427
