State,Year,ret_ICE,ret_BEV,ret_PHEV,ret_EV,Growth_seg,add_BEV,add_PHEV,add_ICE,Demand_total
Newfoundland and Labrador,2037,17611.11024740263,906,217,1123,0,16048.612357977492,2684.7840219939526,0.7138674311864839,18734.11024740263
Newfoundland and Labrador,2038,17321.843825498796,1571,336,1907,0,16588.800345498967,2639.242444381909,0.8010356179220955,19228.843825498796
Newfoundland and Labrador,2039,17035.538333108463,2443,499,2942,0,17343.036593449026,2633.6245164721267,0.877223187309252,19977.538333108463
Newfoundland and Labrador,2040,16472.040302933652,3514,680,4194,0,18040.297750634258,2624.764200202163,0.9783520972340339,20666.040302933652
Newfoundland and Labrador,2041,15900.554854832564,4727,897,5624,0,18880.817897913188,2642.671953865084,1.065003054292286,21524.554854832564
Newfoundland and Labrador,2042,15220.462573993334,6025,1123,7148,0,19705.869918982717,2661.4391138784995,1.1535411321170201,22368.462573993333
Newfoundland and Labrador,2043,14433.20466004345,7323,1362,8685,0,20444.431124164214,2672.5334203956845,1.240115483551005,23118.204660043448
Newfoundland and Labrador,2044,13545.646073698574,8583,1613,10196,0,21069.42471812516,2670.899625889255,1.3217296841570518,23741.646073698572
Newfoundland and Labrador,2045,12574.427867375542,9780,1858,11638,0,21556.07547511602,2654.9566688666982,1.395723392821342,24212.42786737554
Newfoundland and Labrador,2046,11547.261325816597,10915,2084,12999,0,21939.120281057323,2605.7094005111558,1.431644248115116,24546.261325816595
Newfoundland and Labrador,2047,10483.14402433114,11991,2283,14274,0,22187.54058350711,2568.1147294280013,1.488711396026768,24757.14402433114
Newfoundland and Labrador,2048,9414.856900340197,12973,2449,15422,0,22316.022953621097,2519.3258199188062,1.508126800290782,24836.856900340197
Newfoundland and Labrador,2049,8363.98301767193,13844,2567,16411,0,22313.657091482524,2459.807438108112,1.518488081297127,24774.983017671933
Newfoundland and Labrador,2050,7352.974736231512,14637,2632,17269,0,22227.250681478607,2393.202521643643,1.5215331092623319,24621.97473623151
Northwest Territories,2020,1055.838158967008,0,0,0,0,2.024938913237401,1.723911491791577,1729,1732.748850405029
Northwest Territories,2021,1061.516460292599,0,0,0,0,4.22895786007476,4.84047966631909,1830,1839.0694375263938
Northwest Territories,2022,1067.923920527928,0,0,0,0,11.127240709802681,6.09738366020172,1668,1685.2246243700044
Northwest Territories,2023,1074.381550770931,0,0,0,0,16.60463569288229,10.67154915590864,1882,1909.276184848791
Northwest Territories,2024,1082.450786608854,0,0,0,0,20.09838849263156,16.08177405722206,1991,2027.1801625498535
Northwest Territories,2025,1092.3372409043855,0,0,0,0,204.74901278841847,35.55749495181321,852.0307331641536,1092.3372409043855
Northwest Territories,2026,1100.3015204054498,0,0,0,0,327.40964848439046,57.68516917754093,715.2067027435183,1100.3015204054498
Northwest Territories,2027,1109.26735743598,0,0,0,0,396.2738925184072,80.6989544426258,632.2945104749471,1109.26735743598
Northwest Territories,2028,1119.491145722471,0,0,0,0,488.0136814384344,82.91325257589783,548.5642117081388,1119.491145722471
Northwest Territories,2029,1130.8758294821687,0,0,0,0,564.1534473240497,103.04859249765997,463.6737896604592,1130.8758294821687
Northwest Territories,2030,1143.1147796686657,0,0,0,0,660.1535845702499,117.14683302391265,365.8143620745031,1143.1147796686657
Northwest Territories,2031,1155.6491630339,0,0,0,0,736.5184006553344,141.75388077785706,277.3768816007086,1155.6491630339
Northwest Territories,2032,1167.8109972129482,3,0,3,48.47982062780269,830.3081066222492,169.48768985570925,219.49502136279267,1219.290817840751
Northwest Territories,2033,1178.869254697944,4,0,4,0,863.480570571855,177.4188618110292,141.96982231505976,1182.869254697944
Northwest Territories,2034,1187.8115157897976,8,0,8,48.47982062780269,977.9635750480584,191.6377073840345,74.69005398550723,1244.2913364176002
Northwest Territories,2035,1193.6362595011724,14,0,14,48.47982062780269,1059.4480301938493,196.62775141743037,0.040298517695412685,1256.116080128975
Northwest Territories,2036,1195.213921353332,25,5,30,0,1041.6181251337625,183.55198122136682,0.04381499820250756,1225.213921353332
Northwest Territories,2037,1191.66827992022,51,9,60,48.47982062780269,1113.7744252652105,186.32413285072187,0.049542432090089954,1300.1481005480225
Northwest Territories,2038,1181.8903099412712,90,16,106,48.47982062780269,1152.891847522387,183.42261250908064,0.055670537606296325,1336.3701305690738
Northwest Territories,2039,1170.7953733991733,143,24,167,0,1161.376027844096,176.36060232546356,0.05874322961382562,1337.7953733991733
Northwest Territories,2040,1139.0292137879924,210,38,248,48.47982062780269,1253.119128046518,182.32194786083352,0.06795850844342587,1435.509034415795
Northwest Territories,2041,1105.089975684783,287,52,339,48.47982062780269,1309.2460547576106,183.24989141486589,0.07385014010918946,1492.5697963125858
Northwest Territories,2042,1062.228565067896,372,66,438,48.47982062780269,1364.360464649887,184.26805418779026,0.07986685802141849,1548.7083856956986
Northwest Territories,2043,1010.7547260454826,455,79,534,0,1366.0936073876194,178.57825434023013,0.08286431763313205,1544.7547260454826
Northwest Territories,2044,951.3513940336102,540,100,640,48.47982062780269,1455.2613673243081,184.4785557060738,0.09129163103085779,1639.8312146614128
Northwest Territories,2045,885.418969305887,625,114,739,48.47982062780269,1489.3645848143378,183.43777100759223,0.09643411175956779,1672.8987899336896
Northwest Territories,2046,815.0951273029259,707,130,837,48.47982062780269,1519.9511581164943,180.52460491962327,0.09918489461093914,1700.5749479307285
Northwest Territories,2047,741.7939752887512,785,143,928,0,1496.4820480263684,173.21151821206612,0.10040905031639095,1669.7939752887512
Northwest Territories,2048,667.9360802984265,856,157,1013,48.47982062780269,1553.8876394983142,175.42324900708007,0.10501242083494669,1729.4159009262291
Northwest Territories,2049,595.0338718221439,922,166,1088,0,1515.8291193338796,167.1015973469284,0.10315514133585203,1683.0338718221437
Northwest Territories,2050,524.6925648332585,981,169,1150,0,1511.812592276847,162.77648369280377,0.10348886360766583,1674.6925648332585
Nova Scotia,2020,31796.65731125766,0,0,0,0,102.5969049373618,62.2175329310233,37393,37557.81443786839
Nova Scotia,2021,31720.555637077934,0,0,0,0,241.8194994533655,169.7015224191868,38830,39241.521021872555
Nova Scotia,2022,31667.22381164796,0,0,0,0,568.37945545672,205.351171127508,34389,35162.73062658423
Nova Scotia,2023,31613.303640444974,0,0,0,0,1032.54616163897,418.265440527419,37694,39144.81160216639
Nova Scotia,2024,31585.117653791458,0,0,0,0,1459.8387180128711,769.717852425081,39445,41674.556570437955
Nova Scotia,2025,31581.80411726856,0,0,0,0,5919.731537976521,1028.0431705680776,24634.02940872396,31581.80411726856
Nova Scotia,2026,31559.356815091203,2,5,7,2118.719657174454,10023.4516106915,1765.997137171114,21895.627724403043,33685.07647226566
Nova Scotia,2027,31538.160485423592,9,7,16,3748.5040088471105,12611.499095900697,2568.261018977001,20122.904379393003,35302.664494270706
Nova Scotia,2028,31515.386344390747,22,12,34,5704.245230854299,16239.772830229642,2759.128355744471,18254.73038927094,37253.63157524505
Nova Scotia,2029,31481.75702336956,35,26,61,5378.288360519768,18418.587159711933,3364.349702384378,15138.10852179302,36921.04538388933
Nova Scotia,2030,31421.412285962688,64,46,110,4563.396184683439,20844.903434089352,3699.009562422506,11550.89547413427,36094.80847064612
Nova Scotia,2031,31320.358341961666,103,64,167,4183.113169293152,22733.507251560564,4375.400361664984,8561.563898029266,35670.471511254815
Nova Scotia,2032,31169.612190214444,169,82,251,3802.830153902866,23986.32819465864,4896.239506045335,6340.874643413334,35223.44234411731
Nova Scotia,2033,30963.09342418756,269,116,385,3313.894848401069,25302.841621674117,5198.96047936447,4160.186171550044,34661.98827258863
Nova Scotia,2034,30693.9113488417,436,159,595,2879.285687955027,26854.845926402573,5262.364812753242,2050.9862976409113,34168.19703679673
Nova Scotia,2035,30355.866180348406,701,220,921,2824.9595428992716,28762.558381387047,5338.1732924737225,1.094049386911018,34101.825723247675
Nova Scotia,2036,29941.548474665105,1090,332,1422,2770.6333978435164,29019.24464402479,5113.716552574645,1.220675909180049,34134.18187250862
Nova Scotia,2037,29448.774461716923,1891,481,2372,2716.307252787761,29586.258919807777,4949.5067515286655,1.3160431682433058,34537.08171450468
Nova Scotia,2038,28864.604730586536,3153,707,3860,2716.307252787761,30575.01627710824,4864.419307940295,1.4763983257630109,35440.9119833743
Nova Scotia,2039,28314.1276101104,4833,1023,5856,2716.307252787761,32022.102971961973,4862.712190079186,1.6197008570010265,36886.43486289816
Nova Scotia,2040,27337.77933846108,6959,1383,8342,2716.307252787761,33517.63687729456,4876.632002806358,1.8177111479258723,38396.086591248844
Nova Scotia,2041,26374.95914057413,9365,1795,11160,2770.6333978435164,35355.08901892558,4948.509258544602,1.9942609474610236,40305.592538417644
Nova Scotia,2042,25255.038466576327,11931,2238,14169,2770.6333978435164,37172.099436156146,5020.396449946425,2.175978317275099,42194.67186441984
Nova Scotia,2043,23973.70932000735,14488,2701,17189,2824.9595428992716,38900.20352378639,5085.1057359397755,2.359603180453132,43987.66886290662
Nova Scotia,2044,22535.514043852138,16906,3176,20082,2933.611833010782,40424.15654370399,5124.433440111276,2.53589304765695,45551.12587686292
Nova Scotia,2045,20960.701928617716,19137,3623,22760,2933.611833010782,41535.85564380732,5115.768733780479,2.6893840407004888,46654.313761628495
Nova Scotia,2046,19288.850966875125,21158,4031,25189,2987.9379780665377,42424.28771843578,5038.732816163334,2.7684103425478024,47465.78894494166
Nova Scotia,2047,17548.304754009674,23014,4385,27399,3042.264123122293,43008.616260418676,4978.066879246659,2.8857374666312308,47989.56887713197
Nova Scotia,2048,15790.285655662668,24650,4657,29307,3096.590268178048,43302.405197884174,4888.544330069082,2.926395887461803,48193.87592384072
Nova Scotia,2049,14050.97532786421,26098,4834,30932,3150.9164132338033,43351.92294676011,4779.018611047645,2.9501832902637357,48133.891741098014
Nova Scotia,2050,12368.370821227667,27413,4941,32354,3150.9164132338033,43217.149221625274,4653.179647702744,2.958365133454256,47873.28723446147
Nunavut,2020,0,0,0,0,0,0,0,0,0
Nunavut,2021,0,0,0,0,0,0,0.28473409801877,0,0.28473409801877
Nunavut,2022,0,0,0,0,0,0.445089628392107,0.435527404300123,0,0.88061703269223
Nunavut,2023,0,0,0,0,0,0,0.592863841994924,0,0.592863841994924
Nunavut,2024,0,0,0,0,0,0,0.945986709248359,0,0.945986709248359
Nunavut,2025,0,0,0,0,0,0,0,0,0
Nunavut,2026,0,0,0,0,0,0,0,0,0
Nunavut,2027,0,0,0,0,0,0,0,0,0
Nunavut,2028,0,0,0,0,0,0,0,0,0
Nunavut,2029,0,0,0,0,0,0,0,0,0
Nunavut,2030,0,0,0,0,0,0,0,0,0
Nunavut,2031,0,0,0,0,0,0,0,0,0
Nunavut,2032,0,0,0,0,0,0,0,0,0
Nunavut,2033,0,0,0,0,0,0,0,0,0
Nunavut,2034,0,0,0,0,0,0,0,0,0
Nunavut,2035,0,0,0,0,0,0,0,0,0
Nunavut,2036,0,0,0,0,0,0,0,0,0
Nunavut,2037,0,0,0,0,0,0,0,0,0
Nunavut,2038,0,0,0,0,0,0,0,0,0
Nunavut,2039,0,0,0,0,0,0,0,0,0
Nunavut,2040,0,0,0,0,0,0,0,0,0
Nunavut,2041,0,0,0,0,0,0,0,0,0
Nunavut,2042,0,0,0,0,0,0,0,0,0
Nunavut,2043,0,0,0,0,0,0,0,0,0
Nunavut,2044,0,0,0,0,0,0,0,0,0
Nunavut,2045,0,0,0,0,0,0,0,0,0
Nunavut,2046,0,0,0,0,0,0,0,0,0
Nunavut,2047,0,0,0,0,0,0,0,0,0
Nunavut,2048,0,0,0,0,0,0,0,0,0
Nunavut,2049,0,0,0,0,0,0,0,0,0
Nunavut,2050,0,0,0,0,0,0,0,0,0
Ontario,2020,456865.48914946953,10,12,22,0,8293.47480898266,3390.1503082214012,553998,565681.625117204
Ontario,2021,456053.6135898013,24,19,43,0,13819.08093458066,6944.94938477581,576460,597224.0303193565
Ontario,2022,455567.8924559484,40,33,73,0,24395.80762179983,6067.11450560287,512172,542634.9221274027
Ontario,2023,455076.1738812532,65,53,118,0,36583.5081441971,9705.477525377919,563221,609509.9856695749
Ontario,2024,454980.1428202511,113,78,191,0,48143.7570967437,14999.88059074506,590131,653274.6376874888
Ontario,2025,455275.51263296057,187,130,317,0,85396.81126147645,14830.336146571412,355365.36522491265,455592.51263296057
Ontario,2026,455252.98340023594,362,251,613,0,135649.10946052618,23899.54561276859,296317.3283269412,455865.98340023594
Ontario,2027,455204.64495076356,659,422,1081,12633.646243261157,167516.39859658724,34113.77452303599,267289.1180744015,468919.2911940247
Ontario,2028,455147.5577755617,1080,722,1802,68824.29878128043,229197.73534858925,38940.567536483635,257635.55367176933,525773.8565568421
Ontario,2029,455035.2330332077,1742,1167,2909,69405.76367113765,263076.0255290907,48053.617821960244,216220.35335329443,527349.9967043453
Ontario,2030,454596.66707105876,2870,2006,4876,69617.20544926755,305551.622738488,54221.329347825675,169316.9204340126,529089.8725203263
Ontario,2031,453632.8300474478,4433,2867,7300,70780.13522898196,338871.34202996315,65220.81155665137,127620.81168981524,531712.9652764298
Ontario,2032,451990.9870419409,6381,3626,10007,72154.50678682627,363745.16998654406,74249.94175715015,96157.382085073,534152.4938287672
Ontario,2033,449561.1817212173,9131,4586,13717,73634.59923373553,391939.9820436553,80531.6852310505,64441.113680247,536912.7809549528
Ontario,2034,446216.194915719,13209,5468,18677,75167.55212517726,424466.29937957134,83176.66480665085,32417.782854674024,540060.7470408962
Ontario,2035,441833.16651792324,19034,6587,25621,75114.69168064478,457619.73527476646,84931.71631538463,17.40660841699426,542568.858198568
Ontario,2036,436271.43019284355,26908,8165,35073,75220.41256970973,464663.2207325207,81882.07626974878,19.545760283839414,546564.8427625534
Ontario,2037,429484.60229497566,38763,10022,48785,75537.57523690458,474420.00692330784,79366.06766309081,21.10294548160527,553807.1775318803
Ontario,2038,421269.33984299604,55923,12761,68684,76013.31923769685,488261.6965898182,77681.3854387859,23.57705208873871,565966.6590806929
Ontario,2039,413457.8940679993,77703,16533,94236,76647.64457208652,507282.55497385137,77033.3249520097,25.65871422474149,584341.5386400858
Ontario,2040,399318.09507407364,105803,21065,126868,77387.69079554114,526886.1693848392,76659.04266654121,28.573818234410275,603573.7858696148
Ontario,2041,385310.63785751787,137980,26518,164498,78286.3183525932,550949.6744894757,77114.20451363802,31.077206997345417,628094.956210111
Ontario,2042,368959.79182605323,173701,32583,206284,79184.94590964523,576529.9038503142,77865.08500950501,33.74887587916953,654428.7377356985
Ontario,2043,350229.8769001707,210984,39362,250346,80189.29435576225,602030.1688706314,78698.48452234668,36.51786295481076,680765.1712559329
Ontario,2044,329210.3832136205,247994,46547,294541,81087.92191281429,625506.6995623689,79293.3662025973,39.239361468634215,704839.3051264348
Ontario,2045,306216.8770419964,283826,53800,337626,82039.4099143988,646245.5334669387,79594.91006533189,41.843424124551085,725882.2869563951
Ontario,2046,281839.2232669274,318107,60672,378779,82938.03747145087,664580.6472741857,78932.24604339867,43.36742079399618,743556.2607383784
Ontario,2047,256488.16863617723,350762,66852,417614,83783.80458397043,679223.1677436839,78617.23182369865,45.57365276514984,757885.9732201477
Ontario,2048,230908.1391633661,380281,71785,452066,84365.26947382765,689457.7653314541,77835.04944196183,46.59386377787524,767339.4086371937
Ontario,2049,205612.5878491428,406801,75344,482145,84893.87391915238,695890.6795953291,76713.42544885231,47.35672411379956,772651.4617682952
Ontario,2050,181143.87094744688,430503,77540,508043,84893.87391915238,698793.9411105488,75238.96886485361,47.834891196758804,774080.7448665992
Prince Edward Island,2020,5212.559296371166,0,0,0,0,24.299266958848808,11.753941989488029,6207,6243.053208948337
Prince Edward Island,2021,5201.3728563008335,0,0,0,0,86.5014107742565,37.3001668404588,6450,6573.801577614715
Prince Edward Island,2022,5193.911890392602,0,0,0,0,220.3193660540926,40.0685211956113,5720,5980.387887249704
Prince Edward Island,2023,5186.366451751916,0,0,0,0,318.983790942213,92.1903274302107,6278,6689.174118372423
Prince Edward Island,2024,5183.1573602391745,0,0,0,0,401.194754910606,178.7914880479397,6573,7152.9862429585455
Prince Edward Island,2025,5184.181667500682,0,0,0,0,971.7292780915936,168.75421487856556,4043.698174530523,5184.181667500682
Prince Edward Island,2026,5181.868169996578,0,0,0,696.7755666113875,1749.27021700246,308.19784594659393,3821.175673658912,5878.643736607965
Prince Edward Island,2027,5180.896591411277,0,0,0,1018.3642896627971,2214.619607809106,450.99485535760186,3533.6464179073664,6199.260881074074
Prince Edward Island,2028,5180.149978689949,0,0,0,1500.7473742399116,2912.367216992584,494.809567519746,3273.7205684175306,6680.89735292986
Prince Edward Island,2029,5178.389013332465,3,2,5,1447.1492537313434,3307.73805882024,604.1933323799741,2718.6068758635943,6630.538267063808
Prince Edward Island,2030,5172.7683293710725,14,4,18,1179.158651188502,3678.6595751006016,652.7925153608994,2038.474890098073,6369.926980559574
Prince Edward Island,2031,5160.823905374519,21,7,28,1125.5605306799337,4024.283904430378,774.5330738475709,1515.5674577765046,6314.3844360544535
Prince Edward Island,2032,5141.283664547844,36,9,45,1071.9624101713655,4261.717035053489,869.9283667460984,1126.600672919622,6258.246074719209
Prince Edward Island,2033,5113.154035899327,60,17,77,964.7661691542289,4493.018978535398,923.1780545324596,738.7231719856987,6154.920205053557
Prince Edward Island,2034,5075.231499334181,101,29,130,911.1680486456607,4807.24714003569,942.0083163113973,367.1440916327549,6116.399547979841
Prince Edward Island,2035,5026.435242393051,162,39,201,911.1680486456607,5177.492166300965,960.9141870364767,0.19693770127012628,6138.603291038712
Prince Edward Island,2036,4965.422142353926,246,63,309,911.1680486456607,5258.6921722845145,926.6768152024633,0.22120351260842153,6185.590190999586
Prince Edward Island,2037,4891.819844419708,391,90,481,964.7661691542289,5429.105512565743,908.2390058857845,0.24149512240970541,6337.586013573937
Prince Edward Island,2038,4803.360678152047,610,129,739,911.1680486456607,5567.485000363107,885.7748851866098,0.2688412479898177,6453.528726797707
Prince Edward Island,2039,4720.563230290909,900,184,1084,911.1680486456607,5830.106361470038,885.3300265195409,0.2948909469920922,6715.73127893657
Prince Edward Island,2040,4567.261415025649,1266,248,1514,911.1680486456607,6103.999976571768,888.0984581297798,0.3310289697621829,6992.429463671309
Prince Edward Island,2041,4415.833222146949,1686,319,2005,911.1680486456607,6431.453832831434,900.1846614113176,0.36277654985816865,7332.00127079261
Prince Edward Island,2042,4237.801346881262,2129,396,2525,911.1680486456607,6760.511240782652,913.0624083081868,0.3957464360845048,7673.969395526923
Prince Edward Island,2043,4032.1548396733397,2583,478,3061,964.7661691542289,7125.969057348999,931.5197054302622,0.4322460483079409,8057.9210088275695
Prince Edward Island,2044,3799.3474711685667,3012,559,3571,964.7661691542289,7396.961812026588,937.6878011986335,0.46402709757524174,8335.113640322796
Prince Edward Island,2045,3542.4870321407593,3404,641,4045,911.1680486456607,7566.265199090407,931.8999774299581,0.48990426605488907,8498.65508078642
Prince Edward Island,2046,3267.956213958663,3770,718,4488,964.7661691542289,7794.465102495917,925.7486503260533,0.5086302909217876,8720.722383112892
Prince Edward Island,2047,2980.362122793942,4106,787,4893,964.7661691542289,7920.79772881397,916.7991035161274,0.5314596180738301,8838.128291948171
Prince Edward Island,2048,2688.233324955846,4413,829,5242,1018.3642896627971,8040.353518637592,907.700725298449,0.5433706826019393,8948.597614618644
Prince Edward Island,2049,2397.6925606197256,4689,865,5554,964.7661691542289,8030.633257129381,885.2789723180592,0.5465003265141193,8916.458729773954
Prince Edward Island,2050,2115.2647656476606,4940,886,5826,964.7661691542289,8039.833696748519,865.64688329569594,0.5503547576740644,8906.030934801889
Quebec,2020,292082.53053305496,14,16,30,0,14351.41705775125,6069.57892414509,318939,339359.99598189635
Quebec,2021,290970.00190305954,31,26,57,0,23745.59838431975,13908.40648592283,329455,367109.00487024256
Quebec,2022,290068.021403774,53,46,99,0,38122.3717614124,13335.849119669761,289377,340835.2208810822
Quebec,2023,289157.08997457917,91,75,166,0,55071.45909593,21513.8430983119,314518,391103.3021942419
Quebec,2024,288444.53413859825,157,123,280,0,77129.11187035759,29501.2261857162,327999,434629.3380560738
Quebec,2025,287910.3504959472,264,198,462,0,54052.86194457342,9387.02628916383,224932.4622622099,288372.3504959472
Quebec,2026,287267.0332307152,488,372,860,0,85736.10862062345,15105.547296174076,187285.37731391774,288127.0332307152
Quebec,2027,286524.4452073996,858,622,1480,0,102886.50594455752,20952.259567781453,164165.67969506065,288004.4452073996
Quebec,2028,285651.82336542814,1373,1053,2426,21233.717024260426,134836.49612927437,22908.645567196014,151566.3986932182,309311.54038968857
Quebec,2029,284590.85845360835,2184,1703,3887,20177.896840733665,153977.30135009217,28125.58224358585,126552.871700664,308655.755294342
Quebec,2030,283185.8898240833,3507,2814,6321,19239.390010932097,178302.2728609043,31640.43500607203,98803.57196803912,308746.2798350154
Quebec,2031,281318.61861840036,5469,4040,9509,18418.196534855728,197088.56326956907,37932.614684894615,74224.63719879242,309245.81515325606
Quebec,2032,278913.1553148079,7985,5203,13188,17890.28644309235,211096.81407337578,43090.403511469114,55804.2241730553,309991.4417579002
Quebec,2033,275935.1881717086,11590,6838,18428,17421.033028191567,227598.795173469,46764.59501861849,37420.831007812696,311784.22119990014
Quebec,2034,272353.0465394317,16698,8434,25132,16951.779613290782,247134.8579155242,48427.5271533327,18874.441083865608,314436.82615272247
Quebec,2035,268145.14308351534,23604,10544,34148,16599.839552115198,268964.4274446916,49918.324516635024,10.230674303895055,318892.9826356305
Quebec,2036,263280.84844712436,32696,13147,45843,16482.52619839,276814.9264213711,48779.80418184894,11.644042294312133,325606.3746455144
Quebec,2037,257782.4164472855,41200,14593,55793,16482.52619839,282744.7851667472,47300.58054772914,12.576931199165497,330057.9426456755
Quebec,2038,251568.91409365338,51826,16028,67854,16599.839552115198,289888.17124733416,46120.58435484191,13.998043592490415,336022.75364576856
Quebec,2039,245759.26122984,63547,17503,81050,16893.122936428183,298377.25381672534,45310.0382147714,15.092134771402007,343702.38416626817
